index_id	category	text
431	geography	Turquie me ziungama na banzadi-mungwa na bandambu tatu: Nzadi-Mungwa Egee na weste, Nzadi-Mungwa ya ndombe na norde mpi Nzadi-Mungwa Mediteranea na sude.
403	science/technology	Na luyantiku ya mvita, bo vandaka kusala nzietelo mbala mingi na zulu ya nzadi-mungwa, kansi ntangu bo yantikaka kusala radare mpi yo vandaka kusadisa mingi, ba sous-marins kumaka kukwenda na nsi ya masa sambu bo mona bo ve.
1592	science/technology	Ntangu nzayilu ya Grece bandaka kukulumka, bantu ya Mputu zengaka misisa na yo ya filozofi ti ya siansi ya Bagreki.
993	entertainment	Na kutala, bo kele na kitoko ya luswaswanu mpi bumpala na ntangu ya madidi, na bisadula mingi na bangumba ke yambaka matadi kepesaka mavimbi ya mbote na kepesaka nzila na kutambula na matadi mpi kusala bansaka.
755	entertainment	banzo yayi ya mvundulu ya ba mvwama mpi bantu ya kuzabakana vandaka na vandaka kudya mbote mpi kulutisa ba pimpa ya mbote.
1936	politics	Na 1994, kuswana yayi yo nataka bo na kusala République autoproclamée ya Transnistrie na este ya Moldavie, yo kele na guvernema ti mbongo na yo mosi nkansi yo kezabanaka ve bonso bwala mosi ya ONU.
1205	health	Danielle Lantagne, nganga-mayele ya Nations Unies na diambu ya maladi, kumwangana ya kimbefo vandaka diambu katukaka na bantu ke talaka mambu ya ngemba.
1692	geography	Distrike ya nene diaka ya norde ke na bantu mingi ve na ya nkaka kele na ntoto ya kuyuma kisika bantu ke zingaka ve.
280	politics	Bikubiki mambu ya kumangabansiku to lukanu tubaka ti bantu 100.000 yonzamaka na bambanza ya Allemagne mutindu Berlin, Cologne, Hamburg na Hanover.
247	politics	Basali yai kisalu na bo kele kusadisa bantu na kuzwa lusadisu ya mbula-matari mpi ya banzonzi na kulandaka Article 247 ya Mukanda ya bansiku ya insi Pakistani.
1439	politics	Ntangu fyoti, na nima ya luyantiku ya bitumba, Grande Bretagne bakaka lukanu ya kukanga basoda ya maswa ya Allemagne nzila.
1239	entertainment	"Yandi tubaka na kutadila kinzonzi ya manaka ya yimpa, ""Yandi ke kitoko mpi ke na kuyimba mbote mpe""."
743	geography	Bisanga ya Cook yo ke vandaka ti mbanza ve kansi yo kele ti bisanga 15 ya kuswaswana. Ya mfunu kele Rarotonga ti Aitutaki.
18	politics	Bankolami vandaka na ntoto ya mvimba, bazuzi sambisaka bantu mingi ya mubulu, mpi mfumu ya mbula matadi ya Islande mpi ya Pakistan bo zole yambulaka kisalu.
1344	science/technology	Bitini ya fioti ya hydrogène kele ba proton yina bo me katulaka ba electron na yo (sambu ba atome ya hydrogène ke vandaka ti proton mosi mpi electron mosi).
688	travel	Banzenza yina kele na ntangu kaka ya fioti ke sala mbote na kulutisa ntangu ya bo kisika ya kaka.
556	science/technology	Bantu ke tubaka nde atome kele na kati ya bima ya mfunu ya bima yonso.
1645	science/technology	Mwa fioto bonso kupusa pusupusu na mwa ngumba. Kukabula diaka minkanzi mpi na nima kuyambla ndambu ya energie.
907	science/technology	Na kulanda nsiku bo ke pesaka nsinga ya interneti ya ntinu kuluta mpi kusala kisalu ya mbote. Bo ke ya kutula yo na bidimbu ya ntalu mpi mutindu ina mpasi na kusosa kuzaba mambu na yo.
1071	politics	Kansi Kilandi ya ntete ya Mfumu ya bwala John Howard kutubaka ti lukanu vwandiki sambu na ku pesa maboko na nzo ya lusadusu sambu ti GOUVERNEMENT ya Tasmanie mangaka na kupesa bo ba milio 45 ya mbongo ya dollar.
555	sports	Bantu ya ke bakaka ntinu lenda yindula nde bo ke zola kima mosi ata ntangu yo ke natilaka bo ve ata mambote mosi.
1203	health	Na ntwala ya kukwisa ya basoda, Haiti monaka ve makambu ya bimbefo ykuluta mvula 1800.
58	politics	Polisi me tuba Lo Piccolo kele na diboko ya yinda sambu yandi vandaka muntu me sala na diboko ya kitata ya bakala na zina ya Provenzano na Palermo na luzabu ya bamvula ya yandi ya kisalu ba vandaka kuzitisa yandi na bamvwama yonso ya ntama yina talaka nsadilu ya Provenzano ya kubumba bantu ya mbote.
1764	travel	Diaka, zaba yo ti bansudi ke bendaka ba ours mpi bambisi ya nkaka ya mfinda, yo yna buya kunata to kulanda madia ya nsudi mpi tanina camp bunkete.
195	sports	Massa ta sala ve bansaka na ntangu ya 2009 yina me bikala.
1785	travel	Kufuta sambu ba kusadisila nge kisika tekila kukuma ya nge, ke pesaka bantu ya ke sala nzietelo ngemba na kutala ti bo ke kuzwa kisika ya kuladila kana bo me kuma na kisika bo kanaka kukuma.
600	science/technology	Bima mpi bitini lenda katuka na mutindu mosi mpi kukuma mutindu ya nkaka, kansi yo soba ve.
553	sports	Nsaka ya kubaka ntinu ya katikati ke lombaka mbongo mingi ve; kansi kele ti bangindu mingi ya luvunu ya ke tdila bisadilu yina kele mfunu sambu nge sala nsaka yango.
1720	geography	Park kele nene ya 19, 500 km² mpi me kabuana na bitini 14 ya ecozone, mosi-mosi na mutindu ya Bambisi.
1622	geography	Nzadi Amazon kele nzadi ya zole ya kuluta nda mpi ya ntet ya nene na Ntoto. Yo kele ti bamasa bambala 8 kuluta nzadi ya zole ya kuluta nene.
1441	politics	Grande-Bretagne bebisaka bamasa ya bansi mingi sambu na kukanga konso maswa ya basoda na kukota na bitini ya nzadi-mungwa, mpi yo vandaka kigonsa ata sambu na bamaswa ya kele ve na bitumba.
566	health	Mbona-meso, to mayele ya kumona, ke tadilaka bisalu ya kumona, binama ya kuwila to meso.
1515	science/technology	Mutindu ya pwelele yina Internet ke salaka mambu me sadisaka na kubasisa mambu ya nkaka na yina me tala mutindu ya kusadila mpi mayele ya kusadila.
585	science/technology	Kansi, batelescope ya ntete ya kieleka, bo salaka yo na Europa na mvu-nkama ya 16.
1689	geography	Ottawa kele mbanza kitoko ya Canada, kisika bantu ke tubaka bandinga zole ya kele na bisadilu ya bansaka na inzo ke bumbaka bisadilu ya ntama mpi ya mpa ya Canada.
1256	health	Bima ya kele na matadi ya mpembe ke lunga na yai bo monaka na masuba ya bambwa/pusu na maladi ntangu bo mekaka yo na spectroscopie infra-rouge (FTIR).
60	science/technology	Mfumu ya Apple Steve Jobs songaka bansoba ya mpa ya singa to iPhone na basisaka yo na pose ya pantalon ya yandi ya jeans.
32	sports	Ntangu bakamio yina vandaka na ntwala ya Alonso kwendaka sambu na kubaka esanse na lutaninu, yandi kwendaka na ntwala mpi nungaka.
1411	politics	Na ntangu ya mvita ya Kimpwanza, baprovense kumi na tatu salaka ntete luyalu mosi ya kimvuka; Congrès vandaka kisadilu na yo mosi mpamba, na kulanda nsiku ya Confédération.
13	sports	Nadal kutulaka 88% ya makonga na match, yandi nungaka matonsi 76 na kitini ya ntete.
1941	travel	Banzila ya nene, ba bâtiments ya bitalatala ti bisika ya kutekila ya bubu yomesalama na batole ya bwala ya mbwaki, zandu ya 18ème siècle ti ya ba mosquées ya ntama ti banzonzambi, Ata bwala kimfumu kele na mpila ya mosi ya méditerranéenne kuluta ya Turquie traditionnelle.
732	sports	Whistler (nawola mosi ti ndambu ya kutambula na Vancouver) yo kele ntalu kansi yo me zabana sambu na nsaka ya Olympiques ya hiver ya 2010.
871	entertainment	Fulusa nzo ya nge na cafe na suka mpi thé chamomile na nkokila sambu na kukandula nitu.
886	geography	Antarctique kele kisika mosi ya madidi na ntoto ti yo kele na kitini ya mvimba ya pôle Sud.
362	science/technology	Na nima ya kusala bangunga mingi, nsukansuka nsinga ya ampoule ke fwaka mpi ampoule ke salaka diaka ve.
1578	health	Sosa ntete mukanda ya nkisi yango sambu na kuzaba mutindu ya kusansa ndikili yina.
996	travel	Na mpila yonso, beno fwete bumba mbala mosi kisika na nzila ya téléfone na kompani ya avion.
197	health	Mutindu ya Mfumu ya luyaluy kele awa nitu kele mbote, kansi yandi ta vanda na nzo na yandi yandi mosi bilumbu mingi.
460	entertainment	Bo ke salaka batelevizio mingi sambu na kusepdisa bantu yina ke tala.
154	geography	Na kati na mfinama ya bitini ya 24 000 ya meteo yina bwaka na Ntoto, bo me monaka nde kaka pene-pene ya 34 me katukaka na zulu na Mars.
1160	politics	Kana bamfumu me manisa kutala identite ya muntu ke sala vote, muntu yango ke tulaka amvelopi na kesi ya voti mpi ke tulaka siniatire na mukanda.
1223	entertainment	Bo sobanaka tournoi Yango na nima ntwadisi muyembi Steven Tyler lualaka ntangu yandi bwaka na etage ntangu yandi vandaka kusala na kilumbu ya 5, ngonda ya nana.
54	politics	Peter Costello, mubumbi bimvwama ya Australie mpi muntu ya lungaka kibeni kuyinga Ministre ya Ntete John Howard bonso ntambwisi muntu ya kimvuka ya politiki Liberal me pesa lusadisu na yandi na Izini mosi ya bisalu ya uranium to bombi na Australie.
7	politics	Kutelamina balukanu bandaka na 11:00 ntangu ya bwala (UTC +1 na ntangu ya ntoto na muvimba) Whitehall kati na polisi bikebi ya mwelo mpi Downing Street, kisika ya Mfumu ya nzole ya insi ya Angleterre.
1010	sports	USA Gymnastics yambaka mukanda ya Comité Olympique ya Etats-Unis mpi yandi ndimaka nswa ya nene ya dibuta ya olympique ya kutomisa kisika mosi ya mbote sambu na ba athlète na beto yonso.
1174	sports	Matonsi ya nsuka vandaka lunungu mosi, matonsi 21 na 20, kusukaka na bansaka 15 yonso ya All Blacks nungaka.
1202	health	Na kutala lukanu ya ba zuzi, bisika na kulosa busafu ya nitu ya mpaka ya Nations Unies vandaka ve ya mbote, yo pesaka mikolobe lenda kaka kukatulwa na na kukota Nzadi ya Artibonite, mosi ya banzadi ya nene ya Haiti.
958	travel	Ya ke na kompani ve ya avio ke kumaka tii na mubu ya nene ya Hemisphere ya sudi (na SkyTeam ke kumaka ve na bisika yayi).
354	science/technology	Meno ya lutebo ya kuzenga glace ya mpa ke na meno ya ndambu zole na dibulu na katikati. Meno yina ke pesa nzila ya kusimba glace mbote, ata kana yo ke ya kunyekama.
505	science/technology	Kele ti mambu ya mbote sambu na basite internet yai, mu mbandu, kuyidika na pete yonso lutiti ya nzo-nkanda yina lenda vanda ti bablogs, bavideo, bafoto, mpi bima ya nkaka.
1333	science/technology	Yo ke sadilaka tekinoloji ya satelite na kuluta tekinoloji ya ntama na yai bo vandaka kusadila radar na ntoto sambu na kupesa bantu ya ke yalaka kutambula ya ba avion kumona baavion ata ya fioti fioti na mpila mosi ya mbote mpi kupesa ba piloti bansangu ya mbote mpenza.
1173	sports	Afrique du Sud kunungaka ba All Blacks ya (Nouvelle-Zélande) na ntangu ya nsaka ya rugby na XV na stade Royal Bafokeng ya Rustenburg, na Afrique du Sud.
945	travel	basoda ya insi ya Scandinave sadilaka nzila ya masa ya batu ya Russie na kukuma na Imbu ya Ndombe na Imbu ya Caspienne. Bisika ya nkaka ya nzila yayi lenda mpi kusadulwa ti bubu yayi. Nge fuana sosa mukanda ya kingenga ya kulutila yo kele mpasi na kuzua.
1012	sports	Gymnastique ya Etats Unis me pesa maboko na kusalama ya bansosa ya dipanda wapi mutindu kunwa ya bima mingi yina talanaka na bantu yina gulukaka ya Larry Nassar zolaka kutalana ve na zwaka nsobao ya kulunga mpi ya mbote.
712	travel	Kuluta bamaswa 60 vandada sabuka masa ya Galapagos na mulonga na bantu ya ke sala nzietelo 8 tii na 100.
1654	science/technology	Malongi zole ya me zabana mingi kele Ngindu Banzala ya Kimfumu ya Maslow mpi Malongi Zole ya Hertzberg.
76	politics	"Kansi yandi vutulaka ndinga na yandi ya ntete nde Roe v. Wade vandaka ""Nsiku ya bo tulaka na ntoto"", kutula kaka mfunu ya Nzo ya banzonzi ya zulu kunatisa mambu na mutindu ya mbote."
637	science/technology	Mvula iya na nima, bo pesaka diplome mosi, yo vandaka diplome ya ntete ya bo pesaka muntu na mambu ya IRM.
1694	geography	Ba insi yina kele kati na masa ya Afrika ya este me kubakama na masa ya nene ya Inde na nganda ya ndekoso masa ya Afrika ya este.
1559	travel	Transport ya ntete ya me zabanaka kele kutambula ya kutelamamakulu bamilio ya bamvula zole me luta ntangu ba Homo Erectus (muntu ya kutelema) basikaka.
679	geography	Victoria Falls kele bwala kimfumu ya kitini ya Weste ya Zimbabwe, na ngambu ya nkaka ya Livingstone, na Zambie, ti pene-pene ya Botswana.
1049	politics	Rapore ke yantika na kuvutula ya masolo na malongi ya kudiatisila kuwakana na Etats Unis na yina me tadila politiki ya Este ya kati kati.
557	science/technology	Yo kele mpila mosi ya nene yayi kele, na modele ya Bohr, na noyau central ya orbite nzinga nzinga ya baelectron, mpila mosi na baplanete yina ke vandaka na nziunga ya ntangu, tala Kifwanisu 1.1.
194	sports	Muntu yina ya Brésil lwakaka ngolo na ntu na nima ya aksida ya Grand Prix ya Hongrie ya 2009.
1103	science/technology	Nsuka ya kupasula banzila ya kutala kukabila ya ntoto na bitini ta zabisama na site interneti ya bantu yonso.
1009	health	Na kusamba ya PALM, Zmapp salaka bonso muntu ya ke yala, yo ke tendula bantu ya mayele sadilaka yo bonso nto-mbanza ya nkisi yonso na yo.
20	politics	Hsieh tubaka Ma fwana kubasika na insi na ntangu ya bavote, ntangu ya mpasi.
1700	travel	Bankento: Bankento yonso ya kuzieta kupesamaka nsiku ya kutuba nde bokele banketu ya makwela, kutala ve kana bo kele ya kukwelama to ya kukwelama ve.
1673	science/technology	Kubasika ya ba technologie ya mpa ke sadisaka beto na kumona mpi na kuzaba mutindu butomfu ke vandaka mpi ke salaka na mutindu yina beto me monaka ntete ve.
911	science/technology	Sambu bo ke nataka bansangu na nzila ya Internet, mfunu kele ve ya kusadila kompani ya telefone ina kele na kisika ya ke zingaka to ya nge ke sala nzietelo.
1813	travel	Ya me zabakana ti ba ke sumba tike ya 2500 Y na 130 000Y, na kutala ntalu ya zabakana ya tike yina kele 1 000 Y.
1052	politics	Mumonisi mpi nkento ya mfumu ya bwala ya Argentine Cristina Fernandez de Kirchner me zabikisa kukota ya yandi kunwanina Kimfumu ya bwala mazono na nkokila na La Plata, mbanza ntama bakilometre 50 na Buenos Aires.
1699	geography	Na norde distrike me tulama ndilu na Sahel, mpi na Sudi mpi na Westi na Masa ya Atlantika.
290	geography	Biro ya météo ya Islande zabisaka kunikana ya ntoto mosi ve na bwala ya Hekla na bantangu 48 yai me luta.
1567	politics	Kutanga ya ntetne na meso ya bantu salamaka na John Nixon na kibansala ya Nzo ya Kimpwanza na le 8 juillet.
1638	science/technology	Bima yono ya kele na Luyalangangu me salamaka na matiere. Matiere yonso me salamaka na bima ya fioti ya bo ke bingaka ba atome.
590	science/technology	"Kansi, kana yo salama, mbala ya nkaka yo ta salama ntama kibeni na bilumbu ke kwisa. Bambwetete me panzanaka kuna na zulu yo yina yo kele ti bamiliare ya kitamina na kati ya bambwetete yina kele ""mfinama""."
1610	travel	Kutadila mambu banzila kele kulonguka mutindu bashofere mpi bakamio ke sala mambu na kati ya bisika zole mpi na bampambu ya nzila na kati na bo.
691	travel	Kukwenda tala kisika yina lenda kusalama nzila mosi na nzietelo na maswa na kukuma na dizanga nene.
1120	health	Chauffeur ya kamio, ya bamvula 64, ya lwalaka ve na accident.Chauffeur ya kamio, ya bamvula 64, ya lwalaka ve na accident.
1619	science/technology	Mafunda ya bamvula me luta, bakala mosi na zina ya Aristarchus tubaka nde Ngidika ya Ntangu ke tambulaka na nziunga ya ntangu.
839	entertainment	Sambu bapueblos kele ntama kibeni, nge ta kuka ve kumonda bima mingi ya mpimpa kana nge sala ve nzietelo na nziunga ya Albuquerque to na Santa Fe.
829	travel	Kisika ya kusadila kontrole na imigrasion kele mingi mingi kutelema ya ntwala na ntangu ya kukota na avion, na maswa to na voiture ya nkaka.
1591	science/technology	Bantu ndimaka bangindu ya Aristote na mambu yonso ya siansi, ata mpi ya psychologie.
1821	science/technology	Bambisi ya fioti lenda kubebisa madia, kutatika na nitu, na kuluta mbi kusala mbi na nitu, kupanza ndikila, to kupesa bimbefu.
1271	sports	Ya yandi ya ntete kuvandaka Slalom, kisika yandi nungaka yina yandi manisaka ve [Did Not Finish] na ntangu ya nsaka na yandi ya ntete. bantu kubulaka ti yandi nsaka 36 na zulu ya 116 bo bakaka rezultat mpila mosi na nsaka yayi.
1355	science/technology	Yo me natilaka beto train, kamio, mpi bisadilu ya nkaka ya transport.
376	science/technology	Mupepe ke kumaka fioti kana nge ke kwenda ntama pene-pene ya Ntangu.
1040	science/technology	Ntinu ya 802.11n kele kibeni ntinu mingi kuluta yina ya bayina yo yingaka na mayele ya kubanza na nzila ya kutula 600Mbit/sekondi.
580	science/technology	Yo lenda tinda kuningana ya banerfs to misisa nswalu na nti ya mvimba ebuna yo ke taninaka nitu na bigonsa yonso ya ke nwanisa yo.
1028	science/technology	Mutindu ya mansala me salama ke pesa ngindu nde yo salamaka ve na kupumbuka kansi sambu na kubongisa temperature to kusonga tableau ya temperature. Bantu ya mayele to recherche pesaka ngindu nde, ata kana yai kele mukila ya mwana ya dinozore, modele ke songa mansala ya mbuta kansi ve mansala ya mwana ndeke.
1109	health	Bo monaka mbefo ya ntete na nsungi yai na nsuka ya ngonda ya Nsambwadi.
401	science/technology	Sous-marins kele maswa ya bo me salaka sambu yo tambula na nsi ya masa, mpi kubikala kuna na nsi sambu na kitamina ya ntangu mingi.
70	entertainment	Kompani ya ke yala kimvuka, HK Management Inc., pesaka ve kikuma ya ebandeli ntangu bo vutulaka lusilu na nima na kilumbu ya 20, ngonda ya uvwa, kansi bo kwisaka upesa foti na kukonda ya bima ya kisalu.
576	science/technology	"Selile kele inki? Ngogo yina me katuka na ngogo ya Latin ""cella"", yina ke tendula ""chambre ya fyoti,"" mpi muntu mosi ya microscopie muntu pesaka yo zina yina na mbala ya ntete ntangu yandi vandaka kutala nitu ya musopi."
1787	travel	Ba agence nzitelo ke pesaka mbala mingi mwa bima ya madia fioti, kubongisa transport ya kunata na / kubanda na aéroport to kutu bima ya nkaka na avion ti hôtel.
1788	travel	Bo lenda bumbila nge mpi kisika kana nge kele na mfunu ya ntangu ya kuyindula mpila ya kupesila nge to sambu na kubaka mikanda nkaka sambu na kisika yina nge ke kwenda (mbandu, viza).
887	travel	Kutambula ya tourisme ke vandaka ntalu mingi, yo ke lombaka kuvanda ti nitu ya mbote, mpi yo ke salamaka kaka na ntangu ya nsungi ya kisiuwu na ngonda ya kumi na mosi ti ngonda ya zole, mpi ke suka mingi na ntoto ya pembeni ya masa, na ba bisanga mpi Nzadi ya Ross.
1065	politics	President ya Etats-Unis George W. Bush kumaka na Singapour na nsuka ya kilimbu ya 16, ngonda ya kumi na mosi, sambu na kubanga nzietelo ya kitini ya Azia.
386	politics	Ntotila Sejong vandaka mfumu ya iya ya kimfumu ya Joseon mpi mosi ya bamfumu yina zabanaka mingi.
1749	sports	Na kisika yayi na bantangu ya nkaka ya mvula, bantu lenda tala bansaka mpi bansaka ya balo ya fioti.
1857	travel	Kana nge ke na viza ya Schengen, nge fwana ku lomba visa Shengen na ba insi zole ya luswaswanu ve, sambu na kusadila ntangu, kubumba mbongo na mpi lu kebolo ya mikanda ya kisalu.
680	travel	Bwala ke na kisika na yo na nima ya bifulu ya mabulu, mpi yo kele bima ya ke bendaka bantu mingi, kansi kisika yayi ya bantu ke zolaka kukwenda kutala ke vandaka ya mbote sambu na bantu ya ke sosaka kiese mpi mabaku ya kulutisa ntangu mingi.
93	politics	Mabanza ya luswaswanu yina me tubama, ke na zonza kana kusalama ve na yo ke vanda konda zitisa bansiku ya luyalu.
1906	science/technology	Na bisika ya ntama, yina telefone ke salaka ve, telefone ya satelita lenda vanda kima mosi mpamba ya nge lenda sadila.
1423	politics	Na 1895, na nima ya kubela na bitumba ya ntete ya Chine na Japon (1894-1895), luyalu ya Qing kutulaka maboko na mukanda ya kuwakana ya Shimonoseki, yai wapi bo pesaka Japon kiyeka ya kuyala Taiwan, yina yalaka kisanga yina tii na 1945.
1361	science/technology	Mbala mingi bantu ke vandaka na kuwakana na kati na bo, yo ke vandaka kimvuka ya nene ya bampangi ya bankento mpi ya bana ya bankento.
1230	entertainment	Na nkufi, Lakkha Singh zua kisika ya ntete na nzimbu ya bhajans.
1085	science/technology	Kisalu yina salamaka vandaka mingi kaka kinzonzi, kansi pologalame sonamaka sambu na kupesa mvingu na binotika ya Galakisi ya Sagittaire yina salamaka.
1376	science/technology	Banti ke salaka madia na yo katuka na ntangu na nzila ya photosynthese, yo mpi ke pesaka kivudi (ombre).
141	sports	Na kilumbu ya tatu, ekipi ya bansaka ya nkweso ya maboko ya Etats Unis kangaka bansaka ya yandi ya maboko sambu na kimbefo ya COVID-19.
1930	travel	Mfunu ya kuzietila na mupepe na kisika ya ntete to ya nzole kele ku losa mafunda ya bamgongo sambu na lulendo (to, be to lenda tuba, nge fwana bika kompani ya nge ku futila nge mbongo).
1514	science/technology	Internet ke vukisaka bima ya kusolula ya bantu mingi mpi ya muntu mosi.
783	science/technology	Kukanga foto ya bambisi ya zamba mbala mingi ke lombaka matala-tala ya kutadila na ntama Ata bima bonso bizizi ya kimvuka ya bandeke to kivangwa ya fioti mingi-mingi ke kulombaka kisalulu ya matala-tala ya mutindu ya nkaka.
394	politics	"Kansi Royal Navy kuvandaka ngolo mingi kuluta Marine ya ba Allemand (""Kriegsmarine"") mpi yo lendaka kubebisa bamaswa yonso ya bo tindaka na Manche."
752	travel	"Na bunkufi, kusadila kamio na nge kele dibanza ya mbote kuluta sambu na nzietelo kansi yo kele mpasi yo kuvanda na yo mosi mpila ya ku ""campe""."
867	travel	Mutindu mambu ya nzietelo ke yela na nsi-ntoto ke lutilaka bantu mingi ya mbote, ya me fwana ya ke salaka nzietelo, sambu bo lenda bansoba mingi ya fioti nswalu-nswalu.
1647	geography	Kisika Ngonda ke vandaka me salama na matadi mpi mfututu. Nganda ya Ngonda bo ke bingaka yo croûte.
1166	entertainment	"Site interneti ya radio ke tendula dikambu yina bonso ""theatre ya nzo-nkanda ya ntama na mayele ya mpa ya fim ya nsoni!"""
1882	politics	Manzangu ya mbula matadi ya nzenga na ku pesa lukumu na mikanda yayi vandaka ya luswaswanu.
299	politics	Kuzanga ya ndinga ya zole, yayi ketuba kubuya bakimvuka ya civiles homosexuelles, yo lenda kangula porte ya bakimvuka ya civiles na bilumbu kekwisa.
