index_id	category	text
797	technology	Pala mwayenda na laputopu panji foni yikulu, mungaŵikamoso vikalata ivi kuti mumanye kuvisanga kwambula intaneti.
830	travel	Mu sitima zinyake zakwenda pakati pa vyaru viŵiri, msecho ukuchitikira mukati mwa sitima ndipo mukwenera kuŵa na ID pala mukukwera yimoza mwa sitima izi.
150	business	Pambere boma lindatore banki iyi, kampani ya Virgin Group iyo mwenecho ni Sir Richard Branson yikakhumbanga kugura banki iyi kweni yikazomerezgeka yayi.
1806	travel	Vinyama vinji, nga ni zovu na twiga, vikutemwa kwiza pafupi comene na galimoto ndipo vipangizo vya kubekera vikovwira kuti munthu ubeke vinyama ivi makola comene.
902	disasters	Chimphepo cakofya cakucemeka tornado chikupangika pala mphepo yikwenda mwakuzwetelera pa malo ghasani nga ni umu wakucitira kavumba.
1225	sports	Del Potro ndiyo wakayambilira kuchita makora mu chigaŵa chachiŵiri, kweni apa napo ŵakeneranga kusankhapo yumoza chifukwa wose ŵakaŵa 6 kwa 6.
1342	science	Maji ghakufuma ku kabichi agha ghakusintha mtundu mwakuyana na munkhwara uwo uli ku ivyo mukuyezga, kwali kuli asidi panji beziki (alkaline).
1959	nature	Malo ghakusungirako vyacilengiwa gha Plitvice Lakes kuli cithengere cikulu comene ca makuni ghakupambanapambana gha mtundu wa ci Alpine kweniso Mediterranean.
341	business	"Pakuyowoyapo umo nkhani ya chuma yiliri pa charu chose, Zapatero wakalutilira kuti ""makampani, mabanki na ŵalongozgi ŵakwendeska vya chuma ntchigaŵa chakukhumbikwa chomene pa kendero ka chuma, ntchigaŵa chakuzirwa chomene."
352	science	Pachanya pa maji mphakukorana chifukwa chakuti tunthu uto tukupanga maji uto tukuŵa pachanya pa maji tukudemelerana chomene kuluska umo tukudemelera ku tunthu uto tukupanga mphepo ya pachanya pake.
448	nature	Chaka chilichose cha mu October nyama zakulya utheka na makuni zakukwana pafupifupi 1.5 miliyoni zikwenda kurazga ku vidika vya ku mwera, kwambuka Mronga wa Mara, kufuma ku mapiri gha ku mpoto kurondezga vura.
386	politics	Karonga Sejong wakaŵa Karonga wachinayi wa ŵarongozi ŵa charu ŵa mbumba ya Joseon ndipo ni yumoza wa ŵakuchindikika chomene.
1438	religion	Likuru la mpingo uwu laŵa ku Rome kwa vyaka vyakujumpha chikwi, ndipo mazaza ghawo na kayendeskero kawo ka ndalama vikapangiska ŵanandi kujifumba usange chipulikano chawo chikalondezgekanga.
394	politics	"Kweni ŵasilikari wakurwa nkhondo ya pa maji ŵa Britain ŵakaŵa ŵachali na nkhongono kuluska ŵasilikari ŵakurwa nkhondo ya pa maji ŵa German (""Kriegsmarine"") ndipo ŵakati waparanyenge ngaraŵa za nkhondo izo zikati zingirirenge nthowa ya Britain ."
1977	education	Munthu pala ukumanya ciyowoyero ca mu gulu la viyowoyero vya Romance, cingaŵa cinono cara kuti usambire Ciphwitikizi.
1719	nature	Malo ghakusamalirako vilengiwa gha Kruger National Park (KNP), ghali ku mpoto ca ku mafumiro gha zuŵa kwa South Africa, ndipo ghakufika mpaka ku mphaka na Mozambique ku mafumilro gha zuŵa, Zimbabwe ku mpoto ndiposo ca ku mwera kwake kuli dambo la Crocodile.
29	crime	Jele la ku Iraq la Abu Ghraib lawotcheka panyengo ya vivulupi
845	entertainment	Kweni mazuŵa ghano kuli ŵanthu awo luso lawo nkhulemba graffiti, ndipo kuliso vyakucitika vya graffiti kweniso viliŵa vyakuzomerezgeka kulembapo graffiti. Vyakulemba vya graffiti ipo vikulingana waka na maluso ghanyake ghose.
165	crime	Vigeŵenga ivyo vikachita chiŵembu mu msumba wa Mumbai vikiza pa boti pa Novembala 26, 2008, vikayegha mafuti ghakuru na futi izo zikulasa kanandi panyengo yimoza ndipo vikalasa malo ghanandi kusazgapo malo ghakukwelera sitima yapa mtundu gha Chhatrapati Shivaji Terminus agho pakuŵa mzinda ukuru wa ŵanthu ndiposo hotelo yakumanyikwa chomene ya Taj Mahal Hotel.
261	business	Charu cha Nigeria kumanyuma chikapharazga kuti chikakhumbanga kunjira wupu wa AfCFTA mu sabata ya ungano uwu.
531	sports	Pa laundi yimoza ya zgaro za gofu, pakuŵa makhululu 18, ndipo awo ŵakucita zgaro izi ŵakwambira pa khululu lakwamba na kukamalira pa khululu 18 pa luwaza lakucitirapo zgaro izi.
1599	nature	Kusintha kwa maselo kungizgiska vinthu vyakupambanapambana kutolera mtundu wa sinthi iyo yachitika, nchito ya kacigaŵa ako kasinthika kweniso kutolera kuti maselo agho ghasintha ndigho ghakuyegha mauthenga ghakukhwaska kaŵiro ka munthu.
428	geography	Charu cha Turkey chikurutilira makilomita 1,600 (1,000 mi) mu utali na 800 km (500 mi) mu usani, na kawonekero kakuyana ma utali na ma usani kweni kutalika kwa utali na usani kwakupambana.
1206	health	Hamilton wasimikizga kuti mulwari uyu wakagonekeka ku chipatala cha Howard University Hospital ndipo waliko makora.
277	politics	Gavanara wakale wa Massachusetts Mitt Romney pa Chiŵiri wakaluska pa visora vyakwambilira vya Purezidenti wa Chipani cha Republican ku Florida na mavoti 46 pa handiredi.
2	disasters	Ndege ya JAS 39C Gripen yikawa apo yikadekanga mu msewu wa pa chiŵanja nyengo ya 9:30 mulenji kuyana na nyengo ya charu icho (0230 UTC) ndipo yikaphulika, ivyo vikapangiska kuti chiŵanja chiyimiske dankha ndege za malonda.
719	geography	Caou ca Dominican Republic (ico pa ciyowoyero ca ci Spanishi wakucema kuti República Dominicana) cikusangika mu nyanja yamucere ya Caribbean ndipo cikusangika mphepete yakunena kwa cilwa ca Hispaniola ndipo kusika kwake ndiko kuli caru ca Haiti.
324	geography	Chimphupuru, icho chili pafupifupi mtunda wa ma mailo 3,000 kufuma ku Miami, Frorida, chili na mphepo izo zikwenda ma mailo 40 pa ora limoza kwambura kusintha (64 kilomita pa ora limoza).
15	business	"Mazgu ghakuti ""Panama Papers"" ntchinthanguni waka ndipo ghakung'anamura mapepala ghakulembeka ghakukwana mamiliyoni khumi ghakufuma ku Kampani ya malango ya ku Panama yakuchemeka Mossack Fonseca, agho ŵamutoramakani ŵakaghabowozga mu chihanya cha 2016."
