index_id	category	text
797	technology	Sɛ wode laptop anaa tablet retu kwan a, kora ne sɛso no bi wɔ ne nkaeɛ anaasɛ ne nkaeɛ afidie so (wonhia wiase ntontan keseɛ ansa na wonsa aka).
830	travel	Ketekye a ԑtumi wura ɔman foforɔ mu no, ԑmu no ara na wɔhwehwԑ nnipa no nti ԑsԑ sԑ wowɔ ID bi a ԑdi mu wɔ wo ho ansa na woaforo saa ketekye no mu baako.
150	business	Sir Richard Branson Virgin Group no maa sikakorabea no sika sԑ ɔbԑtɔ ansa na wɔredane no ɔman sikakorabea no nanso wɔannye.
1806	travel	Mmoa bi, te sɛ asono ne akɔntenten, twe bɛn hyɛn na abɛɛfo adwinnadeɛ bɛma wo ahu wɔn yie.
902	disasters	Mmotia mframa yԑ mframa a ԑretware ne ho a ԑtwe mframa no kɔ mu na ԑde no kɔ soro.
1225	sports	Del Potro nyaa hokwan sɛ obedi nkonim wɔ akansie no ɔfa a ɛtɔ so mmienu no mu, nanso wei nso wɔbɔɔ so bio ne mmba 6-6.
1342	science	‘Cabbage juice’ no sesa n’ahosuo de kyerɛ sɛ adeɛ no ‘acidic’ anaa ‘basic’ (alkaline).
1959	nature	Plitvice Ɔtadeɛ ɔman no turo no yɛ kwaeɛbirentuo, a deɛ ɛwɔ hɔ titire yɛ beech nnua, spruce nnua ne fir nnua, ne Alpine ne Mediterranean nnua a adi afra.
341	business	"Ɛnam sikasɛm a ayɛ basaa wɔ waise afanaa nyinaa ho no, Zapatero toaa so kaa sɛ, ""sikasɛm ka ɔman yieyɔ ho, ɛdi mu tintiman."
352	science	Nsuo ani bɔberɛ no yɛ adwuma firisɛ, ‘molecules’ a ɛwɔ nsuo no ani no ka bom deɛ emu yɛ den sene mframa ‘molecules’ no a ɛwɔ nsuo no so no.
448	nature	Afe biara no wↄ Ahinime mu no mmoa a wↄwe ahaban ↄpepem baako ne aha num tu kↄ anaafoↄ asase pradadaa so, na wↄtwa Mara Asubↄnten, firi atififam bepↄ so nsuo no enti.
386	politics	Na Ɔhene Sejong yԑ ɔhene a ɔtɔ so nnan wɔ Joseon Dynasty no mu ԑnna ɔyԑ obi a wɔbu no pa ara.
1438	religion	Asɔre no tumidie fapem no ankasa awɔ Rome bɛboro mfeɛ apem na saa tumidie ne sika a akɔdi faako no ama nnipa dodoɔ no ara rebisa sɛ mpo yɛatumi adi ɔsom no mu nokorɛdie no so.
394	politics	Nanso na Roya Navy no da so wɔ ahoɔden sene German Navy no (“Kriegsmarine”) a sԑ obiara bԑto hyԑԑ English Channel no so a, anka wɔbԑdi ne so nkonim.
1977	education	Ɛho nhia mpo sɛ mɛka, sɛ wonim Ɔdɔdie kasa a, ɛbɛyɛ merɛ ama wo sɛ wo besua Portuguese.
1719	nature	Kruger National Park (KNP) no da South Africa atifi-apueeɛ fam na ɛnam Mozambique apuei fam hyeɛ no ho, wɔ Zimbabwe atifi fam, na anafoɔ fam hɔ no yɛ ɔdɛnkyɛm asubɔntene no.
29	crime	Wɔ paa agya too Abu Ghraib afiase a ԑwɔ Iraq no mu berԑ a basabasaeԑ kɔɔ so hɔ wɔ.
845	entertainment	"Nanso, seesei deԑ yԑwɔ ‘graffiti artists’, ‘graffiti events’ a wɔayԑ ԑne ""mmara"" ban. ‘Graffiti paintings’ wɔ saa nteaseԑ yi mu no sԑ ‘artworks’ sene ‘tags’ a wɔnhunu."
165	crime	Wɔn a wɔkɔtoo hyԑԑ Mumbai so no de suhyԑn na baa hɔ wɔ Obubuo 26, 2008, a wɔde topaeԑ ne akodeԑ ahodoɔ to hyԑԑ mmeaeԑ ahodoɔ so a baabi a nnipa wɔ wɔ Chhatrapati Shivaji Terminus ketekye gyinabea no ka ho bi ԑne beaeԑ a agye din Taj Mahal Hotel.
261	business	Nigeria man no dii kan bɔɔ dawuru sɛ wɔn asi gyinaeɛ sɛ wɔde wɔn ho bɛdɔm AfCFTA wɔ nhyiamu a wɔbɛyɛ no nnawɔtwe a ɛreba yi.
531	sports	Wɔde ntokuro dunwɔtwe na edi agurɔ yei mpɛn pii, na agodifoɔ no firi aseɛ wɔ tokuro a edi kan wɔ agodibeaeɛ hɔ na wowie wɔ deɛ ɛtɔ soɔ dunwɔtwe no so.
1599	nature	Nea ebetumi afiri nsakraeɛ a ɛkɔ so wɔ DNA no mu aba no gu ahodoɔ. Nsakraeɛ korɔ no, adeɛ pɔtee a ɛsakraeɛ no so mfasoɔ ne afei yɛ a nkwammoa no yɛ awoɔ ho nkwammoa no na ɛbɛkyerɛ deɛ ebefiri nsakraeɛ no mu aba.
428	geography	Turkey ano bԑboro 1,600 kilometres (1,000 mi) wɔ ne tenten mu ԑne 800 km (500 mi) wɔ ne tԑtrԑtԑ mu, akɔyԑ ‘rectangular shape’.
1206	health	Hamilton aka asi so sԑ Howard University Hospital gyee ɔyarefoɔ no na ne ho yԑ.
277	politics	Kane Massachusetts amrado Mitt Romney dii nkonim wɔ Florida Republican amayɔkuo ɔmanpanin abatoɔ no mu wɔ Benada, ɔnnya mma ɔha nkyekyɛm aduannansia.
2	disasters	JAS 39C Gripen hwee ase wɔ wiemhyɛn kwantempɔn mu berɛ a na abɔ bɛyɛ anɔpa 9:30 (0230 UTC) maa ogya tɔɔ mu, ne saa nti wɔamma kwan amma wiemhyɛn biara ankɔ amanɔne.
719	geography	Dominican Republic (Spainfoↄ kasa: Republica Dominicana) yɛ Caribeanfo kurow a ɛda hispaniola apuei mantam, na ɛne Haiti na ɛbↄ hyeɛ.
324	geography	Ahum no a ɛsii Miami, Florida bɛyɛ 3,000 miles no, atumi agyina mframa ano bɛyɛ 40 mph (64 kph).
15	business	"""Panama Papers"" yԑ asԑm a yԑde gyina hɔ ma Panama mmara adwumakuo Mossack Fonseca, nkrataa bԑyԑ ɔpepem du a ԑfaa kwatikwan so kɔpuee nsԑntwerԑfoɔ hɔ wɔ 'spring' 2016 mu no."
13	sports	Nadal nyaa mma no nyinaa mu 88% na ɔde dii nkonim wɔ berԑ a ɔnyaa mma no 76 wɔ deԑ ԑdi kan no mu.
1276	crime	Nnipa a w'abɔ wɔn kwadu no ne Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.
37	entertainment	PBS so dwumadie no wɔ Emmy abasobɔdeɛ bɛyɛ aduonu nan ne akyire, na mberɛ ɔmo yi kyerɛ no na yɛ tia sen Sesame Street ne Mister Rogers' Neighborhood.
1192	health	Wɔde deԑ ɔtwa mfonin no kɔɔ ‘Ronald Reagan UCLA Medical Center’, na ԑhɔ nso na ɔkaa baabi.
1239	entertainment	"Nkaebɔ nkrataa bi a efi nhyiamu a ɛkɔɔ kyerɛ sɛ ɔkaeɛ sɛ, ""Ɔbaa no ho yɛ fɛ paa na ɔto dwom yie, nso""."
373	science	Ɛbԑyԑ dԑn na ahoɔden a ԑwɔ Io atumi atwe me? Sԑ wogyina Io ani a, wo mu duru a wowɔ no Asase so no so te.
42	disasters	Ewiem adehunufoɔ se asoɔkye a ԑwɔ kwansini 645 (1040 km) wɔ Cape Verde atɔeԑ fa mu no ano bԑtumi abrԑ ase ansa na ahunahuna wɔn a wɔte bԑn hɔ no.
1780	travel	Afe mu no nyinaa nnipa pii tu kwan kɔ hwɛ aboɔ a ɛterɛ nsuo no, na dɛm die biara ɛntaeɛ emfi saa aboɔ a ɛterɛ nsuo no ho mma.
533	sports	Wodi saa agorɔ yei wɔ ɛserɛsoɔ, na wotwa ɛserɛ a etwa tokuro no ho ahyia no ma ɛyɛ tiatiaa sene deɛ aka no na wɔfrɛ no ahabammono.
167	politics	Saa nsԑmmɔne yi de ɔhaw abԑto India ԑne Pakistan ntam.
57	crime	"Sԑdeԑ Ansa de too dwa no, ""na apolisifoɔ suro nneԑma bi a na wɔsusu sԑ ԑbԑtumi de ko a ԑtoɔ ntwa da bԑba no ho."
1264	politics	Huhne agyae adwuma na Ed Davey MP na ɔbɛhyɛ na nan mu wɔ mmarahyɛbadwam hɔ. Wɔhwɛ kwan sɛ Norman Lamb MP bɛfiri ne dwumadie ase bere a Davey rekɔ gye n'ahome no.
460	entertainment	TV ahodoɔ pii wɔ hɔ a wɔyɛ de sɔ ɔmanfoɔ pii no ani.
1911	education	Wei taa kɔ so wɔ asuafoɔ a wɔawie sukuu foforɔ no mu, ԑma wɔnya afe ansa na suapɔn adesua no ahyԑ aseԑ wɔ berԑ a ԑntwentwan wɔn adesua anan mu.
1631	religion	Vatican Cityfoɔ nyinaa yɛ Roman Catholic som mufoɔ.
1997	religion	Ɛda adi sɛ Akristofoɔ nkyerɛkyerɛ ho nkyerɛkyerɛmu wɔ hɔ ma amammerɛ wei, nanso ebetumi ayɛ ansaana-Akristofoɔ Mfiaseɛ ne Aba soɔ amanneɛ.
142	sports	NBA no sii saa agyina yi ԑfiri sԑ ‘Utah Jazz’ akansiekuo no mu baako nyaa COVID-19 yareԑ no bi.
197	health	Ɔmanpanyin no apɔwmuden no yɛ, nanso wɔbɛtwe no afi nnipa ho nna kakara.
107	geography	Sɛ afiri no reba asase so na edu wiem, bɛyɛ 5am (eastern time) a, wↄhwɛ kwan sɛ ɛbɛyɛ yɛkyerɛ kakra bi ma wↄn a wↄwↄ Northern California, Oregon, Nevada ne Utah.
295	health	Wɔde wiemhyɛn kɔyii nkurɔfokuo dummienu no na pira a na ɛwom yɛ obi hwene a na abu.
342	business	"Yɛwɔ sikasɛm a atɔ ape afe ni, a ano aberɛ ase bosome kakra akyi, na mehunu no sɛ seisei deɛ dwadie sikasɛm no rema ne mu so."""
365	technology	Sɛnti ne sɛ, anyinam ahoɔden a ɛnam bea a yɛde sɔ kanea no a ɛyɛ dadeɛ a ɛwɔ kanea no ho no bɛtumi ama ogya afa yɛn mu wɔ berɛ a yɛn nsa akɔka saa dadeɛ no, anaa sɛ yɛn nsa akɔka dadeɛ no wɔ berɛ ɛho kakra aka bea a yɛde hyɛ mu no.
268	crime	Wei na ɛyɛ bere a edi kan a wɔde mmara wɔ hyeɛ 2003 no ayɛ adwuma de si e-mail dodoɔ kwan, a wɔsan frɛ no spam no, a wɔn serɛɛ ho kwan.
426	education	Charles ne onipa a ɔdi kan wɔ Britania Adehye Abusua no mu a ɔnyaa abodin krataa.
1379	science	N'apantan tenten no wɔ ɛse bɛbro 70 a ɛyɛ nam sɛ blade. Ɛno akyi no, ɔwɔ ɛse fofro wɔ nanum soro hɔ, a aseɛ ne sɛ, biribiara ntumi ntwam wɔ n'anum a ebeguan.
135	nature	Abɔdeɛ mu nneɛma betumi aka abom ma tebea no ayɛ paa ara na aboa ma saa mmoawa yi adɔɔso ntɛmtɛm yie.
1437	religion	Kristosom no nkyerɛkyerɛ kɛseɛ ne sɛ ɛwɔ sɛ yɛde sika tu ɔyaw ne ohia ase, na asɔre fotoɔ no wɔ hɔ ma asɛm yi ankasa.
1687	education	Blogging yɛ adwinnadeɛ a ɛkanyan nkabomu, na ɛhyɛ adesuafoɔ no nkuran ma wɔterɛ wɔn adesua mu ma no tera wɔn daadaa adesuafoɔdan mu da.
1166	entertainment	"Saa ‘station’ no ‘abԑԑfo ntontan’/wԑbsate’ no kyerԑԑ dwumadie no mu sԑ ԑyԑ ""old school radio theater’ a anya ‘geeky spin’ a ԑyԑ foforɔ na ԑyԑ nwanwa bi!"""
