	index_id	category	text	gpt-3
0	1523	science/technology	Mutation lägger till ny genetisk variation, och selektion tar bort den ur poolen av uttalad variation.	This piece of news is regarding science/technology.
1	1644	science/technology	Fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner.	This piece of news is regarding science/technology. It discusses the principle of fission bombs and the energy required to create a nucleus with many protons and neutrons.
2	558	science/technology	Kärnan består av två partiklar - neutroner och protoner.	This is a piece of news regarding science/technology. It discusses the composition of the nucleus, which consists of neutrons and protons.
3	456	science/technology	Detta har gjort det möjligt för zoomobjektiv att ge bilder av en kvalitet som är jämförbar med den som uppnås av objektiv med fast brännvidd.	This piece of news is regarding science/technology.
4	906	science/technology	De är överlägsna webbproxyservrar av flera anledningar: De omdirigerar all internettrafik, inte bara http.	This statement does not appear to be a news article. It seems to be a statement about web proxy servers, which falls under the category of science/technology.
5	452	science/technology	Interaktiv design kräver att du omprövar din bild av vad medieproduktion är och lär dig att tänka i nya banor.	This piece of news seems to be related to science/technology, specifically interactive design and media production.
6	1557	science/technology	Detta kom att bli praxis, men järnet slet mer på vagnarnas trähjul.	I'm sorry, but the text you provided does not seem to be a news article. It appears to be a sentence in Swedish that does not relate to any specific news category.
7	1360	science/technology	Flockar består av en till tre besläktade vuxna hanar tillsammans med så många som trettio honor och ungar.	This piece of information does not fit into any of the given categories. It seems to be a statement about the social structure of a specific animal species, rather than a news article.
8	1675	science/technology	Även om AI är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende, inlärning och intelligens.	This is a piece of news regarding science/technology.
9	1430	science/technology	Sidförhållandet i detta format (dividera med tolv för att åstadkomma den enklaste helsiffriga relationen) sägs därför vara 3:2.	Based on the given text, it does not appear to be a news article. It seems to be a statement or a sentence that does not fit into any specific news category.
10	1907	science/technology	En satellittelefon ersätter generellt sett inte en mobiltelefon, eftersom man måste vara utomhus med en klar siktlinje till satelliten för att kunna ringa.	This piece of news is regarding science/technology.
11	1555	science/technology	Även om vagnvägar bara bestod av parallella träplankor tillät de hästarna som drog dem att uppnå högre hastigheter och dra större belastningar än på dåtidens lite grövre vägar.	This piece of text does not seem to be a news article. It appears to be a statement about historical transportation methods.
12	1632	science/technology	Människor har känt till grundläggande kemiska ämnen såsom guld, silver och koppar sedan antiken, då dessa kan upptäckas i naturen i sin ursprungliga form och är relativt enkla att utvinna med primitiva verktyg.	This piece of text seems to be discussing science/technology, specifically the knowledge of basic chemical elements such as gold, silver, and copper since ancient times.
13	1354	science/technology	Hjulet har förändrat världen på otroliga sätt. Det största som hjulet medfört är att ge oss mycket enklare och snabbare transportmetoder.	This is a piece of news regarding technology.
14	462	science/technology	Detta görs för att säkerställa att bilden täcker hela skärmen. Det kallas overscan.	Based on the provided text, it does not appear to be a news article. It seems to be a description or explanation of a concept related to screen display, specifically overscan. Therefore, it does not fall into any of the specified news categories.
15	404	science/technology	Tyskarna hade ubåtar som de var mycket bra på att styra och hantera.	Based on the given text, it does not appear to be a news article. It seems to be a statement about German submarines, which does not fit into any of the given categories.
16	604	science/technology	Även om dess fysikaliska tillstånd kan förändras, så förblir dess kemiska tillstånd detsamma.	This statement does not appear to be a news article. It seems to be a general statement about the properties of matter, specifically referring to its chemical state. Therefore, it does not fall into any specific news category such as science/technology, travel, politics, sports, health, or geography.
17	352	science/technology	Ytspänning uppstår då vattenmolekyler vid vattenytan attraheras starkare till varandra än till molekylerna i luften ovanför dem.	This is a piece of news regarding science/technology.
18	459	science/technology	Ett av de vanligaste problemen vid konvertering av filmer till DVD-format är överskanning.	This is a piece of news regarding technology.
19	1519	science/technology	Det påstås särskilt att man kan avgöra om en person ljuger genom att tolka mikrouttryck på rätt sätt.	This piece of news seems to be related to science/technology. It discusses the claim that one can determine if a person is lying by interpreting microexpressions accurately.
20	1338	science/technology	Guld kan bearbetas till alla slags former. Det kan rullas till små former.	This statement does not appear to be a news article. It seems to be a general statement about gold being malleable and able to be shaped into various forms. Therefore, it does not fall into any specific news category.
21	1679	science/technology	AI-systemet används nu ofta inom ekonomi, medicin, teknik och det militära, och har byggts in i flera hemmadatorer och tv-spels mjukvaruapplikationer.	This is a piece of news regarding science/technology. It discusses the use of AI systems in various fields such as economics, medicine, technology, and the military, as well as their integration into home computers and video game software applications.
22	1428	science/technology	Det tillverkas fortfarande idag, men ännu viktigare är dess bildförhållande som ärvts till formaten på fotosensorer i digitalkameror.	Based on the provided text, it does not appear to be a news article. It seems to be a statement about the manufacturing and importance of a certain product, possibly related to technology or photography.
23	1432	science/technology	Den mycket missbrukade och ofta förlöjligade regeln om tredjedelar är en enkel riktlinje som skapar dynamik samtidigt som man håller en viss ordning i en bild.	This sentence does not appear to be a news article. It seems to be a statement or opinion about a rule related to composition in photography. Therefore, it does not fit into any specific news category.
