	index_id	category	text	gpt-4
0	1523	science/technology	उत्परिवर्तन नव आनुवंशिक भिन्नता जोड़ैत अछि चयन एकरा व्यक्त भेल भिन्नताक पूल सँ हटा दैत अछि।	I'm sorry, but the text you provided is in Hindi and it's not clear which category it falls into. Could you please provide more information or context?
1	1644	science/technology	विखंडन बम एहि सिद्धांत पर काज करैत अछि कि एकटा नाभिक केर कइएक प्रोटॉन आ न्यूट्रॉन के संगे एकसाथ राखै लेल ई ऊर्जा ग्रहण करएत अछि।	"This news article is regarding ""Science/Technology"" as it discusses nuclear physics."
2	558	science/technology	नाभि में दूटा कण होइतअछि - न्यूट्रॉन आ प्रोटॉन।	"Without more context or information, it's difficult to categorize this news article. However, the mention of ""neutron"" and ""proton"" suggests it may be related to Science/Technology, specifically physics."
3	456	science/technology	ई जूम लेंस कें एकटा निश्चित फोकल लंबाई बला लेंस द्वारा प्राप्त कएल गेल गुणवत्ताक तुलना मे चित्र बनाबैय कें अनुमति दैत अछि।	This piece of news is regarding science/technology.
4	906	science/technology	कतेक कारण सँ ओ सभ वेब प्रॉक्सी सँ नीक होइत अछि: ओ सभ मात्र http नहि मुदा सभटा इंटरनेट ट्राफिक कें री-रुट करैत अछि।	I'm sorry, but the text you provided is in Hindi and it doesn't seem to be a news article. It appears to be a statement about web proxies. Could you please provide a news article for me to categorize?
5	452	science/technology	संवादात्मक डिज़ाइनक लेल आवश्यक अछि कि अहाँ मीडिया उत्पादनक बारे में अपन धारणा सभ कें पुनर्मूल्यांकन करूँ आ गैर-रेखीय तरीका सभ सँ सोचनाइ सीखूं।	I'm sorry, but the text you provided is not a news article. It seems to be a statement in Hindi about the need for reevaluating one's understanding of media production and learning to think in a non-linear way. Therefore, it cannot be categorized under science/technology, travel, politics, sports, health or geography.
6	1557	science/technology	ई आम बात भए गेल, लेकिन लोहां वैगन सभक लकड़ीक पहिया सभ कें अधिक घिसाव करि देलक।	I'm sorry, but the text you provided is in Hindi and doesn't seem to be related to any specific news category. Could you please provide more context or a translation?
7	1360	science/technology	प्राइड्स एक सँ तीन संबंधित वयस्क नर सभ, संग में बेसी-सँ-बेसी तीसटा मादा आ शावक सभ।	I'm sorry, but the text you provided is not in English and does not seem to be a news article. Could you please provide a news article for me to categorize?
8	1675	science/technology	हालांकि AI में विज्ञान कथाक एकटा मजबूत मतलब अछि, एआई कंप्यूटर विज्ञानक एकटा बहुत ही महत्वपूर्ण शाखा अछि, जे मशीन में व्यवहार, सीखय आ बुद्धिमान अनुकूलन सं संबंधित अछि।	"This news article is related to ""Science/Technology"" as it discusses Artificial Intelligence (AI), which is a significant branch of computer science."
9	1430	science/technology	एहि लेल ई प्रारूपक पक्षानुपात (सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करय कें लेल बारह सँ भाग देनाय) कें 3:2 कहल जैत अछि।	The text you provided is in Hindi and it seems to be related to Mathematics, specifically about ratios. However, you didn't provide a specific category from the list. Based on the content, it could potentially fit under 'Education'.
10	1907	science/technology	सैटेलाइट फोन आम रूप सँ मोबाइल फोनक प्रतिस्थापन नहि अछि किएकि फोन कॉल लेल अहां कें उपग्रह संग दृष्टिक स्पष्ट लाइन संग रहब आवश्यक होइत अछि।	"This news article is related to ""Science/Technology""."
11	1555	science/technology	हालांकि वैगनवे में केवल लकड़ीक समानांतर तख्त शामिल छल, ओ घोडा सब कें अधिक गति प्राप्त करय आ दिनक कनि बेसी उबड़-खाबड़ सड़क सभक तुलना में बेसी भार खींचय कें सुविधा देलक।	I'm sorry, but the text you've provided is in Hindi and doesn't seem to be related to any of the categories you've mentioned. Could you please provide more context or clarify your request?
12	1632	science/technology	लोक सब प्राचीन काल स मूल रासायनिक तत्वों जेना कि सोना, चांदी आ तांबक बारे में जानइत छलाह, कियाक त ई सब प्रकृति में मूल रूप स खोजल जा सकैत छैथ आ आदिम उपकरण सँ सुरंग खोदनाई अपेक्षाकृत आसान छल।	"This news article is related to ""Science/Technology""."
