index_id	category	text
431	geography	A Turchia a l’è circondâ da-o mâ in sce trei lati: o Mâ Egeo à Ponente, o Mâ Neigro à nòrd e o Mâ Mediterranio à sud.
403	science/technology	À l’iniçio da guæra viagiavan ciù che atro in superfice, ma quande radar o l’à comensou à sviluppâse e à diventâ ciù accurou son stæti constreiti à anâ sotta l’ægua pe evitâ de ëse visti.
1592	science/technology	Con l’ammermâse da conoscensa do grego, l’Occidente o s’è trovou taggiou feua da-e seu reixe filosòfiche e scientifiche greghe.
993	entertainment	À tutti i mòddi, an un atro tipo de bellessa e de fascinaçion durante l’inverno, quande tante staçioin de colliña reçeivan de boñe quantitæ de neive e dan a poscibilitæ de pratticâ de attivitæ comme o sci e o snowboard.
755	entertainment	Sti hotel ean o pòsto into quæ abitava i ricchi e i famoxi de l’epoca e soventi aveivan unna coxiña raffinâ e unna vitta notturna.
1936	politics	Do 1994 sto conflitto o l’à portou a-a creaçion de l’autoproclammâ Repubrica da Transnistria inta Moldavia de l’est, ch’a l’à o seu governo e a seu monæa, ma a no l’é reconosciua da nisciun stato membro de l’Union Europea.
1205	health	Danielle Lantagne, unn’esperta de Naçioin Unie in sciô mòrbo che l’é apreuvo à spantegâse, a l’à deciarou che con tutta probabilitæ a diffuxon da mouttia a l’é stæta provocâ da-e fòrse de paxe.
1692	geography	De grendi arie ciù à nòrd son ciutòsto pöco popolæ e çerte son sarvæghe e squæxi desabitæ.
280	politics	I organizzatoî da protesta an dito che pöcassæ 100.000 persoñe se son presentæ inte de çittæ tedesche comme Berlin, Colònia, Amburgo e Hannover.
247	politics	Sti agenti chì son responsabili de fornî governo e servixi giudiçiæ sotta l'articolo 247 da constituçion pakistaña.
1439	politics	Giusto apreuvo o scceuppo de ostilitæ, a Gran Bretagna a l’iniçia un blòcco navale da Germania.
1239	entertainment	“A l'é bella ben e a canta fiña ciutòsto ben” o l'à dito, segondo unna transcriçion da conferensa stampa.
743	geography	E Isoe Cook no an de çittæ ma son compòste da 15 isoe diverse. E prinçipæ son Rarotonga e Aitutaki.
18	politics	Gh'é stæto de proteste inte tutto o mondo, un muggio de proçedimenti penæ, e i cappi de governo de Islanda e Pakistan se son demissi tutti doî.
1344	science/technology	I iòni de idrògeno son di protoin che gh'an levou i elettroin (apreuvo che i atomi de idrògeno son compòsti da un proton e da un elettron).
688	travel	I vixitatoî con un tempo limitou faieivan megio à passâ o seu tempo da un atra parte.
556	science/technology	L’atomo o peu ëse consciderou un di elementi constitutivi primmäi da materia.
1645	science/technology	Un pö comme fâ arrigoâ un caro pesante in sce unna colliña. Dividendo torna o nucleo, donca, se rilascia parte de quell’energia.
907	science/technology	Pe-o sòlito propoñan unna banda ciù larga e un servixo de megio qualitæ. En criptæ, e donca ciù diffiçili da spionezzâ.
1071	politics	Ma o primmo ministro John Howard o l'à dito che l'atto o l'ea sôo che pe mantellezzâ e struttue de l'uspiâ da l'ëse declassæ da-o governo da Tasmania, into dâ un extra de AUD$45 mioin.
555	sports	I atleti peuan ritegnî de preferî un produto anche quande o no fornisce di benefiçi reali.
1203	health	Primma de l’arrivo de truppe, l’ea da l’Euttoçento che à Haiti no gh’ea di problemi ligæ a-o mòrbo.
58	politics	A poliçia a l'à dito che o Lo Piccolo o l'aiva o desciù, apreuvo ch'o l'ea stæto o brasso drito do Provenzano à Palermo e a seu ciù grande espeiensa a gh'à guagno o respetto de ciù vege geneaçioin di boss, dæto che perseguivan a politica do Provenzano de tegnîse o ciù basso che poeivan, tanto che menassavan a ræ do seu poei.
1764	travel	Pe de ciù, danni a mente che i ödî ciamman i orsci e di atri animæ sarvæghi, donca evita de transportâ ò preparâ di çibbi che fan ödô e mantëgni o campo netto.
195	sports	O Massa o l'aiva da arrestâ feua a-o manco pe-o resto da saxon 2009.
1785	travel	Prenotâ o viagio in antiçipo dà a-o viagiatô a tranquillitæ de avei un pòsto donde dormî, unna vòtta arrivou a destinaçion.
600	science/technology	I elementi e i compòsti peuan mesciâse da un stato à l’atro e no cangiâ.
553	sports	A corsa in sciâ media distansa o l’è un spòrt relativamente pöco costoso; con tutto, gh’è un muggio de idee erræ riguardo i pöchi pessi de equipaggiamento neçessäi pe parteçipâ.
1720	geography	O parco o creuve 19.500 km2 e o l’è spartio inte 14 diverse ecozöne, ògnña e quæ a suppòrta unna diversa fauna sarvæga.
1622	geography	O Rio de Amassoni o l’è o segondo sciumme o ciù longo e o ciù grande sciumme da Tæra. O transpòrta ciù de 8 vòtte l’agæa do segondo sciumme o ciù grande.
1441	politics	A Gran Bretagna a l’à minou e ægue internaçionæ pe impedî à chisesegge de intrâ inte çerte zöne de l’oceano, caxonando un peigo a-e nave neutrali ascì.
566	health	A vista, ò a capaçitæ de vedde, a dipende da-i òrgani sensoriali do scistema vixivo, ò euggi.
1515	science/technology	E distinte caratteristiche de l'Internet pòrtan à de dimenscioin azzontive in termini de deuvi e avvixinamento a-e gratificaçioin.
585	science/technology	Con tutto, i primmi vëi telescòpi son stæti realizzæ in Euröpa a-a fin do XVI secolo.
1689	geography	Ottawa a l’è l’affascinante capitale bilingue do Canada, e a presenta unna serie de gallerie d’arte e de musei che mostran o passou e o presente do Canada.
1256	health	A compoxiçion de sti crestalli chì a l'é pægia de quelle stæte attrovæ inte l'oeña di animæ, quande vëgnan confrontæ co-o spettroscòpio à infrarosci (FTIR).
60	science/technology	O CEO da Apple, Steve Jobs, o l'à presentou o dispoxitivo in camminâ in sciô parco e in tiâ feua l'iPhone de d'inta stacca di seu jeans.
32	sports	Tòsto che e machine davanti a-o Alonso son anæte à pe carburante sotta a machina de seguessa, lê o l'à scompassou o groppo pe piggiâ a vittöia.
1411	politics	Inta guæra rivoluçionäia i trezze stati forman pe-a primma vòtta un governo centrale debole – co-o Congresso comme unico componente – segondo o Statuto da Confederaçion.
13	sports	O Nadal o l'à misso in stacca l'88% netto de ponti inta partia, con guägnâ 76 ponti into primmo servixo.
1941	travel	E larghe allee, i palaçi co-e facciæ de veddro e i moderni çentri commerciali en pontezzæ da-i tradiçionali teiti à coppi rosci, da-o mercou do secolo dixeutto e da vege moschee e gexe, sciben che a çittæ a l’à ciù unn’atmosfera da Euröpa mediterranea che da Turchia tradiçionale.
732	sports	Whistler (à 1 oa e meza de machina da Vancouver) o l’è cao ma famoso graçie a-e Olimpiade d’inverno do 2010.
871	entertainment	Impi a teu casa con un ricco caffè a-a mattin e unna rilassante camamilla a seia.
886	geography	L'Antartico o l'é o ciù freido pòsto in sciâ Tæra, e o circonda o Pölo Sud.
362	science/technology	Apreuvo de çentanæe de oe de fonçionamento, o fiamento da lampadiña in sciâ fin o se bruxa e a lampadiña a no fonçioña ciù.
1578	health	Controllâ o bugiardin pe-e instruçioin de pronto soccorso specifiche pe quello venin specifico.
996	travel	Inte tutti i caxi beseugna prenottâ direttamente con unna ciammâ telefònica a-a compagnia.
197	health	E condiçioin do prescidente en stabili, ma o l'é stæto isoou à cà pe ben ben de giorni.
460	entertainment	E ciù tante televixoin son fæte in mòddo da contentâ o pubrico generale.
154	geography	Tra e 24.000 meteorite conosciue che seggian cheite in sciâ tæra, solo che 34 son stæte verificæ d'ëse marçiañe d'origine.
1160	politics	Dòppo che i addetti an verificou l'identitæ do votante, o votante o caccia a busta inte l'urna e o firma o ròllo de voto.
1223	entertainment	An scassou o tour apreuvo che o cantante leader Steven Tyler o l'é arrestou feio, dòppo ch'o l'é cheito d'in scena tanto ch'o s'exibiva a-i 5 d'agosto.
54	politics	O Peter Costello, tesoê australian e òmmo ciù favoio à succede a-o primmo ministro John Howard comme cappo do partio Liberal o l'à manifestou a seu adexon pe unna industria à energia nucliâ inte l'Australia.
7	politics	A protesta a l'é comensâ verso e 11,00 oa locale (UTC+1) à Whitehall, pe contra à l'intrâ sorveggiâ da-a Poliçia de Downing Street, a rescidensa offiçiâ do Primmo Ministro.
1010	sports	L'USA Gymnastics a sostëgne a lettia da Commiscion Olimpica di Stati Unii e a l'açetta l'assolua neçescitæ che a famiggia olimpica a promeuve un ambiente san pe tutti i nòstri atleti.
1174	sports	O pontezzo finâ o l'é stæto unna vittöia d'un ponto, 21 à 20, con mette fin a-a serie de 15 partie di All Blacks.
1202	health	Segondo e inchieste, a rumenta de l’accampamento de Naçioin Unie a no l’é stæta desinfettâ correttamente; de conseguensa saiæ introu di bacilli into sciumme Artibonite, un di ciù grendi d’Haiti.
958	travel	Nisciuña combinaçion de compagnie aeree a creuve e traversæ inte tutti trei i oçeani inte l’emisfëio sud (e SkyTeam a no creuve nisciuña de traversæ).
