	index_id	category	text	gpt-3
0	1523	science/technology	त्परिवर्तन से नई आनुवंशिक विभिन्नता जुड़त है अऊर चयन व्यक्त भिन्नता का समूह से हटाई देत है।	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English so that I can assist you?
1	1644	science/technology	विखंडन बम इ सिद्धांत पर काम करत है कि कईयो प्रोटॉन अऊर न्यूट्रॉन का नाभिक मा एक साथ रखय का लिए ऊर्जा की ज़रूरत होत है।	This piece of news seems to be related to science/technology, specifically discussing the concept of nuclear fusion and the need for energy in combining protons and neutrons.
2	558	science/technology	नाभिक मा द्वि तरह का कण न्यूट्रॉन अऊर प्रोटॉन होत हैं।	This piece of news appears to be related to science/technology. It discusses the existence of two types of particles, neutrons and protons, in the nucleus.
3	456	science/technology	एके वजह से ज़ूम लेंस द्वारा बना चित्र लगभग एक निश्चित फोकल लंबाई वाले लेंस द्वारा बने चित्र का तरह होए लाग।	This appears to be a piece of news regarding science/technology, specifically about zoom lenses and their ability to capture images with a certain focal length.
4	906	science/technology	इ कईयो कारण से वेब प्रॉक्सी से बेहतर होत हैं। इ http ही नाहीं, बल्कि सब इंटरनेट ट्रैफ़िक का रूट बदल देत हैं।	I'm sorry, but the provided text does not appear to be a news article. It seems to be written in Hindi and discusses the advantages of using web proxies.
5	452	science/technology	इंटरैक्टिव डिज़ाइन ताइन ई जरुरी है कि आप मीडिया उत्पादन का बारे मा आपन विचार का पुनर्मूल्यांकन करैं और गैर-परंपरागत तरीके से सोचब सीखैं।	"This sentence appears to be in Hindi and translates to: ""Interactive design is important for you to reassess your thoughts on media production and learn to think in unconventional ways."" Based on this translation, it does not seem to be a piece of news but rather a statement or opinion about interactive design and media production."
6	1557	science/technology	इ सामान्य बात होई ग लेकिन लोहा की वजह से वैगनन का लकड़ी का पहियन पर बहुत अधिक घिसाव होये लगा।	Based on the provided text, it is difficult to determine the specific category of the news article.
7	1360	science/technology	प्राइड मा एक से तीन वयस्क पुरुष, अउर कुल तीस मादा अउर शावक होथीं।	I'm sorry, but I cannot categorize the news article based on the provided text. Could you please provide more information or context about the article?
8	1675	science/technology	हालांकि,विज्ञान की दुनिया मा AI काफी अहम है। AI कंप्यूटर विज्ञान एक बहुत ही महत्वपूर्ण शाखा बनावत है। एकर काम  मशीन मा व्यवहार का पढ़ब, सीखब अऊर बुद्धि ग्रहण करब है।	This is a piece of news regarding science/technology. It discusses the importance of AI (Artificial Intelligence) in the world of science and how it is a significant branch of computer science. It mentions how AI machines can learn, behave, and make intelligent decisions.
9	1430	science/technology	ई लिए ई प्रारूप का अभिमुखता अनुपात (सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करै खातिर बारह से भाग दे पर) का 3:2 कहा जाथे।	I'm sorry, but I am unable to understand the language you used. Can you please rephrase your question in English?
