index_id	category	text
797	technology	Kana nge me kwenda mobembo ti ordinateur portable to tablette, bumba kopie mosi na kati ya memoire nayo to na disk (ya kukota kana Internet kele ve).
830	travel	Na bandilu ya ba insi na kati ya masini ntalulu ya passeport ke kusalamaka na ntangu ina masini ke na kutambula na nge fawana vanda na Mukanda ya nzietelo ya kudelakana kana nge kele na ku sala ndietolo na masini ya mutindu yina.
150	business	Bakala na zina ya Richard Branson's Virgin ya kikunku ya Virgin songaka nzila ya kubika dyambu ya kusala ti nzo ya Kibumbulu mbongo kuvanda kaka dyambu ya bana ya insi.
1806	travel	Bambisi ya nkaka, mutindu nzawu na zilafe, ke mekaka kupusana na ntwala bakamio na kisadilu yina ke pesaka nzila na kutala mbote bizizi.
902	disasters	Kimbogila ya nene ketelamaka mpi kuzungana na ngolo ya mupepe ya malembe yina ke zunganaka na zulu na kati mpi na nganda.
1225	sports	Del Potro ya vandaka ti dibaku ya mbote na kitambi ya mbala ya zole, kansi yo lombaka kuluta na makongo na na nima ya kukuma na 6-6.
1342	science	Masa ya lesu ke sobaka kifwani na kutala kiteso ya acide to ya ntoto ke na chimie.
1959	nature	Parc national ya laki ya Plitvice yo ke vandaka ti nfinda, mingimingi banti ya nene, baepinete, mpi yo ke vandaka ti nfinda to bimenina ya alpine ti méditerranée.
341	business	"Na yai ke tala dikambu ya mbongo na ntoto ya mvimba, Zapatero ya landaka na kutuba nde ""systeme ya mumbongo kele na kati ya économie, kitini mosi ya mfunu mingi."
352	science	Muvuzi ya bantu ke bandaka sambu ba molécule ya masa na zulu ya masa yokesanganaka sambu yo kele ba molecule ya mupepe ve yayi ke vandaka na zulu na yo mosi.
448	nature	Konso mvula na Octobre bambisi ya ke diaka matiti kiteso ya bamilio1,5 ke kwendaka na banseke ya sude, bo ke sabukaka Nzadi mara, bo ke katulaka na bisika ya bangumbaya norde, bo ke kwendaka kuvingila bamvula.
386	politics	Ntotila Sejong vandaka mfumu ya iya ya kimfumu ya Joseon mpi mosi ya bamfumu yina zabanaka mingi.
1438	religion	Kiyeka ya nene ya dibundu ke vandaka na Roma na nsungi ya kuluta funda mosi mpi kiyeka yina ya kele kisika mosi mpi mbongo yina me pusaka bantu mingi na kutula ntembe kana bo ke lungisaka lukanu yina.
394	politics	"Kansi Royal Navy kuvandaka ngolo mingi kuluta Marine ya ba Allemand (""Kriegsmarine"") mpi yo lendaka kubebisa bamaswa yonso ya bo tindaka na Manche."
1977	education	Yo ke mfunu ya kutuba ve, kana nge kuzaba ndinga ya romance, yo ta vanda pete sambu na kulonguka Portugese.
1719	nature	Parc national Kruger (KNP) yo kele na nord-est ya Afrika ya Sudi ti nsinga na ndelo ya Mozambique ya Este, ya Zimbabwe na norde ti ndelo ya sudi kele masa ya bangandu.
29	crime	Bo tulaka tiya na boloko ya Abu Ghraib ya Iraq ntangu bantu salaka mubulu.
845	entertainment	"Kansi, bubu yai, kele ti ba graffeurs ya me zabanaka, bafete ya ba graffitis mpi bibaka ya ""nsiku ke ndimaka."" Ba graffitis na mutindu yai me fwanana mingi ti bisalu ya art kansi ve na bima ya ke monana."
165	crime	Bantu ya mwvanzi kumaka na Mumbai na maswa na ngond ya kumi na mosi na kilumbu ya 26, 2008, bo nataka bingundu, minduki ya otomatike, kubulaka bisika vandaka bantu mingi, mutindu nzila ya masini na Chhatrapati Shivaji Terminus na nzo ya zabakana mingi Taj Mahal Hotel.
261	business	Nigéria ya tuba nde ya kele zola kukota na ZLECAf na mposo yayi kulandaka dikita.
531	sports	Bo ke sadilaka mabulu kumi na nana mbala mingi, ebuna yo ke lombaka ba joueur kuyantika na dibulu ya ntete mpi kumanisa na dibulu ya kumi na nana.
1599	nature	Bansoba lenda vanda ti bupusi ya kuswaswana na kutadila mutindu ya nsoba, mfunu ya kima ya menga yina yo simbaka mpi kana baselile ya simbaka kele yina ke butaka.
428	geography	Teritware ya Turquie kele bakilometre kuluta 1600 (1000 miles) na nda ti 800 km (500 miles) na nene, mpi yo kele bonso rectangle.
1206	health	Hamilton tubaka nde hôpital universitaire Howard yo tulaka bantu ya maladi na mpila mosi ya mbote.
