index_id	category	text
797	technology	यदि लैपटॉप या टैबलेट के साथ यात्रा कर रहे हैं तो मेमोरी या डिस्क (इंटरनेट के बिना एक्सेस की जा सकने वाली) में एक कॉपी स्टोर करें.
830	travel	कुछ क्रॉस-बॉर्डर ट्रेनों में निरीक्षण चलती हुई ट्रेन में किया जाता है और उन ट्रेनों में से किसी एक पर सवार होने पर आपके पास वैध आईडी होनी चाहिए.
150	business	सर रिचर्ड ब्रैनसन के वर्जिन समूह ने उन बैंको के लिए बोली लगाई थी जिन्हे राष्ट्रीयकरण से पहले अस्वीकार कर दिया गया था।
1806	travel	हाथी और जिराफ़ जैसे कुछ जानवर, कारों के बहुत करीब चले आते हैं और मानक उपकरण से अच्छा नज़ारा दिखाई देगा.
902	disasters	बवंडर बहुत कम दबाव वाली हवा का एक घुमता हुवा स्तंभ होता है, जो आसपास की हवा को अंदर और ऊपर की तरफ खींचता है।
1225	sports	डेल पोत्रो के पास दूसरे सेट की शुरुआत में एडवांटेज था, लेकिन 6-6 पर पहुँचने के बाद इसमें भी टाई ब्रेक की आवश्यकता थी.
1342	science	गोभी का जूस अम्लीय या आधारभूत (क्षारीय) रसायन के आधार पर रंग बदलता है.
1959	nature	प्लिटवाइस नेशनल पार्क घने जंगल से घिरा है, जहाँ मुख्य रूप से बीच, स्प्रूस और फ़र के पेड़ लगे हुए हैं, और यहां अल्पाइन और भूमध्य वनस्पति मिलती हैं.
341	business	वैश्विक वित्तीय स्थिति के बारे में, ज़ापात्रो ने कहा कि “वित्तीय प्रणाली अर्थव्यवस्था का एक महत्वपूर्ण हिस्सा है”.
352	science	सतही तनाव इसलिए होता है क्योंकि पानी की सतह पर पानी के कण आपस मे एक-दूसरे से बहुत ज्यादा तेज़ी से आकर्षित होते हैं, जितना कि वे पानी के ऊपर मौजूद वायु के कणो से होते है ।
448	nature	हर साल अक्टूबर महीने के आस-पास, लगभग 1.5 मिलियन शाकाहारी जीव-जन्तु बारिश के लिए उत्तरी पहाड़ियों से होते हुए, मारा नदी को पार करके दक्षिणी मैदानों की ओर जाते हैं.
386	politics	किंग सेजोंग जोसन राजवंश के चौथे राजा थे और सबसे सम्माननीय माने जाते हैं.
1438	religion	रोम में चर्च का केंद्रीय प्राधिकरण एक हज़ार से भी ज़्यादा सालों से है और ताकत और पैसे के इस तरह एक ही जगह पर केंद्रित होने से कई लोगों के मन में सवाल है कि यह सिद्धांत पूरा हो रहा था या नहीं.
394	politics	लेकिन रॉयल नेवी अभी भी जर्मन नेवी (“क्रिग्समरीन”) की तुलना में ज़्यादा मज़बूत थी और अंग्रेज़ी चैनल में भेजी गई किसी भी आक्रमण करने वाली नौसेना को नष्ट कर सकती थी.
1977	education	यह कहने की कोई ज़रूरत नहीं कि यदि आप रोमांस लैंग्वेज़ जानते हैं, तो आपके लिए पुर्तगाली सीखना आसान होगा.
1719	nature	क्रूगर नेशनल पार्क (केएनपी) दक्षिण अफ्रीका के उत्तर-पूर्व में स्थित है ,पूर्व में मोजाम्बिक की सीमा के साथ-साथ उत्तर में जिम्बाब्वे और दक्षिणी सीमा पर क्रोकोडाइल नदी है।
29	crime	इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।
845	entertainment	हालाँकि, आजकल स्थापित भित्तिचित्र कलाकार, भित्तिचित्र कार्यक्रम और “वैध” दीवारें उपलब्ध हैं। इस संदर्भ में भित्तिचित्र अक्सर अवैध होने के बजाय कलाकृतियों से मिलते जुलते दिखते हैं।
165	crime	26 नवम्बर 2008 को मुंबई के हमलावर नाव के द्वारा पहुँचे और अपने साथ ग्रेनेड, स्वचालित हथियार लेकर आए और भीड़भाड़ वाले छत्रपति शिवाजी टर्मिनस रेलवे स्टेशन और प्रसिद्ध ताज महल होटल सहित कई ठिकानों पर हमला किया।
261	business	पूर्व में नाइज़ीरिया ने समिट से पहले सप्ताह में AfCFTA में शामिल होने की योजना की घोषणा की थी.
531	sports	अठारह छेद एक नियमित दौर के दौरान खेले जाते हैं, खिलाड़ी आमतौर पर मैदान के पहले छेद से शुरू करते हैं और अठारहवें पर समाप्त करते हैं.
1599	nature	म्यूटेशन की किस्मों, प्रभावित जेनेटिक मटेरियल के टुकड़े का महत्व और इस बात पर कि क्या प्रभावित सेल्स जर्म-लाइन सेल्स हैं, इसके आधार पर म्यूटेशन का कई तरह से अलग-अलग प्रभाव होता है.
428	geography	तुर्की का क्षेत्रफल 1,600 किलोमीटर (1,000 मीटर) लंबा और 800 किमी (500 मील) चौड़ा है, जिसकी आकृति आयताकार है.
1206	health	हैमिल्टन ने पुष्टि की कि हॉवर्ड यूनिवर्सिटी अस्पताल ने मरीज को स्थिर हालत में भर्ती किया।
277	politics	मैसाचुसेट्स के पूर्व गवर्नर मिट रोमनी ने मंगलवार को 46 प्रतिशत वोट के साथ, फ्लोरिडा रिपब्लिकन पार्टी का राष्ट्रपति प्राथमिक चुनाव जीत लिया.
2	disasters	स्थानीय समय (0230 UTC) के मुताबिक करीब 9:30 बजे JAS 39C Gripen रनवे पर धमाके के साथ दुर्घटनाग्रस्त हो गया, जिसकी वजह से वाणिज्यिक उड़ानों के लिए हवाई अड्डे को बंद कर दिया गया.
719	geography	डोमिनिकन गणराज्य (स्पैनिश भाषा में: República Dominicana) एक करैबियाई देश है. डोमिनिकन गणराज्य और हैती का संयुक्त रूप से हिस्पैनियोला आइलैंड के पूर्वी क्षेत्र पर अधिकार है.
