index_id	category	text
431	geography	It-Turkija hija mdawra bl-ibħra fuq tliet naħat: il-Baħar Eġew fil-Punent, il-Baħar l-Iswed fit-Tramuntana u l-Baħar Mediterran fin-Nofsinhar.
403	science/technology	Meta bdiet il-gwerra, huma vvjaġġaw l-aktar fuq il-wiċċ tal-baħar, iżda hekk kif ir-radar beda jiżviluppa u jsir aktar preċiż is-sottomarini ġew sfurzati jidħlu taħt l-ilma biex jevitaw li jidhru.
1592	science/technology	Meta naqas l-għarfien tal-lingwa Griega, il-Punent sab ruħu maqtugħ mill-għeruq Griegi filosofiċi u xjentifiċi tiegħu.
993	entertainment	Madankollu, għandhom tip ta’ sbuħija u ta’ seħer differenti fix-xitwa, fejn ħafna stazzjonijiet tal-għoljiet jirċievu ammonti normali ta’ borra u joffru attivitajiet bħal skijar u snowboarding.
755	entertainment	Dawn il-lukandi kienu l-postijiet li jienu joqogħdu fihom is-sinjuri u n-nies famużi ta' dak iż-żmien, u spiss kellhom ikel tajjeb u divertiment tul il-lejl.
1936	politics	Fl-1994, dan il-kunflitt wassal għall-ħolqien tar-Repubblika tat-Transnistrija awtoproklamata fil-Lvant tal-Moldova, li għandha l-gvern u l-munita tagħha stess iżda ma hi rikonoxxuta minn ebda pajjiż membru tan-NU.
1205	health	Danielle Lantagne, esperta tan-NU dwar il-marda, qalet li t-tifqigħa kienet probabbilment ikkawżata mill-gwardjani tal-paċi.
1692	geography	Inħawi kbar iktar lejn it-Tramuntana għandhom popolazzjoni pjuttost skarsa u xi wħud huma nħawi fi stat naturali kważi diżabitati.
280	politics	L-organizzaturi tal-protesta qalu li kien hemm madwar 100,000 persuna fi bliet Ġermaniżi bħal Berlin, Cologne, Hamburg, u Hanover.
247	politics	Dawn l-aġenti għandhom responsabbiltà biex jipprovdu servizzi governattivi u ġudizzjarji skont l-Artikolu 247 tal-Kostituzzjoni Pakistana.
1439	politics	Ftit wara li faqqgħu l-ostilitajiet, il-Gran Brittanja bdiet imblokk navali tal-Ġermanja.
1239	entertainment	"Hi ħelwa ħafna u tkanta pjuttost tajjeb ukoll,"" qal skont traskrizzjoni tal-konferenza tal-aħbarijiet."
743	geography	Il-Gżejjer Cook m’għandhom ebda bliet iżda huma magħmulin minn 15-il gżira differenti. Dawk ewlenin huma Rarotonga u Aitutaki.
18	politics	Kien hemm protesti madwar id-dinja, diversi prosekuzzjonijiet kriminali, u l-mexxejja tal-gvernijiet tal-Iżlanda u l-Pakistan it-tnejn irriżenjaw.
1344	science/technology	Il-joni tal-idroġenu huma protoni li kellhom l-elettroni tagħhom imneħħija minn magħhom (peress li l-atomi tal-Idroġenu jikkonsistu fi proton wieħed u elettron wieħed).
688	travel	Il-viżitaturi b'ħin limitat jaqblilhom iqattgħu il-ħin tagħhom x'imkien ieħor.
556	science/technology	L-atomu jista’ jitqies bħala wieħed mill-elementi fundamentali għall-bini tal-materja kollha.
1645	science/technology	B'mod simili bħal meta timbotta karrettun tqil fuq telgħa. Il-qsim tan-nukleu mill-ġdid imbagħad jirrilaxxa ftit minn dik l-enerġija.
907	science/technology	Normalment huma joffru bandwidth ogħla u kwalità aħjar tas-servizz. Huma kkriptati u għalhekk aktar diffiċli biex jispjunawhom.
1071	politics	Iżda l-Prim Ministru John Howard qal li l-att sar biss biex jipproteġi lill-faċilitajiet tal-isptar milli jiġu degradati mill-gvern ta' Tasmanja', billi ngħataw AUD$45 miljun żejda.
555	sports	L-atleti jistgħu jħossu li jippreferu prodott anke jekk ma jipprovdi ebda benefiċċji reali.
1203	health	Qabel il-wasla tat-truppi, il-Haiti ma kienx iltaqa’ ma’ problemi relatati mal-marda sa mis-snin 1800.
58	politics	Il-Pulizija qalet li Lo Piccolo kellu l-vantaġġ għax kien l-assistent l-iktar qrib Provenzano ġewwa Palermo u l-esperjenza kbira tiegħu rebħitlu r-rispett tal-ġenerazzjoni iktar anzjana tal-kapijiet kif segwew il-politika ta’ Provenzano li jżommu profil kemm jista’ jkun baxx waqt li jsaħħu n-netwerk tal-poter tagħhom.
1764	travel	Madankollu, għandek tkun taf li l-irwejjaħ jiġbdu lill-orsijiet u annimali selvaġġi oħra, mela evita li ġġorr jew issajjar ikel b’irwejjaħ qawwijin u żomm il-kamp nadif.
195	sports	Massa għandu jibqa’ barra għal mill-inqas il-kumplament tal-istaġun tal-2009.
1785	travel	Jekk jibbukkja minn qabel, il-vjaġġatur ikollu moħħu mistrieħ li se jkollu x’imkien fejn jorqod malli jasal fid-destinazzjoni tiegħu.
600	science/technology	L-elementi u l-komposti jistgħu jiċċaqalqu minn stat għal ieħor u ma jinbidlux.
553	sports	Il-ġiri fid-distanza medja huwa sport relattivament irħis; madankollu, hemm ħafna kunċetti żbaljati rigward il-ftit biċċiet ta’ tagħmir meħtieġa biex tipparteċipa.
1720	geography	Il-park huwa mifrux fuq 19,500 km² u huwa maqsum f'14-il ekożona differenti, u kull waħda fiha annimali selvaġġi differenti.
1622	geography	Ix-Xmara tal-Amażonja hija t-tieni l-itwal u l-ikbar xmara fid-Dinja. Hija ġġorr iktar minn 8 darbiet l-ilma tat-tieni l-ikbar xmara.
1441	politics	Il-Gran Brittanja mminat l-ilmijiet internazzjonali biex timpedixxi lill-vapuri milli jidħlu f’sezzjonijiet sħaħ tal-oċean, u b’hekk ikkawżat periklu anke għal vapuri newtrali.
566	health	Il-vista, jew l-abilità li tara tiddependi fuq l-organi sensorjali tas-sistema viżwali jew l-għajnejn.
1515	science/technology	Il-karatteristiċi distinti tal-Internet iwasslu għal dimensjonijiet addizzjonali f’termini tal-approċċ tal-użi u s-sodisfazzjonijiet.
585	science/technology	Madankollu, l-ewwel teleskopji veri saru fl-Ewropa fl-aħħar tas-seklu 16.
1689	geography	Ottawa hija l-belt kapitali inkantevoli u bilingwi tal-Kanada u fiha firxa ta’ galleriji tal-arti u mużewijiet li juru l-passat u l-preżent tal-Kanada.
1256	health	Il-kompożizzjoni ta’ dawn il-kristalli taqbel ma’ dawk misjuba fl-awrina ta’ annimali domestiċi affettwati meta mqabbla permezz ta’ spettroskopija infraaħmar (FTIR).
60	science/technology	Is-CEO tal-Apple, Steve Jobs, żvela t-tagħmir billi tela’ fuq l-istejġ u ħareġ l-iPhone mill-but tal-jeans tiegħu.
32	sports	Meta l-karozzi ta’ quddiem Alonso daħlu biex jieħdu l-fjuwil taħt il-karozza tas-sigurtà, huwa qabeż ’il quddiem biex jieħu r-rebħa.
1411	politics	Matul il-Gwerra Rivoluzzjonarja, it-tlettax-il stat l-ewwel iffurmaw gvern ċentrali dgħajjef—fejn il-Kungress kien l-uniku komponent tiegħu—taħt l-Artikoli tal-Konfederazzjoni.
13	sports	Nadal akkwista 88% tal-punti netti fil-logħba u rebaħ 76 punt fl-ewwel serve.
1941	travel	Il-boulevards wesgħin, bini bil-faċċati tal-ħġieġ u ċentri moderni tal-ħwienet huma ttikkjati bi bjut tradizzjonali bil-madum aħmar, is-suq tas-seklu 18, u l-moskej u l-knejjes qodma, għalkemm il-belt għandha atmosfera aktar ta’ Ewropa Mediterranja mit-Turkija tradizzjonali.
732	sports	Whistler (1.5 siegħa sewqan minn Vancouver) huwa għali imma huwa magħruf ħafna minħabba l-Olimpijadi tax-xitwa tal-2010.
871	entertainment	Imla darek b’kafè qawwi filgħodu u te tal-kamomilla rilassanti filgħaxija.
886	geography	L-Antartika hija l-aktar post kiesaħ fid-Dinja, u hija mdawra mal-Pol tan-Nofsinhar.
362	science/technology	Wara mijiet ta' sigħat ta' tħaddim il-filament fil-bozza eventwalment jinħaraq u l-bozza tad-dawl ma taħdimx aktar.
1578	health	Iċċekkja t-tikketta għal struzzjonijiet speċifiċi tal-ewwel għajnuna għal dak il-velenu speċifiku.
996	travel	Fil-każijiet kollha, trid tibbukkja mal-linja tal-ajru direttament bit-telefon.
197	health	Il-kundizzjoni tal-president hija stabbli, għalkemm huwa se jkun iżolat id-dar għal diversi jiem.
460	entertainment	Ħafna televiżjonijiet isiru b’tali mod li l-pubbliku ġenerali jogħġbuh.
154	geography	Mill-madwar 24,000 meteoriti magħrufin li waqgħu fid-Dinja, madwar 34 biss ġew ivverifikati li għandhom oriġini marzjana.
1160	politics	Wara li l-uffiċjali jivverifikaw l-identità tal-votant, il-votant jixħet l-envelop fil-kaxxa tal-voti u jiffirma l-lista tal-ismijiet tal-votanti.
1223	entertainment	Huma kkanċellaw it-tour wara li l-kantant ewlieni Steven Tyler weġġa' wara li waqa' minn fuq il-palk meta kien qed idoqq fil-5 ta' Awwissu.
54	politics	Peter Costello, teżorier Awstraljan u r-raġel li x’aktarx jilħaq wara l-Prim Ministru John Howard bħala l-kap tal-partit Liberali tefa’ l-appoġġ tiegħu wara industrija tal-enerġija nukleari fl-Awstralja.
7	politics	Il-protesta bdiet għal ħabta tal-11:00 ħin lokali (UTC+1) fuq Whitehall quddiem id-daħla mgħassa mill-pulizija għal Downing Street, ir-residenza uffiċjali tal-Prim Ministru.
1010	sports	Il-USA Gymnastics tappoġġja l-ittra tal-Kumitat Olimpiku tal-Istati Uniti u taċċetta l-ħtieġa assoluta tal-familja Olimpika li tippromwovi ambjent sikur għall-atleti kollha tagħna.
1174	sports	Il-punteġġ finali kien rebħa ta’ punt wieħed, 21 għal 20, li temm il-15-il sensiela ta’ rebħiet ta’ logħob tal-All Blacks.
1202	health	Skont il-kawża, l-iskart mill-kamp tan-NU ma kienx issanitizzat sewwa, u dan ikkawża li l-batterji jidħlu fit-tributarja tax-Xmara Artibonite, waħda mill-akbar ta' Ħaiti.
958	travel	Ebda alleanza tal-linja tal-ajru ma tkopri t-tliet traversati tal-oċean fl-Emisferu tan-Nofsinhar (u SkyTeam ma tkopri l-ebda wieħed mill-traversati).
354	science/technology	Ix-xafra fuq skejt tas-silġ moderna għandha tarf doppju b’ħofra konkava bejniethom. Iż-żewġt itruf jippermettu kontroll aħjar tas-silġ, anke meta jkunu mmejjlin.
505	science/technology	Hemm aspetti pożittivi għal dawn is-siti web, li jinkludu li tkun tista' faċilment toħloq paġna tal-klassi li tista' tinkludi blogs, vidjows, ritratti, u karatteristiċi oħra.
1333	science/technology	Dan juża teknoloġija bbażata fuq is-satellita għall-kuntrarju ta’ teknoloġija antika bbażata fuq ir-radar tal-art biex jippermetti lill-kontrolluri tat-traffiku tal-ajru jidentifikaw inġenji tal-ajru bi preċiżjoni akbar u jagħti lill-bdoti informazzjoni aktar preċiża.
1173	sports	L-Afrika t’Isfel rebħu lill-All Blacks (New Zealand) f’logħba tat-Tri Nations tal-unjoni tar-rugby fir-Royal Bafokeng Stadium ġewwa Rustenburg, l-Afrika t’Isfel.
945	travel	Il-Vikingi użaw ir-rotot fuq l-ilma Russi biex jaslu sal-Baħar l-Iswed u l-Baħar Kaspju. Partijiet minn dawn ir-rotot għadhom jistgħu jintużaw. Iċċekkja jekk potenzjalment hemmx bżonn ta' permessi speċjali, li jistgħu jkunu diffiċli biex jinkisbu.
1012	sports	Il-USA Gymnastics tappoġġja investigazzjoni indipendenti li tista' titfa' dawl dwar kif l-abbuż tal-proporzjon deskritt b'tant kuraġġ minn dawk li salvaw minn Larry Nassar baqa' ma nkixifx għal tant żmien u tħaddan kwalunkwe bidla meħtieġa u xierqa.
712	travel	Iktar minn 60 vapur tal-kruċieri jaħdmu fl-ilmijiet tal-Galapagos - li jvarjaw fid-daqs ta’ bejn 8 sa 100 passiġġier.
1654	science/technology	Żewġ teoriji tal-kontenut popolari huma t-Teorija tal-Ġerarkija tal-Ħtiġijiet ta' Maslow u t-Teorija taż-Żewġ Fatturi ta' Hertzberg.
76	politics	"Madankollu, huwa tenna l-istqarrija li kien għamel qabel li Roe vs Wade kienet ""ġurisprudenza stabbilita tal-pajjiż"", u enfasizza l-importanza ta’ deċiżjonijiet konsistenti tal-Qorti Suprema."
637	science/technology	Erba’ snin wara ngħatat privattiva, li kienet l-ewwel privattiva tad-dinja maħruġa fil-qasam tal-MRI.
1694	geography	Il-Gżejjer tal-Afrika tal-Lvant jinsabu fl-Oċean Indjan barra mill-kosta tal-Lvant tal-Afrika.
1559	travel	L-ewwel mezz tat-trasport magħruf kien il-mixi, il-bnedmin bdew jimxu bil-wieqfa żewġ miljuni ta’ snin ilu meta tfaċċa Homo Erectus (li tfisser bniedem bil-wieqfa).
679	geography	Victoria Falls hija belt fil-parti tal-Punent taż-Żimbabwe, kif taqsam il-fruntiera minn Livingstone, fiż-Żambja, u qrib il-Botswana.
1049	politics	Ir-Rapport jibda b'talba għal dibattitu miftuħ u l-formazzjoni ta' kunsens fl-Istati Uniti dwar il-politika rigward il-Lvant Nofsani.
557	science/technology	Hija entità kumplessa ħafna li tikkonsisti, skont mudell simplifikat ta’ Bohr, f’nukleu ċentrali orbitat minn elettroni, kemmxejn simili għal pjaneti li jduru madwar ix-xemx - ara l-Figura 1.1.
194	sports	Il-Brażiljan sofra ġrieħi serji f’rasu wara li ħabat waqt il-Grand Prix tal-Ungerija tal-2009.
1103	science/technology	Ir-riżultat tal-analiżi tal-ipplottjar se jitqiegħed f'sit web pubbliku.
1009	health	Fil-prova PALM, ZMapp serva bħala kontroll, li jfisser li x-xjentisti użawh bħala linja bażi u qabblu t-tliet trattamenti l-oħra miegħu.
20	politics	Hsieh implika matul l-elezzjoni li Ma jista’ jaħrab mill-pajjiż fi żmien ta’ kriżi.
1700	travel	Nisa: Huwa rrakkomandat li kwalunkwe mara li qed tivvjaġġa tgħid li hija miżżewġa, hu x'inhu l-istat attwali tagħha rigward iż-żwieġ.
