index_id	category	text
431	geography	ប្រទេសទួរគីមាន​ព័ទ្ធ​ជុំ​វិញ​ដោយ​សមុទ្រ​នៅទិសទាំងបី គឺសមុទ្រ អ៊ែរហ្គីន (Aegean) នៅខាងលិច​សមុទ្រខ្មៅនៅខាងជើង និង​សមុទ្រ​មេឌីទែរ៉ាណេ​នៅខាងត្បូង។
403	science/technology	នៅ​ពេល​​ចាប់ផ្ដើមសង្គ្រាមដំបូង​ ភាគច្រើន​ នាវា​មុជ​ទឹក​បានធ្វើដំណើរ​នៅ​លើផ្ទៃ​ទឹកសមុទ្រ ប៉ុន្តែនៅពេលដែលរ៉ាដាត្រូវ​បាន​ផលិត​ឡើង​ ​​និងអាច​ចាប់​ទី​តាំង​បាន​សុក្រឹតល្អ​ ​នាវាមុជទឹក​បានបង្ខំ​ឱ្យ​មុជចុះ​ក្រោមទឹក ដើម្បីជៀសវាងការមើលឃើញ។
1592	science/technology	នៅពេលដែលចំណេះដឹងនៃក្រិកបានចុះអន់ថយ លោកខាងលិចបានផ្តាច់ខ្លួនចេញពីឫសគល់ទស្សនវិជ្ជា និងវិទ្យាសាស្ត្រក្រិក។
993	entertainment	ទោះជាយ៉ាងណាក៏ដោយ ពួកគេ​មាន​ភាពស្រស់ស្អាត និង​ភាព​ទាក់ទាញ​ខុសៗ​គ្នា​នៅ​រដូវរងារ ដែល​មានស្ថានីយ៍​ភ្នំជាច្រើន​ទទួលបានបរិមាណ​ព្រិល​ល្អៗ និងអំណោយផល​សម្រាប់​សកម្មភាព ដូចជា​ការជិះស្គី និង​ជិះ​ក្តារ​លើ​ទឹកកក។
755	entertainment	សណ្ឋាគារទាំងនេះ គឺជាកន្លែងដែលអ្នកមាន និងអ្នកល្បីល្បាញបានមកស្នាក់នៅ ហើយជារឿយៗ​ពួកគេបរិភោគ​អាហារពេលល្ងាច និងរាំ​កម្សាន្ត​ពេលរាត្រី។
1936	politics	នៅ​ក្នុង​ឆ្នាំ​1994 ជម្លោះ​នេះ​បាន​ឈាន​ទៅ​ដល់​ការ​ប្រកាស​ដោយ​ខ្លួន​ឯងនូវ​ការ​បង្កើត​សាធារណៈរដ្ឋ​ត្រង់ស្នីសទ្រា​ នៅ​ភាគ​ខាង​កើត​នៃ​ប្រទេស ម៉ុលដូវ៉ា ដែល​មាន​រដ្ឋាភិបាល​ និង​រូបិយប័ណ្ណ​ផ្ទាល់​ខ្លួន​ ប៉ុន្តែ​មិន​ត្រូវ​បាន​ប្រទេស​ជា​សមាជិក​ អ.ស.ប​ ណាមួយ​ទទួល​ស្គាល់​ឡើយ​។​
1205	health	លោក Danielle Langtagne ដែលជាអ្នកជំនាញខាងជំងឺរបស់​អង្គការ​សហប្រជាជាតិបានថ្លែងថា ការផ្ទុះឡើង គឺទំនងជាបង្ក​ឡើង​ដោយកងថែរក្សាសន្តិភាព។
1692	geography	តំបន់មួយភាគធំនៃភាគខាងជើង មានចំនួនប្រជាជនតិចតួច ហើយកន្លែងខ្លះស្ទើតែជាវាលរហោរស្ថានដែលមិនមានមនុស្សរស់នៅ។
280	politics	ក្រុមអ្នករៀបចំការ​តវ៉ា​ បាននិយាយថា ​មនុស្សប្រមាណ 100,000 នាក់​ បានទៅដល់​ទីក្រុងនានា​របស់អាល្លឺម៉ង់ ដូចជា ​ទីក្រុងប៊ែរឡាំង​​ ទីក្រុងកូឡូញ​ ទីក្រុងហាំប៊ើក​​ និងទីក្រុងហែន​អូវើ។
247	politics	ទីភ្នាក់ងារទាំងនេះទទួលខុសត្រូវសម្រាប់ការផ្តល់សេវាខាង​ផ្លូវច្បាប់ និងខាងរដ្ឋាភិបាល​តាម​មាត្រា 247 នៃច្បាប់រដ្ឋធម្មនុញ្ញប្រទេស ប៉ាគីស្ថាន។
1439	politics	ភ្លាមៗបន្ទាប់ពីការផ្ទុះ​សង្រ្គាម ចក្រភព​អង់គ្លេសបាន​ផ្តួចផ្តើម​ឱ្យមានការ​រាំងខ្ទប់​កងទ័ពជើងទឹក​អាល្លឺម៉ង់។
1239	entertainment	"""គាត់បាននិយាយថា នាងពិតជាគួរឱ្យស្រឡាញ់ណាស់​ហើយច្រៀងពិរោះទៀតផង បើយោងទៅតាម​ការកត់ត្រា​នៅ​សន្និសិទសារពត៌មាន។"""
743	geography	បណ្តាកោះឃូក (Cook) មិនមានទីក្រុងទេ​ ប៉ុន្តែត្រូវបានផ្តុំដោយ​កោះ​ចំនួន 15 ផ្សេងៗគ្នា។ បណ្តាដែលសំខាន់​គឺរ៉ារ៉ូតុងហ្គា (Rarotonga) និងអាយទុតាគី (Aitutaki)។
