	index_id	category	text	gpt-3
0	1523	science/technology	Phetogo ya dijini e dira go re go nne le pharologano e ncha ya dijini, mme tlhopho e e tlosa go tswa mo setlhopheng sa dipharologano tse di supilweng.	Based on the provided text, it appears to be a news article related to science/technology.
1	1644	science/technology	Bomb ya Fission e dira ka molaotheo wa gore e tsaya maatla go go kopantsha nucleus le diproton tse dintsi le dineutron.	This piece of news is regarding science/technology. It discusses the process of nuclear fission and the splitting of atomic nuclei.
2	558	science/technology	Togwa e na le dikarolo di le pedi - di-neutron le di-proton.	Based on the provided text, it appears to be a piece of news related to science/technology.
3	456	science/technology	Se se kgontshitse dikapa-ditshwantsho tsa leitlho le le atologang go re di kgone go tsaya dinepe tsa boleng jo bo tshwanang le ja tsa leitlho le le sa atologeng.	Ke kgopolo ya go tsaya dikapa-ditshwantsho tsa leitlho le le atologang go re di kgone go tsaya dinepe tsa boleng jo bo tshwanang le ja tsa leitlho le le sa atologeng. Ke ka thusa ka go tsaya dikapa tse di ntseng di le go tswa mo go tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dikapeng tse di ntseng di le go tswa mo dik
4	906	science/technology	Ke tsa boleng jo bo kwa godimo go gaisa go ne le dikemedi tsa webo ka ntlha ya mabaka a le mmalwa: Di kaela go sele pharakano yotlhe ya inthanete, e seng fela http.	Based on the provided text, it appears to be a news article related to technology.
5	452	science/technology	Tiriso ya maranyane ya ”Interactive Design” e batla o itsekatsheka le dikakanyo tse o ntseng o na le tsone mabapi le maranyane a tshedimosetso; ebile o ithute go akanya ka ditsela tse di farologanyeng	Based on the provided text, it appears to be a piece of news related to science/technology.
6	1557	science/technology	Se se ne sa nna tlwaelo, mme tshipi ya seporo e ne e senya maotwana a logong a dikolotsana.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more context or information about the content of the article?
7	1360	science/technology	Ditlhopha tsa ditau di kgona go nna le tau e tona e le nngwe go ya ko go tse tharo le tse di namagadi di ka nna masome a mararo le bana ba tsone.	Based on the provided text, it is not clear which category this news article falls into. Could you please provide more information or context about the content of the article?
8	1675	science/technology	Le fa AI e gokaganngwa thata le mainane a maranyane, AI ke karolo e botlhokwa ya computer science, e lebagane thata le thutego le maitsholo mo khomputareng.	Based on the provided text, it appears to be a piece of news related to science/technology. It mentions AI (Artificial Intelligence) and computer science, which are both related to the field of technology.
9	1430	science/technology	Karoganyo ya dikarolwana tsa sebopego seno (e e aroganngwang ka lesome-le-bobedi go fitlhelela karoganyo ya nomore e feletseng) ka gone e bolelwa fa e le 3:2.	Based on the information provided, it is not clear which category this news article falls under. Could you please provide more specific details or context about the article?
