index_id	category	text
797	technology	Laptop emaw tablet nen kan zin anih chuan internet hman kher ngai loa en mai theihna turah dah that bawk tur a ni.
830	travel	Ramri kan na thenkhat ah chuan rel tlanlai ah in enfiahna neih thin a ni chuan ID dik tak i chuanna ah chuan i nei bawk tur a ni.
150	business	Sir Richard Bransons virgin Group ami chuan he bank hi lei a tum a,mahse sawrkar hnuaia awm anih avnagin hnawl ani.
1806	travel	Ramsa thenkhat, sai leh sanghawngsangte chuan mihring an ngainain hnai tak takah an rawn kal chilh thin a, hmanraw tha pangai tak neih phei chuan hmuh an nuam hle a ni.
902	disasters	Thawngaleivir hi boruak turna hniam tak vir kual vel a ni a, a bul vela boruak awmte chu a chhung lam leh pawn lamah a hip lut zel a ni.
1225	sports	Del Patro chu set hnihnaah a tir lamin chanhmun tha a chang a, nimahsela 6-6 a an inrual avangin tie break neih a ngai tho a ni.
1342	science	Zikhlum tui chu a chemical al danah a rawng a inthlak thei bawk a ni.
1959	nature	Plitvice Lakes national park hi ngaw dur khup mai a ni a, thing chi hrang hrang a tamin he hmunah hi Alpine leh Mediterranean lam nungcha hmuh tur a awm fur a ni.
341	business	"Khawvel pawisa chevel chungchangah Zapatero chuan,  ""Pawisa chet vel dan hian ram hausakna kawngah nasa takin kawngro a su a ni"" a ti."
352	science	He surface tension hi a awmna chhan chu tui chunglângah hian boruakah aiin nasa tak leh chak lehzualin tui molecule tam takte chu an inhîp khawm thîn vang a ni.
448	nature	Kumtin October thla hunlai velin hnimhring ei chi maktaduai khat leh a chanve dawn  mai chu chhimlam tlangzawlah an insawn thin a, hmar lam tlang atang chuan Mara lui chu ruahtui beiseiin an kan bawk thîn.
386	politics	Lalpa Sejong chu  Joseon lalna awp chinah, palina niin zah kai ber a i bawk.
1438	religion	Kohhran thuneihna laipui ber chu kum sângkhat ai rei mah Rome ah a awm tawh a,hmunkhat aṭanga thil tih theih na leh sum tam tak te thunun a ni hian  mipuite rilruah an thurin nen a inkalh em tih zawhna a siam nasa hle.
394	politics	Lal Navy te chu German Navy aiin an chak zawk avangin raldotute chu an thil neih ralthuam an tihchhiat sak zel a ni.
1977	education	Romance language thiam tan Portuguese tawng zir a awlsam deuh bik tih hi chu sawi ngai loa hriat sa a ni.
1719	nature	Kruger National Park (KNP) hi South Africa hmar-chhak lamah awmin chhak lama Mozambique ramri pheiah a awm a, Zimbabwe hmar lam leh chhim lam Crocodile River ah te a awm a ni.
29	crime	Iraq a Abu Ghraib prison chu lungawi lohna lantirtute chuan an hal.
845	entertainment	"Engpawhnise, tunlai ah chuan graffiti artist thiam tak tak an awm tawh, graffiti hunpui leh "" chei phal"" bang te."
165	crime	Mumbai beitu te hi lawngin November ni 26, 2008 ah an lo thleng a, vawmpuah leh automatic puakthei chi hrang hrang lo kengin, hmun hrang hrang amipui punkhawmna leh Chhatrapati Shivaji terminus Railway Station leh Taj Mahal Hotel te an bei a ni.
261	business	Nigeria chuan AfCFTA chu inzawm pui ve a duh thu chu Summit hma kar tir lamah a puang.
531	sports	Kua sawmpariat chu thawh khat ah khelh a ni a, a kheltu te chuan kaw hmasa ber ah an inel tan a, a kaw sawmpariatnaah an zo thin a ni.
1599	nature	Danglamna (mutation) hian thil tam tak a thlen thei a, danglam dan chi a zirin, inthlahchhawnna bungrua (genetic material) a khawih danglam dan te a leh cell a khawi danglam chu germ-line cell an ni em tih hriat a pawimawh.
428	geography	Turkey ram awh chin chu 1,600 kilometres (1,000 mi) a sei niin,  800 km (500 mi) a zau, rectacgular pianzia a ni.
1206	health	Hamilton chuan Howard University Hospital chuan damlo te dinhmun tha takah a enkawl ani a ti.
277	politics	Massachusetts governor hlui Mitt Romney chuan Thawhlehnia Florida Republican Party presidential primary inthlannaah zaa sawmliparuk vote hmuin hnehna a chang a ni.
2	disasters	JAS 39C Grispen chu dar 9:30 am local time (0230 UTC) vel khan runway ah chesualin a puak darh vek a, airport chu thlawhtheihna dang tan khar a ngaih phah a ni.
719	geography	 Dominican Republic (Spanish:República Dominicana) hi Caribbean ram a ni a,Hispaniola thliarkar khawchhak lam chanve, Haiti nen a an inṭawm chu a awh a ni .
324	geography	He thlipui, Florida khawpui Miami atanga mêl sangthum zêta hlaa awm chuan thli darkarkhata mêl khat a tleh thei a pai bawk a.
15	business	"""Panama Papers"" tih hi Panama law firm tana document  nuai sawm vel zet sawina a ni a, Mossack Fonseca ina 2016 kuma a tih leak out a ni."
