index_id	category	text
797	technology	ئەگەر لاپتۆپ یان تابەکەت دەبەیت بۆ گەشت، کۆپیەک هەڵگرە لە یادگەکەیدا یان لەسەر دیسک (پێڕاگەشتن بەبێ ئینتەرنێت).
830	travel	لە هەندێك لە شەمەندەفەری نێوان وڵاتاندا، پشکنینەکان لە شەمەندەفەرەکدا دەکرێت و دەبێت ناسنامەیەکی دروستت پێبێت کاتێك سواری یەکێك لەم شەمەندەفەرانە دەبیت.
150	business	گروپی ڤێرجینی سێر ڕیچارد برانسۆن مەزادێکی بانکەکەیان ڕەتکرایەوە پێش بە نیشتیمانیکردنی بانکەکە.
1806	travel	هەندێک ئاژەڵ وەک فیل و زەڕافە، لەوە دەچێت لە ئۆتۆمبێل و کەلوپەلە ستانداردەکان نزی ببنەوە، کە ڕێگە بە بینینی باشیان دەدات.
902	disasters	گەردەلوول بریتیە لە ستونێکی خولاوەی هەوای پەستان زۆر نزم کە هەوای چواردەوری ڕادەکیشێت بەرەوناوەوە و سەرەوە.
1225	sports	دێل پۆترۆ دەستپێشخەری هەبوو لە سێتی دووهەمدا، بەڵام ئەمەش پێویستی بە یەکسانبون هەبوو پاش گەشتن بە ٦-٦.
1342	science	شەربەتی کەلەرم ڕەنگەکەی دەگۆڕێت بەگوێرەی ترشی یان تفتی (ئەلکالین)ی ماددە کیماییەکە.
1959	nature	پارکی نەتەوەیی پلیتڤیس لەیکس بە چڕی دارستانی هەیە، بە شێوەیەکی سەرەکی داری زان و سپرۆ و هەنجیرە، هەروەها تێکەڵەیەک لە رووەکی ئەڵپ و دەریای ناوەڕاست لە خۆ دەگرێت.
341	business	"سەبارەت بە بارودۆخی دارایی جیهانی، زاپاتێرۆ بەردەوام بوو لە وتنی ئەوەی کە ""سیستەمی دارایی بەشێکە لە ئابووری، بەشێکی گرنگە."
352	science	راکێشانی تەختەیی بەهۆی ئەوە روودەدات کە گەردەکان ئاو لە سەر ڕووپۆشی ئاو بە تووندی بۆ لای یەکتر کێش دەکرێن زیاتر لە کێشکردنیان بۆ گەردەکانی هەوای سەرەوەیان.
448	nature	هەموو ساڵێك نزیک مانگی تشرینی یەکەم نزیکەی ١.٥ ملیۆن گیاخۆر گەشت دەکەن بەرەو دەشتەکانی باشوور و ڕووباری مارا دەبڕن لە گردەکانی باکورەوە بەرەو باران.
386	politics	پادشا سیجۆنگ چوارەم پادشای بنەماڵەی جۆسیۆن بوو و یەکێکە لە بەڕێزترین پادشاکان.
