index_id	category	text
431	geography	Turceju īkļaun jiurys nu treis pušu: Egejis jiura rītumūs, Malnuo jiura zīmeļūs i Vydsjiura dīnvydūs.
403	science/technology	Kara suokumā tuos puorsvorā ceļuoja pa jiuru, bet, kod radars suoce atsateisteit i palyka precizuoks, zamiudinis beja spīstys dūtīs zam iudiņa, lai natyktu pamaneitys.
1592	science/technology	Mozynūtēs greku volūdys zynuošonom, rītumu pasauļs atklauoja, ka ir nūškierti nu greku filozoskuom i zynuotniskuom saknem.
993	entertainment	Tok zīmā tim ir cyta veida skaistums i šarms, partū ka daudzys kolnu stacejis sajam veseleigu snīga daudzumu i pīduovoj taidys aktivitatis kai sliepuošona i snovbords.
755	entertainment	Ituos vīsneicys beja tuos, kuruos palyka tuo laika boguotī i slovanī, i bīži tamuos beja loba ādynuošona i naktsdzeive.
1936	politics	1994. godā ituo konflikta rezultatā Moldovys austrumūs tyka izveiduota pošpasludynuotuo Pīdnestrys Republika, kurai ir sova vaļdeiba i valuta, bet kurū naatzeist nivīna ANO daleibvaļsts.
1205	health	Daniele Lenteina, ANO eksperte slimeibuos, ir nūruodejuse, ka slimeibys uzlīsmuojumu vysdreizuok izraiseja mīra uzturātuoji.
1692	geography	Lelys teritorejis tuoluok iz zīmelim ir vysai reši apdzeivuotys i dažys ir gondreiž naapdzeivuota savvaļa.
280	politics	Protesta reikuotuoji paziņuoja, ka Vuocejis piļsātuos, pīmāram, Berlinē, Kelnē, Hamburgā i Hanoverē, īsaroda apmāram 100 000 cylvāku.
247	politics	Itī agenti ir atbiļdeigi par vaļdeibys i tīsu pakolpuojumu snēgšonu saskaņā ar Pakistanys konstitucejis 247. pantu.
1439	politics	Dreži piec karadarbeibys suokuma Lelbritaneja suoce Vuocejis flotis blokadi.
1239	entertainment	"""Jei ir cīši jauka i dzīd ari dīzgon labi,"" jis saceja saskaņā ar presis konferencis transkriptu."
743	geography	Kuka Soluos nav piļsātu, bet tuos sastuov nu 15 dažaidom solom. Golvonuos ir Rarotonga i Aitutaki.
18	politics	Vysā pasaulī nūtyka protesti, tyka suoktys vairuokys kriminalvojuošonys, i gan Islandis, gon Pakistanys vaļstu lideri atsakuope.
1344	science/technology	Iudiņraža joni ir protoni, kurim ir atdaleiti elektroni (deļtuo ka iudiņraža atomi sastuov nu vīna protona i vīna elektrona).
688	travel	Apmaklātuojim ar īrūbežuotu laiku bytu lobuok pavadeit tū cytvīt.
556	science/technology	Atomu var uzskateit par vīnu nu materejis pamatelementim.
1645	science/technology	Leidzeigi kai smogu rateņu rypynuošona kolnā. Vēļreiz sadolūt kūdulu, daļa nu tuo energejis teik atbreivuota.
907	science/technology	Tī parosti pīduovoj leluoku jūslys plotumu i lobuoku pakolpuojumu kvalitati. Tī ir šifrāti, deļtam tūs ir gryušuok izspīguot.
1071	politics	Tok premjerministrs Džons Hovards ir sacejs, ka itei reiceiba ir paradzāta tikai, kab pasorguotu slimineicys telpys, lai Tasmanejis vaļdeiba tūs skaitu nasamazynuotu, daškirūt kluot 45 miļjonus Australejis dolaru.
555	sports	Sportistim varātu liktīs, ka jī dūt prīkšrūku kaidam produktam, pat ja tys nasnādz realu lobumu.
1203	health	Pyrma karaspāka īsarasšonys, Haiti kūpš 1800. goda nabeja sasaskuoruse ar problemom, kas saisteitys ar itū slimeibu.
58	politics	Policeja paziņuoja, ka Lo Pikolo beja puoruoks, partū ka Provencano beja Palermo lobuo rūka i juo leluokuo pīredze īmontuoja vacuokuos paaudzis prīšknīku cīnu, kod jī eistynuoja Provencano politiku, saglobojūt īspiejami zamuoku leimini, tymā pat laikā styprynojūt sovu elektroenergejis teiklu.
1764	travel	Vēļ ari jemit vārā, ka luočus i cytus sovvalis dzeivinīkus pīsaista smokys, partū izavairit nosuot voi gataveit smuordeigu puortyku i uzturit teiru nūmetni.
195	sports	Paradzāts, ka Masam byus juoizlaiž vysmoz atlykušuo 2009. goda sezonys daļa.
1785	travel	Īprīkšeja rezervaceja dūd ceļuotuojam sirdsmīru, ka piec tikšonys golamierkī jam byus kur gulēt.
600	science/technology	Elementi i savīnuojumi var puorsavītuot nu vīna stuovūkļa iz ūtru i naisamainēt.
553	sports	Videjū distaņču skrīšona ir saleidzynūši lāts sporta veids; koč ari ir daudz napareizu prīkšstotu par dažaidom apreikuojuma vīneibom, kas napīcīšomys daleibai.
1720	geography	Parks aizjem 19,500 km² i ir sadaleits 14 dažaiduos ekozonuos, kur kotra atbolsta dažaidus sovvalis dzeivinīkus.
1622	geography	Amazone ir ari pasauļa plotuokuo upe, dažvīt sešys jiudzis plota.
1441	politics	Lelbritaneja lyka mīnys storptautiskūs iudiņūs, kab nūvārstu kuģu tikšonu vasalūs okeana pūsmūs, rodūt brīsmys pat neitralim kugim.
566	health	Redze voi spieja redzēt ir atkareiga nu redzis sistemys maņu organim voi acim.
1515	science/technology	Škārsteikla sovpateiguos eipašeibys mudynoj pīvīnuot jaunys dimensejis lītuojuma i apmīrynuojuma metodis nūsacejumūs.
585	science/technology	Tok pyrmī eistī teleskopi tyka izgatavuoti Eiropā 16. godu symta beiguos.
1689	geography	Otava ir Kanadys burveiguo divvolūdu golvyspiļsāta, tī ir dažaidys muokslys galarejis i muzeji, kas demonstrej Kanadys poguotni i tagadni.
1256	health	Itūs kristalu sastuovs atbylst tim, kas atrūnami slymūs sātys dzeivinīku urinā, saleidzynojūt ar infrasorkonū spektroskopeju (FTIR).
60	science/technology	Apple izpylddirektors Stīvs Džobss atkluoja īreici, izīmūt iz skotivis i izjamūt iPhone nu džynsu kuldys.
32	sports	Kod automašynys, kas beja prīškā Alonso, devēs piec degvīlys zam drūseibys mašynys, jis pasakuope iz augšu, kab izceineitu uzvaru.
1411	politics	Revolucionaruo kara laikā treispadsmit štati nu suokuma izveiduoja vuoju centralū vaļdeibu — kurys vīneiguo sastuovdaļa beja Kongress— saskaņā ar konfederacejis statutim.
13	sports	Nadals mačā savuoce 88% neto punktu, pyrmajā servē uzvarūt 76 punktus.
1941	travel	Plašajim bulvarim, ākom ar stykla fasadem i modernajim īsapierkšonys centrim kluotyn ir tradicionalī sorkonūs daksteņu jumti, 18. godu symta tiergs i vacuos mošejis i bazneicys, lai ari piļsātā ir vairuok Vydsjiurys Eiropys, na tradicionaluos Turcejis atmosfera.
732	sports	Vistlera (pusūtrys stuņdis braucīņa attuolumā nu Vankuverys) ir duorga, tok labi zynoma 2010. goda zīmys olimpiskūs spēļu deļ.
871	entertainment	Pīpiļdit sovu sātu ar boguoteigu kopeju nu reita i kaidu relaksejūšu kumeleišu čaju vokorā.
886	geography	Antarktida ir soltuokuo vīta iz zemis, tei īskaun Dīnvydpolu.
362	science/technology	Piec symtim darbeibys stuņžu kvāldīgs spuļdzē golu golā izdag, i spuļdze vaira nastruodoj.
1578	health	Puorbaudit etiketi, kab uzzynuot konkretus pyrmuos paleidzeibys nūruodejumus konkretajai iņdei.
996	travel	Vysūs gadīņūs jums ir juorezervej pa telefonu taišni caur aviokompaneju.
197	health	Prezidenta stuovūklis ir stabils, koč i jis vairuokys dīnys byus izolāts sātā.
460	entertainment	Leluokuo daļa televizejis puorraižu ir veidotys tai, kab apmīrynuotu leluokū sabīdreibys daļu.
154	geography	Nu apmāram 24 000 zynomūs meteoritu, kas nūkrytuši iz Zemis, tikai apmāram 34 ir apstyprynuoti kai Marsa izceļsmis meteoriti.
1160	politics	Piec tam kod darbinīki puorbauda vālātuoja ideņtitati, vālātuojs īmat konvertu bolsuošonys kastē i pasaroksta bolsuošonys sarokstā.
1223	entertainment	Jī ir atcāluši turneju, deļtam ka solists Stīvens Tailers sasavaiņuoja, kod 5. augustā uzastuojūt nūkryta nu skotivis.
54	politics	Pīters Kostello, Australejis vaļsts kasis puorvaļdnīks i cylvāks, kurs vysdreizuok nūmaineis premjerministru Džonu Hovardu Liberaluos partejis lidera omotā, ir pauds atbolstu kūdūlenergejis nūzarei Australejā.
7	politics	Protests suocēs ap 11 stuņdem piec vītejuo laika (UTC+1) Vaitholā pretī policejis apsorguotajai īejai Douningstrītā, premjerministra oficialajā rezideņcē.
1010	sports	ASV Vyngruotuoju organizaceja atbolsta ASV Olimpiskuos komitejis viestuli i akceptej Olimpiskuos saimis absolūtū napīcīšameibu nūdrūsynuot drūsu vidi vysim sportistim.
1174	sports	"Gola rezultats beja vīna punkta uzvara ar 21 pret 20, puortraucūt ""All blacks"" 15 uzvaru sereju."
1202	health	Saskaņā ar tīsu atkrytumi nu ANO nūmetnis natyka sanitari pareizi apstruoduoti, ļaunūt bakterejom tikt Artibonitys upis pītakā, kas ir vīna nu leluokajom Haiti.
958	travel	Nivīna aviokompaneju alianse naaptver vysus treis okeana škārsuošonys punktus Dīnvydu puslūdē (i SkyTeam naaptver nivīnu nu škārsuošonys vītom).
354	science/technology	Modernuos slidys asmiņam ir dubulta mola ar īlīktu dūbi storp tom. Obys molys ļaun lobuok sagiun ladu, pat tod, ka tys ir sasvārts.
505	science/technology	Itom sātyslopom ir pozitivi aspekti, kas īkļaun īspieju ārtai izveiduot klasis lopu, kurā var īkļaut emuarus, videoklipus, fotoattālus i kur ir ari cytys īspiejis.
1333	science/technology	Tys izmontoj iz satelitim baļsteitu tehnologeju pretstotā vacuokom iz zemis radarim baļsteitom tehnologejom, lai gaisa satiksmis dispečeri varātu precizuok nūsaceit gaisa kuģus i snēgt pilotim precizuoku informaceju.
1173	sports	"Dīnvydafrikys Republika ir uzvariejuse ""All blacks"" (Jaunzelande) regbeja savīneibys ""Tri Nations"" mačā Karaliskajā Bafokengys stadionā Rustenburgā, Dīnvydafrikā."
945	travel	Vikingi izmontuoja Krīvejis iudiņa ceļus, lai nūkliutu Malnajā i Kaspejis jiurā. Dažys itūs maršrutu dalis vys vēļ var izmontuot. Puorbaudit īspiejamū vajadzeibu piec eipašom atļuovem, kurys var byut gryuši dabojamys.
1012	sports	ASV Vyngruotuoju organizaceja atbolsta naatkareigu izmekliešonu, kas varātu atkluot, kai ļaunpruoteiga izmontuošona, kū tik drūsmeigi ir aprakstejs izdzeivuojušais Lerijs Nasārs, tik ilgi varēja palikt napamaneita, i īkļaun vysys napīcīšamuos i atbylstūšuos izmainis.
712	travel	Galapagu iudiņūs kursej vaira nakai 60 kruiza kugi, kuru izmārs ir nu 8 leidz 100 pasažeru.
1654	science/technology	Divys popularys satura teorejis ir Maslova vajadzeibu hierarhejis teoreja i Hercberga divu faktoru teoreja.
76	politics	"Tok jis atkuortuoja sovu agruokū apgolvuojumu, ka Roe v. Wade beja ""pastuoveigs zemis lykums"", pastreipojūt konsekventu Augstuokuos tīsys lāmumu nūzeimi."
637	science/technology	Četrus godus vāluok tyka pīškierts patents, kurs beja pasaulī pyrmais MRI jūmā izdūtais patents.
1694	geography	Austrumafrikys solys atsarūn Indejis okeanā pi Afrikys austrumu krostim.
1559	travel	Pyrmais zynomais puorsavītuošonuos veids beja īšona, cylvāki suoka staiguot stuovus pyrms divim miļjonim godu, kod pasaruodēja Homo Erectus (kas nūzeimej taisns cylvāks).
679	geography	Viktorejis iudiņakrytums ir piļsāta Zimbabvis rītumu daļā, puori rūbežai nu Livingstonys Zambejā i natuoli nu Botsvanys.
1049	politics	Ziņuojums suocēs ar lyugumu piec atkluotom debatem i vīnpruoteibys veiduošonys Amerikys Savīnuotajās Vaļstīs par politiku attīceibā iz Tyvajim Austrumim.
557	science/technology	Tei ir cīši sarežgeita vīneiba, kas saskaņā ar vīnkuoršuotu Bora modeli, sastuov nu centraluo kūdula ap kuru riņķoj elektroni i kas ir nadaudz leidzeiga planetom, kas riņķoj ap sauli, skot. Figuru 1.1.
194	sports	Brazilīts dabuoja nūpītnu golvys traumu piec avarejis 2009. goda Ungarejis Grand Prix laikā.
1103	science/technology	Grafiskuos analizis rezultati tiks publicēti publiskā sātyslopā.
1009	health	"""PALM"" izmieginuojumā ""Zmapp"" kolpuoja kai kontrole, tys nūzeimoj, ka zynuotnīki tū izmontuoja kai bazis lineju i saleidzynuoja ar tū treis cytys uorstiešonys metodis."
20	politics	Hsiehs vieliešonu laikā nūruodeja, ka Ma varātu nūbēgt nu vaļsts krizis laikā.
1700	travel	Sīvītis: teik rekomendāts, ka sevkura sīvīte ceļuotuoja apgolvoj, ka jei ir pracāta naatkareigi nu eistuo lauleibu statusa.
1673	science/technology	Jaunū tehnologeju atteisteiba ļaun myusim redzēt i izpietēt smedziņu strukturys i procesus, kas nikod nav radzāti.
911	science/technology	Personiskī VPN (virtualuo privatuo teikla) nūdrūsynuotuoji ir teicams veids, kai apīt gon politiskū cenzuru, gon komercialū IP geofiltriešonu.
1813	travel	Paradzams, ka leluokuo daļa pasuokuma beletu moksuos storp 2500 i 130 000 jenu, bet parostī beleti moksuos ap 7000 jenu.
1052	politics	Vakar Laplatā, piļsātā, kas atsarūn 50 kilometrus (31 jiudzi) nu Buenosairesys, pošreizejuo senatore i Argentinys pyrmuo lēdeja Kristina Fernandesa de Kiršnere paziņuoja par sovu kandidaturu prezidentis omotam.
1699	geography	Zīmeļūs regionu nūrūbežoj Sāhela, cikom dīnvydūs i rītumūs – Atlantejis okeans.
290	geography	Islandis Meteorologiskais birojs ziņuoja, ka pādejūs 48 stuņžu laikā vulkana Hekla apleicīnē nav bejušys zemistreicis.
