index_id	category	text
797	technology	நீங்கள் மடிக்கணினி அல்லது டேப்லட் எடுத்துக்கொண்டு பயணம் செய்தால் அதனுடைய நகலை மெமரி அல்லது டிஸ்கில் பதிவு செய்து கொள்ளுங்கள் (இணையவசதி இல்லாதபோதும் தங்களால் அணுகும் வகையில் சேமித்து வைத்துக் கொள்ளுங்கள்).
830	travel	சில எல்லை தாண்டிச் செல்லும் ரயில்களில், சோதனைகள் ரயில் செல்லும் போதே செய்யப்படும் மற்றும் நீங்கள் ஒரு (1) சரியான அடையாள ஆவணம் வண்டியில் ஏறும் போதே வைத்திருக்க வேண்டும்.
150	business	சர் ரிச்சர்ட் பிரான்சனின் விர்ஜின் குழு, வங்கி தேசீயமயமாக்களுக்கு முன்னர் நிராகரிக்கப்பட்ட வங்கி உத்தரவை வைத்திருந்தனர்.
1806	travel	யானை மற்றும் ஒட்டகச்சிவிங்கி போன்ற சில விலங்குகள், கார்களுக்கு மிக அருகில் அணுகக் கூடியவை மற்றும் சாதாரண கருவிகள் நன்கு பார்ப்பதை அனுமதிக்கும்.
902	disasters	ஒரு சூறாவளி என்பது மிகக் குறைந்த காற்றழுத்தத்தின் ஒரு சுழலைக் குறிப்பதாகும், இது சுற்றியுள்ள காற்றை உள்நோக்கியும் மேல்நோக்கியும் இழுக்கிறது.
1225	sports	இரண்டாவது செட்டில் டெல் போட்ரோ ஆரம்ப சாதகத்தை கொண்டிருந்தார், ஆனால் இது 6-6 ஐ அடைந்த பிறகு சமநிலை உடைப்பு தேவைப்பட்டது.
1342	science	முட்டைகோஸ் தனது சாறின் நிறத்தை எவ்வளவு அமிலத்தன்மை அல்லது காரத்தை பொறுத்து மாற்றுகிது.
1959	nature	பிளிட்வைஸ் ஏரியின் தேசிய பூங்கா அடர்ந்த காடுகளைக் கொண்டது, பீச், ஸ்ப்ரூஸ் மற்றும் ஃபிர் மரங்கள் முதன்மையாக உள்ளன, மேலும் ஆல்பைன் மற்றும் மத்தியத் தரைக்கடல் தாவரங்களின் கலவையாக அது அமைந்துள்ளது.
341	business	"""உலக பொருளாதார நிலை குறித்து, ஜபடேரோ தொடர்ந்து கூறுகையில் """"நிதி அமைப்பு, பொருளாதாரத்தின் ஒரு முக்கிய பகுதி."""
352	science	தண்ணீரின் பரப்பில் உள்ள தண்ணீரின் மூலக்கூறுகள் காற்றின் மூலக்கூறுகளுடன் ஈர்ப்பில்லாது தமக்குள்ளேயே ஈர்ப்பை வெளிப்படுத்துவதால் பரப்பு இழுவிசை உண்டாகிறது.
