index_id	category	text
431	geography	ቱርኪ ብሰለስተ ሸነኽ ብባሕሪ ተኸቢባ ኣላ ፣ እዚ ኸኣ ብሸነኽ ምዕራብ ባሕሪ ኤጅያን ብሸነኽ ሰሜን ጸሊም ባሕሪ ብደቡብ ከኣ ባሕሪ መዲተራነያን እዩ ።
403	science/technology	ኣብ መጀመርታ እቲ ውግእ መብዛሕትኡ ግዜ ኣብ ልዕሊ ባሕሪ እዮም ዚጐዓዙ ነይሮም ራዳር እናዓበየን ዝያዳ ልክዕ እናዀነን ምስ ከደ ግን እተን ሳብማሪን ምእንቲ ኸይረኣያ ኣብ ትሕቲ ማይ ኪኣትዋ ይግደዳ ነበራ።
1592	science/technology	ናይ ግሪክ ኣፍልጦ ክንቆልቁል ምስ ጀመረ፣ እቲ ምዕራብ ካብ ናይ ግሪክ ፍልስፍናዊን ስነፍልጠታውን ሱራቱ ክብተኽ ጀመረ።
993	entertainment	ኮይኑ ግን ፣ኣብ ሓጋይ እዋን በብዓይነቱ ዓይነት ፅባቀ ከምኡውን መልክዕ ኣለዎም ፣ ብዙሕ ናይ ኮረብታ ምደበር ጥዑይ ዓቐን ዘሎ ሃሳስ በረድ ተቐበለ ከምኡውን ከም ስኪንግ ከምኡውን ናይ በረድ ምንሽርታት ምንቅስቓሳት ይህብ።
755	entertainment	እዘን ሆቴላት ሃፋታማትን ፍሉጣት ሰባት ዝቕመጡሎም ቦታታ እየን፣ ብዙህ ጊዜ ሓሪፍ ክፍሊ መመገብን ምሸት ግዜን ድራርን ኣለዎም።
1936	politics	ኣብ 1994፡ እቲ ጎንጺ፡ ነታ ንገዛእ ርእሳ ልኡላውነትታ ዝኣወጀት፣ ናይ ባዕላ መንግስትን ባጤራን ዘለዋ ግን ከኣ ብዝኾነ ኣባል ውዱብ ሕቡራት ሃገራት ኣፍልጦ ዘይተዋህባ ኣብ ምብራቓዊ ሞልዶቫ ትርከብ ሪፓብሊክ ትራንስኒስተሪያ ንምቛም ምኽንያት ኮይኑ።
1205	health	ዳንየል ላንቴን ዝበሃል ክኢላ ውድብ ሕቡራት ሃገራት ብዛዕባ እቲ ሕማም ከም ዝገለጾ፣ እቲ ለበዳ ብሰንኪ እቶም ሓለውቲ ሰላም ክኸውን ይኽእል እዩ ።
1692	geography	ሰፋሕቲ ከባብታት ሰሜን ሒደት ህዝቢ እዩ ዘለዎም ገሊኣቶም ድማ ክንበረሎም ዘይከኣል በረኻታት እዮም።
280	politics	ኣዳለውቲ እቲ ተቓውሞ ኣስታት 100,000 ሰባት ናብ ከም በርሊን ፣ ኮሎኝ፣ ሃምቡርግን ሃኖቨርን ዝኣመሰላ ኸተማታት ጀርመን ከም ዝመጹ ገለጹ ።
247	politics	እዞም ወኪላት እዚኦም ን መንግስታትን ናይ ፍትሒ ኣካላት ኣብ ትሕቲ ናይ ፓኪስታን ሕገ-መንግስቲ ዓንቀጽ 247 ተመርኵዞም ኣገልግሎታት ናይ ምቕራብ ሓላፍነት ኣለዎም።
1439	politics	ውግእ ምስ ተባርዐ ነዊሕ ከይጸንሐ ብሪጣንያ ንጀርመን ካብ ባሕሪ ኸልከልታ
1239	entertainment	"ብመሰረት እቲ ዋዕላ ዜና ዝጸሓፎ ጽሑፍ ""ኣዝያ ጽብቕቲ እያ ጽቡቕ ገይራ ድማ እያ እትደርፍ"" በለ።"
743	geography	ደሴታት ኩክ ከተማታት ዘይብለን ይኹን እምበር ካብ 15 ዝተፈላለያ ደሴታት ዝተኣከባ እየን።
18	politics	ኣብ መላእ ዓለም ተቃውሞታት ነበሩ ፣ ብዙሓት ናይ ወንጀል ክሳታት፣ ከምኡውን ናይ ኣይስላንድ ከምኡውን ናይ ፓኪስታን መንግስታት መራሕቲ ክልቲኦም ካብ ስልጣኖም ወረዱ።
1344	science/technology	ናይ ሃይድሮጅን ኣዮናት ኤሌክትሮኖም ሙልእ ንሙልእ ክእለዩ ዝገበሩ ፕሮቶናት እዮም (ሃይድሮጅን ኣተም ሓደ ፕሮቶን ከምኡውን ሓደ ኤሌክትሮን ዝሓዙ እዮም)።
688	travel	ዝተገደበ ግዜ ዘለዎም ጎብነይቲ ግዚኦም ኣብ ካሊእ ቦታ እንተዘሕልፉ ይምረጽ።
556	science/technology	አቶም ከም መሰረታዊ መስርሕ ኩሉ አካል ተጌሩ ክውሰድ ይኽእል እዩ።
1645	science/technology	ከቢድ ዓረቢያ ናብ ዕቅበት ከም ምንክብላል ዓይነት እዩ። ኒኩለስ መሊስካ ምብታን እውን ጉልበት ይለቅቕ እዩ።
907	science/technology	ዝለዓለ ግፍሒ-ባንድን ዝሓሸ ጽርየት ዘለዎ ኣገልግሎትን ዝህቡ እዮም። ምስጢራውነት ዘለዎም ብምዃኖም ንምስላሎም ኣጸገምቲ እዮም።
1071	politics	ኮይኑ ግና ቀዳማይ ሚኒስተር ጆን ሃዋርድ እቲ ተግባር ተወሳኺ ናይ 45 ሚልዮን ናይ ኣዉስትራልያ ዶላር ብምሃብ ናይ ሕክምና መገልገሊታት ኣብ ታስማንያ መንግስቲ ምንካይ ንምሕላው ጥራይ ዝተገበረ ከምዝኮነ ተዛሪቦም።
555	sports	ኣትሌታት ረብሓ ዋላ እንተዘይሃለዎ ምህርቲ ዘድልዮም ኮይኑ ይስመዖም እዩ።
1203	health	ወታደራት ቅድሚ ምብጽሖም ሃይቲ ካብ 1800 ታት ጀሚሩ ምስቲ ሕማም ዝተተሓሓዙ ጸገማት ኣጋጢሞማ ኣይፈልጡን።
58	politics	ፖሊስ ከምዝበሎ ሎ ፒኮሎ ኣብ ፓሌርሞ ናይ ፕሮቬናዛኖ የማናይ ኢድ ስለዝነበረ ዝበዘሐ እጃም ከምዘለዎን ዝበዘሐ ልምዱ ኸዓ ብኻልኦት ናይ ቀደም ሓለፍትታት ድምጺ ከየስምዑ ሓይሎም ከጠናኽሩ ናይ ምግባር ናይ ፕሮቬንዛኖ ፖሊሲ ስለዝኽተሉ የኽብርዎ እዮም።
1764	travel	ብተወሳኪ ዝተፈላለዩ ጨናታት ን ድቢታትን ኻልኦት ናይ ዱር እንስሳትን ከም ዝስሕብ ፍለጡ፣ ስለዝኾነ ፅቡቅ ጨና ዘለዎ ምግቢ ካብ ምሓዝን ምብሳልን ተቆጠቡ፣ ከምኡ እውን ፅሬት እቲ ካምፕ ሓልው።
195	sports	ማሳ እንተወሓደ ኣብ ዝተረፈ ኽፋል ወቕቲ 2009 ክትወጽእ እያ ።
1785	travel	ኣቐዲምካ መጓዓዓዚ ምሓዝ ነቲ ተሳፋሪ ናብቲ ዝደልይዎ ቦታ ምስበፅሑ ዝድቕስሉ ቦታ ስለዝረኽቡ ናይ ኣእምሮ ዕረፍቲ ይረኽቡ እዮም።
600	science/technology	ባእታታት ኰነ ውሁዳት ካብ ሓደ ግዝኣት ናብ ካልእ ኪግዕዝ ደኣ እምበር ኪልወጥ ኣይክእልን እዩ ።
553	sports	ናይ ማእከላይ ርሕቀት ጉያ ብተዛማዲ ሕሱር ስፖርት እዩ፤ ኮይኑ ቈጸረ ዘድልዩ ውሑድ መሳርሒታት ብዛዕባ ብዙሕ ዝተጋገዩ ኣመለካክታ ኣለዉ።
1720	geography	እዚ ፓርክ 19,500 ስ.ኪ.ሜ. ዝሽፍን ኮይኑ ናብ 14 ዝተፈላለዩ ነናይ ውልቆም ፍሉያት ዓይነታት እንስሳ ዝሓቆፉ ኢኮዞናት ይከፋፈል።
1622	geography	ናይ አማዞን ፈለግ ካልኣይ እቲ ዝነዉሐ ከምኡውን ኣብልዕሊ ምድሪ ዝዓበየ ፈለግ እዩ። ምስ ካልኣይ ዝዓበየ ፈለግ ካብ 8 ዕጽፊ ዝበልጽ ማይ ይወስድ።
1441	politics	ብሪጣንያ ዝዀነ ይኹን መራኽብ ናብ ብምሉኡ ኽፋል ውቅያኖስ ምእንቲ ኸይኣቱ ኣህጉራዊ ማያት ዓደነት፣ እዚ ኸኣ ንገለልተኛታት መራኽብ እውን ከይተረፈ ሓደገኛ እዩ ነይሩ።
566	health	ራኢ ወይ ናይ ምርኣይ ክእለት ኣብ ስርዓት ድህሰሳ ክፍሊ ኣካላት ወይ ኣዒንቲ እዩ ዚምርኰስ ።
1515	science/technology	ናይ በይነ መርበብ ፍሉይ ባህርያታት ናብ ናይ ተወሰኽቲ መልክዕታት ኣቀራርባ ይመርሕዎ።
585	science/technology	ኮይኑ ግን ኣብ ኣውሮጳ ኣብ መወዳእታ 16 ክፍለዘመን ትኽክለኛ ቴሌስኮፓት ንፋልማይ እዋን ተሰሪሖም።
1689	geography	ኦታዋ ማራኺት፣ ካብ ሓደ ንላዕሊ ቋንቋ ተዛረብቲ ዝነብሩላ ከተማ እንትኸውን ናይ ካናዳ ሕሉፍ ታሪኻን ናይ ሕዚ ኩነታታን ብውቁብን ዘደንቕን መልክዑ ዘርእዩ ናይ ስእሊ ጋለሪታትን ሙዝየማትን ኣለዋ።
1256	health	ትሕዝቶ ናይ'ዞም ክሪስታላት ምስ'ቶም ኣብ ሽንቲ ናይ ዝተጸልዉ እንስሳታት ዘቤት ዝተረኽቡ ብኢንፍራሬድ ስፔክትሮስኮፒ(FTIR) ክወዳደር ከሎ ተመሳሳሊ እዩ።
60	science/technology	ዋና ስራሕ መፈፀሚ ኣፕል ስቲቭ ጆብስ ናብቲ መድረኽ ብምኻድ ነቲ ኣይፎን ካብ ጁባ ጅንስ ሱሪኡ ኣውፂኡ ነቲ ኣቕሓ ኣፋሊጥዎ።
32	sports	እተን ቅድሚ ኣሎንሶ ዝነበራ መኪና ናብ ነዳዲ ስለዝኸዳ እቲ ጥማር ኣልዒሉ ንክዕወት ተንቀሳቒሱ።
1411	politics	ኣብ እዋን ውግእ ሰውራ እተን ዓሰርተ ሰለስተ መንግስትታት ኣብ ትሕቲ ዓንቀጻት ኮንፊደሬሽን ሓንቲ ድኽምቲ ማእከላይ መንግስቲ ኣቘማ።
13	sports	ናዳል ኣብቲ ናይ መፈለምታ መፋርቕ 76 ነጥቢታት ብምምዝጋብ፡ ኣብ ሙሉእ እቲ ውድድር ድማ 88% ዝኾኑ ነጥቢታት ኣኪባ።
1941	travel	እቶም ሰፋሕቲ መረባታት፣ እቶም ገፃቶም ቤትሮ ህንፃታትን ዘመናዊ ናይ ንግዲ ማእኸላትን ብባህላዊ ጣሪያታት ዝመልክዑ እዮም፤ እቲ ናይ መበል 18 ክፍለዘበን ዕዳጋን ዕድመ ዘቁፀሩ ቤተ ክርስቲያናትን ዋላ እኳ እታ ከተማ ካን ናብ ናይ ቀደም ቱርኪ ናብ ናይ ኣውሮፓ ሜዲትራኛን ዝፅጋዕ ነባሪ ኣየር እንተሃለዋ፣
732	sports	ዊስትለር (ካብ ቫንኩቨር ናይ 1.5 ሰዓት መንገዲ ብመኪና) ክባር ዋላኳ እንተኾነ ብ2010 ናይ ሓጋይ ኦሎምፒክ ምኽንያት ዝተፈለጠ እዩ።
871	entertainment	አብ እዋን ንጉሆ ገዛኹም ብጽቡቕ ቡናን አብ እዋን ምሸት ድማ ብዝተወሰኑ መዘናግዒ ኮሞሜል ሻሂ ይምልኡዎ።
886	geography	ኣንታርቲካ እቲ ካብ ዓለምና ዝቖረረ ቦታ እዩ፣ከምኡ “ውን ደቡባዊ ዋልታ ዝኸበበ እዩ።
362	science/technology	ንኣማእታት ሰዓታት ድሕሪ ምዕያይ እቲ ኣብታ ኣምፑል ዝነበረ ፍላመንት ይነድድ እቲ ኣምፑል ድማ ኣይዓዪን ።
1578	health	ነዚ ፍሉይ መርዚ ነቲ ምልክት ዝተገበሮ ብምርኣይ ናይ መጀመሪያ ርዳእታ መምርሒ ምርካብ ይካኣል።
996	travel	ብኹሉ ኩነታት ብቀጥታ ካብቲ መንገዲ ኣየር ብስልክኻ ክትምዝግቦ ኣለካ።
197	health	ኩነታት እቲ ፕረዚደንት ጽቡቕ ዋላ እንተኾነ፣ ንብዙሓት መዓልትታት ኣብ ገዛ ኽውሸብ እዩ።
460	entertainment	መብዛሕትኡ ተለቪዥን ንህዝቢ ንምሕጓስ እዩ ዚስራሕ ።
154	geography	ካብ'ቶም ዝፍለጡ ኣስታት 24,000 ዝኾኑ ናብ መሬት ዝወደቑ ሜቴኦራት፣ ኣስታት 34 ዝኾኑ ጥራሕ እዮም መበቆሎም ካብ ማርስ ምዃኑ ዝተረጋገጸ።
1160	politics	ናይ'ቲ ተሳታፋይ ምንጫ መንነት ምስተፈለጠ፣ እቲ ተሳታፋይ ምንጫ ነቲ ኢንቨሎፕ ናብቲ ናይ ምርጫ ሳፁን ኣእትዮም ነቲ መምረፂ ፈሪመሙሉ።
1223	entertainment	እቲ ዋና ደራፊ ስቴቨን ትይለር ነሓሰ 5 እናደረፈ እናሃለወ ካብ መድረኽ ወዲቁ ድሕሪ ምጉድኡ ነቲ ጉዕዞ ምርኢት ሰሪዞሞ።
