index_id	category	text
797	technology	Nda wakwata ungende l’okomputandole ale otamblete, soleka onepa imwe yasapulo (ikwatiwa ndañgo kukwete o intelenete).
830	travel	Kolomboyo vimwe vyenda kofeka yoko samwa, te vyataliwa lakwedje velombe odjo vatale evi vikasi volomboyo vyacho.
150	business	Sir Richard Branson’s Virgin Group vapingile ekwatiso limwe k’ombango pole kavatavele toke eci ombango yalandisiwa.
1806	travel	Ovinyama vimwe, ndeci vina vinene calwa, vyongola okukala ocipepei l’akãlu kwenda uwalo usukiliwa ukatava emõliso liwa.
902	disasters	Ocitele cimwe calinga olwongo una uguhala yo fela itito yupa ofela iguhwalanguhala vobulo lovonano.
1225	sports	Del Potro waka k’ovaso k’okufetika onepa yavali, pole eci cipinga-vo okutetulula eci ombunje ipwa 6-6.
1342	science	Ovava akove apongoloka eyelo ekandu lyevi vakapako.
1959	nature	Ocitumãlo co Plitvic Lakes ikwete oviti vyalwa, cavelapo amẽla, kwenda vyalwa vilinga ciwa, tusanga vyalwa vyalitenga p’okati k’ocitumãlo aplina kwenda mediterrânica.
341	business	Casuñgama k’ovituwa vyendiso vyolombongo vyolwali, Zapatero walonga-ko vali okuvangula “uloñgo wolombongo onepa imwe yo-ekonomiya, onẽle imwe ikwete esilivilo lyalwa.
352	science	Ema kilu lipita mekonda lyolomolekula vyovava k’onepa yokilu olonjanja vyalwa vilivilikiya p’okati kavo mwẽle, okupitahãla vina visangiwa ofela kilu lyvo.
448	nature	Alima vyosi eci tupitĩla k’osãyi yecelãla, eci cisoka etendelo lya 1,5 k’olohulukãyi vyovinyama vyenda kwaca k’onano, okuteta olwi Mara, okupisa k’olokolina vyokonano kusangiwa ombela.
386	politics	Soma Sejong wakala osoma wakwãla vekwamiso ya Joseon kwenda eye wakulĩhiwa calwa.
1438	religion	Ocimunga cinene conembele yo Roma okupita olohulukãyi k’anyamo kwenda ekongelo lyaco lyokukola kwenda olombongo lyambata valwa okupula nda efetiko lyaco likasi l’okukwamĩwa.
394	politics	Pole aswalãli Vyocili handi vyavelelepo aswalãli vyo-Alemanya (Kriegsmarine”) kwenda nda catava okunyõla akongelo vyosi vyakãlu vyatumĩwa mekonda lyepitiso lyo Mancha.
1977	education	Ekandu likakala nda wapopya hati kwakulĩhile elimi lymwe lyo Roma, caleluka vali okulilongisa elimi lyoputu.
1719	nature	Ocitumãlo cofeka kusangiwa ovinyama (KNP) ikasi k’onepa yonano yo África do Sul kwenda ilupuka k’onẽle yokefa yo Moçambique k’onepa yombwelo, Zimbabwe kulo k’onano, kwenda etepiso lyombwelo olwi Crocodilo.
29	crime	Okayikeko Iraque Abu Gharaib yatimĩwa k’epuluvi lyema yakala l’okupita v’okati.
845	entertainment	Keteke lye tali kuly mesene yo ciluvyaluvya olinga upange yo ciluvyaluvya ko mano iwa. Ociluvyaluvya ca soka cimwe yo lomesene valinga upange waco, le sumbilo livi.
165	crime	Vana vañgilĩla Mumbai vapitĩla l’ombalãwu k’eteke lya 26 lyosãyi lyekwĩ lyatete vulima wa 2008, okunena lovo ovina vinene, ovota kwenda yatilĩwa, okukapa vina viwa tusanga-ko ndeci elinya lyomboyo lya Chatrapati Shivaji kesulilo kwenda Onjo yepuyuko Taaj Mahal.
261	business	Nigéria yakonomwisa osimbu yalwa okuti yayongwile okulitenga ko AFCFTA k’osemana yapita ocitumãlo.
531	sports	Epango lekwĩ lecya vibiwa vonjanja imosi vamwe vatasuli vafetica acwimba epangu limosi vapwila vekwĩ lecya.
1599	nature	Okupongolola apondola oku koka amolehiso alua, ci ndependela kepongoloko lepongoloko, kelomboloko liocina kapangiwa laco kuenda nda olocelula viavetiwa vilicita.
428	geography	Ofefa yo Turquia ikwete eci cisoka 1.600 km (1,000 mi) lyocipãla kwenda 800 km (500 mi) lyunene, l’ekalo limwe likasi nd’eñgwãlo.
1206	health	Hamilton wasapwila okuti Osipitali Yosikola yavelapo yo Howard yatambula olombeyi vyakala ciwa.
277	politics	Utumisi wosimbu wavyala olupale wo Massachusetts, Mitt Romney wayula ocela catete canõla usongwi watete wo Florida k’eteke lyavali k’osemana l’etendelo lipita 46 k’olohukãyi yava vanõla.
2	disasters	JAS 39C Gripen yawila v’etapalo liolombalãwu kowola 9:30 k’otembo yombonge (0230 UTC) kwenda yatotãla, okuyika ocitumãlo c’olombalaũ.
719	geography	O Repumblika Dominikana, ofeka isangiwa k’olokarayiba itokeka olonepa vyoyiliya vyo espanya, ilisanga lo Haiti
324	geography	Ofela inene isangiwa ocipãla cisoka k’akukutu 3.000 okupisa ko Mayami, Florida, ofela yaco isika calwa kwenda yenda mwẽle toke 40 mph (64 km/h).
15	business	“Panama Papers” ondaka imwe ipitila atendelo lye Kwi kolohuluwa liovikanda yonjo yolonganji yo Panama Mossack Fonseca, ya pita vasapulo kotembo yo Mbambi yo 2016.
13	sports	Nadal wakuata etendelo litava 88% k’olopontu k’epuluvi lyombunje, okukwata 76 k’olopontu k’epuluvi lyatete.
