	index_id	category	text	gpt-3
0	1523	science/technology	Say Mutation so naaruman na genetic variation,inekal so selection manlapud expressed variation.	Based on the provided text, it appears to be a piece of news related to science/technology.
1	1644	science/technology	Say fission bomb et ongagana base ed prinsipyon nakaukolan so energy pian napaniba so nucleus ya walay amayamay protons tan neutrons.	This piece of news appears to be regarding science/technology. It mentions a fission bomb and principles related to energy and the nucleus.
2	558	science/technology	Say nucleus et tugyopen na duaran kabiangan - say neutrons tan protons.	Based on the given text, it appears to be a piece of news related to science/technology. It discusses the nucleus, neutrons, and protons, which are scientific concepts related to atomic structure.
3	456	science/technology	Mamapawala na atagey ya kualidad ya litrato so sarayan zoom lenses ya singa kualidad na naalad lenses ya walay fixed focal length.	This piece of news seems to be regarding science/technology, specifically about zoom lenses and their quality compared to fixed focal length lenses.
4	906	science/technology	Superior ira ed web proxies diad nanduruman rason.Iduma da so website na internet aliwa labat ya http.	I'm sorry, but I couldn't understand the content you provided. Can you please rephrase or provide more context?
5	452	science/technology	Diad interactive design et nakaukolan ya nasubok so pankunwari tungkol ed media production tan naaralan so mannunot ed paraan ya non-linear.	Based on the given text, it appears to be a news article related to science/technology, specifically in the field of media production and non-linear writing techniques.
6	1557	science/technology	Ontan so ginawa na karaklan, balet mas maganon nadederel iray tabla ya dalig na karumata lapud samay balatyang.	I'm sorry, but I couldn't understand the language you used. Could you please rephrase your question or provide more context in English?
7	1360	science/technology	Say pride et tibukeIen na sakey ya anggad taIoran sankakanayon ya mataken Ian boIog. kaiba na satan iray kainaan ya manga taIompIo ontan met ed saray kiIaw da.	I'm sorry, but I couldn't understand the language you used in your message. Could you please rephrase your question or provide more context in English?
8	1675	science/technology	Anggano dakel so mangibabagan say AI et science fiction, walay importantin branch na computer science ya abuo lapud satan, tungkol iyad panggawa ed saray machine ya walaay ugali tan talino a singa ed too.	Based on the given text, it appears to be a piece of news regarding science/technology. It discusses the topic of AI (Artificial Intelligence) and its connection to science fiction and computer science.
9	1430	science/technology	Say ratio na sayan format et 3:2.	I'm sorry, but I cannot categorize the news article without knowing its content. Could you please provide me with the article or a brief summary?
