index_id	category	text
431	geography	Ṭurk zzin-as-d illen si kraḍ n yidisen: Ilel Igi ɣer umalu, Ilel Aberkan ɣer ugafa d Yilel Agrakal ɣer unẓul.
403	science/technology	Di tazwara n trad unagen s tuget ɣef yilel, maca mi d-yennefla umaṭṭaf yerna yuɣal d usdid tineṭṭabin terra-tent tmara ad ruḥent ddaw n waman i wakken ur tent-id-ttwalin ara.
1592	science/technology	Mi tenqes tmussni n Lyunan, Amalu yufa-d iman-is igzem ɣef iẓewṛan-is Iyunaniyen ifiluzufiyen akked wussnanen.
993	entertainment	Akken ibɣu yili, seɛɛunt ṣenf n cbaḥa d sser di ccetwa, imi aṭas n teɣserin n idurar iɣelli-d fell-asent udfel yarna ttheggint-d lecɣal am uḥlucceg ɣef udfel akked uḥlucceg s telwiḥt.
755	entertainment	Deg isensa-agi i llan ttilin imaṛkantiyen akked wid imucaɛen di lweqt-nni, yarna ttaken-d sumata lmakla n lɛali akked zzhu n yiḍ.
1936	politics	Di 1994, amennuɣ-agi tegla-d s asnulfu n Tegduda Transnistria iseɣṛan iman-is deg usamar n Muldufa, i yesεan anabaḍ-is d yedrimen-is maca ur tt-teḥsib ula d tamurt tamaṣlaḍt n UN.
1205	health	Danielle Lantagne, amusnaw n Waɣlanen Yedduklen ɣef w aṭan agi, yenna-d belli yeddad d Ixxedamen n talwit.
1692	geography	Timnaḍin wessiɛen akkin ɣer ugafa ur sɛint ara aṭas n imezdaɣ ma d kra n temnaḍin d lexla qrib ur ttwazedɣent ara.
280	politics	Imsuddsen berḥen d akken azal n 100,000 n yemdanen i d-yeffɣen di tɣeṛmin Tilmaniyin am Birlin, Kuluny, Hamburg, d Hanuber.
247	politics	Llan imeggiyen i yellan d imassayen i ixedmen imeẓla n unabaḍ d imeẓla iɣedmanen ddaw umagrad bu-uṭṭun 247 n tmenḍawt n Bakistan.
1439	politics	Ciṭ kan seld mi bdant tenṭagin, Briṭanya tergel-as abrid n tegriwa i Lalman.
1239	entertainment	"""Tesɛa sser wa tessen mliḥ ad tecnu, daɣen,"" i d-yenna ɛla ḥsab yiwen useskel ɣef usarag n tɣamsa."
743	geography	Tigzirin n Kuk ur sɛint ara timdinin maca sɛant 15 n tegzirin yemgaraden. Tigejdanin d Rarutunga akked Aytutaki.
18	politics	Llan imeskanen si yal tama n umaḍal, aṭas n temsal yeεnan ccreε inɣi, d iqeṛṛa n yinabaḍen n Aysland d Bakistan i yeǧǧan axeddim-nsen di sin.
