index_id	category	text
431	geography	Turkey e dikaneditšwe ke mawatle mahlakoreng a mararo: Lewatle la Aegean go ya go bodikela, Lewatle le Leso go ya leboa le Lewatle la Mediterranean go ya borwa.
403	science/technology	Mathomong a ntwa ba be ba sepelela kudu go ya bogodimo bja lewatl, efela ge radar e thoma go tšwelapele gomme e thoma go nepathwii dikepe tša ka fase ga meetse di gapeletšegile go ya ka fase ga meetse go efoga go bonwa.
1592	science/technology	Bjale ka ge tsebo ya Greek e fokotšega, Bodikela bo ikhweditše bo kgautšwe go tšwa go medung ya yona ya filosofi le tša mahlale.
993	entertainment	Efela, ba na le bo botse le bogogedi bjo fapanego ka nako ya marega, meboto e amogela lehlwa le le botse le lentši le go abelana ka mediro ya go swana le go fofa lehlweng le go kitima lehlweng.
755	entertainment	Dihotele tše e be e le moo bahumi le batsebalegi ba mehleng yeo ba dulago, gomme gantši ba eja gabotse le bophelo bja bošego.
1936	politics	Ka 1994, kgohlagano ye e išitše go hlolo ya repaboliki ya Transnistria ya maitirelo go la bodikela bja Moldova, yeo e nago le mmušo wa yona le tšhelete ya wona efela ga e elwehloko ke maloko a dinaga tša UN.
1205	health	Danielle Lantagne, setsebi sa bolwetši sa UN, o boletše gore phatlalalo e hlotšwe ke badirakhutšo.
1692	geography	Mafelo a magolo go ya pele lebowa a tletše gomme a mangwe a kgauswi le go tloša diphedi tša nageng.
280	politics	Babeakanyi ba mogwanto ba boletše gore batho ba 100,000 ba tlile ditoropong tša German bjalo ka Berlin, Cologne, Hamburg, le Hanover.
247	politics	Baemedi ba ba na le maikarabelo a go abela ditirelo tša mmušo le molao ka fase ga Sengwalo 247 sa Molaotheo wa Pakistani.
1439	politics	E sa le ka pela ka morago ga go phulega ga dikganetšo, Britain i thomile thibelo ya dikepe tša Germany.
1239	entertainment	"""Ke o mmotsana kudu ebile o opela gabotse, gape,"" o boletši go ya le ka sengwalwa sa kopanelo ya ditaba."
743	geography	Dihlakahlaka tša Cook ga di na metsana efela di dirilwe ka dihlakahlaka tša go fapafapana tše 15. Tše kgolo ke Rarotonga le Aitutaki.
18	politics	Go be go na le megwanto lefaseng ka bophara, dikahlolo tša go roba molao tše mmalwa, gomme baetapele ba mebušo ya Iceland le Pakistan ka bobedi ba rotše mošomo.
1344	science/technology	Haedrotšene ya diayone ke diprothone tšeo di ntšhitšwego dieletrone tša tšona (ka ge diHaedrotšene othomo  di na le prothone e tee le elektrone e tee).
688	travel	Baeti ba go ba le nako ye nnyane go ka ba kaone ge ba ka fetša nako ya bona go gongwe.
556	science/technology	Atom e ka tšeiwa bjalo ka yengwe ya dipoloko tše bohlokwa tša go aga ka gare ga dilo ka moka.
1645	science/technology	Bjalo ka go pšikuloša kariki ye boima godimo ga mmoto. Go aroganya di nucles gape ka morago gwa ntša maatla a magwe ao.
907	science/technology	Gantši di abelana ka bendwith ya godimo le tirelo ye kaone ya go tia. Di tšhireleditšwe gomme kafao ga di bonolo go di hlolela.
1071	politics	Efela Tonakgolo John Howard o boletše gore molawana e be le fela wa go boloka meago ya bookelo gore e se nyenyefatšwe ke mmušo wa Tasman, ka go fa milione ya tlaleletšo ya AUD$45.
555	sports	Dibapadi di ka ikwela di nyaka setšweletšwa le ge se sa tšweletši meputso ya nnete.
1203	health	Pele ga go fihla ga madira, Haiti e be e sa ka ya kopana le mathata a go amana le kokwanahloka go tloga ka bo 1800.
58	politics	Maphodisa a rile Lo Piccolo o be a na le letsogo la godimo ka lebaka la gore o be a bone monna wa go šika-twii le Provenzano go la Palermo gomme maitemogelo a gagwe a mantši a mo fenyeditše hlompho ya moloko o mogolo go yena wa babuši ka ge ba be ba nyaka taelo ya Provenzano ya go ba fase ka moo go kgonegago mola ba oketša maatla a bona a go neteweka.
1764	travel	Go tlaleletša, hlokomela gore menkgo e goga dibera le diphoofolo tše dingwe tša naga, kafao efoša go rwala goba go apea dijo tša menkgo gomme o dule o hlwekišitše kampa.
195	sports	Massa o tlo tšwa sehleng sa 2009 kamoka.
1785	travel	Go beela ka thoko pele ga nako go fa baeti khutšo ya monagano gore ba tla ba le moo a tlogo robala gona ge ba fihla mo bayago gona.
600	science/technology	Dielement le diripa di ka šuta go tloga nageng ye tee go ya go yenngwe gomme tša se fetoge.
553	sports	Go kitima sekgobeng sa gare ke papadi yeo e sa bitšego; le ge go le bjalo, go na le dikgopolo tše dintši tše di fošagetšego mabapi le diripa tše mmalwa tša sedirišwa seo se nyakegago go tšea karolo.
1720	geography	Phaka e akaretša 19,500 km² gomme e arogantšwe go ya ka di ecozone tša go fapafapana tše 14, yengwe le yengwe e thekga diphofoolo tša go fapana.
1622	geography	Noka ya Amazon ke ya bobedi ye telele ebile ke noka ye kgolokgolo mo Lefaseng. E rwala go feta makga a 8 a bontši bja meetse bjalo ka noka ya bobedi ye kgolo.
1441	politics	Britain e epile meetse a bosetšhaba go efoša dikepe dife goba dife go tsena ka gare ga dikarolo ka moga tša lewatle, ya hlola kotsi le go dikepe tša hlago.
