	index_id	category	text	gpt-4
0	1523	science/technology	उत्परिवर्तन नवा आनुवंशिक भिन्नता जोड़त हवय, अउ चयन इले व्यक्त भिन्नता के पूल ले हटा देत हवय।	"I'm sorry, but the text you've provided is in Hindi and seems to be about genetic diversity. Therefore, it would fall under the category of ""Science/Technology""."
1	1644	science/technology	विखंडन बम ए सिद्धांत म काम करथे कि कई प्रोटोन अऊ न्यूट्रॉन के साथ एक नाभिक ला एक साथ रखें बर ऊर्जा के आवश्यकता होथे।	"This piece of news seems to be related to ""Science/Technology"" as it discusses about nuclear physics and energy."
2	558	science/technology	नाभिक म दो कण होत हंवय - न्यूट्रॉन अउ प्रोटॉन।	As an AI, I'm currently only able to process and understand text in English. Please provide the text in English so I can categorize it properly.
3	456	science/technology	इहर ज़ूम लेंस ल निश्चित फोकल लंबाई वाले लेंस द्वारा प्राप्त की गिस गुणवत्ता की तुलना म चित्र बनाने की अनुमति दी हवय।	"This piece of news seems to be related to ""Science/Technology"", as it discusses about zoom lens and image quality, which are topics related to technology and photography."
4	906	science/technology	ओ ह कईयो कारन ले वेब प्रॉक्सी ले बेहतर हे: ओ ह सीरिफ़ http नई, भलुक जम्मों इंटरनेट ट्रैफ़िक ल फेर रूट करथे।	I'm sorry, but the text you provided is not in English and does not seem to contain information related to any of the categories you mentioned. Could you please provide more context or translate the text to English?
5	452	science/technology	इंटरएक्टिव डिज़ाइन बर जरुरी हे क आपन मीडिया उत्पादन के संबंध म अपनच्च धारणामन के पुनर्मूल्यांकन करव अउ गैर-रेखीय तरीके ले सोचना सीखव।	"This piece of news seems to be related to ""Science/Technology"", as it discusses interactive design, which is a part of technology and media production."
6	1557	science/technology	इ आम बात हो गइस, लेकिन लोहे हर वैगन मन के लकड़ी के पहिया मन पर अधिक घिसाव करिस।	I'm sorry, but the text you provided is not a news article and it's not clear which category it would fall under. Could you please provide more information?
7	1360	science/technology	प्रशंसा एक ले तीन संबंधित वयस्क पुरुषों ले बना हवय,  संग ही तीस महिलामन अउ शावकमन के संग।	I'm sorry, but the text you've provided is in Hindi and doesn't seem to contain enough information to categorize it under any of the mentioned categories: science/technology, travel, politics, sports, health, or geography. Could you please provide more context or details?
8	1675	science/technology	हालाकि एआई म विज्ञान कथा के एक मजबूत अर्थ हे, एआई कंप्यूटर विज्ञान के एक बहुत ही महत्वपूर्ण शाखा हे, जोनहर मशीन म व्यवहार, सीखे बर अउ बुद्धिमान अनुकूलन ले संबंधित हे।	This news piece is related to Science/Technology as it discusses AI (Artificial Intelligence), which is a significant branch of computer science.
9	1430	science/technology	एखरबर इ प्रारूप का पक्षानुपात (सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करहर बर बारह ले भाग देने पर) को 3:2 कहा जात हवय।	This piece of text seems to be related to mathematics or education, but it's not a news article.
10	1907	science/technology	एक ठी सैटेलाइट फोन आम तौर म एक ठी मोबाइल फोन के बर एक प्रतिस्थापन नई होथे, काबर आपमन ल फोन कॉल करे बर उपग्रह के स्पष्ट दृष्टि के संग बाहिर होए बर परही।	"This news article is about ""Science/Technology"" as it discusses about satellite phones."
11	1555	science/technology	भलुक वैगनवे म केवल लकड़ी के समानांतर तख्त शामिल रहिस, ओखर घोड़ों ल अधिक गति प्राप्त करहर अउ दिन के थोड़ा अधिक उबड़-खाबड़ सड़कों के तुलना म अधिक भार खींचहर के अनुमति दिस।	I'm sorry, but the text you provided is in Bhojpuri and it seems to be about the construction or function of a wagon, possibly in a historical context. It does not clearly fall into any of the categories you provided (science/technology, travel, politics, sports, health, or geography).
