index_id	category	text
797	technology	Ноутбукпен немесе планшетпен саяхаттаған кезде, көшірмені оның жадында немесе дискіде (интернетсіз қатынасуға болады) сақтаңыз.
830	travel	Шекарадан өтетін пойыздарда тексерулер қозғалып келе жатқан кезде орындалады, осы орайда осындай пойызға отырғызу кезінде сіздің жарамды куәлігіңіз болуы қажет.
150	business	Банкты мемлекеттендіру алдында Сэр Ричард Брэнсонның Virgin Group компаниясының банкке ұсынысы қабылданбаған.
1806	travel	Пілдер және керіктер сияқты кейбір жануарлар көліктерге жақындауға бейім және стандартты жабдық жақсылап көруге мүмкіндік береді.
902	disasters	Торнадо — айналадағы ауаны ішке және жоғары қарай соратын өте төмен қысымды ауаның айналып жатқан бағанасы.
1225	sports	Дель Потро екінші соққыда ерте басымдылыққа ие болды, бірақ бұл 6-6-ға жеткеннен кейін тай брейкті қажет етті.
1342	science	Химикаттың қышқылдығы немесе сілтілігіне байланысты орамжапырақ шырынының түсі өзгереді.
1959	nature	Плитвиц көлдері ұлттық паркін қалың орман жапқан. Орман негізінен қайың, шырша және майқарағай ағаштарынан тұрады. Орманда альпылық және жерортатеңіздік өсімдіктер аралас өседі.
341	business	Дүниежүзілік қаржылық жағдайға қатысты Запатеро сөзін былай жалғастырды: «қаржылық жүйе — экономиканың бөлігі, негізгі бөлігі.
352	science	Беттік керілу судың бетіндегі су молекулалары өзара олардың үстіндегі ауа молекулаларына салыстырғанда қатты тартылуынан пайда болады.
448	nature	Жыл сайын қазан айына таман шамамен 1,5 миллион шөпқоректілер жаңбырлар үшін солтүстік төбелерден, Мара өзені арқылы, оңтүстік жазықтықтарға қарай жүреді.
386	politics	Король Седжон Чосон династиясынан төртінші король және ең құрметтелгені болған.
1438	religion	Шіркеудің орталық билігі мың жылдар бойы Римде болған және бұл қуат пен ақшаның шоғырлануы көп адамдарда бұл принциптің ұсталынып жатқаны туралы сұрақтың туындауына әкелді.
394	politics	Бірақ Корольдік әскери-теңіз флоты Германия әскери-теңіз күштеріне («Кригсмарин») қарағанда әлдеқайда күшті болды және ағылшын арнасы арқылы жіберілген кез-келген шабуылдау флотын жойып жіберуі мүмкін еді.
1977	education	Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.
1719	nature	Крюгер ұлттық паркі Оңтүстік Африканың солтүстік шығысында орналасқан және шығыста Мозамбик шкарасының бойымен, солтүстікте Зимбабве шекарасының бойымен өтеді және Қолтырауын өзені оңтүстік шекара болып табылады.
29	crime	Ирактың Абу-Грейб түрмесі тәртіпсіздіктер уақытында өртелді.
845	entertainment	"Дегенмен қазіргі таңда атақты граффити суретшілері, граффити іс-шаралары және ""рұқсат"" етілген арнайы алаңдар бар. Осы тұрғыдан алса, граффити суреттері оқылмайтын бейнелерден гөрі көркем шығармаға ұқсайды."
165	crime	Мумбайдағы шабуылдаушылар 2008 жылдың 26 қарашасында қайықпен келді. Олар өздерімен бірге гранаталарды, автоматтық қаруларды әкелді және бірнеше нысанаға тиді, соның ішінде адам толы Чатрапати Шиваджи Терминус теміржол станциясы және атақты Тадж-Махал қонақүйі бар.
261	business	Бұрын Нигерия саммитке дейінге аптада AfCFTA ұйымына қосылуды жоспарлап жатқанын хабарлады.
531	sports	Қалыпты айналым кезінде он сегіз шұңқыр ойналады, ойыншылар әдетте жолдың бірінші шұңқырынан бастап, он сегізінші шұңқырда аяқтайды.
1599	nature	Мутациялар түріне, әсер ететін генетикалық материалдың маңыздылығына және жасушалардың ұрық жасушалары екендігіне байланысты әр түрлі әсер етуі мүмкін.
428	geography	Түркия территориясы ұзындығы 1600 км-ден (1000 миль) және ені 800 км-ден (500 миль) асатын төртбұрышты пішінде.
1206	health	Гамильтон Говард университетінің ауруханасы пациентті қалыпты күйінде қабылдағанын растады.
277	politics	Массачусетс штатының бұрынғы губернаторы Митт Ромни сейсенбі күні Флоридадағы Республикашылар партиясының президенттік сайлауында 46 пайыздан астам дауыспен жеңіске жетті.
2	disasters	JAS 39C Gripen ұшағы жергілікті уақытпен (0230 UTC) шамамен 9:30-да ұшып-қону жолағында апатқа ұшырап, жарылды. Мұның салдарынан әуежайда коммерциялық рейстер жабылды.
719	geography	Доминикан Республикасы (испан. República Dominicana) - Эспаньола аралының Гаитимен ортақ шығыс жарты бөлігін алатын Кариб теңізіндегі ел.
324	geography	Флориданың Майами қаласынан шамамен 3 000 миль қашықтықта орналасқан дауылдың максималды тұрақты жылдамдығы 40 миль/сағ (64 км/сағ) құрайды.
15	business	«Панамалық досье» Mossack Fonseca дегене панамалық заңгерлік фирманың шамамен он миллион құжатына арналған жалпылама термин. Бұл құжаттар 2018 жылдың көктем айында баспасөзге жылыстаған.
13	sports	Надаль ойында таза 88% ұпай алды, оның 76 ұпайын берісте-ақ жеңіп алды.
