	index_id	category	text	gpt-3
0	1523	science/technology	تغیر پذیری منز چُھ نئین جینیاتی تغیراتن ہند اضافہ گژھان، تہٕ انتخاب چُھ اتھ ظاہر شدہ تغیرک جوہر نش نبر کڑان۔	I'm sorry, but I am unable to understand the language you have used. Can you please provide the text in English?
1	1644	science/technology	فِیجن بم چِھ یتھ اصولس پیٹھ کٲم کران کہ اکِھ نیوکلئیس چِھ واریاہن پروٹانن تہِ نیوٹرانن سۭتۍ جوڑتھ توانٲئیی ہِنز صرورت پیوان۔	I'm sorry, but I am unable to understand the language you have provided. Can you please provide the article in English or specify the category you would like me to assign?
2	558	science/technology	نیوکلئیس چُھ دۄن چیزن ہُند بَنیومُت۔ نیوٹران تہٕ پروٹان۔	This news article appears to be related to science/technology.
3	456	science/technology	یِمو دِیُت زوم لینسِزن اتھ معیارکِس تَصویرس تیار کرنچ اجازت ہُس زِ فکسڈ فوکل لینتھی وٲل لینسزٕ ذریعہٕ حٲصِل آو کرنہٕ-	I'm sorry, but I am unable to understand the language you have used. Can you please provide the text in English so that I can assist you?
4	906	science/technology	تِم چھ کیہہ وجوہاتہٕ کین بنادتس پیٹھ ویب پراکسی سٔتۍ برتر:تِم چھ تمام انٹرنیٹ ٹریفکس دوبارٕ روٹ کران، نہ صرف ایچ ٹی ٹی پی۔	I'm sorry, but I am unable to understand the language you are using. Can you please provide the text in English so that I can assist you?
5	452	science/technology	انٹرایکٹو ڈیزائنن ہِیُند تقاضہٕ چُھ یہٕ زِأس پزٕ میڈیا پروڈکشن کِس بارس منٛز پنیٚن خَیالن ہُیند بیہٕ اکہٕ لٹۍ جٲئزِ کرُن تہٕ غٲر لکیرٕ طریقہٕ سٔتۍ سوچنُن ہچِۄ۔	Based on the provided text, it is difficult to determine the category of this news article.
6	1557	science/technology	یِہ بنیی عام عمل، مگر شیشتٕر کہِ وجہ سٕتۍ آیہ ویگنن پیٹھ لکرِۄ چَکرٕہ لاگنہٕ۔	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English so that I can assist you?
7	1360	science/technology	پرٚایِڑ چھِ اکہِ پَتہٕ ترے متعلقہ بالغ مردن پیٹھ مشتمل آسان،سۭتۍ ہیٚتھ ترٕٛہ زَنان تہ بَچہِ تہِ آسان۔	I'm sorry, but I am unable to understand the language you have used. Can you please provide the text in English so that I can assist you better?
8	1675	science/technology	اگرچہ اے اییس چِھ ساینس فِکشنچ مضبوٗط مفہوٗم، اے ایی چُھ کمپیوٹر سائنسٕچ اکھ واریاہ اہم شاخ بناوان، یۄس مشینہِ منٛز رٔویس، ہیٚچھنس تہٕ ذہین موٲفقتن سۭتۍ وابستہٕ چھےٚ۔	This piece of news seems to be related to science/technology, specifically computer science and artificial intelligence.
9	1430	science/technology	أمہٕ فارمیٹُک رۄخُک تنٲسِب (آسٲنی سآن پُورٕ نمبرُک تنٲسِب حٲصِل کرنہٕ خٲطرٕ کہس سٔتی تقسیم کرُن) 3: 2 چُھ وننہٕ یِوآن۔	I'm sorry, but I am unable to understand the language you have used. Could you please rephrase your question in English?
