	index_id	category	text	gpt-3
0	1523	science/technology	بڼه کې بدلون نوي جینیاتي تغیرات اضافه کوي، او انتخاب له لارې د اظهار شویو تغیراتو له ټولنې څخه لرې کیږي.	Based on the provided text, it appears to be written in a language that I am unable to understand. Therefore, I am unable to categorize it into any specific news category.
1	1644	science/technology	د انشقاق بم په دې اصول کاربند دی چې ګڼشمېر پروټانونه او نیوټرانونه لرونکی یوه هسته جوړولو لپاره د انرژۍ اړتیا وي.	This piece of news seems to be related to science/technology.
2	558	science/technology	لیبریشن_او_ لویدیز_ اروپا نیوکلیوز دوه برخې لري - نیوټران او پروټون.	I apologize, but I am unable to understand the language you have used. Could you please provide the article in English or specify the category you would like me to classify it under?
3	456	science/technology	دې زوم لینزونو ته اجازه ورکړې چې د کیفیت عکسونه تولید کړي چې د هغه سره د د پرتله کولو وړ وي کوم چې د ټاکل شوي فوکل اوږدوالي سره ترلاسه شوي وي.	This piece of news seems to be related to science/technology. It discusses the production of high-quality lenses for cameras, specifically addressing the improvement of image quality and the use of advanced technology.
4	906	science/technology	هغوی د ځینو علتونو له وجې د انترنیتي پراکسیانو په پرتله ډیر غوره دي، هغوی ټول انټرنیټي ارتباطات بیرته راګرځوي نه یواځې چې ایچ تی تی پي.	I'm sorry, but I couldn't understand the language you used in your question. Could you please rephrase it in English?
5	452	science/technology	د تعاملي طرحې لپاره لازمي ده چې د رسنیو د تولید په اړه ته خپلې فرضیې بیاځلې وارزوې او د غیر خطي طریقو د فکر کولو لپاره زده کړه وکړې.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English?
6	1557	science/technology	دا طریقه عامه شوه خو اوسپنې د رېړیو لرګینې پایې زیاتې زر خوړلې.	I apologize, but I am unable to understand the language you have used. Can you please rephrase your question in English?
7	1360	science/technology	پراییډ یو له دریو اړونده بالغو نارینه او د دېرشو ښځینه او بچیو څخه څخه رامنځته کیږي.	I'm sorry, but I am unable to understand the language you have used. Can you please provide the text in English so that I can assist you?
8	1675	science/technology	که څه هم مصنوعي ذهانت د ساینسې فسانو ضمني معناوې ورکوي، خو مصنوعي ذهانت د کمپیوټر ساینس یوه ډېره مهمه څانګه ده، چې یوه ماشین کې چلند، زدکړې، او ځیرک تطبیق سره تړاو لري.	This piece of news seems to be related to science/technology, specifically artificial intelligence.
9	1430	science/technology	ددې فارمټ د ابعادو نسبت (په دولسو تقسیمیږي تر څو د ټول نمبر ساده نسبت لاسته راشي) ځکه د 3:2 یاديږي.	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English?
10	1907	science/technology	سېټلایټ فون عموماً د یو موبایل فون ځایناستی نه دی، ځکه چې زنګ وهلو لپاره تاسو باید دباندې سپوږمکۍ سره د ارتباط پاکې لیکې ولرئ.	This piece of news seems to be related to science/technology, specifically satellite phones.
11	1555	science/technology	که څه هم د رېړیو دا لارې یواځې د لرګیو موازي تیرونو څخه جوړې وې، خو په دغو د دوی څکوونکو اسونو کولای شول چې زیات سپیډ ولري او د هغه وخت د لږو زیاتو خرابو سړکونو په پرتله زیات درانه وزنونه راوڅکوي.	I'm sorry, but I am unable to understand the language you are using. Can you please rephrase your question in English?
12	1632	science/technology	له لرغونو زمانو راهیسې خلکو ته د بنیادي کیمیاوي عنصرونو لکه سرو زرو، سپینو زرو، او مسو په اړه معلومات شته، ځکه چې دا په فطري ځایونو کې خپل اصلي حالت کې موندای شي او قدیمو اوزارو سره يې درنګ کې راکیندنه په پرتله ييز ډول ساده.	This piece of news seems to be related to science/technology, specifically chemistry and elements such as hydrogen, oxygen, and copper.
