index_id	category	text
431	geography	Türkiyə, qərbdən Ege dənizi, şimaldan Qara dəniz, cənubdan isə Aralıq dənizi olmaqla, hər üç tərəfdən dənizlərlə çevrələnib.
403	science/technology	Müharibə yeni başlayanda əsasən suyun üzərində gəzən sualtı qayıqlar radar sistemi inkişaf etdikcə və daha dəqiqləşdikcə görünməmək üçün suyun altına girməyə başladı.
1592	science/technology	Yunan dilini mənimsəmə səviyyəsi azaldıqca, Qərb yunan fəlsəfəsi və elminin köklərindən tədricən qopmağa başladı.
993	entertainment	Lakin qış mövsümündə də fərqli bir gözəllik və cazibədar görüntüyə sahib olurlar, təpələrə bir çox məntəqələrdə böyük miqdarda qar düşdüyünə görə xizək və snoubord sürmək mümkün olur.
755	entertainment	Varlıların və günümüzün məşhurlarının gecələdiyi bu otellərdə çox yaxşı restoranlar və gecə həyatı olur.
1936	politics	Bu münaqişə, 1994-cü ildə şərqi Moldovanın öz hökuməti və valyutası olan, amma BMT-yə üzv olan ölkələrin heç biri tərəfindən tanınmayan öz müstəqiliyini elan edən Dnestryanı Moldav Respublikasının yaranmasına səbəb oldu.
1205	health	Epidemiyaya sülhməramlıların səbəb olduğunu BMT-nin xəstəliklər üzrə mütəxəssisi Daniele Lanteyn bildirib.
1692	geography	Şimaldan başlayan geniş ərazilərdə əhali seyrək məskunlaşıb, bəzi yerlərə isə demək olar ki, insan ayağı dəyməyib.
280	politics	Etiraz aksiyasını təşkil edən şəxslərin dediyinə görə, Almaniyanın Berlin, Köln, Hamburq və Hannover şəhərlərindən təxminən 100000 nəfər bu aksiyaya qoşulub.
247	politics	Həmin təmsilçilər, Pakistan Konstitusiyasının 247-ci maddəsinə istinadən hökumət və ədliyyə xidmətlərinin təmin edilməsindən məsuliyyət daşıyırdılar.
1439	politics	İngiltərə hərbi əməliyyatlara başladıqdan az sonra Almaniyanı dənizdən mühasirəyə aldı.
1239	entertainment	"""O"", mətbuat konfransı üçün yazılmış stenoqrama əsasən onun ""sevimli olduğunu və çox gözəl ifa etdiyini bildirdi""."
743	geography	Kuk adalarında şəhər yoxdur, amma 15 fərqli adadan ibarətdir. Ən böyük adalar Rarotonqa və Aitutakidir.
18	politics	Dünyanın hər yerində etirazların başlaması ilə bərabər bir sıra cinayət işləri açıldı və hadisələr İslandiya və Pakistan hökumətlərinin hər iki rəhbərinin istefa verməsi ilə davam etdi.
1344	science/technology	Elektronlarından ayrılmış protonlar hidrogen ionları hesab olunur, çünki hidrogen atomları bir proton və bir elektrondan ibarətdir.
688	travel	Başqa yerdə vaxt keçirmək vaxtı məhdud olan qonaqlar üçün ən ideal variant olardı.
556	science/technology	Atomun bütün maddələrin əsas struktur elementlərindən birini təşkil edir.
1645	science/technology	Bu, ağır yüklü arabanı hündür yerə sürməyə bənzəyir. Nüvənin yenidən bölünməsi ilə enerjinin bir qismi ayrılır.
907	science/technology	Onlar adətən daha yüksək ötürmə qabiliyyəti və daha yüksək xidmət keyfiyyəti təqdim edir, amma şifrləndikləri üçün onları izləmək çətindir.
1071	politics	Lakin Baş Nazir Con Hovard bildirdi ki, bu aktı qəbul etməkdə məqsəd 45 milyon Avstraliya dolları qarşılığında xəstəxana müəssisələrinin səviyyəsinin Tasmaniya hökuməti tərəfindən aşağı salınmasına imkan verməmək idi.
555	sports	Atletlər, hər hansı real bir faydası olmasa belə, bir məhsul seçdiklərini hiss edə bilər.
1203	health	Əsgərlər gəlməzdən əvvəl, Haiti 1880-ci illərdən bəri xəstəlik problemlərinə məruz qalmamışdı.
58	politics	Polis dedi ki, Lo Pikkolo Palermoda Provenzanonun sağ əli olduğu üçün üstün mövqeyə sahib idi və o, böyük təcrübəsi ilə yaşlı nəsil mafiya başçılarının hörmətini qazanmışdı. Bu mafiya başçıları Provenzanonun ətrafdakı gücü möhkəmləndirməklə onun səviyyəsini mümkün qədər aşağı tutma siyasətini davam etdirirdi.
1764	travel	Bundan əlavə, ayıların və vəhşi həyatın digər heyvanlarının iybilmə qabiliyyətinin yaxşı inkişaf etdiyini unutmayın, ona görə də qoxusu yayılan qidalar gəzdirməyin və ya bişirməyin, həmçinin düşərgəni təmiz saxlayın.
195	sports	Massanın 2009 mövsümünün geriyə qalan oyunlarında iştirak edəcəyi gözlənilmir.
1785	travel	Əvvəldən rezervasiya etməklə, səyahətçilər qalacaqları yerdə qonaqlama məkanları haqqında narahat olmur.
