index_id	category	text
797	technology	Wann Dir mat engem Laptop oder Tablet reest, da späichert eng Kopie a sengem Späicher oder op der Festplack (déi ouni Internet zougänglech sinn).
830	travel	An e puer grenziwwerschreidenden Zich gi Kontrolle wärend der Faart duerchgeféiert an Dir sollt eng gülteg Identitéitskaart bei Iech hunn, wann Dir an ee vun dësen Zich klammt.
150	business	Dem Sir Richard Branson säi Virgin Group huet eng Offer fir d'Bank ofgeleent, éier se verstaatlecht gouf.
1806	travel	E puer Déieren ewéi Elefanten a Giraffen neigen dozou, enk un Autoen erunzegoen a Standardausrüstung erméiglecht eng gutt Siicht.
902	disasters	En Tornado ass eng sech dréinend Sail aus Nidderdrockloft, déi d'Ëmgéigendloft no bannen an no uewe suckelt.
1225	sports	Den Del Potro hat de fréie Virdeel am zweete Saz, awer och deen huet en Tie-Break nom Erreeche vu 6:6 gebraucht.
1342	science	Kabessaaft ännert seng Faarf, jee nodeem, ewéi sauer oder basesch (alkalesch) d'Chemikalie ass.
1959	nature	Den Nationalpark Plitvicer Séien huet vill Bëscher – virun allem Bichen, Fiichten an Dännen – a weist eng Mëschung aus alpiner a mediterraner Vegetatioun op.
341	business	"Wat d'global Finanzlag ugeet, huet den Zapatero weider gemengt, ""ass de Finanzsystem een Deel vun der Wirtschaft, en entscheedenden Deel."
352	science	Uewerflächespannung entsteet, well d'Waassermoleküllen un der Waasseruewerfläch méi staark vuneneen ugezu ginn ewéi d'Loftmoleküllen iwwer hinnen.
448	nature	All Joer ëm den Oktober zéie bal 1,5 Millioune Planzefriesser aus den nërdleche Bierger wéinst dem Reen a Richtung vun de südlechen Eebenen iwwer de Mara.
386	politics	De Kinnek Sejong war de véierte Kinnek vun der Joseon-Dynastie an hien ass ee vun den ugesinnsten.
1438	religion	D'zentral Autoritéit vun der Kierch war zanter iwwer dausend Joer zu Roum an dës Konzentratioun vu Muecht a Suen huet der vill dozou bruecht, dorun ze zweiwelen, ob dëse Grondsaz erfëllt gouf.
394	politics	Awer d'Royal Navy war ëmmer nach vill méi staark ewéi d'däitsch Kriegsmarine an hätt jiddwer Invasiounsflott zerstéiere kënnen, déi iwwer den Äermelkanal geschéckt gi wier.
1977	education	Onnéideg ze soen, wann Dir eng romanesch Sprooch kennt, gëtt et méi einfach Portugisesch ze léieren.
1719	nature	De Kruger-Nationalpark (KNP) läit am Nordoste vu Südafrika a verleeft laanscht der Grenz zu Mosambik am Osten, Simbabwe am Norden an de Crocodile River bilt d'südlech Grenz.
29	crime	Den irakesche Prisong Abu Ghraib gouf wärend enger Revolt a Brand gesat.
845	entertainment	"Hautdesdaags ginn et awer etabléiert Graffitikënschtler, Graffitiveranstaltungen a ""legal"" Maueren. Graffitizeechnungen gläichen an dësem Zesummenhang dacks éischter Konschtwierker wéi onlieserlechen Taggen."
165	crime	D'Ugräifer aus Mumbai sinn de 26. November 2008 mat engem Boot ukomm an hu Granaten an automatesch Waffe matbruecht a méi Ziler ugegraff, dorënner déi iwwerfëllt Gare Chhatrapati Shivaji Terminus an de berüümten Taj Mahal Hotel.
261	business	Nigeria huet virdrun ugekënnegt, an der Woch vum Sommet dem AfCFTA bäizetrieden.
531	sports	Wärend enger normaler Ronn ginn uechtzéng Lächer gespillt. D'Spiller fänken normalerweis um éischte Lach vun der Golfplaz un an halen um uechtzéngte Lach op.
1599	nature	Mutatioune kënne jee no der Aart vun der Mutatioun, der Signifikanz vum Deel vum betraffene geneetesche Material a jee nodeem, ob déi betraff Zelle Keimbunnzelle sinn, ënnerschiddlech Auswierkungen hunn.
428	geography	D'Gebitt vun der Tierkei ass méi ewéi 1 600 Kilometer (1 000 Meile) laang an 800 km (500 Meile) breet, mat enger rechteckeger Form.
1206	health	D'Hamilton huet bestätegt, datt d'Howard University Hospital de Patient an engem stabillen Zoustand opgeholl huet.
277	politics	De fréiere Gouverneur vu Massachusetts Mitt Romney huet en Dënschdeg mat iwwer 46 Prozent vun de Stëmmen d'Presidentschaftswal vun der republikanescher Partei vu Florida gewonnen.
