index_id	category	text
431	geography	Turkion ĉirkaŭas maroj de tri flankoj: la Egea Maro en okcidento, la Nigra Maro en la nordo kaj la Mediteranea Maro en la sudo.
403	science/technology	En la komenco de la milito ili plejparte vojaĝis sur surfaco de la maro, sed kiam radaro ekevoluis kaj iĝis pli preciza, la submarŝipoj estis devigitaj subakviĝi por ne estis videblaj.
1592	science/technology	Dum scipovo de la greka malkreskis, la Okcidento evidentiĝis disigita de siaj grekaj filozofiaj kaj sciencaj radikoj.
993	entertainment	Ili tamen havas malsamajn belecon kaj ĉarmon dum la vintro. Ĉe multaj el ili neĝas tiom multe, ke ili proponas agadojn kiel skiadon kaj neĝtabuladon.
755	entertainment	Gastante en tiaj hoteloj, la tiamaj riĉuloj kaj famuloj ofte festenis kaj noktis.
1936	politics	En 1994, ĉi tiu konflikto kondukis al la kreado de memproklamita Respubliko Transnistrio en la oriento de Moldavujo, kiu havas sian propran registaron kaj valuton, sed kiun agnoskas neniu membroŝtato de UN.
1205	health	Danielle Lantagne, fakulo de UN pri la malsano, asertis, ke ĝia ekapero verŝajne estis kaŭzita de la pactrupoj.
1692	geography	Vastaj areoj pli norden estas sufiĉe maldense loĝataj, kelkaj estas preskaŭ neloĝataj sovaĝejoj.
280	politics	Organizantoj de la protesto informis, ke proksimume 100 000 homoj partoprenis en germanaj urboj tiaj kiel Berlino, Kolonjo, Hamburgo kaj Hanovro.
247	politics	Tiuj agentoj respondecas pri provizado de registaraj kaj juraj servoj laŭ artikolo 247 de la pakistana konstitucio.
1439	politics	Baldaŭ post la ekflamo de batalado, Britio iniciatis maran blokadon de Germanio.
1239	entertainment	"""Ŝi estas tre ĉarma kaj ankaŭ sufiĉe bele kantas"", li diris laŭ transskribo de la gazetara konferenco."
743	geography	Kukinsuloj havas neniun urbon, sed 15 apartajn insulojn. La precipaj estas Rarotonga kaj Aitutaki.
18	politics	En la tuta mondo okazis protestoj, kelkaj krimprocesoj, kaj estroj de registaroj en Islando kaj Pakistano ambaŭ eksiĝis.
1344	science/technology	Hidrogenaj ionoj estas protonoj, kiuj estis senigitaj je siaj elektronoj (ĉar hidrogena atomo konsistas el unu protono kaj unu elektrono).
688	travel	Vizitantoj kun malmulta tempo prefere pasigu sian tempon aliloke.
556	science/technology	Oni povas konsideri atomon unu el la fundamentaj konstrublokoj de ĉiu materio.
1645	science/technology	Similas al puŝado de peza ĉareto supren laŭ deklivo. Fendi la nukleon do denove liberigas iom da tiu energio.
907	science/technology	Ili kutime havigas pli altan kapaciton kaj pli bonkvalitan servon. Ili estas ĉifritaj kaj tial pli malfacile spioneblaj.
1071	politics	Tamen ĉefministro John Howard diris, ke la ago estis nur por sekurigi la ekipaĵon de la malsanulejo kontraŭ redukto fare de la tasmania registaro, per aldono de 45 milionoj da aŭstraliaj dolaroj.
555	sports	Atletoj povas senti, ke ili preferas varon eĉ kiam ĝi donas neniun veran utilon.
1203	health	Antaŭ kiam la trupoj venis, Haitio ne havis problemojn rilatajn al tiu malsano ekde la 1800aj jaroj.
58	politics	Policanoj diris, ke Lo Piccolo gajnis, ĉar li estis la dekstra mano de Provenzano en Palermo kaj lia pli granda sperto donis al li respekton de la pli aĝa generacio de ĉefoj, dum ili sekvis politikon de Provenzano pri fortigo de siaj potencaj retoj sen alvoki grandan atenton.
1764	travel	Krome, konsciu, ke odoroj allogas ursojn kaj alian faŭnon, kaj tial evitu kunporti aŭ kuiri odorajn manĝaĵojn kaj tenu la kampadon pura.
195	sports	Massa atendeble forestos almenaŭ la reston de la sezono 2009.
1785	travel	Frua rezervado donas al vojaĝantoj trankvilon, ke ili havos dormejon alveninte al sia celloko.
600	science/technology	Elementoj kaj kombinaĵoj povas transiri de unu stato al alia kaj ne ŝanĝiĝi.
553	sports	Mezdistanca kurado estas relative malmultekosta sporto, tamen estas multaj miskomprenoj rilate la nemultajn ekipaĵojn neprajn por partopreni.
1720	geography	La parko enhavas 19 500 km² kaj dividiĝas en 14 apartaj ekozonoj, kiuj ĉiuj subtenas diferencan bestaron.
1622	geography	Amazono estas la dua plej longa kaj la plej granda rivero de la Tero. Ĝi portas pli ol 8-oble pli multe da akvo ol la dua plej granda rivero.
1441	politics	Britio traminis internaciajn akvojn por malebligi eniron de ajnaj ŝipoj en tutajn sekciojn de oceano, endanĝeriginte eĉ neŭtralajn ŝipojn.
566	health	Vidkapablo, aŭ la kapablo vidi, dependas de sensorganoj de vidsistemo, aŭ okuloj.
1515	science/technology	La specialaj ecoj de Interreto donas kromajn dimensiojn al la teorio pri uzoj kaj rekompencoj.
585	science/technology	Tamen la unua vera teleskopo estis farita en Eŭropo en la fino de la 16a jarcento.
1689	geography	Otavo estas ĉarma dulingva ĉefurbo de Kanado kaj ĝi havas aron de artgalerioj kaj muzeoj, kiuj prezentas pasintecon kaj nuntempon de Kanado.
1256	health	La komponaĵo de tiuj kristaloj koincidas kun tiuj trovitaj en la urino de la efikitaj dorlotbestoj, komparante per infraruĝa spektroskopio (FTIR).
60	science/technology	Ĉefdirektoro de Apple Steve Jobs inaŭguris la aparaton, elirinte sur scenejon kaj eliginte iPhone el poŝo de sia ĝinzo.
32	sports	Dum la aŭtoj antaŭ Alonso iris preni brulaĵon sub la sekureca aŭto, li moviĝis antaŭ ĉiuj por gajni.
1411	politics	Dum la revolucia milito, la dek tri ŝtatoj komence formis malfortan centran registaron — kun kongreso kiel ties sola komponanto — sub la Artikoloj de Konfederacio.
13	sports	Nadal kolektis 88% netajn poentojn en la matĉo, gajninte 76 poentojn en la unua serviro.
