index_id	category	text
431	geography	Turčijo s treh strani obkroža morje: Egejsko morje na zahodu, Črno morje na severu in Sredozemsko morje na jugu.
403	science/technology	Na začetku vojne so večinoma plule po gladini morja, z razvojem in vedno večjo natančnostjo radarjev pa so se bile podmornice prisiljene potopiti pod vodo, da jih niso opazili.
1592	science/technology	Z upadanjem znanja grščine se je zahodni svet odrezal od svojih grških filozofskih in znanstvenih korenin.
993	entertainment	Pozimi so drugače lepe in očarljive in veliko hribovskih letovišč dobro zasneži in tako ponujajo aktivnosti, kot so smučanje in deskanje.
755	entertainment	To so bili hoteli, v katerih so bivali bogataši in slavni takratnega časa, in so pogosto nudili odlične restavracije ter nočno življenje.
1936	politics	Leta 1994 je ta konflikt privedel do oblikovanja samooklicane Pridnestrske republike v vzhodni Moldaviji, ki ima svojo lastno vlado in valuto, ne priznava pa je nobena članica ZN.
1205	health	Danielle Lantagne, strokovnjakinja ZN za to bolezen, je izjavila, da so izbruh verjetno povzročili mirovniki.
1692	geography	Obširna področja naprej proti severu so precej redko poseljena, nekaj področij pa je skoraj neposeljena divjina.
280	politics	Po besedah organizatorjev protesta se je v nemških mestih, kot so Berlin, Köln, Hamburg in Hannover, zbralo okoli 100.000 ljudi.
247	politics	Ti agenti so odgovorni za zagotavljanje vladnih in sodniških služb v skladu z 247. členom pakistanske ustave.
1439	politics	Kmalu po izbruhu sovražnosti je Britanija vzpostavila pomorsko blokado Nemčije.
1239	entertainment	"""Zelo je prisrčna pa tudi poje kar dobro,"" naj bi dejal glede na prepis novinarske konference."
743	geography	Cookovi otoki nimajo mest, ampak so sestavljeni iz 15 različnih otokov. Glavna otoka sta Rarotonga in Aitutaki.
18	politics	Po celem svetu so izbruhnili protesti, izvedli so več kazenskih pregonov, voditelja islandske ter pakistanske vlade pa sta odstopila.
1344	science/technology	Vodikovi ioni so protoni, ki so jim odvzeli elektrone (vodikovi atomi so namreč sestavljeni iz enega protona in enega elektrona).
688	travel	Za obiskovalce, ki imajo omejen čas, bi bilo bolje, da ga preživijo drugje.
556	science/technology	Atom lahko štejemo kot enega temeljnih gradnikov vseh snovi.
1645	science/technology	Podobno, kot bi v klanec potiskali težek voziček. Del te energije se nato sprosti s ponovno cepitvijo jedra.
907	science/technology	Običajno nudijo višjo pasovno širino in kakovostnejšo storitev. Poleg tega so tudi šifrirani, zato so bolje zaščiteni pred vohuni.
1071	politics	Predsednik vlade John Howard pa je rekel, da bo zakon zgolj varoval bolnišnične objekte pred tem, da bi jih tasmanska vlada degradirala, tako da jim zagotovi dodatnih 45 milijonov avstralskih dolarjev.
555	sports	Športnikom je lahko nek izdelek ljubši, tudi če nima dejanskih prednosti.
1203	health	Do prihoda čet se Haiti že od 19. stoletja ni soočal s težavami, povezanimi s to boleznijo.
58	politics	Policija je povedala, da je bil Lo Piccolo na močnejšem položaju, saj je bil v Palermu desna roka Provenzana, zaradi velike izkušenosti pa je pridobil spoštovanje starejše generacije šefov, ki so sledili Provenzanovemu pravilu, da je treba ostati kar se da neopažen in hkrati jačati svojo mrežo moči.
1764	travel	Poleg tega morate vedeti, da vonjave privlačijo medvede in druge divje živali, zato ne nosite ali kuhajte hrane z močnim vonjem in v kampu ohranjajte čistočo.
195	sports	Massa bo odsoten najmanj do konca sezone 2009.
1785	travel	Z vnaprejšnjo rezervacijo si popotnik zagotovi, da bo imel kje spati, ko pride do izbrane destinacije.
600	science/technology	Elementi in spojine lahko prehajajo iz enega stanja v drugega, pri čemer se ne spremenijo.
553	sports	Tek na srednje proge je relativno poceni šport; vendar pa obstaja veliko napačnih predstav, ki se tičejo nekaterih delov opreme, potrebne za sodelovanje.
1720	geography	Park pokriva 19.500 km² in se deli na 14 različnih ekoloških območij, pri čemer vsako podpira drugačno skupino prostoživečega živalstva in rastlinstva.
1622	geography	Reka Amazonka je druga najdaljša in hkrati največja reka na Zemlji. Vsebuje več kot 8-krat toliko vode kot druga največja reka.
1441	politics	Velika Britanija je minirala mednarodne vode, da bi ladjam preprečila dostop do celotnih območij oceana, s čimer je ogrožala tudi nevtralne ladje.
566	health	Vid ali sposobnost gledanja je odvisna od optičnega sistema čutila ali oči.
1515	science/technology	Svojstvene značilnosti interneta omogočajo nove razsežnosti v smislu uporabe in pristopa do nagrajevanja.
585	science/technology	Prve prave teleskope so izdelovali v Evropi konec 16. stoletja.
1689	geography	Ottawa je očarljiva, dvojezična prestolnica Kanade in se ponaša s številnimi umetniškimi galerijami in muzeji, v katerih je predstavljena preteklost in sedanjost Kanade.
1256	health	Ob primerjavi z infrardečo spektroskopijo (FTIR) se sestava teh kristalov ujema s sestavo tistih, ki so jih našli v urinu prizadetih hišnih ljubljenčkov.
60	science/technology	Direktor Appla Steve Jobs je napravo predstavil tako, da je stopil na oder in vzel iPhone iz žepa svojih kavbojk.
32	sports	Ko so vozniki pred Alonsom vozili za varnostnim avtom zaradi dotakanja goriva, se je ta prerinil v ospredje in zmagal.
1411	politics	Med revolucionarno vojno je trinajst držav z določbami o konfederaciji najprej oblikovalo šibko osrednjo vlado – sestavljal jo je samo kongres.
13	sports	Nadal je v obračunu osvojil 88 % točk na mreži, saj je v prvem servisu dobil 76 točk.
1941	travel	Širokim alejam, stavbam s steklenimi pročelji in sodobnim trgovinskim centrom delajo družbo tradicionalne opečnate strehe, tržnica iz 18. stoletja ter stare mošeje in cerkve, čeprav ima mesto bolj evropsko mediteransko ozračje kot tradicionalno turško.
732	sports	Whistler (1,5 ure vožnje iz Vancouvra) je drag, vendar je dobro poznan zaradi zimskih olimpijskih iger 2010.
871	entertainment	Naj vaš dom zjutraj zadiši po dobri kavi, ponoči pa po sproščujočem kamiličnem čaju.
886	geography	Antarktika je najhladnejši kraj na Zemlji in obdaja južni tečaj.
362	science/technology	Po več sto urah delovanja žarilna nitka v žarnici sčasoma pregori in žarnica ne deluje več.
1578	health	Na nalepki preverite, ali so točno za ta strup navedena specifična navodila za prvo pomoč.
996	travel	V vsakem primeru morate za rezervacijo neposredno poklicati letalsko družbo.
197	health	Predsednikovo stanje je stabilno, vendar bo nekaj dni vseeno v domači izolaciji.
460	entertainment	Večina televizorjev je narejenih tako, da zadovoljijo potrebe širše javnosti.
