index_id	category	text
797	technology	Lama laptop (sh) tablet hte hkrun lam hkawm yang, de a memory (sh) jak pa (internet nlu tim mai lang ai) hta kanan bang lang u.
830	travel	Mungdan lai di wanleng nkau ni hta, jep ai lam ni hpe wanleng ding yang lagat let sha galaw ai, wanleng langai gaw jarik langai du ai ten nang hta tara shang ID nang hte rau nga taw ra na.
150	business	Slg. Richard Branson na Virgin Hpung gaw mungdan masat gumhpraw dum hpe madung galaw ai hta ninghkap hkrum ai lam loi mi nga ai.
1806	travel	Dai zawn magoi hte lagaw galau dusat ni hpe mawdaw hte a ni sha sa yu ai ngut nna atsawm lu yu na matu rai ni hpe mung la sa na ahkang jaw da ai.
902	disasters	Bunghpoi laru gaw nbung na kata de ntsa de na grup yin ma hkra hpe chyup la nna dip n-gun grai nem ai nbung gayin shadawn langai re.
1225	sports	Del Potro gaw daw lahkawng ginsup hpang ai shaloi loi grau hkrak taw ai raitim, 6-6 masat du ai shaloi gan jahkring kau ra ai.
1342	science	Chyinghkrang makai ntsin gaw et sit npawt nhpang (jum dat rawng ai) dat jasat gara hku re ai hta hkan nna nsam ni galai shai wa ai re.
1959	nature	Plitvice nawn Myu sha nampan sun gaw nam ni hte hpring nga nna madung gaw kinsa hpun, marau hpun amyu ni hte Alpine bum hte Mediterranean a hpun kawa ni rau gayau nga ai re.
341	business	"Mungkan ting a sut masa hpe mahta nna Zapatero matut tsun ai gaw ""sut gumhpraw hte seng ai gawda hkrang gaw sut lu nga mai lam a ahkyak dik ai daw langai mi rai nga ai."
352	science	Hka ntsa man na hka molecule ni a majaw ntsa man ja dingkang lam byin ai gaw de lahta na nbung molecule ni hta langai hte langai ngang ngang matut da ai lam a majaw re.
448	nature	Hpun lap sha dusat wan 1.5 ram gaw shaning shagu marang ra ai majaw dingdung kawng mayan kaw na Mara Hka nu lai di nna dingda pa layang de hkawm sa ma ai.
386	politics	Sejong hkawhkam gaw Joseon hkaw dung ladaw a mali lang na hkawhkawm rai nna na chying hkungga ging ai hkawhkam langai rai nga ai.
1438	religion	Moi shaning hkiyng hku kaw na Roma kaw nawku jawng kaba nga ai re ngut nna dai hpe galaw wa ai ngun atsam hte gumhpraw hpe grai kam sham ai kun ngu ga san ni pru wa ai.
394	politics	"Raitim Hkawhkam amyu a Hka dap gaw German hka dap (""Kriegsmarine"") hta grau n-gun ja ai majaw Inglik maga de shana nna shang gasat na matu nmai byin chye ai."
1977	education	Tsun na pi nra, lama nang Roma ga chye yang, na matu Portugal aga sharin na matu grua loi na re.
1719	nature	Kruger Amyu sha Nam pan sum (KNP) gaw dingda Afrika a dingdung sinpraw maga hte Mozambique a sinpraw maga na ga jarit mayan hkan, Zimbabwe a dingdung maga de shanu nga ai rai nna dingda jarit mayan gaw Crocodile hka re nga ai.
29	crime	Iraq na Abu Ghraib bawng masha gaw kasu kabrawng byin ai laman hta rim dat ai.
845	entertainment	Raitim, ya ten hta graffiti ninghkring, graffiti lamang ngut nna tara shaing ai shakum ni hpe hpang wa ai. Graffiti sumla ka ai gaw tara nshang ai hta sumla hpanji ni hpe mahkawng wa ai.
165	crime	Mumbai kasat ai ni gaw hkali hte 2008 November 26 ya hta du wa ai, shanhte gaw bawm, laknak ni law wa nna mying kaba ai Taj Mahal manam jarawp hte masha kabrawng ai Chhatrapati Shivaji Terminus wanleng daru hta yaw shada lam nga nna kasat wa ma ai.
261	business	Nigeria mungdan gaw du na bat hta galaw hkyen ai AfCFTA zuphpawng de shang lu na matu hkyen lajang lai wa ai lam hpe ndau shana lai wa sai.
531	sports	Ginsup masha ni gaw ningshawng hku hta hpang nna ayan na hku sha shi matsat hta shangut ai hte hku shi matsat bang ginsup ai gaw ayan na shara shagu ginsup ai lam re.
1599	nature	Galai shai ai lam gaw, galai shai ai hpan, ginsai ni hte seng ai arung arai ni akyu jaw ai lam hte seng ai daw chyen ni a alak mi lachyum pru ai lam, shanhtum akyu jaw ai lam gaw ginsai sumri shanhtum ni re ai lam ni hkan nna nbung ai akyu hkam sha ai lam hpan hkum hkra lu mai ai re.
428	geography	Turkey madu ai ginwang ni gaw 1,600 kilometers (1,000 mi) galu nna 800 km (500 mi) hta grau dam nga nna rectangular hkrang zawn rai nga ai.
1206	health	Hamilton gaw Howard dakkasu tsi rung kawn na machyi masha gaw myit man ai masa de du taw sai ngu tsun ai hpe shagrin lai wa sai re.
277	politics	Massachusetts a up hkang du dingsa Mitt Romeny gaw Shanun ya shani hta Florida Republican Pati a tingnyang up lata ai lamang hta tsa lam shadang 46 hte me dang wa sai.
2	disasters	JAS 39C Gripen mying ai pyenli gaw, buga gindai ten 0230 UTC hta hpaga pyenli daru hte grai ni ai shara pyenli gat lam kaw hkrat nna kapaw ga mat ai.
719	geography	Dominican Republic (Spanish: Republica Dominicana) gaw Haiti hte rau Hispaniola zinlawng a singpraw maga chyen mi hpe up hkang lai wa ai Caribbean mungdan langai re.
324	geography	Dai nbung laru gaw Florida, Maimi kaw na deng 3,000 daram tsan nna yawm dik nbung bung shadang 40 mph (64 kph) nga ai.
15	business	"2016 ning machyan htawng shi ta hta ""Panama Laika pa"" ngu ai gaw Mossack Fonseka a Panama tara upadi kaw na wan shi hku re ai matsing ninghting laika pa ni a ga si ga ngau re."
13	sports	Nadal gaw ginsup lamang 88% hta amat 76 hte shawng lu nna dang ai.
1276	crime	Hka jun hkrum ai ni hpe Baba Kanjar, Bhutha Kanjar, Rapro Kanjar, Gaza Kanjar hte Vishnu Kanjar nga shamying ma ai.
37	entertainment	PBS lamang hta Emmy kumhpa dazin lahkawng daram jaw ai ngut nna dai gaw Sesame lam hte Mister Rogers nta makau daram sha lagat ai re.
1192	health	Sumla gayet sara hpe hpang e shi si mat ai shara, Ronald Reagan masat Los Angeles kaw na Califonia Dakkasu tsi rung kaba htaw sa da lai wa sai re.
1239	entertainment	"Shiga zuphpawng hta ka da ai laika hku na nga yang, shi tsun ai gaw, ""shi gaw yu ra shingni rawng nna mahkawn mung grai chye hkawn ai re."""
373	science	Lo a ginding aga gang n-gun gara hku na ngai hpe gang da ai kun? Lama nang lo ntsa man hta tsap yang, Mungkan ga kaw nga ai hta joi si grai tsang na ra ai.
42	disasters	Cape Verde zinlawng a sinna maga na 645 deng (1040km) ram hta nga ai, mawru gaw lamu ga shara gara hpe tim shahkri shama ai lam ndu shi yang hkoi mat na zawn re ai, nga tau hkrau tak maram ai ni tsun ai.
1780	travel	Panglai lungrawk mayan bu hkawm ai lam hpe shaning shagup nna sa hkawm ma ai rai tim, lungrawk hkan hkawm chyai ai majaw hkala nba hkrum ai lam gaw grai shau nga ai.
533	sports	Ndai game hpe tsingdu hta ginsup ai, hku grup yin na dai tsingdu pa ni hpe kadun dun re tsing shawt ai hte dai hpe atsit ngu tsun ai.
167	politics	Gasat hkat ai lam gaw India hte Pakistan a matut mahkai lapran kaw ja dingkang ai lam ni bang ya nga ai.
57	crime	"Ansa tsun ai hku nga yang, ""Pyada ni gaw arawng aya nga ai masha nkau mi kaw na majan hpe matut manoi baw sa wa mai ai lam hpe hkrit tsang ma ai."
1264	politics	Huhne gaw pru mat sai rai nna hkringmang hpung na shi shara kaw MP Ed Davey hpe galai bang na re. Hkringmang Daju Norman Lamb hpe sut masa hkringmang bungli a matu myit mada da nna Davey gaw bungli kaw na pru ya wa na re.
460	entertainment	TV lamang law malawng gaw yu maya masha ni hpe shapyaw na matu sha lajang da ai.
1911	education	Grau nna ndai gaw jawng pru mat wa ai ni kaw mying gumhkawng nga nna shanhte hpe shanhte a hpaji ningli hpe htingram la ai lam n-nga ai sha dakkasu nre shi yang laning mi hkring na ahkawng ahkang jaw ya nga ai.
1631	religion	Vatican mare a mungchying masha ni yawng gaw Raman Kahtawlik hpung shang masha ni rai nga ai.
1997	religion	Dai htung hking hpe hpran da ai Christian theological nga ai, raitim dai gaw pre-christian a bungli galaw ai lam hte htung hking ni a ahkyak ai lam rai chye ai.
142	sports	Utah Jazz yung ngoi ning hkring na COVID-19 virus nga ai hpe NBA dawdan ai gaw hkan sa ai.
197	health	Gumsan magam ai masa gaw azim sha naw re nga ai, shi hpe nta kaw tsan ai shara de nhtoi na na wa tawn da na rai tim.
107	geography	Tum makawp gaw mungkan ntsa du wa nna nbung kata de shang ai shaloi, jawhpawt hkying 5 (sinpraw ahkying) ram hta, Dingdung California, Oregon, Nevada, hte Utah ni a masha uhpung ni a matu gaw nhtoi kaji mi htoi taw na hpe myit mada ai.
295	health	Ji grawng pyenli ni hte magam gun jahku hpe hkyen lu ai, hkala hkrum ai gaw ladi daw ai langai sha re.
342	business	"Anhte hta shaning tup na ja gumhpraw ginchyum chyat mat wa ai, lai wa sai shata lahkawng hta gaw grau nna laja lana sawng mat ai, dai hpang de she ngai shadu ai, ja gumhpraw gat lawk ni bai kaja hpang wa ai."""
365	technology	Dai gaw wan ngun gaw wan pu kaw na gumhpaw de sa wa nna wan ngu hpe jaw ai majaw re nang dai socket kata kaw na gumhpraw hpe sa jum yang dai kaw wan ngun naw nga taw na re.
268	crime	Ndai gaw laika pung jai lang ai ni hpang de nra sharawng ai lam shabra ai kaw na aka spam, law law hpa sa ai e-mail hpe shingdang na matu shaning 2003 na upadi tara jahkrat masat da ai lam hpe jai lang ai gaw shawng nnan lang na mara dam hpe lu hkam la sai re.
426	education	Hkaw hkam kasha Charles gaw British hkawhkam nta masha ni kaw na shawng nnan jam mau gup lu ai wa rai nga ai.
1379	science	De a shakap galu ni gaw rep ai baw wa masen 70 jan hte hpring hkra rawng ai, de a n-gup lahta hta mung masen sha jan langai tu ai, tsun mayu ai gaw dai hta shang wa ai hpa rai timung lut lu na lam nnga ai.
135	nature	Shingra maka hte seng ai bying ningpawt ni gaw ra nrawng hkra kup tsup ai masa ni hpe shapraw lu hkra shada da langai hte langai dingchyai ai lam galaw lu ai. Ndai hka kara ni hpe ma dan dan leng leng law htam wa shangun ai.
1437	religion	Hkristan ni hkam la da ai madung langai gaw lu sut lu su ai gaw matsan mayan hkrum sha taw ai ni hpe garan jaw ai hta jai lang na matu re nna nawku hpung a alu ja gumhpraw mung dai madi madun lam a matu lak san galaw na matu re.
1687	education	Blogging gaw arau galaw na matu ngun re, ngut nna jawng ni hta lai nna jawng ma ni jat sharin na matu myi ngun jaw ai re.
1166	entertainment	"Radio shapoi dap ai web site hta lamang hpe ""ningnan shachyai dik hkra shachyai mai ai jawng dingsa na radio kamung naura!"" ngu htawng madun ai."
1111	health	Ndai byin pru ai lam gaw Indian asuya hpe laja lana ana zinli kap bra taw ai shara ni hkan wa rim ai ni hpe dap gram tawn nna shadawn ai lam hpe lit la sa wa na matu, hkying hku re ai jigrawng nta ni hpe jahten kau ai lam ni hte latung sat tsi ni hpe gat shabra na matu lit la ai lam galaw na matu alun jasu dat ai re.
