	index_id	category	text	gpt-3
0	1523	science/technology	Mutacio aldonas novan genan variadon, kaj selekto forigas ĝin el la grupo de videbla variado.	Based on the provided text, it appears to be written in Esperanto. However, I am unable to understand the specific content of the text. Please provide the text in English so that I can assist you in categorizing the news article.
1	1644	science/technology	La fisia bombo funkcias laŭ tia principo, ke bezonatas energio por kunmeti nukleon kun multaj protonoj kaj neŭtronoj.	I apologize, but I am unable to categorize the news article based on the provided text. The text you provided appears to be in Esperanto, and it does not contain any specific information about the topic of the news article. If you can provide more context or a translation, I would be happy to assist you in categorizing the news article.
2	558	science/technology	La nukleo konsistas el du specoj de partikloj - neŭtronoj kaj protonoj.	This is a piece of news regarding science/technology. It discusses the composition of the nucleus, which consists of two types of particles - neutrons and protons.
3	456	science/technology	Tio permesis al zomaj lensoj fari bildojn de kvalito, kiu kompareblas al tiu atingata per lensoj kun konstanta fokusa distanco.	This is a piece of news regarding science/technology. It discusses the permission given to zoom lenses to capture high-quality images comparable to those achieved by lenses with a constant focal distance.
4	906	science/technology	Ili estas pli bonaj ol retaj prokuriloj pro pluraj kialoj: ili redirektas la tutan interretan trafikon, ne nur HTTP-n.	This sentence does not appear to be a news article. It seems to be a statement about the advantages of using certain web browsers.
5	452	science/technology	Interaga projektado devigas vin retaksi viajn supozojn pri media produktado kaj lernu pensi en nelineara maniero.	I'm sorry, but I couldn't understand the language you used in your question. Could you please rephrase it in English?
6	1557	science/technology	Tio iĝis populara praktiko, sed fero kaŭzis pli rapidan eluziĝon de lignaj radoj de la vagonoj.	This piece of news seems to be related to technology, specifically the use of wooden wheels on train cars.
7	1360	science/technology	Gregon konsistigas de unu ĝis tri parencaj plenkreskaj maskloj kaj multaj ĝis tridek inoj kaj idoj.	I'm sorry, but I am unable to categorize the news article based on the information you provided. Could you please provide the actual news article or a brief summary of it?
8	1675	science/technology	Kvankam AI havas fortan nuancon de scienca fikcio, AI formas tre gravan branĉon de komputoscienco, kiu okupiĝas pri lernado kaj intelegenta adaptiĝo en maŝino.	This piece of news seems to be related to science/technology, specifically the field of artificial intelligence and machine learning.
9	1430	science/technology	La proporcio de tiu ĉi formato (dividita je dek du por ricevi la plej simplan entjeran proporcion) estas do nomata 3:2.	I'm sorry, but I couldn't understand the language you used in your question. Could you please rephrase it in English?
10	1907	science/technology	Satelita telefono ĝenerale ne estas anstataŭo por poŝtelefono, ĉar oni devas esti subĉiele ĉe klara vido de satelito por fari telefonvokon.	This piece of news seems to be related to technology.
11	1555	science/technology	Kvankam vagonvojoj simple konsistis el paralelaj lignaj tabuloj, ili permesis al la ĉevaloj tirantaj ilin atingi pliajn rapidojn kaj tiri pli pezajn ŝarĝojn, ol sur la iom pli malglataj vojoj de tiu tempo.	This piece of news appears to be regarding geography or transportation. It discusses the construction of railways and their advantages over other types of roads in terms of speed and carrying capacity.
12	1632	science/technology	Homoj sciis pri la bazaj kemiaj elementoj — kiel oro, arĝento kaj kupro — de antikveco, ĉar tiuj ĉi troveblas en naturo en baza formo kaj estas relative facile mineblaj per primitivaj iloj.	This piece of news seems to be related to science/technology, specifically chemistry and the basic chemical elements like gold, silver, and copper.
13	1354	science/technology	La rado ŝanĝis la mondon en nekredebla maniero. La plej granda afero ebligita de la rado, estas provizado de multe pli facila kaj rapida transportado.	This piece of news seems to be related to technology and transportation.
14	462	science/technology	Tion oni faris por garantii, ke la bildo kovru la tutan ekranon. Tion oni nomas troskanado.	I apologize, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
15	404	science/technology	Germanaj submarŝipoj nomiĝis U-boatoj. La germanoj estis tre lertaj pri navigado kaj uzado de siaj submarŝipoj.	This is a piece of news regarding history or military.
16	604	science/technology	Kvankam ĝia fizika stato povas ŝanĝiĝi, ĝia kemia stato restas la sama.	This statement does not appear to be a news article. It seems to be a sentence related to science or chemistry, but it is not a news piece.
17	352	science/technology	Surfaca tensio okazas, ĉar molekuloj de la akvo ĉe la surfaco de la akvo forte kuntiriĝas unu kun la alia, pli ol kun la molekuloj de la aero super ili.	This piece of news is regarding science/technology. It discusses the phenomenon of surface tension and how water molecules at the surface of water strongly attract each other more than they do with the molecules of the air above them.
18	459	science/technology	Unu el la plej frekventaj problemoj ĉe konvertado de filmo al DVD-formato estas troskanado.	This sentence does not appear to be a news article. It seems to be a statement about a common problem in converting movies to DVD format.
19	1519	science/technology	Speciale oni asertas, ke eblas diveni, ĉu persono mensogas, per ĝusta interpretado de mikroesprimoj.	Based on the provided text, it seems to be a piece of news related to science/technology. It discusses the ability to determine if a person is lying through the accurate interpretation of microexpressions.
20	1338	science/technology	Oron oni povas formi en plej diversaj fasonoj. Ĝin oni povas rulplatigi ĝis maldikaj fasonoj.	I'm sorry, but I couldn't categorize the news article based on the provided text. Could you please provide more information or the actual content of the article?
21	1679	science/technology	Sistemoj de AI estas nun ofte uzataj en la branĉoj de ekonomiko, medicino, inĝenierarto kaj militado, ĝi ankaŭ estas enkorpigita en kelkaj hejmaj komputiloj kaj videoludaj softvaraj aplikaĵoj.	This piece of news is regarding science/technology. It discusses the use of AI systems in various fields such as economics, medicine, engineering, and military, as well as its incorporation into home computers and video game software applications.
22	1428	science/technology	Ĝi estas plu produktata hodiaŭ, sed, kio pli gravas, ĝia proporcio estis heredita de la sensilaj formatoj de ciferecaj kameraoj.	Based on the provided text, it is difficult to categorize this piece of news accurately. It appears to be discussing some technical or scientific topic related to digital cameras, but more context is needed to determine the exact category.
