	index_id	category	text	gpt-3
0	1523	science/technology	الطفرة بتضيف تنوع جيني جديد، بس الانتقاء بيزيلها من تجميعة الاختلافات التعبيريّة.	This piece of news appears to be related to science/technology, specifically genetics and gene mutations.
1	1644	science/technology	القنبلة الانشطارية بتعمل على أساس أنها تجمع الطاقة عشان تكون نواة مليانة بالبروتونات والنيوترونات.	"This piece of news appears to be related to science/technology, specifically discussing nuclear fusion and the concept of an ""implosion-type"" nuclear bomb."
2	558	science/technology	النواة بتتكون من جسيمين هما النيوترونات والبروتونات.	This is a piece of news regarding science/technology. It discusses the composition of an atom's nucleus, which consists of neutrons and protons.
3	456	science/technology	دا أتاح لعدسات التكبير والتصغير إنها تنتج صور بجودة مماثلة للي حققتها العدسات اللي ليها طول بؤري ثابت.	This piece of news seems to be related to science/technology, specifically to advancements in lens technology.
4	906	science/technology	هي بتتميز على بروكسي الويب لأسباب: هي بتعيد توجيه جميع حركات المرور على الإنترنت، ومش بس عن طريق بروتوكول نقل النص الفائق.	This piece of text does not appear to be a news article. It seems to be a statement or description related to web proxies and their functionality.
5	452	science/technology	التصميم التفاعلي بيبقى عاوز أنك تعيد تقييم افتراضاتك عن الإنتاج الإعلامي وتتعلم تفكر بأساليب مش مألوفة.	This is not a piece of news. It appears to be a statement or request related to interactive design and media production, but it does not fit into any of the specified news categories.
6	1557	science/technology	دا بقى عرف شائع، لكن الحديد اتسبب في حدوث التآكل للعجلات الخشبية بتاعت العربات.	This piece of news seems to be related to science/technology. It discusses the corrosion of wooden wheels caused by iron.
7	1360	science/technology	عائلة الأسود فيها من واحد إلى تلات ذكور بالغين، وجنب كده فيه تلاتين أنثى وشبل.	This piece of information does not fall under any of the given categories. It appears to be a statement about the composition of a lion family, which is not related to science/technology, travel, politics, sports, health, or geography.
8	1675	science/technology	رغم أن الذكاء الاصطناعي يشبه إلى حد كبير الخيال العلمي ، إلا أنه فرع مهم جدًا من علوم الكمبيوتربيتعامل مع السلوك والتعلم والتكيف الذكي في الآلة.	This is a piece of news regarding science/technology.
9	1430	science/technology	نسبة الأبعاد الخاصة في الصورة دي تكون (أما تقسم على 12 عشان يطلعلك النسبة لأبسط عدد صحيح) إذن ستكون 3:2.	This piece of news seems to be related to science/technology.
10	1907	science/technology	التليفون اللي بيشتغل بالأقمار الصناعية مش هيكون بديل للتليفون المحمول، لأنك لازم تكون واقف في الخارج ومع خط رؤية واضح للقمر الصناعي عشان تعرف تعمل مكالمة هاتفية.	This piece of news is regarding science/technology. It discusses the limitations of satellite phones as an alternative to mobile phones, stating that one needs to be outside with a clear line of sight to the satellite in order to make a phone call.
11	1555	science/technology	مع أن عربات القطر القديمة كانت بس ألواحٍ خشبية مرصوصة قبال بعضها، بس أدت الخيول فرصة أنها تسحبها عشان تكون سريعة وأنها كمان تسحب حمولات تقيلة دا لو قارناها مع الطرق التي كانت وقتها واعرة قوي.	This is a piece of news regarding geography.
12	1632	science/technology	الناس عرفوا أن فيه عناصر كيماوية أساسية زي الذهب والفضة والنحاس منذ العصور القديمة، بحيث ممكن اكتشاف كل هذه العناصر في الطبيعة في شكلها الأصلي وممكن يستخرجوها بطريقة سهلة نسبي باستخدام أدوات بدائية.	This piece of news seems to be related to science/technology as it discusses the discovery and extraction of basic chemical elements such as gold, silver, and copper from nature using primitive tools.
13	1354	science/technology	العجلة غيرت شكل العالم بطريقة لا تصدق، ولكن توفير وسيلة نقل أسهل وأسرع دا أهم شيء ساهمت بيه عشانا.	This piece of news seems to be related to travel.
14	462	science/technology	دا اتعمل عشان يتاكدوا أن الصورة بتغطي الشاشة كلها. ودا بيسموه بالتجزئة العالية.	I'm sorry, but I am unable to understand the language you used. Could you please rephrase your question in English?
15	404	science/technology	„”الغواصات الألمانية كانوا بيسموها U-Boats وكان الألمان فالحين خالص في توجيه غواصاتهم وتشغيلها.	This piece of news appears to be related to history or military, specifically about German submarines during a certain period.
16	604	science/technology	حتى لو اتغيرت حالته الفيزيائية، حالته الكيميائية هتفضل زى ما هي.	This statement does not provide enough information to categorize the news article. Could you please provide more details or context about the article?
17	352	science/technology	"خاصيّة ""التوتّر السّطحي"" بتحصل عشان جزيئات الماء اللي موجودة على سطح الماء بتنجذب بقوة لبعضها البعض أكثر ما بتنجذب لجزيئات الهوا فوقها."	This is a piece of news regarding science/technology.
18	459	science/technology	من المشاكل المنتشرة لما بتحاول تحويل فيلم إلى تنسيق DVD هو المسح الضوئي الزائد.	This piece of news seems to be related to technology, specifically the issue of excessive scanning when converting a film to DVD format.
19	1519	science/technology	ويدعى بالذات أن المرء ممكن يكتشف إذا كان الشخص بيكذب ولا عن طريق أنه يفسر التعبيرات الدقيقة بطريقة صحيحة.	Based on the provided text, it is difficult to determine the category of the news article. It appears to be written in Arabic and does not provide specific information about a particular topic such as science/technology, travel, politics, sports, health, or geography.
20	1338	science/technology	ممكن تصنيع الذهب بكل الأشكال الممكنة. وممكن يتلف لأشكال صغيرة.	This piece of news seems to be related to science/technology as it discusses the manufacturing of gold in various forms.
21	1679	science/technology	نظام الذكاء الاصطناعي بيستخدموه دلوقتي في حقول الاقتصاد، والطب، والهندسة، والجيش، واستخدموه بردو عشان يبنوا مجموعة تطبيقات برمجية على الحواسب المنزلية وألعاب الفيديو.	This news article is regarding science/technology.
22	1428	science/technology	الإنتاج لسه مستمر حتى يومنا ده، ولكن الأهم من كده هو أن الهيئة بتاعت مستشعرات الصور في الكاميرات الرقمية ورثت نسبة عرض الصورة الى ارتفاعها.	This piece of news seems to be related to science/technology, specifically digital camera sensors.
23	1432	science/technology	قاعدة التثليث التي بيستعملوها بطريقة سيئة واللي في وقت كتير بيسخروا منها، بتشكل مبدأ توجيهي بسيط بيعمل على خلق الديناميكية في وقت يحافظ على قدر من النظام في صورة واضحة.	I'm sorry, but I couldn't understand the language you used in your question. Could you please rephrase it in English?
24	1024	science/technology	الأمر مبيأكدش بس أن بعض الديناصورات على أقل تقدير كانت عندها ريش، وهي نظرية فعلية مشهورة، ولكنه بيقدم بردو تفاصيل تعجز الأحفوريات عن تقديمها في العموم، زي اللون والترتيب اللي ليه أبعاد تلاتة.	This piece of news seems to be related to science/technology, specifically the topic of dinosaurs and their feathers.
25	373	science/technology	إوزاي هتسحبني جاذبية أيو؟ لو وقفت على سطح أيو، وزنك هيبقى أقل من اللي هو عليه على الأرض.	This is not a news article. It appears to be a question or statement in Arabic that does not relate to any specific news category.
26	1332	science/technology	الجيل القادم هو نظام  بتدعي إدارة الطيران الفيدرالية أنه هيسمح للطيارات بالطيران  في طرق أقصر، و يوفر ملايين الجالونات من الوقود كل سنة ويقلل من انبعاثات الكربون.	This piece of news seems to be related to science/technology, specifically aviation and fuel efficiency.
27	1670	science/technology	البيانات المرتبطة بعلم الأعصاب بتوفر أدلة ملموسة للمنهج النظري عند البحث عن المعرفة. وهي بكده بتعمل على تقليل منطقة البحث وتجعلها دقيقة قوي.	This piece of news seems to be related to science/technology, specifically neuroscience. It discusses how neuroscience data provides concrete evidence for the theoretical approach in knowledge research, reducing the search area and making it more precise.
28	61	science/technology	"وخلال كلمته اللي قعد فيها ساعتين قال ""النهاردة هتخترع شركة آبل التليفون من جديد، هنصنع التاريخ النهاردة""."	This piece of news appears to be related to science/technology as it mentions Apple and the possibility of reinventing the phone.
29	454	science/technology	عيب عدسات التكبير هو أن تعقيد الطول البؤري وعدد عناصر العدسة المطلوبة لتحقيق نطاق طول بؤري معين أكبر بكتير من  تعقيد الأطوال البؤرية الثابتة.	This is a piece of news regarding science/technology.
30	1234	science/technology	زي جهاز التحكم عن بعد بتاع التلفاز، جهاز التحكم بيستعمل مستشعرين موضوعين قريب من تلفزيون المستخدم عشان يحددوا موقعه في الفضاء ثلاثي الأبعاد.	This piece of news seems to be related to science/technology.
31	1025	science/technology	. العلماء بيقولوا أن ريش الحيوان ده كان بني كستاني من فوق وجنبه اللي تحت شاحب أو بلون الكاروتينات.	Based on the provided text, it does not appear to be a news article. It seems to be a statement or a description rather than a piece of news.
32	1254	science/technology	بيقول الباحثون بالجامعة إن المركبين بيتفاعلوا مع بعض عشان يكونوا بلورات ممكن تمنع وظايف الكلى.	This piece of news appears to be related to science/technology. It discusses researchers at a university studying the interaction between compounds that could potentially prevent kidney function.
33	780	science/technology	دا بيدي دقة قدرها أربعة أضعاف دقة 35 مم سالبة (3136 مم2 مقابل 864).	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English?
34	649	science/technology	بفضل الروابط بتاع كابلات الألياف الضوئية الموجودة تحت سطح البحر لأوروبا والأقمار الصناعية اللي نطاقها عريض، فإن غرينلاند عندها اتصال جيد بالإنترنت حيث 93٪ من السكان لديهم اتصال بالإنترنت.	This piece of news is regarding technology.
35	917	science/technology	أحد أبرز تطبيقات هذه الفئة تطبيق ترجمة Google، اللي بيسمح ليك إنك تترجم لما يكون الاتصال بالإنترنت مش متوفر بعد ما تنزل بيانات اللغة اللي عايزها.	This is a piece of news regarding science/technology. It discusses the Google Translate application and its ability to translate languages even when internet connectivity is not available.
36	603	science/technology	يحمل التركيب الجزيئي نفسه سواء كان في حالة غازية أو سايلة أو صلبة.	This statement does not fall under any of the given categories. It appears to be a scientific fact about the molecular structure of a substance, but it is not specific to any particular field such as science/technology, travel, politics, sports, health, or geography.
37	1518	science/technology	استعمال تسجيلات الفيديو ده اتسبب في اكتشافات مهمة في مجال تفسير التعابير الدقيقة للوش، وهي حركات للوش بتستمر لأجزاء قليلة من الثانية.	This news article seems to be related to science/technology. It discusses the use of video recordings to make important discoveries in the field of interpreting facial expressions.
38	584	science/technology	البشر كانوا بيصنعوا العدسات وبيستعملوها في التكبير من آلاف السنين.	This piece of news seems to be related to science/technology. It discusses the creation and use of lenses for magnification purposes throughout history.
