index_id	category	text
797	technology	Jeźli rajzujesz z laptopym abo tabletym, przechowuj kopijo w jego pamiyńci abo na dysku (przistympnym bez internetu).
830	travel	W niykerych cugach transgranicznych kōntrole przekludzane sōm w jadōncym cugu, bez to siodajōnc do takigo cugu noleży mieć przi siebie ważny dokumynt tożsamości.
150	business	Virgin Group Sir Richarda Bransona ôdkozała ôferta kupu banku przed jego nacjōnalizacyjōm.
1806	travel	Niykere zwiyrzynta, take jak elefanty i żyrafy, majōm tyndyncyjo do podchodzynio blisko aut i sztandardowy ajnrichtōng przizwoli na dobry widok.
902	disasters	Tornado to fyrtajōncy sup luftu ô barzo niskim ciśniyniu, co wcyckuje ôbtoczajōncy go luft do postrzodka i w gōra.
1225	sports	Del Potro mioł wczasno przewoga w drugim secie, ale to tyż wymogało dogrywki po ôsiōngniyńciu 6-6.
1342	science	Zoft z kapusty zmiynio farba w znoleżności ôd tego, jak kwaśny abo zasadowy (alkaliczny) je dany zwiōnzek chymiczny.
1959	nature	Park Norodowy Jezior Plitwickich je fest zalesiōny, z wiynksza bukami, świyrczokami i jedłami, i cechuje sie miszōngym roślinności alpejskij i strzōdziymnyjmorskij.
341	business	Bez ôdnoszynie sie do globalnyj sytuacyje financowyj, Zapatero kōntynuowoł, godajōnc „systym financowy je tajlōm ekōnōmije, istōm tajlōm.
352	science	Napiyncie powierzchniowe wystympuje, pōniywoż czōnsteczki wody na powiyrzchni wody sōm fest prziciōngane do siebie, barzij aniżeli do czōnsteczek luftu bydōncych nad niymi.
448	nature	Coby przetrwać dyszcze, kożdego roku kole paździyrnika bezma 1,5 milijōna roślinożercōw wandruje z pōłnocnych bergōw w kerōnku połedniowych rōwniōw, przekroczajōnc przi tym rzyka Mora.
386	politics	Krōl Sejong bōł sztwortym krōlym dynastyje Joseon i je jednym z nojbarzij powożanych.
1438	religion	Cyntralno władza kościoła je w Rzymie ôd wiyncyj jak tysiōnca lat i tako kōncentracyjo władzy i piniyndzy prowadziła wielu do pytań, eli ta zasada bōła przestrzegano.
394	politics	"Jednak Royal Navy durch była moc siylniyjszo ôd niymieckij mariny wojynnyj (""Kriegsmarine"") i mogła zniszczyć kożdo flota inwazyjno wysłano bez kanał La Manche."
1977	education	Niy trza przidować, iże jeźli znosz jakoś godka rōmańsko, bydzie ci prościj nauczyć sie portugalskigo.
1719	nature	Park Norodowy Krugera (KNP) leży w pōłnocno-wschodnij tajli RPA i idzie wzduż granice z Mozambikym na wschodzie, Zimbabwe na pōłnocy, a połedniowo granica stanowi rzyka Crocodile.
29	crime	Iracki hereszt Abu Ghraib bōł podpolōny w czasie zamiyszek.
845	entertainment	"Teroźnie jednak istniejōm uznane artysty graffiti, wydarzynia graffiti i ""legalne"" ściany. Ôbrazy graffiti w tym kōntekście czynsto spōminajōm barzij dzieła kōnsztu aniżeli niyczytelne tagi."
165	crime	Napastniki z Bōmbaju przypłynynli łodziōm 26 listopada 2008 roku, a przinieśli ze sobōm granaty, brōń autōmatyczno i trefiyli w moc cylōw, w tym w zaciźbiōny banhof Chhatrapati Shivaji Terminus i słynny hotel Taj Mahal.
261	business	Nigeryjo wczaśnij ôznajmiyła, co planuje prziłōnczyć sie do AfCFTA w tydniu poprzedzajōncym szczyt.
