	index_id	category	text	gpt-4
0	1523	science/technology	جنسي تبديلي نئي جينياتي تبديلين کي شامل ڪري ٿي، ۽ چونڊ هن کي ظاهر ٿيل تبديلي جي پول کان هٽائي ٿي.	"This news article seems to be related to ""Science/Technology"" as it discusses genetic modifications."
1	1644	science/technology	فيزن بم اصول تي ڪم ڪندو آهي جيڪو ڪيترن ئي پروٽان ۽ نيوٽران سان هڪ نيوڪليس جوڙڻ ۾ توانائي وٺي ٿو.	"This news article is related to ""Science/Technology"" as it discusses about atomic structure and energy."
2	558	science/technology	نيوڪليس ٻن ذرن تي مشتمل آهي - نيوٽران ۽ پروٽان.	"This piece of news seems to be regarding ""Science/Technology"" as it mentions terms like ""nucleus"", ""neutron"", and ""proton"" which are related to physics and chemistry."
3	456	science/technology	اهو معيار واري تصوير ٺاهڻ لاءِ زوم لينسز کي اجازت ڏيئي چڪو آهي جيڪو مقرر نظر مفاصلي سان لينسز جي ذريعي ڪڍيل تصوير سان ڀيٽ لائق هجي.	"This piece of news falls under the category of ""Science/Technology""."
4	906	science/technology	اهي ڪيترن ئي سبب جي ڪري ويب پراڪسيز کان مٿانهون آهن: اهي نہ صرف http پر سموري انٽرنيٽ ٽرئفڪ کي ري-روٽ ڪن ٿا.	"This piece of news seems to be related to ""Science/Technology"", as it discusses web processes and internet traffic."
5	452	science/technology	متعامل ڊزائن گهري ٿي ته توهان ميڊيا پروڊڪشن بابت پنهنجي مفروضن جو ٻيهر جائزو وٺو ۽ غير-لينيئر طريقن سان سوچڻ سکو.	"The text provided seems to be related to ""science/technology"", specifically discussing media production and non-linear methods. However, it's not a news article but rather a statement or a piece of information."
6	1557	science/technology	اهو عام رواج ٿي ويو، ته ويگن جي لڪڙي جي ڦيٿي تي وڌيڪ لوه هجڻ جي ڪري وڌيڪ لڪڙي لڳڻ لڳي.	I'm sorry, but the text you provided is not in English and I'm unable to categorize it. Could you please provide an English translation?
7	1360	science/technology	پرائيدس هڪ کان ٽي لاڳاپيل نرن، ان سان گڏوگڏ ٽيهہ کان وڌيڪ مادين ۽ ننڍڙن ٻچن تي مشتمل هوندو آهي.	I'm sorry, but the text you've provided is in Sindhi and I'm unable to understand it. Could you please provide the text in English so I can categorize it properly?
8	1675	science/technology	جيتوڻيڪ AI سائنس فڪشن جو مضبوط ڳانڍاپو آهي، AI ڪمپيوٽر سائنس جي هڪ تمام اهم شاخ ٺاهي ٿي، هڪ مشين ۾ رويا، سکيا ۽ سمجهه واري تبديليءَ کي سنڀالي ٿي.	"This news article is related to ""Science/Technology""."
9	1430	science/technology	هن فارميٽ جو ڏيک نسبت (سادي سڄي نمبر جي نسبت کي ڪڍڻ لاءِ ٻارهن سان ونڊ ڪريو) تنهن ڪري 3:2 چيو وڃي ٿو.	I'm sorry, but the text you provided does not seem to be related to any of the categories you mentioned (science/technology, travel, politics, sports, health, or geography). It appears to be in Sindhi language and seems to be discussing some sort of formatting or ratio, but without further context, it's difficult to categorize.
10	1907	science/technology	هڪ سيٽلائيٽ فون عام طور تي موبائل فون جو متبادل ناهي، جيئن ته فون ڪال ڪرڻ لاءِ توهان کي سيٽلائٽ ڏانهن واضح ڏيک سان ٻاهر رهڻو پوندو.	This piece of news is regarding science/technology, as it talks about satellite phones.
11	1555	science/technology	جيتوڻيڪ ويگن ويز صرف ڪاٺ جي متوازي تختن تي مشتمل هوندا آهن، انهن گهوڙن کي انهن جي ويجهو اچڻ جي اجازت ڏني هئي ته انهن کي تيز رفتار اپنائڻ گهرجي ۽ ڏينهن جي اڃان وڌيڪ خراب روڊن جي ڀيٽ ۾ وڏو لوڊ ڇڪڻو آهي.	"This news article appears to be in Sindhi language and seems to be related to ""Science/Technology"", as it mentions about vehicles and their speed. However, a more accurate categorization could be made with a more detailed translation."
12	1632	science/technology	ماڻهو پراڻي زماني کان سون، چاندي، ۽ ٽامي جهڙن بنيادي ڪيميائي عنصرن جي بابت ڄاڻن ٿا، جيئن تہ اهي قدرت ۾ مقامي شڪل ۾ ڳولي سگهجي ٿي ۽ قديمي اوزارن سان منهنجي لاءِ نسبتاً آسان آهي.	"This news article is regarding ""science/technology""."
13	1354	science/technology	ڦيٿي دنيا کي حيرت انگيز طريقي سان دنيا کي تبديل ڪري ڇڏيو آهي. سڀ کان وڏي شئي جيڪو ڦيٿي اسان لاءِ ڪئي اهو گهڻي آسان ۽ تيز ٽرانسپورٽيشن آهي.	"This news article is related to ""Travel""."
14	462	science/technology	اهو يقيني بڻائڻ لاءِ ٺاهيو ويو آهي تہ تصوير سموري اسڪرين کي ڪور ڪري ٿي. جنهن کي اور اسڪرين چئبو آهي.	I'm sorry, but the text you provided is in Sindhi and it doesn't seem to contain any specific news information. Could you please provide a news article or more context?
15	404	science/technology	جرمن آبدوز کي يو-بوٽس چيو ويندو هو. جرمن پنهنجيون آبدوزون هلائڻ ۽ نيويگيٽ ڪرڻ ۾ تمام ڀَڙ هئا.	As an AI, I'm currently unable to understand and categorize news in Sindhi language. Could you please provide the news in English?
16	604	science/technology	جيتوڻيڪ هن جي جسماني حالت بدلجي سگهي ٿي، انهي جي ڪيميائي حالت ساڳئي رهي ٿي.	"This piece of news seems to be related to ""Science/Technology"", as it discusses changes in physical and chemical states."
17	352	science/technology	سطح جي ڪشش ان لاءِ ٿئي ٿي تہ پاڻي جي سطح تي پاڻي جا ماليڪيول انهن جي مٿي هوا جي ماليڪيولن جي مقابلي ۾ هڪ ٻئي ڏانهن وڌيڪ ڪشش ڪندا آهن.	This news article is about science/technology.
18	459	science/technology	ڪنهن مووي کي DVD فارميٽ ۾ تبديل ڪرڻ جي ڪوشش ڪرڻ مهل سڀني کان وڌيڪ عام مسئلن مان هڪ اوور اسڪين آهي.	"This news article is related to ""Science/Technology""."
19	1519	science/technology	خصوصي طور تي، اها دعويٰ ڪجي ٿي ته مائڪرو-اظهار جي صحيح تشريح ڪري اهو پتو لڳائي سگهجي ٿو ته ڪو ماڻهو ڪوڙ ڳالهائي رهيو آهي يا نه.	I'm sorry, but the text you provided is not in English and I am unable to categorize it. Could you please provide an English translation?
20	1338	science/technology	سون سڀني قسمن جي شڪلن ۾ تبديل ڪري سگهجي ٿو. اهو ننڍڙي شڪلن ۾ رول ڪري سگهجي ٿو.	I'm sorry, but the text you provided is in Sindhi and it doesn't seem to be a news article. It appears to be a general statement about transformation and roles. Could you please provide a news article for me to categorize?
21	1679	science/technology	AI سسٽم هاڻي گهڻو ڪري معاشيات، طب، انجنيئرنگ ۽ فوج جي فليڊ ۾ استعمال ٿيندو آهي، جيئن تہ اهو ڪيترن ئي گهريلو ڪمپيوٽر ۽ وڊيو گيم سافٽويئر اپلي ڪيشنس ۾ ٺاهيو ويو آهي.	"This news article falls under the category of ""Science/Technology""."
22	1428	science/technology	اهو هاڻي بہ تيار ڪيو ويندو آهي، پر ان کان بہ ضروري ڳالهہ اهو آهي تہ ان جي ڏيک جي نسبت ڊجيٽل ڪئميرا اميج سينسر فارميٽس جي ذريعي وراثت ۾ مليو آهي.	"This news article falls under the category of ""Science/Technology"" as it discusses digital camera image sensors."
23	1432	science/technology	گهڻيون گاريون کائيندڙ ۽ بي عزتي سهندڙ رول آف ٿرڊ هڪ سادي هدايت آهي جيڪو هڪ تصوير ۾ ترتيب جي ماپ کي برقرار رکندي حرڪت جا اصول ٺاهي ٿو.	I'm sorry, but the text you provided is in Sindhi and it's not clear what news category it falls under. Could you please provide an English translation or more context?
24	1024	science/technology	اهو صرف ان جي ڳالهہ جي تصديق نٿو ڪري تہ گهٽ ۾ گهٽ ڪجهہ ڊائنوسارن کي پر هيا، هڪ نظريو پهرين ئي وڏي پيماني تي پکيڙجي ويو،پر اهي تفصيلون ڏين ٿا جيڪي آثار عام طور تي نٿا ڏيئي سگهن، جهڙوڪ رنگ ۽ ٽي طرفي ترتيب.	"This news article seems to be related to ""Science/Technology"" as it mentions dinosaurs, which is a topic often discussed in paleontology, a branch of science."
25	373	science/technology	آئي او جي ڪشش ثقل مون تي ڪيئن ڇڪي ٿي؟ جيڪڏهن توهان آئي او جي مٿاڇري تي بيٺا آهيو ته، زمين جي ڀيٽ ۾ توهانجو وزن گهٽ هوندو.	I'm sorry, but the text you provided is in Sindhi and it's about gravity. It seems like it's related to science/technology.
26	1332	science/technology	NextGen هڪ سسٽم آهي جنهن جا FAA دعويٰ ڪري ٿو تہ اهو هوائي جهاز کي ننڍن رستن تي اڏائڻ، هر سال لکين تيل جا گيلن بچائڻ، ڪاربان جو گهٽ خارج ڪرڻ ۾ مدد ڪري ٿو.	"This news article appears to be in a language other than English (Sindhi), but based on the context it seems to be related to ""science/technology,"" as it discusses the FAA and a system (NextGen) related to air travel and fuel efficiency."
27	1670	science/technology	نيورو بائيولاجيڪل ڊيٽا ڪوگنيشن جي جاچ جي نظرياتي طريقي لاءِ ظاهري ثبوت مهيا ڪري ٿو. انهيءِ ڪري اهو تحقيق جي حصي کي ننڍو ڪري ٿو ۽ ان کي وڌيڪ درست بڻائي ٿو.	"This news piece is regarding ""Science/Technology"", specifically in the field of neurobiology and data cognition."
28	61	science/technology	"2 ڪلاڪن جي تقرير دوران هن ٻڌايو ته ""اڄ Apple فون کي ٻيهر ايجاد ڪرڻ وڃي رهي آهي، اسان اڄ تاريخ رقم ڪرڻ وڃي رهيا آهيون."""	"This news article is regarding ""science/technology""."
29	454	science/technology	زوم لينسز جو عيب اهو آهي تہ مرڪزي نظر جي ڊيگهہ جي حد حاصل ڪرڻ لاءِ گهربل مرڪزي نظر جي پيچيدگي ۽ لينس جي عنصرن جي تعداد پرائم لينسز کان تمام گهڻي آهي.	"This news piece seems to be related to ""Science/Technology"", as it discusses lenses, which are a topic in physics and technology. However, the text is in Sindhi and without more context or a full translation, it's difficult to categorize definitively."
30	1234	science/technology	ٽيليويزن جي رموٽ جي مشابهت رکندي، ڪنٽرولر صارف جي ٽيلي ويزن جي ويجهو رکيل ٻہ سينسرن جو استعمال ڪندي پنهنجي بيهڪ کي ٽن طرفن واري جاءِ کي ٽرائي اينگيوليٽ ڪرڻ لاءِ استعمال ڪري ٿو.	"This piece of news is regarding ""Science/Technology""."
31	1025	science/technology	. سائنسدانن جو چوڻ آهي تہ هن جانور جي پر جو رنگ مٿي پيلي سان هلڪو ڀورو يا اندران کان ڪيروٽينائيڊ رنگ جهڙو.	"This piece of news seems to be related to ""science/technology"" as it discusses a scientific discovery about an animal's fur color."
32	1254	science/technology	يونيورسٽي جي تحقيقدانن ٻڌايو تہ، ٻہ مرڪب هڪ ٻي سان رد عمل ڪري ڪرسٽلز ٺاهين ٿا جيڪو بڪي جي ڪم ۾ رڪاوٽ وجهي سگهي ٿو.	"This piece of news seems to be related to ""science/technology"" as it mentions research, reactions, and crystals, which are common topics in this category. However, without more context or a full translation, it's hard to be certain."
33	780	science/technology	اهو 35 ملي ميٽر (864 جي مقابلي ۾ 3136 ملي ميٽر 2) جي نسبتاً 4 ڀيرا وڌيڪ ريزوليشن ڏي ٿو.	"This news piece seems to be related to ""Science/Technology"" as it discusses measurements and resolution, which are common topics in this category."
34	649	science/technology	سمنڊ جي اندر فائبر آپٽڪ ڪيبل يورپ ۽ براڊبينڊ سيٽلائيٽ کي جوڙي ٿي ان جي مهرباني، گرين لينڊ انٽرنيٽ رسائي حاصل ڪرڻ واري 93% آبادي سان سٺي نموني جڙيل آهي.	"This news article falls under the category of ""Science/Technology""."
35	917	science/technology	هن قسم جي سڀني مشهور ايپس مان هڪ Google Translate آهي، جيڪو گهربل ٻولي جي ڊيٽا ڊائون لوڊ ڪرڻ کانپوءِ آف لائن ترجمو ڪرڻ جي اجازت ڏي ٿو.	"This news article falls under the category of ""science/technology"" as it discusses Google Translate, a well-known app from Google that allows offline translation by downloading language data."
36	603	science/technology	ان جي ساڳي ماليڪيولر ساخت آهي آيا اهو گئس، مائع يا سخت شئي هجي.	"I'm sorry, but the text you provided is in Sindhi and it doesn't seem to contain any specific news information related to the categories you mentioned. It seems to be discussing the nature of a certain object, whether it's gas, liquid, or solid. This could potentially fall under the category of ""science/technology"", but without more context, it's hard to categorize accurately."
37	1518	science/technology	وڊيو رڪارڊنگ مائڪرو-ايڪسپريشن، منهن جي حرڪت جيڪو ڪجهہ ملي سيڪنڊن تائين رهندي آهي جي تشريح ۾ اهم دريافتن جي رهنمائي ٿي آهي.	"As the text provided is in Sindhi and not fully clear, it's difficult to categorize it under ""science/technology, travel, politics, sports, health or geography"". Please provide more context or a translation."
38	584	science/technology	انسان هزارين سالن کان مبالغه ڪاري لينسز ٺاهيندا ۽ استعمال ڪندا رهيا آهن.	This text appears to be in Sindhi and without a full translation, it's challenging to categorize it accurately. However, it seems to mention something about humans and thousands of years, which could potentially relate to history or anthropology. Please provide more context or a translation for a more accurate categorization.
39	1589	science/technology	اهو رڳو تجربو ناهي پر، ۽ هڪ تجربو هڪ ٽيسٽ آهي جيڪو هڪ يا وڌيڪ ممڪن مفروضن کي ختم ڪرڻ، سوال پڇڻ، ۽ مشاهدا ڪرڻ، ان سان گڏوگڏ سائنسي تحقيق جي رهنمائي ڪرڻ لاءِ استعمال ٿيندو آهي.	"This piece of news appears to be related to ""Science/Technology"" as it discusses a scientific experiment."
40	1558	science/technology	آخرڪار، ڪاٺ وارا ڦيٿا لوهي ڦيٿن ۾ ٿبديل ڪيا ويا هئا. 1767 ۾، پهريئن مڪمل لوهي ريل گاڏيو متعارف ڪرايون ويون.	This news article seems to be related to history and technology, specifically about the invention and development of iron rail cars.
41	922	science/technology	جڏهن ته اڪثر ڪارڊ ڪٿي به فون ڪال ڪرڻ لاءِ بهتر آهن، ڪجهه ڪارڊ ملڪن جي مخصوص گروپن ڏانهن سازگار ڪال ريٽ مهيا ڪرڻ جي خاصيت رکن ٿا.	This news article seems to be related to technology, specifically about phone cards.
42	1981	science/technology	گهڻيون جديد تحقيقي دوربينون سازگار ماحول جي حالتن سان پري وارن علائقن ۾ گهڻيون سهولتون ڏينديون آهن.	"This news article seems to be related to ""Science/Technology""."
43	351	science/technology	اسٽيل جي سوئي سطح جي جڪڙ جي ڪري پاڻي جي مٿي تري ٿي.	I'm sorry, but the text you provided is in Sindhi and it doesn't seem to contain enough information to categorize it under any of the mentioned categories: science/technology, travel, politics, sports, health, or geography. Could you please provide more context or a translation?
44	1429	science/technology	35 ملي ميٽر فارميٽ اصل ۾، ڪجهہ حد تائين پريشاني آهي، 36 ملي ميٽر ويڪر ۾ ۽ 24 ملي ميٽر ڊيگهہ ۾.	As an AI, I'm currently unable to understand and categorize text in languages other than English. Could you please provide the text in English?
45	578	science/technology	"زندگي جي مطالعي جي لاءِ سيل انتهائي بنيادي ۽ نازڪ آهن، حقيقت ۾، انهن کي اڪثر ""زندگي جي اڏاوتي بلاڪ"" جي نالي سان سڏيو ويندو آهي."	I'm sorry, but the text you've provided is in Sindhi and I'm unable to categorize it. Could you please provide a translation or another text in English?
46	905	science/technology	ذاتي VPN (ورچوئل پرائيوٽ نيوٽورڪ) مهيا ڪندڙ سياسي سينسرشپ ۽ تجارتي IP-جيوفلٽرنگ ٻني کي روڪڻ جو هڪ بهترين طريقو آهي.	"This news piece seems to be related to ""Science/Technology"", as it discusses VPN (Virtual Private Network), which is a technology topic."
47	264	science/technology	خلائي رستو پورو ڪرڻ تائين، خلائي اسٽيشن مشن ۾ ان کان پهرين هڪ جائيرو اسڪوپ جي ضايع ٿيڻ جي باوجود اسٽيشن پنهنجو رويو برقرار رکيو.	"This news article is about ""science/technology""."
48	628	science/technology	ان قسم جي سوچ رکڻ وارن ماڻهن وٽ منطقي سوچ آهي، اهي طريقا ياد رکڻ، مسئلا حل ڪرڻ ۽ سائنسي ٽيسٽ ۾ ڪم ڪرڻ جي اهل آهن.	"This piece of news seems to be related to ""science/technology"" as it discusses logical thinking, problem-solving, and scientific testing."
49	1366	science/technology	اوسيلاٽس ننڍا جانور کائڻ پسند ڪن ٿا. اهي ٿي سگهي ٿو تہ ڀولڙا، نانگ، ڪوئا، ۽ پکي جهلن. اهي سڀئي جانور جن جو اوسيلاٽ شڪار ڪندو آهي گهڻو ڪري هن کان ننڍا هوندا آهن.	"This news article seems to be about wildlife or animals, which would fall under the category of ""science/technology."""
50	779	science/technology	ڪجهہ وچولي فارميٽ واريون فلم ڪئميرائون 6 بائي 6 سينٽي ميٽر جو فارميٽ استعمال ڪن ٿيون، ٺيڪ 56 بائي 56 ملي ميٽر نيگيٽو.	"This news article is related to ""Science/Technology"" as it discusses the technical aspects of film cameras and their formats."
51	1874	travel	مسافرن کي سختي سان مشورو ڏنو وڃي ٿو ته اهي پنهنجي علائقي کي متاثر ڪرڻ واري خراب موسم جي ڪنهن بہ خطري کان خبرادار رهي ڇو تہ اهو ڪنهن بہ سفر جي منصوبن کي متاثر ڪري سگهي ٿي.	"This news article falls under the category of ""Travel""."
52	1734	travel	بسون انٽر-ڊسٽرڪٽ بس اسٽيشن کان (دريا پار) روانو ٿينديون آهن، جيتوڻيڪ اڪثر، خاص طور تي جيڪي اوڀر جي طرف ۽ جڪار/ممٿانگ ڏانهن وڃي رهيون آهن اهي 06:30 کان 07:30 جي وچ ۾ نڪرن ٿيون.	"This piece of news seems to be related to ""travel"", as it mentions a bus station and travel times. However, without more context or a full translation, it's difficult to categorize it definitively."
53	1840	travel	اهي رائيڊر کي وڌ ۾ وڌ حفاظت مهيا ڪن ٿا پر سوار جا پير انهن ۾ ڦسڻ جي امڪان جي ڪري حفاظتي خدشا ٿي سگهن ٿا.	I'm sorry, but the text you've provided is in Sindhi and I'm unable to categorize it without an English translation. Could you please provide one?
54	1919	travel	مختلف بالٽيڪ ڪروز مان گهڻا سينٽ پيٽرزبرگ، روس ۾ وڌيڪ ترسندا آهن.	"This piece of news seems to be related to ""geography"" as it mentions a location (Saint Petersburg, Russia). However, without more context or details, it's hard to categorize it definitively."
55	828	travel	مشورو فرض ڪريو تہ مسافر چوري، دخل اندازي، غيرقانوني مارڪيٽ ۾ حصو وٺڻ، پنڻ، يا ٻي صورت ۾ پنهنجي فائدي لاءِ ٻي ماڻهو جو استعمال نہ ڪندا آهن.	"The text provided seems to be in Sindhi language and it talks about theft, income generation, illegal market, and exploitation of others for personal gain. This news can be categorized under ""Crime"" or ""Politics"" depending on the broader context. However, the categories you provided do not include these, so it may not fit perfectly into any of your categories."
56	818	travel	جڏهن توهان ڪٿي سفر ڪريو ٿا ۽ ان کان پهرين توهان کي گهڻيون شيون ڌيان کي ۾ رکڻيون هونديون آهن.	"The text you provided is in Sindhi and it translates to ""When you travel a lot and before that you have to keep many things in mind."" This would be categorized under ""Travel""."
57	978	travel	گرمي جي ڏينهن ۾، مسافر معجزات جو تجربو ڪري سگھن ٿا جيڪي پاڻي (يا ٻين شين) جو دوکو ڏيندا آهن.	"This news piece appears to be related to ""Travel""."
58	765	travel	ٻارن ساڻ خاندان ورلي نظر ايندا آهن، پر ڪجھ هوٽليون انهن کي نجي ڪمرن ۾ اجازت ڏين ٿيون.	As an AI, I'm currently only able to process and understand text in English. Please provide the text in English so I can categorize it for you.
59	1992	travel	مثال جي طور تي، لوئر ويلي، رهائن ويلي ۾ قلعن جو دورو ڪرڻ يا ڊينيوب تي دلچسپ شهرن ڏانهن سفر ڪرڻ يا اري ڪينال ۾ بوٽنگ ڪرڻ.	"This news piece seems to be related to the category of ""Travel""."
60	823	travel	اهو بهتر ٿي سگهي ٿو ته هڪ ايجنٽ استعمال ڪجي جيڪو اڪثر توهان جي ٽرپس جي بڪنگ ڪري ٿو.	"This piece of news seems to be related to ""Travel"" as it mentions trip booking."
61	762	travel	ڪمپيوٽر پروگرامر ڪاسي فينٽون کي آئس لينڊ لاءِ هڪ سستي فلائيٽ ملي پر اتي رهڻ جي جاءِ نه ملڻ کان پوءِ جنوري 2004 ۾ ڪوچ سرفنگ جو بنياد رکيو ويو.	"This news article is related to ""travel""."
62	932	travel	عام طور تي شاگردن جي ويزا جا عام سياح يا ڪاروباري ويزا سان مختلف گهرجون ۽ درخواستن جي طريقا آهن.	"This news article seems to be related to ""Travel""."
63	678	travel	هر ملڪ جا منفرد قانون آهن ته ڪار ۾ ڪهڙيون هنگامي شيون هجڻ لازمي آهن.	I'm sorry, but the text provided is in Sindhi and doesn't specify a clear category. Could you please provide more context or translate it to English?
64	822	travel	جيتوڻيڪ اڪثر ايجنسيون گهڻو عام بڪنگون وٺڻ جون خواهشمند آهن، ڪيترائي ايجنٽ خاص قسم جي سفر، بجٽ رينجز يا منزلن ۾ مهارت رکن ٿا.	"This news article appears to be related to ""Travel""."
