	index_id	category	text	gpt-3
0	1523	science/technology	Mutatsiya yangi genetik variatsiyani qo'shadi va saralash tezlashgan variatsiyaning zaxirasidan uni olib tashlaydi.	This piece of news seems to be regarding science/technology.
1	1644	science/technology	Yadroviy bo'linish bombasi ko'plab proton va neytronlardan iborat yadroni yig'ish uchun quvvat sarflash prinsipi asosida ishlaydi.	This piece of news seems to be related to science/technology, specifically nuclear physics or particle physics. It mentions the principle of force fusion to bring together protons and neutrons.
2	558	science/technology	Yadro ikkita zarrachalar — neytronlar va protonlarni o'z ichiga oladi.	This is a piece of news regarding science/technology. It appears to be discussing particles called neutrons and protons.
3	456	science/technology	Bu yaqinlashtirish linzalari o'zgarmas fokusli linzalar yordamida erishilgan natija bilan taqqoslanadigan rasmlar yaratish imkonini beradi.	This piece of news seems to be related to science/technology. It mentions the creation of images using fixed-focus lenses.
4	906	science/technology	Bir qancha sabablarga ko'ra, ular veb proksi-serverlardan afzaldir: Ular faqatgina http'ni emas, balki butun internet trafikni qayta yo'naltiradi.	This piece of news seems to be related to technology. It discusses the advantages of web proxy servers and how they can redirect all internet traffic, not just HTTP.
5	452	science/technology	Interfaol dizayn media mahsulot haqidagi taxminlaringizni qayta baholashingizni va noodatiy usullar orqali o'ylashni o'rganishni talab qiladi.	This appears to be a piece of news regarding science/technology.
6	1557	science/technology	Bu umumiy amaliyotga aylangan, biroq temir vagonlarning yog'ochdan yusalgan g'ildiraklarining ko'proq yemirilishiga olib kelgan.	"Based on the provided text, it appears to be a piece of news related to ""science/technology"" as it mentions the use of iron wagons and their increased corrosion."
7	1360	science/technology	Sherlar to'dasi bittadan uchtagacha bo'lgan voyaga yetgan erkak sher, o'ttizdan ortiq urg'ochisi sher va sher bolalaridan iborat bo'ladi.	"This piece of news seems to be related to ""travel"" as it mentions a man who has traveled to multiple destinations."
8	1675	science/technology	AI kuchli ilmiy fantastika mazmuniga ega bo'lsa-da, AI xulq-atvor, mashinada o'rganish va aqlli moslashish bilan shug'ullanadigan kompyuter fanlarining juda muhim sohasini tashkil qiladi.	This piece of news seems to be related to science/technology.
9	1430	science/technology	Shunga ko'ra, mazkur formatning tomonlar nisbati (eng oddiy butun son nisbatini olish uchun o'n ikkiga bo'lish) 3:2 bo'lishi kerak deyiladi.	I apologize, but I am unable to understand the language you have used in your request. Could you please rephrase your question in English?
10	1907	science/technology	Sun'iy yo'ldosh telefoni umuman olganda mobil telefon o'rnini bosa olmaydi, chunki telefon qilish uchun sputnikni aniq ko'rib turgan holda ochiq havoda bo'lish kerak.	This news article seems to be related to science/technology as it discusses the limitations of using a satellite phone in open air for making calls.
11	1555	science/technology	Vagon yo'llari shunchaki parallel yog'och plankalaridan tashkil topganligiga qaramasdan, ular tortish otlarga kattaroq tezlikka erishish va o'sha kunlardagi bir oz notekis bo'lgan yo'llariga nisbatan kattaroq yuklarni tortish imkonini berdi.	This piece of news seems to be related to technology, specifically transportation.
12	1632	science/technology	Bularning barchasi tabiiy shaklda tabiatda topilishi mumkinligi va jo'n asboblar bilan qazib olish nisbatan oson bo'lganligi sababli, odamlar qadim zamonlardan beri oltin, kumush va mis kabi asosiy kimyoviy elementlar haqida bilishgan.	This piece of news seems to be related to science/technology as it mentions the natural occurrence and ease of extracting elements such as gold, silver, and copper.
13	1354	science/technology	g'ildirak dunyoni misli ko'rilmagan tarzda o'zgartirdi. g'ildirakning bizga bergan eng katta foydasi bizga osonroq va tezroq transport vositasini taqdim etganidir.	"Based on the provided text, it appears to be a news article related to science/technology. It mentions the transformation of the world due to an innovation called ""g'ildirak"" that has provided us with easier and faster transportation options."
14	462	science/technology	Bu tasvir ekranni to'liq qoplashini ta'minlash uchun qilingan. Bu overskan deyiladi.	I apologize, but I am unable to understand the language you used in your request. Could you please provide the text in English so that I can assist you?
15	404	science/technology	Nemis suvosti kemalari U-Boats deb atalgan. Nemislar suvosti kemalarida suzish va ularni boshqarishga juda usta bo'lishgan.	Based on the provided text, it does not appear to be a piece of news related to any of the given categories. It seems to be a random sentence or phrase that does not provide specific information about any particular topic.
16	604	science/technology	Garchi uning fizik holati o'zgarishi mumkin, shunga qaramay, kimyoviy holati shundayligicha qoladi.	Based on the provided text, it seems to be discussing a change in the physical state of something, potentially related to chemistry. Therefore, it can be categorized as a piece of news regarding science/technology.
17	352	science/technology	Yuza taranglashishi suv yuzasidagi suv molekulalarining bir-birlarini ularning tepasidagi havo molekulalari ularni tortishiga qaraganda kuchli tortishlari tufayli yuz beradi.	This piece of news seems to be related to science/technology. It discusses the interaction between water molecules and air molecules, resulting in the strong surface tension of water.
18	459	science/technology	Kinofilmni DVD formatiga aylantirishda eng ko'p uchraydigan muammolardan biri bu tasvirni ortiqcha yoyib yuborishdir.	This piece of news seems to be related to technology, specifically the conversion of films to the DVD format.
19	1519	science/technology	Xususan, kichik ifodalarni to'g'ri talqin qilish orqali kishi yolg'on gapirayotgani yoki yolg'on gapirmayotganligini aniqlash mumkin, deya da'vo qilinmoqda.	I apologize, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
20	1338	science/technology	Oltinga har qanday turdagi shakl berish mumkin. Unga juda kichkina shakl berish mumkin.	I'm sorry, but I couldn't understand the language you used to describe the news article. Could you please provide more information or rephrase your question?
21	1679	science/technology	Hozirda bir qancha uy kompyuteri hamda video-o'yin dasturlari tarkibiga kiritilgani kabi, AI tizimidan iqtisot, tibbiyot, muhandislik hamda harbiy sohalarda tez-tez foydalaniladi.	This piece of news seems to be related to science/technology, specifically the use of AI systems in various fields such as economics, medicine, engineering, and military.
22	1428	science/technology	U bugungi kunda ham ishlab chiqariladi, biroq eng muhimi, uning tomonlar nisbati raqamli kamera tasvir sensori formatlari tomonidan meros qilib olingan.	This piece of news seems to be related to science/technology. It discusses the development of a numerical camera image sensor format.
23	1432	science/technology	Ko'p haqorat qilingan va ko'pincha istehzo qilingan uchdan bir qoidasi suratdagi tartib o'lchovini saqlagan holda jo'shqinlikni yaratadigan oddiy yo'riqnomadir.	"This piece of news seems to be related to ""science/technology"" as it discusses a simple guide that creates an illusion of depth perception by preserving the order of measurements in a picture."
24	1024	science/technology	Bu faqat allaqachon keng tarqalgan nazariya — hech bo'lmaganda ayrim dinozavrlarda tuk bo'lganini tasdiqlabgina qolmay, balki rangli va uch o'lchamli joylashuv kabi odatda qoldiqlar berolmaydigan tafsilotlarni taqdim etadi.	This piece of news seems to be related to science/technology, specifically about dinosaurs and their characteristics such as color and size.
25	373	science/technology	Ioning tortish kuchi meni qanday tortgan bo'lar edi? Agar siz Ioning sathida tursangiz, yerdagiga nisbatan kamroq tosh bosgan bo'lar edingiz.	I'm sorry, but I couldn't understand the language you used in your question. Can you please rephrase it in English?
26	1332	science/technology	FAA da'vo qilishicha, NextGen — samolyotlarga qisqa yo'nalishda uchish va har yili millionlab gallon yonilg'ini tejash hamda uglerod chiqindilarini kamaytirish imkonini beruvchi tizimdir.	This news article appears to be related to science/technology, specifically the NextGen system implemented by the FAA to improve aircraft efficiency and reduce carbon emissions.
27	1670	science/technology	Neyrobiologik axborot idrokni o'rganishdagi nazariy yondashuv uchun jismoniy dalillar bilan ta'minlaydi. Shu sababli tadqiqot sohasini qisqartiradi hamda yanada aniqroq qiladi.	This is a piece of news regarding science/technology. It discusses the use of physical evidence in studying neurobiology and how it helps to shorten and clarify research in the field.
28	61	science/technology	"2 soatlik nutqi paytida u ""Bugun Apple telefonni qayta ixtiro qilmoqchi, biz bugun tarix yaratamiz"", – deya ta'kidladi."	This piece of news seems to be related to technology (specifically Apple phones).
29	454	science/technology	Yaqinlashtiruvchi linzalarning asosiy noqulayligi shundan iboratki, fokusning murakkabligi va fokus masofasiga erishish uchun talab qilingan linza elementlari soni asosiy fokusli linzalarga qaraganda ancha katta bo'ladi.	This piece of text does not appear to be a news article. It seems to be a technical or scientific description related to lenses or optics.
