index_id	category	text
797	technology	ایه مسفرتده یانزدا لپ تاپ یا تبلت وار، اونون حافظه سینده یا دیسکنده بیر کپی ذخیره ائلین( اینترنتسیز اونا دسترسی تاپماق اولسون).
830	travel	بعضی مرزدن گچن قطارلاردا حرکت ائلین قطاردا بازرسیلر انجام اولار و اوواخ کی بو قطارلارن بیرینه مینیسیز گره معتبر شناسایی کارتز اولا.
150	business	آقایریچاردبرنسوننVirgin Groupایبانگابیرقیمتپیشنهادورمشدیکیبانگندولتیاولماقنانقاباخرداولدی.
1806	travel	بعضی حیوانلار، فیللرنن زرافه لره تای ماشینلارا چوخ یخیننشللر و استاندارد وسایل اولارن یاخجی گورماقن ممکن ائللیر.
902	disasters	طوفان، اطرافداکی هاوانی، ایچریه و یوخاریه چکن بیر بورولان و اشاغی-فشار دا اولان هوا ده.
1225	sports	دلپتروایکیمینجیستدهامتیازیواریدیامابودا6-6 یهیتشمخدانسوراتساویسندرماقانیازیواریدی.
1342	science	کلم سویی شیمیایی ماده نین اسیدی یا بازی (قلیایی) ائلماقین مقدارنا گوره رنگ عوضلیر.
1959	nature	پیلیتویچ گول لرین میللی پارکیندا بویوک مشه لر وار و چوخلی راش، کاج و اوت آغاج لاری اوردا وار. بو مشه لرین خصوصیت لری مدیترانه ای و آلپ گیاهی پوشش لرین قاریشیقی ده.
341	business	"زاپاترو جهانی مالی وضعیتین باره سینده ددی "" مالی سیستم اقتصادن بیر بخشیدی کی مهم بخش دی."
352	science	سطحی کشش بونا گوره اتفاق دوشور کی سون سطحینده اولان سو مولکوللارن پیوندی اولارن هوا مولکوللارینن پیوندینن چوخ گوجلی دی.
448	nature	هر ایل اکتبرن حدودندا تقریبا 1.5 میلیون گیاهخوار شمالی تپه لردن یاغشلارا گوره مارا چاینان گچللر و جنوبی چوللره طرف گدللر.
386	politics	شاه سه جونگ، چوسان خاندانن دؤردمینجی شاهی دی و اونا چوخ ارزش قائلی دیلر.
1438	religion	کلیسانن قدرت مرکزی مین ایلدن چوخدی کی رم دا دی و قدرت نن ثروتین تمرکزی باعث اولدی چوخلی اداملار شک السینلر بو اصل انجام الوپ یا یوخ.
394	politics	اما سلطنتی نیروی دریایی هله ده آلمانن نیروی دریایی سنان (کریگسمارین) گوجلی دی و ائلیه بولردی هر اشغال ناوگانن کی انگلیس کانالنان یوللانمشدی بین نن آپارا.
1977	education	لازیم دییر که دییلسین، اگر سیز بیر رومانیایی دیل بولسز ، پرتغالی دیلین اورگشماخ سیزه راحات اولاجاق.
1719	nature	کروگر میلی پارکی( کا ان پی) جنوبی آفریقانین شمال شرقیسینده واقع اولوب و شرقدن موزامبینن و شمالدن زیمبابوه نین مرزی نواریندا امتداد تاپیر و جنوب دان کروکودیل چایینا یتیشیر.
29	crime	عراقین ابوغریب زندانی اغتشاش زمانیندا یاندیریلیب.
845	entertainment	"اما ایندی رسمیته تاننمش دیوارنگاره هنرمندلری، دیوارنگاره مسابقه لری و ""مجاز"" دوارلار وار. دیوارنگاره نقاشیلری بو موقعیتده اوخونمین جمله لرین عوضینه، هنری اثرلره اوخشیللر."
165	crime	بمبئییهحملهالیننر2008 نوامبرین26 سینداگمینناورایتیشدلروائوزلرینننارنجنکنناتوماتیکاسلحهلرکتمیشدلرونچههدفهچهاتراپاتیشیواجیترمینوسراهاهنایستگاهنانمشهورتاجمحلهتلنهشلیکالدیلر.
261	business	نیجریهقبلااعلامالدیکیاوهفتهدهکیاُجایتشردیایسدیردی AfCFTA(افریقاننقارهایازادتجارتمنطقهسی) نهقنوشا.
531	sports	بیر معمولی رانددا اون سگز باجا اوینیللر و اویونچولار گلف زمیننده بیرمینجی باجادان باشلیللر و اون دگزمینجی باجادا قوتولاللار.
1599	nature	جهشلر ائلیه بوللر مختلف اثرلری اولا کی جهشین نوعنا، تحت تاثیر ژنتیکی ماده نین اهمیتی و بو کی سلوللار زایشی خطن سلولی دلار یا یوخ، بستگی سی وار.
428	geography	ترکیه نین قلمروسی 1600 کیلومتر (1000 مایل) اوزوننوقدی و 800 کیلومتر (500 مایل) انیدی و تقریباً بیر مستطیل شکلی وار.
1206	health	همیلتونتاییدالدیکیهاوارددانشگاهینبیمارستانیمریضیپایدارحالتدهپذیرشالمشدی.
277	politics	ماساچوستنقاباخکیفرمانداریمیترامنیپنجشنبهفلوریداننجمهوریخواهحزبینمقدماتیریاستینانتخاباتندارایلرین46 درصددنچخیننبرندهاولدی.
