	index_id	category	text	gpt-3
0	1523	science/technology	ضافت الطفرة تنوع جيني جديد ، وبشيلها التحديد من مجموعة الاختلاف المعبر عنه.	This piece of news seems to be related to science/technology as it mentions a new genetic mutation.
1	1644	science/technology	القنبلة الانشطارية بتشتغل بمبدأ انها بتاخد الطاقة لتجمع النواة مع بروتونات ونيوترونات.	This piece of news seems to be related to science/technology. It discusses the principle of a nuclear bomb and how it works by combining the nucleus with protons and neutrons.
2	558	science/technology	بتتكون النواة من جسيمين - النيوترونات والبروتونات.	This is a piece of news regarding science/technology. It mentions the composition of the nucleus, which is a scientific concept related to atomic structure.
3	456	science/technology	وهذا سمح لعدسات التكبير انها تطلع صور بجودة مثل اللي حققتها العدسات مع البعد البؤري الثابت.	This piece of news seems to be related to science/technology as it discusses the advancements in lens technology.
4	906	science/technology	فهيه بتتفوق على بروكسيات الويب لعدة أسباب: فهيه بتعيد توجيه كل حركات المرور على الإنترنت ، مش بس http.	Based on the provided text, it appears to be a piece of news related to technology.
5	452	science/technology	التصميم التفاعلي بيحتاج إعادة تقييم افتراضاتك حول الإنتاج الإعلامي وتعلم التفكير بطرق غير خطية.	This appears to be a piece of news related to science/technology.
6	1557	science/technology	صارت هي ممارسة شائعة ، بس الحديد تسبب في التآكل للدواليب الخشبية للعربات.	Based on the provided text, it appears to be a piece of news related to technology or science.
7	1360	science/technology	تتكون العرائس من واحد إلى ثلاثة ذكور بالغين ، إلى جانب ما يصل إلى ثلاثين أنثى وشبلاً.	This piece of text does not appear to be a news article. It seems to be a statement about the composition of dolls, rather than a news story.
8	1675	science/technology	بالرغم من انو للذكاء الاصطناعي دلالة قوية بالخيال العلمي ، فالذكاء الاصطناعي بيشكل فرع مهم كتير من علوم الكمبيوتر ، وبيتعامل مع السلوك والتعلم والتكيف الذكي في الآلة.	This is a piece of news regarding science/technology.
9	1430	science/technology	لهيك بيقولو انه نسبة العرض إلى الارتفاع لهذا التنسيق (القسمة على اثني عشر للحصول على أبسط نسبة عدد صحيح) هي 3: 2.	I'm sorry, but I couldn't understand the language you used in your response. Can you please provide the information in English?
10	1907	science/technology	لا يعتبر التلفون اللي بيشتغل بالأقمار الصناعية بشكل عام بديل عن الموبايل ، لانو لازم تكون برا مع وجود خط رؤية واضح للقمر الصناعي لتعمل مكالمة هاتفية.	This piece of news is related to science/technology. It discusses the use of satellite phones and clarifies that they are not a general substitute for mobile phones due to the requirement of a clear line of sight to the satellite for making phone calls.
11	1555	science/technology	مع انه العربيات كانت بس ألواح خشبية متوازية ،بس سمحت للخيل بسحبها لتحقيق سرعات أكبر وسحب أحمال أكبر من هديك اللي كانت تمشي على الطرق الأكثر وعورة في اليوم.	This piece of news seems to be related to transportation or technology, specifically about the use of wooden boards and horses for achieving higher speeds and carrying heavier loads on rough roads.
12	1632	science/technology	الناس عرفت عن العناصر الكيميائية الأساسية متل الذهب والفضة والنحاس من العصور القديمة ، فممكن نكتشفها كلها بالطبيعة بشكلها الأصلي ومن السهل نسبيًا استخراجها باستخدام الأدوات البدائية.	This piece of news seems to be related to science/technology, specifically chemistry and the discovery/extraction of basic chemical elements such as gold, silver, and copper.
13	1354	science/technology	لقد غير الدولاب العالم بطرق لا تصدق. أهم شيء قدمه الدولاب هو توفير وسيلة نقل أسهل وأسرع.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English so that I can assist you better?
14	462	science/technology	عملوا هيك للتأكد من أن الصورة بتغطي الشاشة كلها. وهذا ما يسمى بالمسح الضوئي الزائد.	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English?
15	404	science/technology	كانت اسم الغواصات الألمانية U-Boats. كان الألمان شاطرين بالملاحة وتشغيل غواصاتهم.	"This piece of text seems to be related to ""science/technology"" as it mentions German submarines (U-Boats) and their navigation and operation skills."
16	604	science/technology	بالرغم من انو حالته الفيزيائية ممكن تتغير ، إلا انو حالته الكيميائية بتضل زي ماهيه.	This statement does not appear to be a news article. It seems to be a sentence discussing the physical and chemical states of something.
17	352	science/technology	التوتر السطحي بيصير لأنه جزيئات الماء الموجودة على سطح الماء تنجذب بقوة إلى بعضها البعض أكثر مما تنجذب لجزيئات الهواء فوقها.	This is a piece of news regarding science/technology. It discusses the phenomenon of surface tension in water molecules.
18	459	science/technology	المسح الزائد هو من أكثر المشكلات المنتشرة لما نحاول نحول فيلم إلى تنسيق DVD.	This piece of news seems to be related to technology, specifically DVD conversion.
19	1519	science/technology	بالتحديد ، بقولوا انو ممكن الواحد يكتشف إذا كان الشخص بكدب بتفسير التعبيرات الدقيقة بشكل صح.	I'm sorry, but I am unable to understand the language you used. Could you please provide the text in English?
20	1338	science/technology	منقدر نعمل اشكال مختلفة من الذهب.و يمكن دحرجته لأشكال صغيرة.	Based on the provided text, it seems to be a piece of news related to science/technology, specifically about the ability to create different shapes from gold and roll it into smaller forms.
21	1679	science/technology	غالبًا بيستخدمو نظام الذكاء الاصطناعي حاليًا بمجالات الاقتصاد والطب والهندسة والجيش ، وكمان بنوه بكتير من تطبيقات برامج الكمبيوتر وألعاب الفيديو المنزلية.	This piece of news seems to be discussing the use of artificial intelligence in various fields such as economics, medicine, engineering, the military, computer software applications, and home video games.
22	1428	science/technology	ولليوم لسا بينتجوه ، بس الأهم من هيك أن نسبة العرض إلى الارتفاع اتوارثتها أشكال حساس صور الكاميرا الرقمية.	I'm sorry, but I couldn't categorize the news article based on the provided text. Could you please provide more context or specific information from the article?
23	1432	science/technology	قاعدة التثليث اللي بيستخدموها خطأ واللي بيسخروا منها بالعادة هي مبدأ توجيهي بسيط بينشئ الديناميكية وبحافظ على شوية نظام في الصورة.	I'm sorry, but I am unable to understand the language you used in your response. Can you please provide the information in English?
24	1024	science/technology	هاد مش بس بيأكد إنه على الأقل بعض الديناصورات كان إلها ريش، نظرية منتشرة أساساً، بس بتعطي تفاصيل ما بتقدر عليها الأحافير عموماً، زي اللون والترتيب ثلاثي الأبعاد.	This piece of news is regarding science/technology. It discusses the theory that some dinosaurs had feathers and provides details about what fossils can reveal, such as color and three-dimensional arrangement.
25	373	science/technology	كيف رح تجذبني جاذبية آيو؟ إذا وقفت على سطح آيو ، رح يكون وزنك أقل من ما كان على الأرض.	This is not a piece of news. It appears to be a statement or question unrelated to any specific news category.
26	1332	science/technology	NextGen هو نظام عم تقول إدارة الطيران الفيدرالية أنه حيسمح للطيارات بالطيران في مسارات أقصر ويوفر ملايين الجالونات من الوقود كل سنة ويقلل من انبعاثات الكربون.	This is a piece of news regarding science/technology.
27	1670	science/technology	بتوفر البيانات العصبية الحيوية دليل مادي للنهج النظري للتحقيق في الإدراك. لهيك بيديق مجال البحث وبخليه أكتر دقة.	I'm sorry, but I am unable to categorize the provided text as it is in Arabic and I am programmed to understand and categorize English text.
