index_id	category	text
431	geography	Sa Turchia est inghiriada dae su mare dae tres chirrus: dae su Mare Egeu dae otzidente, dae su Mare Nieddu dae susu e dae su Mare Mediterràneu dae josso.
403	science/technology	A su cumintzu de sa gherra biazaiant mescamente is su pìgiu de su mare, ma dae chi sos radar aiant cumintzadu a los iscobèrrere e a èssere prus pretzisos sos sutamarinos fiant obligados a si nche andare a suta de s’abba pro evitare chi los esserent bidos.
1592	science/technology	Cun sa mèngua de sa connoschèntzia de su grecu, s’Otzidente si fiat agatadu lassadu a foras dae sas raighinas filosòficas e iscientìficas grecas.
993	entertainment	De cada manera, tenent una genia diferente de bellesa e incantu durante s’ierru, cun medas istatziones de collina chi retzint cantidades mannas de nie e frunint atitvidades comente su iscì e su snowboarding.
755	entertainment	Custos albergos fiant ue istaiant sos ricos e sos famosos de su tempus, e a s’ispissu teniant una coghina rafinada e vida a de note.
1936	politics	In su 1994, custu cunflitu aiat batidu a sa creatzione de sa autoproclamada Repùblica de Transnìtria in sa Moldova de s’est, chi tenet su guvernu e sa moneda sua ma no est reconnota dae perunu paisu membru de s’ONU.
1205	health	Danielle Lantagne, esperta de sa maledia de sas NU, at naradu chi s’epidemia est istada forsis causada dae sas trupas de paghe.
1692	geography	Sas àreas mannas prus a nord sunt populadas in manera ispaniada e calicuna est casi terra agreste no abitada.
280	politics	Sos organizadores de sa protesta ant naradu chi 100.000 pessones sunt lòmpidas in tzitades de Germània comente Berlinu, Colònia, Amburgu e Hannover.
247	politics	Sos agentes sunt responsàbiles de frunire servìtzios guvernativos e giuditziàrios comente istabilidu dae s’Artìculu 247 de Costitutzione Pakistana.
1439	politics	Pagu tempus a pustis de sa comintzada de sas ostilidades, sa Grandu Britànnia aiat inghitzadu unu blocu navale de sa Germània.
1239	entertainment	“Est bellighedda meda e cantat puru bene a beru”, at naradu segundu una trascritzione de sa cunferèntzia pro s’imprenta.
743	geography	Sas ìsulas Cook non tenent àteras tzitades ma si cumponent de 15 ìsulas diferentes. Sas prus de importu sunt Rarotonga e Aitutaki.
18	politics	B’at àpidu protestas in totu su mundu, paritzas atziones legales, e sos capos de sos guvernos de Islanda e de Pàkistan ant dadu sas dimissiones.
1344	science/technology	Sos jones de idrògenu sunt protones chi ant pèrdidu sos eletrones (ca sos àtomos de idrògenu tenent unu protone e un’eletrone).
688	travel	Sos visitadores cun pagu tempus diant pòdere colare su tempus issoro a un’àtera parte.
556	science/technology	S’àtomu podet èssere cunsideradu comente unu de sos blocos de fràigu fundamentales de totu sa matèria.
1645	science/technology	Est comente a fàghere rodulare unu carru grae subra unu cùcuru. Torrare a partize su nùcleu tando lìberat parte de cussa energia.
907	science/technology	Normalmente frunint una largària de banda prus arta e una mezus calidade de servìtziu. Sunt criptadas e tando prus malas a èssere ispiadas.
1071	politics	Ma su Primu Ministru John Howard at naradu ca s’atu fiat isceti pro sarvare sas istruturas de s’ispidale dae unu declassamentu de su guvernu de Tasmània, dende àteros 45 miliones de AUD$.
555	sports	Sos atletas podent tènnere sa sensatzione de prefèrrere unu produtu fintzas cando non frunit perunu vantàgiu reale.
1203	health	Prima de s'arrivu de sas trupas, Haiti no aiat tentu problemas de sa maledia dae su 1800.
58	politics	Sa politzia at naradu chi Lo Piccolo at tentu una positzione de avantàgiu, ca fiat istadu su bratzu deretu de Provenzano in Palermo e cun s’esperièntzia sua prus manna aiat concuistadu su respetu de sa generatzione prus betza de capos, ca issos sighiant sa lìnia de Provenzano de mantènnere unu profilu bassu e in su mentras afortiare sa rete de podere.
1764	travel	In prus, depes ischire chi sos fragos atirant sos orsos e àteras feras, pro cussu èvita de ti pigare in fatu recatu coghinadu chi bogat fragu e mantene netu su campu.
195	sports	Massa diat dèpere abarrare foras pro a su mancu su restu de s’istagione 2009.
1785	travel	Su de prenotare in antis nche bogat a su biazadore su pensamentu de tènnere unu logu ue dormire una borta lòmpidu a sa destinatzione.
600	science/technology	Sos elementos e sos cumpostos podent mòvere dae un’istadu a s’àteru e non cambiare.
553	sports	Sa cursa de mèdia distàntzia est un’isport relativamente de pagu isperdìtziu; de cada manera, bi sunt pregiudìtzios subra su pagu echipagiamentu netzessàriu pro partetzipare.
1720	geography	Su parcu coberret 19500 km² e est partzidu in 14 ecozonas diferentes, chi suportant cada una una vida agreste diferente.
1622	geography	Su riu de sas Amàtzones es su segundu prus longu e su prus mannu in sa Terra. Batit prus de otu bortas sa cantidade de abba de su segundu riu.
1441	politics	Sa Grandu Britànnia aiat minadu sas abbas internatzionales pro prevènnere chi sos navios èsserent intrados a setziones intreas de s’otzèanu, ponende in perìgulu sos navios neutrales puru.
566	health	Sa bista, o sa capatzidade de bìdere, dipendet dae sos òrganos sensoriales de su sistema de sa bista, o ogros.
1515	science/technology	Sas caraterìsticas marcadas de Ìnternet giughent a àteras dimensiones faeddende de unu ghetu basadu subra de impreos e gratificatzione.
585	science/technology	De cada manera, sos primos telescòpios reales sunt istado fatos in Europa a sa fine de su de 16 sèculos.
1689	geography	Ottawa est sa capitale elegante e bilìngue de su Cànada e presentat una sèrie de gallerias de arte e de museos chi mustrant su passadu e su presente de su Cànada.
1256	health	Sa compositzione de custos cristallos currispondet a cussa agatada in s’urina de sos animales malàdios cando cumparadas cun ispetroscopia infraruja.
60	science/technology	Su CEO de Apple Steve Jobs at isveladu su dispositivu pesende·nche a su palcu e boghende s’iPhone dae sa butzaca de sos jeans.
32	sports	Comente sas veturas in antis de Alonso sunt intradas pro ghetare carburante cun sa vetura de seguresa, issu at otènnidu positziones pro lòmpere a sa vitòria.
1411	politics	Durante sa Gherra de Indipendèntzia, sos trèighi istados aiant formadu pro sa prima borta unu guvernu tzentrale dèbile-cun su Cungressu chi fiat s’ùnicu cumponente-suta de sos Artìculos de sa Cunfederatzione.
13	sports	Nadal at regortu 88% puntos a rete in sa partida, binchende 76 puntos in su primu serbìtziu.
1941	travel	Sas rugas ampras, sos fràigos cun sas caras de bidru e sos tzentros cummertziales modernos sunt pintirinados cun sas coberturas traditzionales de tèulas rujas, su mercadu de su de 18 sèculos, e sas antigas moscheas e crèsias, mancari sa tzitade tèngiat un’atmosfera prus de s’Europa mediterrànea che de Turchia traditzionale.
732	sports	Whistler (1,5 ora cun sa vetura dae Vancouver) est cara ma de bona fama pro sas olimpìades de ierru de su 2010.
871	entertainment	Prena·ti sa domo cun unu cafè a bundu a manzanu e una gramamilla pro ti pasare a notte.
886	geography	Antàrtide est su logu prus fritu de sa Terra, e inghìriat su Polo Sud.
362	science/technology	A pustis de oras de operatzione su filamentu in sa lampadina a sa fine brùsiat e sa lughe non funtzionat prus.
1578	health	Controlla s’eticheta pro sas istrutziones pretzisas de primu agiudu pro cussu velenu ispetzìficu.
996	travel	In cada casu, depes prenotare pro telèfonu deretu cun sa cumpangia.
197	health	Sa cunditzione de su presidente est istàbile, ma at a abarrare isuladu in domo pro paritzas dies.
460	entertainment	Su prus de sas televisiones sunt fatas pro cuntentare su pùblicu generale.
154	geography	De prus o mancu 24000 meteorites connotos pro èssere rutos in sa Terra, isceti 34 sunt istados verificados comente martzianos in orìgine.
1160	politics	A pustis de chi sos ufitziales verificant s’identidade de chie votat, custu lassat sa busta in un’urna e firmat sa lista eletorale.
1223	entertainment	Ant cantzelladu su giru a pustis de chi su cantante Steven Tyler s’est fertu ruende dae su palcu in su cuntzertu de su 5 de Austu.
54	politics	Peter Costello, ministru de sas finàntzias de Austràlia e s’òmine prus probàbile pro sustituire su Primu Ministru John Howard comente capu de su partidu Liberale at dadu su suportu a s’industria nucleare in Austràlia.
7	politics	Sa protesta est cumintzada fache a sas 11:00 ora locale (UTC+1) in Whitehall in antis de s’intrada bardiada dae sa politzia in Downing Street, sa residèntzia uffitziale de su Primu Ministru.
1010	sports	Usa Gymnastics suportat sa lìtera de su Comitadu Olìmpicu de sos Istados Unidos e cunfirmat su bisòngiu assolutu de sa famìglia olìmpica de promòvere un’ambiente seguru pro totu sos atletas nostros.
1174	sports	Su resurtadu finale est istadu una vitòria de unu puntu, 21-20, ponende fine a una filera de 15 vitòrias de sos All Blacks.
1202	health	Cunforme a sa causa, s’arga de su campu de sas Natziones Unidas no est istada sanificada comente si tocat e at resultadu chi batèrios sunt intrados in s’afluente de su riu Artibonite, unu de sos prus mannos de Haiti.
958	travel	Peruna alleàntzia de cumpangias aèreas coberret totu sas rugraduras de sos tres otzèanos in s’emisferu sud (e SkyTeam non coberret peruna rugradura).
354	science/technology	Sa lama in unu pàtinu de astrau modernu tenet un’oru dòpiu cun un’istampu bòidu in mesu. Sos oros permitint unu cuntatu prus forte cun s’astrau, puru cando no est paris.
505	science/technology	B’at cosas positivas in custos sitos ìnternet, comente pòdere impostare in manera fàtzile una pàgina pro letziones, chi includet blog, vìdeos, fotografias e àteras funtziones.
1333	science/technology	Impreat una tecnologia satellitare, fache a sa prus antiga tecnologlia basada subra de radar de terra, pro permìtere a sos controllores de su tràficu aèreu de localizare s’aeroplanu cun pretzisione prus manna e dare a sos pilotas informatziones prus acuradas.
1173	sports	Su Sudàfrica at derrotadu sos All Blacks (Noa Zelanda) in una partida de su Tres Natziones de rugby in su Royal Bafokeng Stadium de Rustenburg, Sudàfrica.
945	travel	Sos vichingos impreaiant sos canales de abba russos pro lòmpere a su Mare Nieddu e a su Mare Càspiu. Partes de custos caminos podent galu èssere impreados. Controlla sas possìbiles netzessidades pro permissos ispetziales, chi podent èssere difìtziles de otènnere.
1012	sports	USA Gymnastics suportat un’indàgine indipendente chi potzat fàghere lughe subra de comente s’abusu de sa proportzione descrita in manera coragiosa dae sos subrabìvidos de Larry Nassar potzat èssere istadu cuadu pro unu tempus gasi longu e imbrassat totu sos càmbios netzessàrios e pretzisos.
712	travel	Prus de 60 crotzeras in barca surcant sas abbas de sas Galàpagos - colende in mèdia dae 8 a 100 passigeris.
1654	science/technology	Duas teorias de su cuntenutu populares sunt sa Teoria de sa gerarchia de sos bisòngios de Maslow e sa Teoria de sos duos fatores de Hertzberg.
76	politics	At repìtidu, de cada manera, sa decraratzione fata in antis chi Roe v. Wade fiat “sa lege istabilida de sa zona”, ponende ènfasi in s’importu de sas detzisiones coerentes de sa Corte Suprema.
637	science/technology	Bator annos a pustis fiat istadu assignadu unu brevetu, chi fiat su primu brevetu assignadu in su mundu pro su campu de sa MRI.
