	index_id	category	text	gpt-4
0	1523	science/technology	تضيف الطفرة اختلافات وراثيّة جديدة، ويزيلها الانتقاء من تجميعة الاختلافات التعبيريّة.	"The provided text is in Arabic and seems to discuss genetic variations, which would categorize it under ""Science/Technology"". However, without more context or a full translation, it's difficult to categorize it accurately."
1	1644	science/technology	تعمل القنبلة الانشطارية على أساس أنها تجمع الطاقة لأجل تكوِّن نواة مليئة بالبروتونات والنيوترونات.	"This news piece is related to ""Science/Technology""."
2	558	science/technology	تتكون النواة من جسيمين - النيوترونات والبروتونات.	"This piece of news seems to be related to ""Science/Technology"" as it discusses components of an atom's nucleus - neutrons and protons, which is a topic in Physics."
3	456	science/technology	وقد أتاح ذلك لعدسات التكبير والتصغير إنتاج صور بجودة مماثلة لهذيك اللي حققتها العدسات صاحبة الطول البؤري الثابت.	"This piece of news seems to be related to ""Science/Technology"" as it discusses the quality of images produced by zoom lenses."
4	906	science/technology	فهي تتميزعلى بروكسي الويب لعدة أسباب: فهي تعيد توجيه جميع حركات المرور على الإنترنت، ومش بس عبر بروتوكول نقل النص الفائق.	"The text you provided is in Arabic and it seems to be discussing web proxies and internet traffic, which falls under the category of ""Science/Technology""."
5	452	science/technology	التصميم التفاعلي يتطلب أن تعيد تقييم افتراضاتك عن الإنتاج الإعلامي وأن تتعلم أن تفكر بأساليب خارجة عن المألوف.	"The provided text seems to be related to ""science/technology"", as it discusses interactive design, a topic typically associated with technology and digital media."
6	1557	science/technology	وقد أصبح هذاك عرف متبع، إلا أن الحديد خلي العجلات الخشبية حق العربات تتآكل زيادة.	I'm sorry, but the text provided is not a news article and it's not clear which category it would belong to. The text seems to be a mix of English and Arabic, and it appears to be discussing something about wooden wheels and iron, but it's not clear what the main topic is.
7	1360	science/technology	تتكون عائلة الأسود من واحد إلى ثلاثة ذكور بالغين، بالإضافة إلى ما يصل إلى ثلاثين أنثى وشبل.	"This piece of news seems to be related to ""Geography"" as it discusses about the composition of a lion's family, which is a topic related to wildlife and nature."
8	1675	science/technology	بالرغم من أن الذكاء الاصطناعي معه دلالة قوية للخيال العلمي، فإنه يشكل فرع مهم جداً من علوم الكمبيوتر، ويتعامل مع السلوك والتعلم والتكيف الذكي في الآلة.	"This news article is regarding ""Science/Technology""."
9	1430	science/technology	نسبة الأبعاد الخاصة بهذي الصورة تكون (عند القسمة على 12 للحصول على النسبة لأبسط عدد صحيح) إذن بتكون 3:2.	"The provided text does not seem to be a news article. It appears to be a statement about the aspect ratio of an image. Therefore, it cannot be categorized under ""science/technology, travel, politics, sports, health or geography""."
10	1907	science/technology	التلفون اللي يعمل بالأقمار الصناعية مش دائماً بديل عن الهاتف الجوال، يعني لازم أن تكون خارج في خط رؤية واضح مع القمر الصناعي لإجراء مكالمة هاتفية.	"This news article is related to ""science/technology""."
11	1555	science/technology	بالرغم من أن عربات السكك الحديدية القديمة كانت تتكون بس من ألواحٍ خشبية متوازية، إلا أنها سمحت للخيول بسحبها علشان تحقق سرعات أكبر وجر أحمال أثقل مقارنة بالطرق اللي كانت تعتبر أكثر من وعرة بهذاك الوقت.	"This news article is related to ""travel"" as it discusses the history of rail transportation."
12	1632	science/technology	لقد عرف الناس بوجود العناصر الكيميائية الأساسية مثل الذهب والفضة والنحاس من حين العصور القديمة، حيث يمكن اكتشاف كل هذي العناصر بالطبيعة بشكلها الأصلي ويمكن استخراجها بطريقة سهلة شويه باستخدام أدوات بدائية.	"This news article can be categorized under ""Science/Technology"" as it discusses about basic chemical elements like gold, silver, and copper."
13	1354	science/technology	غيرت العجلة شكل العالم بشكل مدهش؛ ولكن تبقى إتاحة وسيلة نقل أسهل وأسرع أهم ما أسهمت به لأجلنا.	"This news article appears to be related to ""science/technology"" and possibly ""travel"", as it discusses the impact of the wheel on transportation."
14	462	science/technology	تم عمل ذلك للتأكد من أن الصورة تغطي الشاشة بأكملها. هذا يُسمى بالتجزئة العالية.	"This piece of news seems to be related to ""Science/Technology"" as it discusses a technical process related to screen imaging."
15	404	science/technology	"كان اسم الغواصات الألمانية ""U-Boats""، وكان الألمان ماهرين في الملاحة بغواصاتهم وبتشغيلها."	"This piece of news seems to be related to ""history"" or ""military"" due to the mention of German submarines, known as ""U-Boats"". However, it doesn't fit directly into any of the categories you provided (science/technology, travel, politics, sports, health, or geography)."
16	604	science/technology	مع أن حالته الفيزيائية قد تتغير، فإن حالته الكيميائية تبقي مثلما هي.	"This piece of information seems to be related to ""science/technology"", as it discusses physical and chemical states. However, without more context, it's hard to categorize it definitively."
17	352	science/technology	"تحدث خاصيّة ""التوتّر السّطحي"" لأنّ جزيئات الماء الموجودة على سطح الماء تنجذب بقوّة إلى بعضها البعض أكثر ممّا تنجذب إلى جزيئاتِ الهواءِ فوقها."	"This piece of news seems to be related to ""science/technology"" as it discusses the property of surface tension in water molecules."
18	459	science/technology	من المشاكل الشائعة عند محاولة تحويل فيلم إلى تنسيق DVD هو المسح الضوئي الزائد.	"This piece of news can be categorized under ""Science/Technology"" as it discusses a technical issue related to DVD formatting."
19	1519	science/technology	ويُدّعى على وجه الخصوص أن الواحد يقدر أن يكتشف ما إذا كان الشخص يكذب من خلال تفسير التعبيرات الدقيقة بشكل صحيح.	This piece of news seems to be related to science/technology, specifically in the field of psychology or human behavior studies.
20	1338	science/technology	يمكن تشكيل الذهب بكثير من الأشكال. يمكن لفه بأشكال صغيرة.	This piece of text does not seem to be a news article. It's a statement about the malleability of gold. Therefore, it doesn't fit into any of the provided categories: science/technology, travel, politics, sports, health, or geography.
21	1679	science/technology	يُستخدم نظام الذكاء الاصطناعي الآن بمجالات الاقتصاد، والطب، والهندسة، والجيش، كمان تم استخدامه لأجل بناء عدة تطبيقات برمجية على الكمبيوترات المنزلية وألعاب الفيديو.	"This news article can be categorized under ""Science/Technology""."
22	1428	science/technology	إن إنتاجها عادوه مستمر لحد يومنا الحاضر، ولكن الأهم من ذاك هو أن شكل مستشعرات الصور في الكاميرات الرقمية قد ورثت نسبة عرض الصورة الى ارتفاعها.	This news article is related to Science/Technology, as it discusses aspects of digital cameras and image sensors.
23	1432	science/technology	قاعدة التثليث اللي يُساء استخدامها واللي يضحكوا عليها كثير، تشكل مبدأ توجيهي بسيط يعمل على خلق الديناميكية في حين يحافظ على قدر من النظام في صورة واضحة.	The text provided does not seem to be related to any of the categories mentioned (science/technology, travel, politics, sports, health or geography). It appears to be a general commentary or opinion piece.
24	1024	science/technology	هذا الشيء ما يأكدش بس أنو بعض الديناصورات على أقل تقدير كانت معها ريش، وهي نظرية شائعة من صحيح. ولكنه يقدم أيضًا تفاصيل ما تقدرش الأحفوريات تقديمها في العموم، مثل اللون والترتيب ثلاثيّ الأبعاد.	"This news article can be categorized under ""Science/Technology"" as it discusses theories and details about dinosaurs, which falls under the field of Paleontology, a branch of science."
25	373	science/technology	كيف شتسحبني جاذبية أيو؟ إذا وقفت على سطح أيو، شيصبح وزنك أقل مما هو عليه على الأرض.	"This piece of news can be categorized under ""Science/Technology""."
26	1332	science/technology	نيكسدجين هو نظام تقول إدارة الطيران الفيدرالية أنه بيسمح للطيارات بالطيران في مسارات أقصر، وهذا شيوفر ملايين الجالونات من الوقود كل سنة ويقلل من انبعاثات الكربون.	"This news article can be categorized under ""science/technology"" and ""travel""."
27	1670	science/technology	توفّر البيانات المرتبطة بعلم الأعصاب أدلّة ملموسة للمنهج النظري في تقصّي المعرفة. بذلك تعمل على تقلُّص منطقة البحث وتخليها أكثر دقّة بكثير.	"This news article can be categorized under ""Science/Technology"" as it discusses topics related to neuroscience."
28	61	science/technology	"وفي خطابه اللي استمر لمدة ساعتين صرح قائلاً ""اليوم، بتعيد شركة أبل اختراع الهاتف، شنصنع التاريخ اليوم""."	"This news article is related to ""Science/Technology""."
29	454	science/technology	أحد عيوب عدسات التكبير هو أن التعقيد البؤري وعدد عناصر العدسة المطلوبة لتحقيق نطاق من الأطوال البؤرية أكبر بكثير من هذيك المطلوبة للعدسات الأولية.	"This piece of news seems to be related to ""Science/Technology"", as it discusses the technical aspects of magnification lenses."
30	1234	science/technology	لأنه يشبه جهاز الريموت حق التلفزيون، جهاز التحكم الريموت يستخدم أثنين مستشعرات موضوعين بالقرب من تلفزيون المستخدم لتحديد موقعه في الفضاء ثلاثي الأبعاد.	"This news article falls under the category of ""Science/Technology"" as it discusses the technology of a remote control device."
31	1025	science/technology	يقول العلماء أنو ريش هذا الحيوان كان بني كستنائي من الأعلى والجانب السفلي حقه شاحب أو بلون الكاروتينات.	"This news article falls under the category of ""science/technology."""
32	1254	science/technology	يتفاعل الأثنين المركبات واحد مع الثاني لتكوين بلورات قد تُعيق وظائف الكلى، بحسب ما قال باحثون بالجامعة.	"This piece of news seems to be related to ""Health"" as it discusses the formation of crystals that could potentially interfere with kidney functions."
33	780	science/technology	وهذا يعطي دقة تعادل أربعة أضعاف دقة 35 مم سالبة (3136 مم2 مقابل 864).	As an AI, I'm unable to understand the context of the news from the given information. Could you please provide more details or the full text of the news article?
34	649	science/technology	بفضل روابط كابلات الألياف الضوئية الموجودة تحت سطح البحر إلى أوروبا والأقمار الصناعية صاحبة النطاق العريض، فإن جرينلاند معها اتصال جيد بالإنترنت حيث 93% من السكان عندهم اتصال بالإنترنت.	"This piece of news can be categorized under ""science/technology"" as it discusses internet connectivity in Greenland, which is facilitated by undersea fiber optic cables and broadband satellites."
35	917	science/technology	أحد أبرز تطبيقات هذي الفئة تطبيق ترجمة جوجل، اللي يسمح لك بالترجمة أثناء عدم الاتصال بالإنترنت بعد تنزيل بيانات اللغة اللي تشتيها.	"This news article falls under the category of ""Science/Technology""."
36	603	science/technology	يحمل التركيب الجزيئي نفسه سواء كان في حالة غازية، أو سائلة، أو صلبة.	"This piece of news seems to be related to ""Science/Technology"" as it discusses molecular structures, which is a topic in chemistry and physics."
37	1518	science/technology	استخدام تسجيلات الفيديو أدى إلى اكتشافات هامة في مجال تفسير التعابير الدقيقة للوجه، وهي حركات للوجه تستمر لبضع أجزاء من الثانية الواحدة.	This piece of news is regarding science/technology.
38	584	science/technology	كان البشر يصنعون العدسات ويستخدمونها للتكبير منذ آلاف وآلاف السنين.	"This piece of news seems to be related to ""Science/Technology""."
39	1589	science/technology	وهي بالرغم من ذاك مش متفردة بهذا الشأن، يعتبر التجريب والتجربة اختباراً يمكن استخدامه لفحص صحة واحدة أو أكثر من الفرضيات المحتملة؛ طرح الأسئلة وإجراء الملاحظات يوجه البحث العلمي كمان.	"This piece of news seems to be related to ""Science/Technology"" as it discusses experimentation and scientific research."
40	1558	science/technology	وفي النهاية، استبدالوا العجلات الخشبية بعجلات حديدية. في سنة 1767، تم إدخال أول قضبان حديدية كاملة.	This piece of news seems to be related to history or technology, as it discusses the replacement of wooden wheels with iron ones and the introduction of the first full iron rails in 1767. However, without more context, it's difficult to categorize it definitively.
41	922	science/technology	تتخصص بعض الكروت بتقديم أسعار مكالمات مناسبة لمجموعات محددة من البلدان، في حين أن معظم الكروت جيدة للاتصال بأي مكان.	This piece of news seems to be related to technology, specifically telecommunications.
42	1981	science/technology	معظمُ تلسكوباتِ البحوثِ الحديثة هي منشآتٌ هائلةٌ بالمناطق النائيّة ذات الظّروف الجويّة الملائمة.	This piece of news is regarding science/technology.
43	351	science/technology	ما تغرقش الإبرة الفولاذيّة على الماء بسبب التوتّر السطحي.	"This piece of news seems to be related to ""Science/Technology"", as it discusses a physical phenomenon (surface tension)."
