index_id	category	text
797	technology	Ако на путовање носите лаптоп или таблет, сачувајте примерак у његовој меморији или на диску (коме је могуће приступити без интернет везе).
830	travel	У неким возовима који прелазе границе, провере се одвијају у возу у покрету, и требали бисте да имате важећу личну карту код себе кад се укрцавате на један од ових возова.
150	business	Сер Ричард Бренсоновој Virgin групи је одбијена понуда за откуп банке пре него што је банка национализована.
1806	travel	Неке животиње, као што су слонови и жирафе, имају тенденцију да се полако приближавају аутомобилима, па стандардна опрема омогућава добар поглед.
902	disasters	Торнадо је вртећи стуб са врло ниским притиском ваздуха, који усисава околни ваздух ка унутра и нагоре.
1225	sports	Дел Потро је рано стекао предност у другом сету, али и је и он ушао у тај-брејк након резултата од 6-6.
1342	science	Сок од купуса мења боју у зависности од тога колико је хемикалија кисела или базична (алкална).
1959	nature	Национални парк Плитвичка језера је обилно пошумљен, углавном дрвећем букве, смрче и јеле, и садржи мешавину алпске и медитеранске вегетације.
341	business	Што се тиче глобалне финансијске ситуације, Запатеро је наставио изјављујући да је „финансијски систем део економије, њен кључни део.
352	science	Површински напон настаје због тога што се молекули воде на  површини воде међусобно снажно привлаче, више него што је то случај са молекулима ваздуха изнад њих.
448	nature	Сваке године у периоду октобра скоро 1,5 милиона биљоједа путује ка јужним низијама, прелазећи реку Мару, од северних брда због киша.
386	politics	Краљ Сеђонг је био четврти краљ династије Ђосон и један је од најцењенијих.
1438	religion	Централна власт цркве била је у Риму више од хиљаду година и ова концентрација моћи и новца довела је до тога да се многи питају да ли се ово начело испуњава.
394	politics	Али Краљевска морнарица је још увек била много јача од Немачке морнарице („Кригсмарине“) и могла је уништити било коју нападачку флоту која би била послата преко Енглеског канала.
1977	education	Непотребно је рећи да уколико говорите неки романски језик, биће вам лакше да научите португалски.
1719	nature	Национални парк Кругер (NPK) налази се североисточно од Јужне Африке и дуж границе са Мозамбиком на истоку, Зимбабвеом на северу, док је јужна граница река Крокодил.
29	crime	Ирачки затвор Абу Граиб је запаљен до је трајала побуна.
845	entertainment	Међутим, данас постоје званични графити уметници, графити догађаји и „легални“ зидови. Графити слике у овом контексту чешће подсећају на уметничка дела него на нечитке ознаке.
165	crime	Нападачи из Мумбаја стигли су бродом 26. новембра 2008. године, носећи гранате, аутоматско оружје и погодивши више циљева, међу којима су и препуна железничка станица Чатрапати Шиваји Терминус и познати хотел Таџ Махал.
261	business	Нигерија је претходно најавила да планира да се придружи афричкој CFTA-и у недељи пред самит.
531	sports	Осамнаест рупа се игра током регуларне рунде, а играчи обично почињу на првој рупи на терену и завршавају на осамнаестој.
1599	nature	Мутације могу имати различите ефекте у зависности од типа мутације, значаја дела генетског материјала који је погођен и тога да ли су ћелије које су погођене репродуктивне ћелије.
428	geography	Територија Турске је дужа од 1600 километара (1000 миља) и шира од 800 km (500 mi), и отприлике је правоугаоног облика.
1206	health	Хамилтон је потврдио да је болница Хауард Универзитета збринула пацијента у стабилном стању.
277	politics	Бивши гувернер Масачусетса Мит Ромни победио је на првим председничким изборима републиканске странке на Флориди, у уторак, са преко 46 процената гласова.
2	disasters	JAS 39C Gripen се срушио на писту око 9:30 пре подне по локалном времену (02:30 UTC) и експлодирао, што је изазвало затварање аерордрома за комерцијалне летове.
719	geography	Доминиканска Република (шпански: Republica Dominicana) је карипска држава која заузима источну половину острва Хиспаниола, које дели са Хаитијем.
324	geography	Олуја, која се налази отприлике на 3000 миља од Мајамија на Флориди, одржава максималне брзине ветра од 40 миља на сат (64 km/h).
15	business	„Панамски папири“ је кровни термин за око 10 милиона докумената панамске адвокатске фирме Мосак Фонсека, који су процурели у јавност у пролеће 2016. године.
13	sports	Надал је имао 88% освојених поена на мрежи у мечу и освојио је 76 поена на први сервис.
1276	crime	Оптужени су именовани као Баба Канџар, Бута Канџар, Рампро Канџар, Газа Канџар и Вишну Канџар.
37	entertainment	Емисија PBS има више од две десетине Еми награда, а њено приказивање траје краће само у односу на Улицу Сесами и Суседства господина Роџерса.
1192	health	Фотограф је превезен у медицински центар Ronald Reagan UCLA, где је потом умро.
1239	entertainment	Веома је слатка и такође пева лепо, рекао је он, према транскрипту конференције за штампу.
373	science	Какав би утицај гравитација сателита Ија имала на мене? Ако бисте стајали на површини Ије, имали бисте мању тежину него на Земљи.
42	disasters	Олуја, која се налази на неких 645 миља (1040 km) западно од Зеленортских острва, ће се вероватно распршити пре него што буде могла да запрети било којим копненим областима, рекли су метеоролози.
1780	travel	Током целе године се организује мноштво путовања на гребен, а повреде до којих доводи било који од наведених разлога на гребену су ретке.
533	sports	Игра се игра на трави, а трава око рупе је покошена краће и зове се „зелено“.
167	politics	Напад је ставио огроман притисак на односе између Индије и Пакистана.
57	crime	Како јавља Анса, „полиција је била забринута за неколико убистава највишег нивоа јер се прибојавала да би могли да доведу до тоталног рата за наследство.
1264	politics	Хјун је поднео оставку и у кабинету ће га заменити посланик Ед Дејви. Очекује се да посланик Норман Ламб преузме позицију Министра економије која остаје упражњена након одласка Дејвија.
460	entertainment	Већина телевизија се прави на начин који ће задовољити широку публику.
1911	education	Ово је посебно популарно код оних који завршавају школу, јер им омогућава да узму слободну годину пре факултета, а да притом не угрозе своје образовање.
1631	religion	Сви грађани Ватикана су римокатолици.
1997	religion	Наравно да постоје хришћанска теолошка објашњења за ову традицију, али је сасвим могуће да је овај ритуал пролећа и плодности настао пре појаве хришћана.
142	sports	Одлука НБА лиге уследила је након што је играч Јута Џеза био позитиван на вирус COVID-19.
197	health	Председниково стање је стабилно, премда ће бити у изолацији у свом дому неколико дана.
107	geography	Када капсула доспе до Земље и уђе у њену атмосферу, око 5 сати пре подне (по источном времену), очекује се да ће изазвати приметне светлосне ефекте видљиве људима у Северној Калифорнији, Орегону, Невади и Јути.
295	health	Хеликоптери су спасили тих дванаест чланова посаде и једина повреда је била сломљени нос.
342	business	Имамо једногодишњу финансијску кризу, која је свој врхунац имала у протекла два месеца, и мислим да сада финансијска тржишта почињу да се опорављају.“
365	technology	То је због тога што струја која тече у грло сијалице, где се налази њен метални део, може да вам да јак електрични удар ако додирнете унутрашњост грла или металну базу сијалице док је још увек делимично у грлу.
268	crime	Ово је први пут да је пресуда донета коришћењем закона који је ступио на снагу 2003. године, а којим се обуздава натрпавање мејл сандучића, познато као спам, од стране непожељних дистрибутера.
426	education	Чарлс је био први члан британске краљевске породице којем је додељена диплома.
1379	science	Његове дуге чељусти су биле начичкане са више од 70 зуба, оштрих као бритва, заједно са додатним сетом зуба на тврдом непцу, што значи да ништа што му се нашло на путу није могло да побегне.
135	nature	Природни фактори могу да се умешају како би се произвели идеални услови, омогућавајући да се  драматично повећа број ових алги.
1437	religion	Једно од главних хришћанских принципа је да богатство треба бити коришћено да се ублаже патња и сиромаштво и да монетарни фондови цркве постоје управо из тог разлога.
1687	education	Блоговање је алат који надахњује сарадњу и подстиче ученике да прошире учење и ван традиционалног школског дана.
1166	entertainment	На веб сајту станице програм је описан као „старомодни радијски театар са новим и нечувеним штреберским преокретом!“
1111	health	Избијање болести је навело владу Индије да преузме мере попут распоређивања хватача свиња у тешко погођеним областима, дистрибуције хиљада мрежица против комараца и прскања пестицида.
720	geography	Поред плажа са белим песком и планинских пејзажа, у земљи се налази најстарији европски град у Америци, који је данас део Санто Доминга.
1943	religion	У порти цркве налазе се занимљиве мермерне скулптуре голубова над неким гробницама.
1036	travel	Ивасаки се често суочавао са невољама на свом путовању.
248	disasters	Хостел се срушио у Меки, светом исламском граду, у отприлике 10 сати овог јутра по локалном времену.
111	technology	Кретаће се преко западне обале северне Калифорније и осветлиће небо од Калифорније па све до централног Орегона, и даље преко Неваде и Ајдаха до Јуте, рекао је Том Даксбери, пројектни менаџер „Стардаста“.
