	index_id	category	text	gpt-3
0	1523	science/technology	تغیر جدید جینیاتی تبدیلی شامل کرتی ہے اورانتخاب اسے اظہار کردہ تغیر کے پول سے حذف کرتی ہے۔	This appears to be a piece of news regarding science/technology, specifically genetics.
1	1644	science/technology	انفجاری بم (فشن بم) اس مبداء پر کام کرتا ہے کہ کوئی نیوکلیئس انرجی کی بدولت ہی اپنے پروٹونس اور نیوٹرونس کے ساتھ سالم رہتا ہے۔	This appears to be a news article related to science/technology.
2	558	science/technology	نیوکلئس دو ذرات - نیوٹران اور پروٹون پر مشتمل ہوتا ہے۔	This piece of news seems to be related to science/technology.
3	456	science/technology	اس نے زوم لینزز کو ایسی معیاری تصاویر پیش کرنے کے قابل بنایا ہے جوکہ مقرر کردہ طول ماسکہ لینزز سے حاصل کی جانے والی تصاویر کے مقابلے کی ہوں۔	This is a piece of news regarding science/technology.
4	906	science/technology	متعدد وجوہات کی بناء پر وہ ویب پراکسی سے برتر ہیں: وہ صرف ایچ ٹی ٹی پی http کا ہی نہیں، بلکہ انٹرنیٹ کے تمام ٹریفک کا نیا راستہ بناتے ہیں۔	This piece of text does not appear to be a news article. It seems to be a statement or a description of some sort.
5	452	science/technology	انٹرایکٹو ڈیزائن کا تقاضا ہے کہ آپ میڈیا پروڈکشن کے متعلق اپنے مفروضے کا دوبارہ جائزہ لیں اور نن لینئر طریقوں پر غور کرنے کو سیکھیں۔	This is a piece of news regarding science/technology.
6	1557	science/technology	یہ ایک عام طریقہ رواج پاگیا، لیکن لوہے کی وجہ سے لکڑی کی گاڑیوں کے پہیوں میں زیادہ زیبائش کی جانے لگی۔	"This piece of news seems to be related to ""technology"" as it mentions the use of iron in the wheels of wooden carts for decorative purposes."
7	1360	science/technology	شیروں کا گروہ تقریبا تیس مونث اور بچوں کے ساتھ ایک سے تین متعلقہ بالغ نر پر مشتمل ہوتا ہے۔	"This piece of news seems to be related to ""science/technology"" as it discusses the characteristics of a group of lions."
8	1675	science/technology	حالانکہ AI مٰیں سائنس فکشن کا ایک قوی نظریہ کارفرما ہے، AI کمپیوٹر سائنس کی تشکیل دینے، رویے سے نپٹنے، لرننگ اور مشین میں دانشوری کے اکتساب کی ایک اہم شاخ ہے۔	This is a piece of news regarding science/technology.
9	1430	science/technology	اس لئے کہا جاتا ہے کہ اس شکل کا آسپیکٹ ریشیو (سب سے سادہ مجموعی نمبر ریشیو حاصل کرنے کے لئے بارہ سے تقسیم دے کر) 3:2 ہوتا ہے۔	I apologize, but I am unable to understand the language you have used. Could you please rephrase your question in English?
10	1907	science/technology	ایک سیٹیلائٹ فون عام طور پر ایک موبائل فون کا متبادل نہیں کیونکہ آپ کو ایک فون کال کرنے کے لیے سیٹیلائیٹ کے سامنے واضح لائن کے ساتھ باہر ہونا ضروری ہے۔	This is a piece of news regarding technology.
11	1555	science/technology	حالانکہ ویگن ویز محض لکڑی کے متوازی تختوں پر مشتمل ہوتی تھی، اس سے گھوڑوں کو اسے تیزی سے کھینچنے میں مدد ملتی تھی اور اس دور کی خراب سڑکوں پر تھوڑا زیادہ بوجھ کھینچ پاتے تھے۔	This piece of news seems to be related to technology, specifically about the use of wooden wagons for pulling horses.
