index_id	category	text
797	technology	To ado wada jahangal be laptop ko tablet, sigu fere ha memory majum ko disc(a naftira koh wala yanan gizo)
830	travel	Ha tren pellel nastugo wuro fere fere ɓe ɗo hakkila ɓe laara ko fe’a ta ha tren dillata man ɓe balara ko a wodi i.d ma bako a wa’a tren man.
150	business	Kampani Vajin je Richad Branson habdi sodugo banki man bako ɗum wartta je leddi man amma ɓe heɓai nasaru.
1806	travel	Dabbaji fere, bana nyiwa be giraffes, do wara be hakkilo ha pellel moatji woni bo keeke darninga do acca a lara boddum.
902	disasters	Heyndu molanagu hindu on vortata be sedda, bo do vortina hindu je wani babal mai douwo be les.
1225	sports	Del Potro hebi nasarako ha fudogo fijirde mai, amma sende be tefi fijirde sendirta be bawo be yotti 6-6.
1342	science	Lemu kabeji do chanja kala do jongini do no lammenga ko soinde lammenga chemical man woni.
1959	nature	Pallel sewtugo je mayo Plitvice je leddi horaare on hebbinga masin, burna be beech, horaare spruce, horaare fir, be bo ko hauti fude-fude ledde atawata hedi gefe hosejI mari booju ha ledde nasara be fude-fude ledde atawata hedi mayo tari lesde caka daw Afrika be les Europe.
341	business	La’akari be pat duniyaru yanayi chede , Zapatero apatero timmitini be yechugo hado ‘’ je hado yanayi chede man do dar panni tattalin ariziki, be gaggawa panni.
352	science	(surface tension) buri huwugo ha dou ndyiam gam do joga bandum am majun nabana ha hindu bah ha dau majun.
448	nature	Kowani dubi ha bana October kusan 1.5 million dabbaji nyamata gene yadu yahugo hirnange babal, tsallika je mara kumbawal, daga hirnange tondire je yende.
386	politics	Lamɗo Sejong kan ko on lamdo naiyabo je laamu Joseon bo o do der be-be himmidininta masin.
1438	religion	Kawrital ardata choci man ɗonno wuro Rom, waɗan duuɓi ujunerre ha totton bo ɗo man waɗi himɓe ema hala mangu be cede tenet man.
394	politics	Amma sojoji ndiyam je Royal man ɓuri sojoji ndiyan je Jamani (“Krigsmarin”) sembe bo ɓe wawan ɓe wonna pat laana manga je joɗi ha lawol himɓe Ingila.
1977	education	Toh nini goddo demgal yiide, sadinta goddo ekkutuggo Portuguese.
1719	nature	Ladde Kruga je wuro man (KNP) ɗo soɓɓiire-lettugal je wuro horɗoore je Afrika je woni gefe boda Mozambik ha heri lettugal, Zimbabuwe bo heri soɓɓiire, sai bo heri horɗoore man on ha Mayo noowra.
29	crime	Baabal siga marɓe ayebe Abu Ghraib je Iraq nangi hite wakka zangazanga.
845	entertainment	Kogan ma, balɗeji ɗo wodi je graffiti zanobe je ɗon ngondi, graffiti mofturɓe be do “umrore” ginije. Graffiti alluha zaneji ha dar ngewte ndu yawanwi do nanda be zaneji je na je lawal didolji.
165	crime	Himbe yaarii konne haa Mumbai yotti yande 26 Novemba, 2008, ee karee konne do nanndi gurneti, otomatic bindigaaji dum be mabbiree be ha gureji harbe Chhatrapati Shivaji Terminus je fiirawol leddi beena babal walugo aandiininum Taj Mahal.
261	business	Nigeria vi no nastan AFCFTA ha sati nastata har yahugo moobre.
531	sports	Be fija gasde 18 ha tarrawol gotel, be himbe fijata do fudda ha gaska fuddorde ha babal man se be timmina ha je ragare man.
1599	nature	Sannji innitoore do mari illa ferefere amma nangi do irin mbattudi majum, himmbidinaago ha der kanjum on baareteedum jarrayel do mari anfanu na ko Wala bo ko jarrayel meminga majum jarrayel dum rimata on.
