index_id	category	text
797	technology	Sapos yu raun wantaim wanpela 'laptop' o 'tablet', putim wanpela kopi insait long 'memory' o 'disc' (we yu no inap nidim intanet long kisim).
830	travel	Long sampela ples bilong krosim boda ol i save mekim ol trein inspeksen long trein we i wok long ron na yu mas i gat wanpela 'valid ID' wantaim yu taim yu kalap long wanpela bilong ol dispela trein.
150	business	Virgin Group bilong Sir Richard Branson i gat wanpela 'bid' long kisim dispela bek tasol ol i bin tok nogta long dispela bipo ol i mekim em i kamap olsem benk bilong kantri.
1806	travel	Sampela ol animal, kain olsem ol elefen na 'giraffe', i save laik long kam klostu long ol kar na ol stendet ikwipmen (equipment) bai mekim yu i ken lukim ol gut.
902	disasters	Wanpela 'tornado' em i wanpela longpela win wei gat 'low-pressure air', we i save pulim ol win i stap long sait sait na karim i go antap.
1225	sports	Del Potro i bin gat sans pastaim insait long namba tu 'set', tasol dispela tu em i nidim wanpela 'tie break' taim i kamap 6-6.
1342	science	Kala bilong jus bilong kabis i save sensim bihainim hamas 'acid' o 'basic' (alkaline) i stap long dispela kemikel.
1959	nature	Plitvice Lakes nesinel park em i gat planti bikpela diwai, planti bilong ol dispela diwai em 'beech', 'spruce', na ol 'fir' diwai, na em i gat miks Alpine na Mediterranean plent (plant).
341	business	"Long sait bilong dispela hevi bilong fainens (finance) long graun, Zapatero i kontinu (continue) na i tok olsem ""'financial system' em i wanpela pat bilong ekonomi (economy), wanpela impoten pat."
352	science	'Surface tension' i save kamap taim ol 'water molecule' long antap bilong wara i 'attract' long ol yet moa long ol i 'attract' i go long ol 'air molecules' i stap antap long ol.
448	nature	Long olgeta yia long kain taim olsem Oktoba klostu 1.5 milien animal we i save kaikai gras i save i go long ol 'southern plain', brukim Mara River, long ples ol i stap long en long ol 'northern hill' long go long ren.
386	politics	King Sejong em i namba foa king bilong Joseon Dynasty na em i wanpela bilong ol king ol lain i save givim bikpela rispek long em.
1438	religion	Rom i bin go pas long lukautim wok bilong sios long tausen yia na planti pawa na moni i stap long Rom. Dispela i mekim na planti manmeri i wok long i gat tupela tingting sapos em i inapim dispela bilip, o nogat.
394	politics	Tasol Royal Navy bilong ol em i strong moa long German Navy (“Kriegsmarine”) na ol i inap long bagarapim ol lain bilong pait we i kam long English Channel.
1977	education	Em i klia tru olsem, sapos yu save long wanpela Romance tok ples, em bai isi moa long yu long lainim Portuguese.
1719	nature	Kruger National Park (KNP) i stap long hap 'north-east' bilong South Africa na i ran arere long bod bilong Mozambique long is, Zimbabwe long not, na boda long hap saut em Crocodile River.
29	crime	Ol i bin putim paia long wanpela kalabus bilong Iraq, Abu Gharaib taim dispela pait i bin kamap.
845	entertainment	"Tasol, nau i gat ol 'graffiti artist', 'graffiti events' na ""'legal"" walls'. Ol 'graffiti painting' bilong ol dispela lain em i save soim ol 'artwork' na i no ol samting we lo i tambu long em."
165	crime	Dispela lain bilong Mumbai we i kam long pait i kam long bot long Novemba 26, 2008, na ol i karim ol 'grenades', 'automatic weapon', na i bagarapim moa long wanpela samting wantaim Chhatrapati Shivaji Terminus trein (train) stesin we ol planti manmeri i save pulap long en na Taj Mahal Hotel we planti lain i save long en.
261	business	Nigeria i bin tok save olsem em i plen long joinim AfCFTA long wik we 'summit' bai kamap long en.
531	sports	ol i save pilai long etinpela hol long wanpela 'regualr round', we ol plaiya (player) i stat long namba wan hol bilong 'course' na pinis long namba etin hol.
1599	nature	Ol 'mutation' i ken kamapim kainkain samting na ol i save kamap bikos long wanem kain 'mutation', impoten wok bilong dispela hap 'genetic material' na sapos dispela ol 'cell' em ol 'germ-line cell'.
428	geography	Dispela teritori (territory) longpela bilong em i moa long 1,600 kilomita (1,000 mi) na bikpela bilong em i 800 km (500 mi), na seip (shape) bilong i klostu wankain olsem wanpela 'rectangle'.
1206	health	Hamilton i tokaut olsem tru tru Howard University Hospital i kisim dispela sikman na em i stap long gutpela kondisen.
277	politics	Gavana bilong Massachusetts long bipo Mitt Romney i winim 'Florida Republican Party presidential primary election' long Tunde wantaim 46 pesen bilong ol vot (vote).
2	disasters	JAS 39C Gripen i pundaun antap long rot bilong balus long eapot long 9:30 am long lokel taim (0230 UTC) na paia i kirap, na dispela i mekim na eapot i pas long ol balus bilong mekim moni long ron.
719	geography	Dominican Republic (Tok Ples bilong Spain: República Dominicana) em i wanpela kantri bilong Caribbean we i stap insait long hap ist bilong ailan Hispaniola, na i serim dispela ailan wantaim kantri Haiti
324	geography	Dispela bikpela win na ren, we i stap kain olsem 3,000 'mile' long Miami, Florida, i bin karim 'maximum' mak bilong win olsem 40 mph (64 kph).
15	business	"""Panama Papers"" em i wanpela bikpela hap tok we i toktokk long kain olsem ten milien pepa bilong wanpela 'law firm' bilong Panama Mossack Fonseca, we sampela lain i givim i go long jenelis."
13	sports	Nadal i kisim 88% poin long gem na em i winim 76 poin long 'first serve'.
1276	crime	Nem bilong ol lain we i mekim dispela hevi em Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar na Vishnu Kanjar.
37	entertainment	Dispela PBS progrem i winim moa long 24-pela Emmy award, na em i ron sotpela taim moa long Sesame Street na Mister Roger's Neighborhood.
1192	health	Ol i karim dispela man biling kisim foto i go long Ronald Reagan UCLA Medical Center, we em i stap i go na em i dai.
1239	entertainment	"""Em i luk nais tru na tu, em i save singsing gut,"" em i tok olsem insait long wanpela 'news conference' rekoding."
373	science	Wanem kain we bai 'gravity' bilong 'lo' i pulim mi? Sapos yu sanap antap long graun bilong 'lo', hevi bilong yu bai i liklik moa long hevi bilong yu long Earth.
