index_id	category	text
797	technology	Ако сте на път с лаптоп или таблет, запазете копие в паметта или диска му (достъпно без интернет).
830	travel	При някои трансгранични влакове се извършват проверки в движещия се влак и трябва да имате валидна лична карта със себе си, когато се качвате на някой от тези влакове.
150	business	Офертата на „Virgin Group“ на сър Ричард Брансън е била отхвърлена още преди национализацията на банката.
1806	travel	Някои животни, като слонове и жирафи, са склонни да се доближават повече до колите и се получава добър изглед със стандартно оборудване.
902	disasters	Торнадото е въртяща се колона от въздух с много ниско налягане, която изсмуква околния въздух навътре и нагоре.
1225	sports	Дел Потро имаше ранното предимство във втория сет, но това също изискваше тайбрек след като достигна 6-6.
1342	science	В зависимост от това колко киселинен или основен (алкален) е химикалът, зелевият сок променя цвета си.
1959	nature	Националният парк „Плитвишки езера“ е с гъсти гори, предимно от бук, смърч и ела със смесена алпийска и средиземноморска растителност.
341	business	Относно глобалната финансова ситуация, Запатеро продължи, като каза, че финансовата система е съществена част от икономиката.
352	science	Причината за повърхностното напрежение е, че водните молекули на повърхността на водата са силно привлечени една към друга повече, отколкото към въздушните молекули над тях.
448	nature	Всяка година около октомври близо 1,5 милиона тревопасни се придвижват към южните равнини, пресичайки река Мара през хълмовете на север заради дъждовете.
386	politics	Крал Седжон е четвъртият и един от най-уважаваните крале от династията Чосон.
1438	religion	Централното властничество на църквата продължава в Рим над хиляда години и тази концентрация на власт и пари кара мнозина да се запитат дали този принцип е бил спазен.
394	politics	"Но кралският флот бил все още много по-силен от немската флота (""Kriegsmarine"") и е можел да унищожи всякакви нашествени кораби, изпратени през Ламанша."
1977	education	Разбира се, ако знаете някой романски език, ще ви бъде по-лесно да научите португалски.
1719	nature	Националният парк Крюгер (KNP) се намира в североизточната част на Южна Африка и се простира на изток по протежение на границата с Мозамбик, на север е Зимбабве, а река Крокодил е южната му граница.
29	crime	По време на бунт иракският затвор Абу Граиб беше подпален.
845	entertainment	В днешно време обаче има установени художници на графити, събития, свързани с графити и „законни“ стени. В този контекст Графитите, в този контекст, често приличат на произведения на изкуството, отколкото на нечетливи етикети.
165	crime	Мумбайските нападатели на 26 ноември 2008 г. са пристигнали с лодка, носейки гранати, автоматични оръжия и са ударили множество цели, включително претъпканата жп гара Шиваджи Терминус в Чатрапати и известния хотел Тадж Махал.
261	business	По-рано Нигерия обяви, че планира да се присъедини към Африканската континентална зона за свободна търговия в седмицата преди срещата на върха.
531	sports	Играят се осемнадесет дупки по време на редовен рунд, като играчите обикновено започват от първата дупка на игрището и завършват на осемнадесетата.
1599	nature	Взависимост от типа на мутацията, значимостта на засегнатото парче генетичен материал и дали засегнатите клетки са зародишни клетки мутациите могат да имат най-различни ефекти.
428	geography	Територията на Турция е с дължина над 1600 километра (1000 мили) и ширина над 800 км (500 мили), с грубата форма на правоъгълник.
1206	health	Хамилтън потвърди, че Университетската болница Хауърд е приела пациента в стабилно състояние.
277	politics	Бившият губернатор на Масачузец Мит Ромни спечели първите президентски избори на Републиканската партия във Флорида в четвъртък с над 46% от гласовете.
2	disasters	Около 9:30 сутринта местно време (0230 UTC) JAS 39C Gripen се разби на писта и експлодира, затваряйки летището за търговски полети.
719	geography	Карибска държава, която заема източната половина на остров Испаньола, който дели с Хаити, е Доминиканската република (на испански: Република Доминикана).
324	geography	Бурята, развилняла се на около 3000 мили от Маями, Флорида, има максимални постоянни ветрове от 40 мили в час (64 км/ч).
15	business	„Панамските доклади“ е събирателен термин за около 10 милиона документа от панамската правна фирма Mossack Fonseca, издадени на пресата през пролетта на 2016 г.
13	sports	Надал спечели 76 точки в първия сервис и отбеляза 88% нетни точки в мача.
1276	crime	Баба Канжар, Бута Канжар, Рампро Канжар, Газа Канжар и Вишну Канжар са имената на обвиняемите.
37	entertainment	Предаването на PBS е носител на над две дузини награди Еми и се излъчва по-кратко само от „Улица Сезам“ и „Кварталът на г-н Роджърс“.
1192	health	Фотографът е транспортиран до медицинския център „Роналд Рейгън UCLA“, където впоследствие умира.
1239	entertainment	„Тя е много сладка и пее доста добре“, казва той в записки от пресконференцията.
373	science	Как би ме притеглила гравитацията на Йо? Ако стъпите на повърхността му, ще тежите по - малко, отколкото, когато сте на Земята.
42	disasters	Бурята, която се намира на около 645 мили (1040 км) на запад от островите на Кабо Верде, вероятно ще се разсее преди да заплаши каквито и да е земни площи, твърдят синоптиците.
1780	travel	Много от разходките до рифа са целогодишни, а злополуките на рифа, породени от някоя от тези причини, са редки.
533	sports	Играта се играе на трева, а тревата покрай дупката се коси ниско и се нарича грийн.
167	politics	Нападението създаде огромно напрежение в отношенията между Индия и Пакистан.
57	crime	Според Анса полицията е била обезпокоена от няколко удара на най - високо ниво, за които се е опасявала, че могат да стартират цяла война за наследяване.
1264	politics	Хюн подаде оставка и ще бъде заменен от депутата Ед Дейви в Кабинета. Мястото на министър по търговията, което Дейви освобождава, се очаква да заеме депутатът Норман Ламб.
460	entertainment	Повечето телевизори са направени така, че да задоволяват широката публика.
1911	education	Това е особено популярно сред завършващите училище, което им дава една година почивка преди университета, без да правят компромиси с образованието си.
1631	religion	Всички поданици на Ватикана са католици.
