index_id	category	text
431	geography	तुर्की त्रय दिशानां समुद्रेन आवृतः अस्तिः पश्चिमे एजियन सागर, उत्तरे काला सागर अपि च दक्षिणे भूमध्य सागरः ।
403	science/technology	युद्धस्य आरम्भन्ये ते साधरणतः समुद्रस्य शीर्ष यात्राः अकुर्वन्, परंतु यस्य-यस्य रडार विकसितः भवति अति एव शुद्धता भवतः अपि च पनडुब्बिनां जलस्य अंतरे गंतुम् एवं न दृश्यवत् शक्तिशाली भवतः ।
1592	science/technology	यदा ग्रीकजनानां ज्ञानं न्यूनीभूतं, पाश्चिम जगत् स्वं ग्रीकदर्शनात् तथा च शास्त्रीयमूलेभ्यः विगलितं अभवत्।
993	entertainment	यद्यपि, शितस्य समये तान् समीपे एकः अन्य सुंदरता अपि च अकर्षणः भवति, अनेक हील स्टेशने स्वस्थ मात्रे तुषारः भवति अपि च अभिनेत्री एवं परङ्गस्य पेशकश कुर्वः।
755	entertainment	एतत् अथिथिशालाः आसीत् यत्र धनवान एवं दिनस्य प्रसिद्ध लोकाः तिष्ठतः, एपीआई छ प्रायः उत्तमं भोजन अपि च रात्री जीवनः अभवतः ।
1936	politics	1994 तमे, एतस्य रणस्य कारणेन पूर्वी मोलदोवायां स्व-घोषित ट्रांसनिस्ट्रिया गन्तन्त्रस्य निर्माणं अभवत्, यस्य स्वस्य शासनं मुद्रा च स्तः परन्तु किमपि UN सदस्य राष्ट्राः तं वैद्यं न प्रतीयते।
1205	health	डानियल् लन्टाग्ने, सङ्घटित राष्ट्राणां रोगविशेषज्ञः अवदत् प्रायशः शान्तिस्थापकेभ्यः एव एतत् बहिरुद्रेकः जातः |
1692	geography	दूरतरे उत्तरदिक्स्थानि विशालक्षेत्राणि विरलजनयुतानि तथा च कानिचन अनिवसितानि वन्यक्षेत्राणि विद्यन्ते।
280	politics	विरोध प्रदर्शनस्य आयोजकः वदत् बर्लिन कोलोन, हैम्बर्ग एक हंबर यस्य जर्मन नगरे 100,000 स्य समीप संख्यानां लोकः आगच्छत ।
247	politics	एषः गुप्तचरः पाकिस्तानी संविधानस्य अनुच्छेद 247 तस्य अनुगता सरकारी एवं व्ययिक सेवायां प्रदानस्य पृच्धीनताः भवति ।
1439	politics	शत्रुतानां प्रकोपानन्तरं सपदि Britain देशः Germany देशस्य नौकावरोधं कर्तुं प्रारभत।
1239	entertainment	"""साः अधिक मनोमोहाः अपि च सम्यकः गायति,"" सः समाचार संमेलेने एक प्रतिलेखे वुब्रूतः।"
743	geography	कुक द्वीप कोऽपि नगरः न अस्ति परंतु 15 विभिन्न द्वीप सहितं कृतः । एतानी शरोटोंगा अपि च एतुताकी प्रमुखः भवति ।
18	politics	विश्वव्याप्तौ विरोधनाः अभवन्। अनेके अपराधाभियोगाः भूताः। आईसलैण्डपाकिस्तानदेशयोः राजनेतारः निसर्गपत्राणि दत्तवन्तः।
1344	science/technology	हाइड्रोजन इआन्स् प्रणिकाः सन्ति यत् स्वस्य ऋणिकाः मुषिताः (यतः हाइड्रोजन-परमाणवः एका प्रणिका एका ऋणिका च युताः सन्ति)।
688	travel	परिमेय समयेन सह दर्शकाः कुत्र अन्यत्र समयं व्ययं कुर्युः।
556	science/technology	अणुः सर्वद्रव्याणां मूलबन्धकद्व्येषु एकः इति मन्यते।
1645	science/technology	भारयुक्तशकटस्य पर्वतोपरि विलोलं इव अस्ति इदम्। कोशकेन्द्रस्य विदारणं पुनरेकवारं ऊर्जायाः कमपि अंशं मोचयति।
907	science/technology	ते साधारणतः उच्च बैडविड्थ अपि च सेवानां उत्तम वास्तविकता पदयति । ते एन्किप्तेडः भवति अपि च इदं प्रकारे अनुसंधान इति कठिनःभवति ।
1071	politics	परं प्रधानमन्त्री जॉनहॉवर्डमहाभागः अवदत् यत् तास्मानिया सर्वकारस्य 45 दशलक्ष-आस्ट्रेलियाईमुद्रायाः दानस्य एषा कृतिः रुग्णालयस्य सुविधाः ह्रासात् संरक्षणार्थम् एव विद्यते।
555	sports	क्रीडापटवः मन्येयुः यत् ते उत्पादनमिच्छन्ति यदा तेन न केचित् लाभाः सन्ति।
1203	health	सैन्यस्य आगमनपूर्वं, हैतीदेशः 1800 वर्षादारभ्य रोगसम्बन्धसमस्याः न संगतः |
58	politics	रक्षिकाः उक्तवन्तः यत् लोपिकोलोमहोदयः प्रभावशाली आसीत् यतः सः प्रोवेंझोमहाभागस्य पालेर्मोनगरे महत्त्वपूर्णः जनः आसीत्। तस्य महदनुभवकारणेन सः स्वामीनां पुरातन्याः श्रेण्याः आदरम् अपि जितवान् आसीत् यतः ते प्रोवेंझोमहाभागस्य शक्तिजालवर्धनाय अप्रसिद्धेः नीतिम् अवलम्बितवन्तः।
1764	travel	एतत् उपरि, इदं विषये अवगतः अभवत् यत् गंध भालू अपि च अन्य वन्यजीवनां आकर्षित कृतः, इत्थम् गंधयुक्त खाद्य पदार्थानां वहयति एवं पचतः रक्षः अपि च एकः स्वच्छ शिविरः रक्षतु ।
195	sports	2009 वर्षस्य शेष सत्रे न्यूनतम समयः व्यतित मासाः वभून ।
1785	travel	अग्रिम बुकिंगतः यात्रीनां मनस्य शांति प्राप्नोति यः स्व गंतव्यं उपस्थितं पश्चात् त्वं समीपे सुप्तनं प्रति कुत्रचित भवति ।
600	science/technology	मात्राणि संयुगानि च एकस्याः अवस्थायाः अन्याम् अवस्थां प्राप्तुं शक्नुवन्ति किन्तु परिवर्तयितुं न शक्नुवन्ति।
553	sports	मध्यान्तरमात्रं धावनं सापेक्षतया महार्घा क्रीडा अस्ति। तथापि तस्यां क्रीडायां सहभागे आवश्यकानां साधनानां विषये बहवः मूढकल्पनाः सन्ति।
1720	geography	उद्यानं 19,500 km² छदति एवं 14 भिन्नः पर्यावरण-हितैषी क्षेत्रेषु भजितः अस्ति, प्रत्येक भिन्नः आरण्यकजीवानां समर्थनं करोति।
1622	geography	अमेजान् नदी पृथिव्यां द्वितीया दीर्घतमा तथा च विशालतमा नदी अस्ति। सा अपराविशालतमायाः नद्याः अपेक्षया ८ गुणितं जलं वाहयति।
1441	politics	Britain देशः सम्पूर्णमहासागरतः प्रविश्यमानं कमपि पोतं रोद्धुं अन्तर्राष्ट्रीयजलानि अखनत् येन उदासीननौकासु अपि भयं सञ्जातम्।
