index_id	category	text
431	geography	Türkiye'nin üç tarafı denizlerle çevrilidir: Batıda Ege Denizi, kuzeyde Karadeniz ve güneyde Akdeniz.
403	science/technology	Savaşın başlangıcında çoğunlukla denizin yüzeyinde seyahat ettiler ancak radar gelişmeye ve daha yanlışsız hale gelmeye başladıkça denizaltılar görülmemek ama suyun altına inmek zorunda kaldılar.
1592	science/technology	Yunan ilmi geriledikçe, Batı, Yunan felsefi ve bilimsel köklerinden koptu.
993	entertainment	Ancak, kış aylarında farklı bir güzelliği ve çekiciliği vardır, birçok tepe şehri yeterli oranda kar alır ve kayak ve snowboard gibi imkanlar sunar.
755	entertainment	Bu oteller günün zenginlerinin ve ünlülerinin kalacağı yerlerdi ve çoğu zaman kaliteli yemeklere ve gece hayatına sahipti.
1936	politics	1994 yılında bu çatışma, doğu Moldova'da kendi kendini ilan eden, kendi hükümeti ve para birimi olan ancak BM üyesi hiçbir ülke tarafından tanınmayan Transdinyester Cumhuriyeti'nin kurulmasına yol açtı.
1205	health	Hastalık konusunda BM uzmanı olan Danielle Lantagne, salgına muhtemelen barış gücündekilerin neden olduğunu söyledi.
1692	geography	Kuzeydeki geniş alanlar oldukça az nüfusa sahiptir ve bazıları neredeyse ıssız bir vahşi doğadan oluşmaktadır.
280	politics	Protestoyu organize edenler Berlin, Köln, Hamburg ve Hannover gibi Alman şehirlerinde yaklaşık 100.000 kişinin geldiğini söyledi.
247	politics	Bu vekiller, Pakistan Anayasası'nın 247. Maddesine göre yönetimsel ve hukuki hizmetler sunma sorumluluğuna sahip.
1439	politics	Savaşın başlamasından hemen sonra İngiltere, Almanya'ya deniz ablukası uygulamıştır.
1239	entertainment	"Basın toplantısından alınan bir yazıya göre ""Çok tatlı ve çok iyi şarkı söylüyor."" dedi."
743	geography	Cook Adaları'nda şehir yoktur ancak 15 adadan meydana gelmektedir. Büyük olanları Rarotonga ve Aitutaki'dir.
18	politics	Dünya çapında protestolar oldu, çeşitli yargılamalar gerçekleştirildi ve İzlanda ile Pakistan hükumetlerinin liderleri istifa etti.
1344	science/technology	Hidrojen iyonları, elektronları kendilerinden sıyrılan protonlardır. Çünkü Hidrojen atomları bir proton ve bir elektrondan oluşur.
688	travel	Sınırlı vakti olan ziyaretçilerin zamanlarını başka bir yerde geçirmeleri en iyisidir.
556	science/technology	Atom, tüm maddelerin esas yapı elemanlarından biri olarak kabul edilir.
1645	science/technology	Bu süreç bir anlamda, bir el arabasını tepeye çıkarmak gibidir. Çekirdeği tekrar yarar ve sonra o enerjinin bir kısmını serbest bırakır.
907	science/technology	Normalde daha yüksek bant genişliği ve daha iyi servis kalitesi sunarlar. Şifreli oldukları için gözetlenmeleri daha zordur.
1071	politics	Fakat Başbakan John Howard bu yasanın amacının sadece fazladan 45 milyon Avustralya doları harcayarak, Tazmanya hükümetinin hastane tesislerinin kalitesini düşürmesini engellemek olduğunu söyledi.
555	sports	Sporcular, hiçbir gerçek yarar sağlamadığında bile bir ürünü tercih etmeyi isteyebilirler.
1203	health	Askerlerin gelmesinden önce Haiti 1800'lerden beri hastalıkla ilgili sorunlarla karşılaşmamıştı.
58	politics	Polis, Lo Piccolo'nun üstün olduğunu çünkü Provenzano'nun Palermo'daki sağ kolu olduğunu ve daha büyük deneyiminin ona, Provenzano'nun güç ağlarını sağlamlaştırırken mümkün olduğunca dikkat çekmeme politikasını izleyen eski nesil patronların saygısını kazandırdığını söyledi.
1764	travel	Ayrıca, kokuların ayı ve diğer yabani hayvanları çektiğini unutmayın. Bu yüzden kokan yiyecekler bulundurmaktan veya pişirmekten uzak durun ve temiz bir kamp yapın.
195	sports	Massa, en azından 2009 sezonunun geri kalanına katılamayacak.
1785	travel	Önceden rezervasyon yapmak, gidecekleri yere vardıklarında uyuyabilecekleri bir yer olduğunu bilerek gezginlerin içinin rahat olmasını sağlar.
600	science/technology	Elementler ve bileşenler bir halden diğerine geçebilir ve değişmeyebilir.
553	sports	Orta mesafe koşusu nispeten ekonomik bir spordur; fakat, katılmak için gereken birkaç ekipman parçasıyla ilgili pek çok yanlış düşünce vardır.
1720	geography	Park, 19.500 km²'lik alanı içerir ve her biri farklı bir vahşi hayata destek veren farklı 14 ekobölgeye ayrılmıştır.
1622	geography	Amazon Nehri yeryüzündeki en uzun ikinci ve en büyük nehirdir. En büyük ikinci nehrin 8 mislinden daha fazla su taşımaktadır.
1441	politics	İngiltere, herhangi bir geminin okyanusun tamamına girmesini önlemek için uluslararası sulara mayın döşeyerek tarafsız gemiler için bile tehlike oluşturdu.
566	health	Görme becerisi, görsel sistem duyu organlarına veya gözlere bağlıdır.
1515	science/technology	İnternetin belirgin özellikleri, kullanım ve memnuniyet yaklaşımı açısından ek boyutlar kazandırır.
585	science/technology	Ancak ilk gerçek teleskoplar 16. yüzyılın sonlarında Avrupa'da üretildi.
1689	geography	Kanada'nın büyüleyici çift dilli başkenti Ottawa, Kanada'nın geçmişini ve bugününü gözler önüne seren birçok sanat galerisi ve müzeye sahiptir.
1256	health	Kızılötesi spektroskopi (FTIR) ile karşılaştırıldığında bu kristallerin bileşimi, etkilenen evcil hayvanların idrarında bulunanlara uyuyor.
60	science/technology	Apple CEO'su Steve Jobs sahneye çıktı ve iPhone'u kot pantolonunun cebinden çıkararak tanıttı.
32	sports	Alonso'nun önündeki arabalar güvenlik aracının kontrolünde yakıt ikmaline geçtiğinde Alonso, zafere ulaşmak için diğerlerinin önüne geçti.
1411	politics	Amerikan Bağımsızlık Savaşı sırasında on üç koloni, Konfederasyon Anayasası altında ilk olarak zayıf bir merkezi hükümet kurdu ve Kongre, bu hükumetin tek bileşeniydi.
13	sports	Nadal, ilk serviste 76 puan kazanarak maçta net %88 puan topladı.
1941	travel	18. yüzyıl pazarı, tarihi camiler ve kiliseler ile şehir geleneksel Türkiye'den daha çok Akdeniz Avrupası havasına sahip olmasına rağmen geniş bulvarlar, cam binalar ve modern alışveriş merkezleri geleneksel kırmızı kiremitli çatılarla çevrilidir.
732	sports	Whistler (Vancouver'dan arabayla 1,5 saat uzaklıkta) pahalıdır ancak 2010 Kış Olimpiyatları sayesinde popüler olmuştur.
871	entertainment	Evinizi sabahları zengin bir kahve, geceleri ise rahatlatıcı papatya çayı ile doldurun.
886	geography	Antarktika, yeryüzündeki en soğuk yerdir ve Güney Kutbu'nun etrafını sarmaktadır.
362	science/technology	Yüzlerce saatlik işleyişin ardından ampülün içindeki filamen nihayetinde yanar ve ampül artık çalışmaz.
1578	health	Söz konusu zehir için özel ilk yardım talimatlarını görmek amacıyla etiketi kontrol et.
996	travel	Her koşulda, doğrudan havayolundan telefonla rezervasyon yaptırmalısınız.
197	health	Cumhurbaşkanının durumu stabil, ancak birkaç gün evde yalnız kalacak.
460	entertainment	Çoğu televizyon, kamuoyunu memnun edecek şekilde üretilmiştir.
154	geography	Dünyaya düştüğü bilinen yaklaşık 24.000 meteoritten sadece 34'ünün Mars kökenli olduğu doğrulanmıştır..
1160	politics	Yetkililerin seçmenin hüviyetini onaylamasının akabinde seçmen zarfı sandığa atar ve seçmen listesini imzalar.
1223	entertainment	Solist Steven Tyler'ın 5 Ağustos'ta sahne alırken sahneden düşmesi sonucu sakatlanması üzerine turneyi iptal ettiler.
54	politics	Avustralyalı mali işler sorumlusu ve Liberal parti lideri olarak Başbakan John Howard'ın yerini alması en muhtemel kişi olan Peter Costello, Avustralya'daki bir nükleer enerji endüstrisini destekledi.
7	politics	Protesto, Başbakan'ın resmi konutunun bulunduğu Downing Caddesi'nin polis tarafından korunan girişinin karşısındaki Whitehall'da yerel saatle 11:00 civarında (UTC+1) başladı.
1010	sports	ABD Jimnastik Federasyonu, Birleşik Devletler Olimpiyat Komitesi'nin mektubunu destekler ve Olimpiyat ailesinin tüm sporcularımız için güvenli bir çevre oluşturulmasını desteklemeye mutlaka ihtiyaç olduğunu kabul eder.
1174	sports	Son skor tek puan farklı bir galibiyetti. 21-20 ile All Blacks'in 15 maçlık galibiyet serisi sonlanmış oldu.
1202	health	Davaya göre, BM kampından gelen atıklar uygun şekilde sterilize edilmedi ve bakterilerin Haiti'nin en büyük nehirlerinden biri olan Artibonite Nehri'nin bir koluna karışmasına neden oldu.
958	travel	Hiçbir havayolu birliği Güney Yarımküre'deki üç okyanusu geçmiyor (SkyTeam de bu geçişleri yapmıyor).
354	science/technology	Modern buz pateni üstündeki bıçağın, aralarında içbükey bir oyuk bulunan iki kenarı vardır. İki kenar, eğik olduğunda bile buzun daha iyi kavranmasına imkan verir.
505	science/technology	Bu web sitelerinin; blog, fotoğraf, video ve diğer özelikler içerebilecek bir sınıf sayfasını kolaylıkla hazırlamak gibi olumlu yönleri vardır.
1333	science/technology	Hava trafik kontrolcülerinin uçakları daha hassas bir şekilde saptamasına ve pilotlara daha doğru bilgi vermesine olanak tanımak için eski yer radarı tabanlı teknolojinin aksine uydu tabanlı teknolojiyi kullanır.
1173	sports	Rustenburg, Güney Afrika'daki Royal Bafokeng Stadyumundaki ragbi birliği Tri Nations maçında Güney Afrika All Blacks'i (Yeni Zelanda) mağlub etti.
945	travel	Vikingler Karadeniz'e ve Hazar Denizi'ne gitmek için Rus su yollarını kullandılar. Bu rotaların bir kısmı hala kullanılabilir. Alması zor olabilecek özel izinlere olası ihtiyacı kontrol edin.
1012	sports	ABD Jimnastik Federasyonu, Larry Nassar mağdurları tarafından böylesine cesur biçimde tasvir edilen orandaki bir istismarın nasıl bu kadar uzun süre tespit edilemediğine ışık tutabilecek bağımsız bir soruşturmanın yapılmasını destekler ve gereken ve uygun olan tüm değişiklikleri benimser.
712	travel	Galapagos sularında 60'dan fazla yolcu gemisi dolaşır. Bu gemilerin boyutları 8 yolcu ila 100 yolcu alabilecek şekildedir.
1654	science/technology	İki popüler içerik teorisi, Maslow'un İhtiyaçlar Hiyerarşisi Teorisi ve Hertzberg'in İki Faktör Teorisidir.
76	politics	Fakat, “ülkede belirlenen kanunun” Roe v. Wade davası olduğu açıklamasını yineleyerek tutarlı Yüksek Mahkeme kararlarının ehemmiyetinin altını çizdi.
637	science/technology	4 sene sonra dünyanın MRI alanındaki ilk patenti olan bir patent verildi.
1694	geography	Doğu Afrika Adaları, Hint Okyanusu'nda, doğu Afrika açıklarında yer alır.
