index_id	category	text
797	technology	Se te viaji co un laptop o co un tablet, salvaghine na copia nełe so memorie o su na ciaveta (disponibiłe sensa internet).
830	travel	In serti treni che pasa i confini łe ispesión feroviarie łe vien fate sul tren in moto e te ghe da aver na carta de identità vałida co te monti su uno de sti treni.
150	business	Sir Richard Branson dea Virgin Group ga vùo ‘n'oferta par ła banca respinta prima dea nasionałisasion dea banca.
1806	travel	Serti animałi fa i elefanti e łe girafe i tende a avicinarse ałe machine e l’equipajamento standard el permete na bona vista.
902	disasters	Un tornado l’è na cołona rodante de aria a estremamente basa presión, che ła ciucia l’aria intorno verso l’interno e verso l’alto.
1225	sports	Del Potro ga vùo un vantagio a l’inissio del secondo set, ma anca par questo ga voést el tie break dopo che i xe finìi 6-6.
1342	science	El suco de cavoło canbia cołor a seconda de quanto acido o basico (alcałino) xe ła sostansa chimica.
1959	nature	El parco nasional del lago de Plitvice l’è in gran parte forestà, principalmente co fajo e abeti e el presenta un misto de vegetasión alpina e mediteranea.
341	business	A proposito deła situassion finansiaria globałe, Zapatero ga continuà a dìr “el sistema finasiario xe ‘na parte de l’economia, ‘na parte cruciałe.
352	science	Ła tension superficiałe xe causada dae mołecołe d’acqua soa superficie che xe atiràe una co chealtra pì forte de quanto no łe atìre łe mołecołe d’aria sora de łore.
448	nature	Ogni anno a otobre circa 1,5 mijoni de erbivori viaja verso e pianure del sud, traversando el fiume Mara dae cołine a nord pa ła piova.
386	politics	Re Sejong gera el quarto re dea dinastia Joseon e xe uno dei pì apressài.
1438	religion	El centro de controło dea cèsa xé stà a Roma par pì de mie ani, e tut ‘sto potere e ‘sti schei i ga fat domandar a tanti se a dotrina a gera stada rispetada.
394	politics	Ma ła Marina Reałe gera ancora tant pì forte dea Marina tedesca (“Kriegsmarine”) e podarìa vér desfà qualsiasi flota de invasion mandà travèrso ła Manica.
1977	education	No ghe xe bisogno de dir che se te conosi na lengua romanxa te sarà fasiłe imparar el portoghese.
1719	nature	El Parco Nassionae Kruger (KNP) xe nel nord est del Sudafrica lungo el confìn col Mozambico a est, Zimbabwe a nord e el confìn sude xe el fiume dei cocodriłi.
