index_id	category	text
431	geography	Gililibutan an Turkey hin mga dagat ha tulo nga ligid: an Aegean Sea ha katundan, an Black Sea ha norte ngan Mediterranean Sea ha sur.
403	science/technology	Dida han pagtikang han girra kaurogan hira nga nabiyahe ha bawbaw han dagat, pero han nagtikang pag-uswag an radar ngan nahimo nga mas sakto napiritan an mga submarino nga magpailarom ha tubig basi diri makit-an.
1592	science/technology	Samtang naghinay an kahibaro ha Griyego, nakita han Weste an kalugaringon nga nawara tikang ha pilosopikal ngan sayantipiko nga gintikangan hini.
993	entertainment	Pero, mayda nira iba nga klase hin kaopay ngan kaanyag durante han panahon han kathagkot, nga may-ada damu nga mga istasyon han bungtod nga nakakakarawat hin hura an kadamu hin mga nyebe ngan nagtatanyag hin mga aktibidad sugad han pag-ski ngan snowboarding.
755	entertainment	Ini nga mga hotel amo an gin-uukyan han mga riko ngan sikat hadto, ngan kasagaran nga nagkaada fine dining ngan nightlife.
1936	politics	Han 1994, ini nga araway nagin hinungdan ha pagkahimo han kalugaringon la nga iginpasamwak nga Transnistria nga Republika ha este nga bahin han Moldova, nga may ada ira la kalugaringon nga gobyerno ngan salapi pero diri ginkikilala han bisan ano nga nasud nga miyembro han UN.
1205	health	Hi Danielle Lantagne, usa ka eksperto hito nga sakit ha UN, nagsiring nga an pagsarang posible nga tungod han mga peacekeepers.
1692	geography	An mga dagku nga lugar ha norte amo an diri gud damu an populasyon ngan an pipira haros waray naukoy nga kagurangan.
280	politics	Nagsiring an mga nag-andam han protesta nga harani 100,000 ka tawo an umabot ha mga siyudad han Germany sugad han Berlin, Cologne, Hamburg, ngan Hanover.
247	politics	Ini nga mga ahente an responsable ha paghatag hin panggobyernohan ngan hudisyal nga mga serbisyo ha ilarom han Artikulo 247 han Konstitusyon ha Pakistan.
1439	politics	Waray la kaiha katima han pagsarang han mga araway, gintikangan han Britain an usa nga pagbarikada ha pandagat han Germany.
1239	entertainment	"""Cute hiya hinduro ngan maupay gihapon nga nakanta,"" siring niya sumala ha kopya han news conference."
743	geography	An Cook Islands waray bisan usa nga bungto kondi ginkokompwesto ini hin 15 nga magkadurodilain nga isla. An mga nangunguna amo an Rarotonga ngan Aitutaki.
