index_id	category	text
431	geography	टरकी छु तरेन तार्फ़न समनद्र सीथ गिरिथ: मगरीब मंज़ बहिराह एगीयन (Aegean), शुमालस मंज़ ब्लेक सी (Black Sea) ति जनूब तरफ़ी बहिराह रोम।
403	science/technology	जंग किस अगाज़ हस मंज़ तिमों कोर ज़्याद तर समंदर कि चोटी पेठ सफ़र, मगर युत युत रडार बनून शरू सपुद ति सपुद ज़्याद दुरस्त सब मरीन्ज़ हन पयो नज़र यिनि नख बचनी बापथ आबस अंदर छुपूँ।
1592	science/technology	यूत यूनानि ( Greek) किस इल्मस मंज़ कमी आए, मगरिबन लोब पनुन यूनानी ( Greek) फलसफ़ि यान ति सायनसी मूल पानस निश मुक्तह ।
993	entertainment	ताहम, मोसमि सरमहस दोरान छे यिमन हिंज़ अख मुखतलिफ किसमिच खूबसूरती ति दिलकशी आसान, वारयह पहाडी सिटेशन छे सहेतमंद मिकदारस मंज़ शीन हेसिल करान ति सकेटिंग ति सिक्य बोडिंग हिश सरगरमियि पेश करान ।
755	entertainment	यिम होटल एति अमीर ति मशहूरि वखत रोज़ान छि ति अक्सर आलि शान खेन ति रातच ज़िंदगी आसान छा ।
1936	politics	1994 तस मंज़ , एम तनाज़न कोर मशरिकी मलडोव्स (Moldova) मंज़ कुड सखति ट्रानसनस्तरिया रिपबलिकच (Transnistria Republic) तशकील , यथ पनिन हुकूमत ति करनसी छ मगर UN निक कंसि ति रुकन मुल्कन करि नि यि तस्लीम ।
1205	health	अथ बेमारी मुतालिक वोन UN हिक महिर डेनियल लेंतागिन हं ज़ि वाबह औस मुमकिन तोर पेठ अमन फोजी यां हिंद वजह सीथ गोमूत।
1692	geography	माज़ीद शुमालस मंज़ छु बेड अलाक़ काफ़ी कम आबाद ति किह छु तकरीबन गेर आबाद ति वीरान।
280	politics	हतीजाज क्यो मुनज़ीमीन हो वोन ज़ि जर्मन शहर ईथ पैठ बर्लिन, कलोग्ने, हैम्बर्ग ति हेनऔर हस मंज़ कोर तक़रीबन 100,000 लूख हो शिरकत।
247	politics	यि एजेंट छु पाकिस्तानी आयीं कि आर्टिकल 247 हस तहत सरकारी ति अदालती खदमात फ़राहम कर्नस ज़िमदार।
1439	politics	दुश्मनी फहलनि पत फोरन कर् बरतान्यहन जरमनी (Germany) पेठ नाक बन्दी शुरू ।
1239	entertainment	"""सु छु वरीयह खूबसूरत ति बेहतर आवाज़ मंज़ गेवन,"" तिमो वोन अकीस निवज़ कान्फ्रन्स कि अकीस नकल मुताबिक।"
743	geography	कूक आयलेंडस (Cook Islands) छनि कंह शहर मगर यि छा 15 हन मुखतलिफ जजीर्ण हिंज बनेमच । यइमॉव मंज़ छि खास रारोटोंगा (Rarotonga) ति ऐटूटकी (Aitutaki) शामिल ।
18	politics	दुनीया भरस मंज़ सपुद इहतीजाज, वरयाह मुजरिमाना मुक़दीमात आय चलावनी, ति आइस लेंड ति पाकिस्तान कि हकूमत कि रहनुमा हो द्यूत इस्तीफ़ा।
1344	science/technology	हायडरोजनसअयान छि प्रोटान आसान यइमन हिंद एलेक्ट्रान यइमन निश नीमेत आसिख (चूंकि हायडरोजनस (Hydrogen) एटम्स छु आकुय प्रोटान ति अकि एलेक्ट्रान आसान) ।
688	travel	महदूद वखत थावन वालें लूखन बापथ रोज़ी यि बेहतर ज़ि तिम गुज़रण पानून वखत बदल कुनी जाय।
556	science/technology	एटम हेकवोन तमाम मादुक बुनयादी तमीरी ब्लॉकस समजिथ ।
1645	science/technology	ईच हिश अख भारी गेड लटकेयू पहाड़स पेठ। नेऊकलेउस डोबारी तकसीम करून तें पति एम पेठ किह तवानाई जेरी करान।
907	science/technology	टेमी चेय आम पाठ जड़े बैन्ड्विड्थ बेआई असूल मेयर रेच काम कारण। सो चेय खोफईया बेआई एयतः पाठ काम करें चेय मुश्किल।
1071	politics	मगर वज़ीर अज़म जान हार्वर्डन छु वुनमुत ज़ी यह काम छि सिरफ हस्पताल चि साहूलयच महफूज़ ठवनि खातिर तस्मानिया हकूमत कि तरफ दिन आमत इज़अफी AUD$45 निश ।
555	sports	एथलीटस हेकन महसूस करिथ कि तिम छि कुनि चीज़स तरजीह दिवान हालांकि सु छुनि तिमन कंह हकीकी फायदह वाटनावान ।
1203	health	फोजी यां हिन्ज़ आमद बरुन्थ, हेती औस नि 1800 की दहाई मंज़ बेमार मुतालिक मसेयिल हं हुन्ध कह समनो करूँ पेय्मुत।
58	politics	पोलिस हन वोन ज़ि लो पिकोलो (Lo Piccolo) सिंद आथी ऐस थोद कीयज़की सु ओस पलेरमों हस मंज़ प्रूवनज़ेनों (Provenzano) सुंद खास नफ़र ति तेम सिंद अज़ीम तजरुबान कर्णो सु मालिकान हुनद अहतिराम कीयज़की तिमों कोर पानून पावर नेटवर्क महफ़ूज़ कारिथ प्रूवनज़ेनों सिंज पॉलिसी पेठ मुमकिन हद ताम कम ठवनीच पॉलिसी पेठ अमल।
1764	travel	अमि अलाव रूजीव अमि कथि निश ति बाखबर कि मुसहुक छु हापतन ति बाकी जंगली जानवरन रागिन करान, लिहाज़ा रूज़िव मुशक दार खेन तुलनि या रन्नि निश ति केमप थाविव साफ ।
195	sports	मासा हस छु कम अज़ कम 2009 किस बाक़ी सीज़न हस मंज़ नेबर रोज़ून।
1785	travel	गॉडय बुकिंग करनि साथि छु मुसाफिरस ज़ेनी सकूँ मेलान कि तिम शॉनग्न मंजिल्स पेठ वातिथ ।
600	science/technology	अनासर ति मरुकबात छु अख हालत पेठ दुयमी हालत कुन मुंतकिल गसान ति छु नि तब्दील सपदन।
553	sports	दरमियानी फासलिच दोर छा नेसबतन अख सस्त खे; अलबतह, वारयह गलत फहमी छा केंसन आलात हिंज़ि मशकि मुतलिक ।
1720	geography	यि पार्क छु 19,500 km² हन पेठ मूहित ति यि छु 14 हन मुखतालीफ़ एको ज़ूनज़ हन मंज़ तकसीम करनी अमूत, प्रथ अख छु मुखतालीफ़ जंगली हयात हीच हिमायत करान।
1622	geography	ऐमज़ान दरिया छु ज़मीन हुनद दुईम ज़ीउठ ति सारवी खोत बोड दरिया। यि छु बाक़ियाँ दरिया हन मुक़ाबलह 8 गुना ज़्याद आब पकनावान।
1441	politics	बरतान्यन कोर कुनि ति समन्दरी जहाज़स पुर समन्दरस मंज़ दाखिल गसनि निश रुकावनि खातिर बेनुल अकवामी आबच मायनिंग शुरू, योट ताम कि गेर जानिब दार जहाज़न ति गोव खतरः शुरू ।
566	health	नज़र या वुछनिच सलाहियत छा बसरी निज़ामी हसी तान या एछन पेठ दार मदार थवान ।
1515	science/technology	इंटरनेट की मखसूस खसूसियात इसतिमाल टी इत्मिनान की नुकता नज़र की लिहाज़ सीथ इज़ेफी जह्तन हुन्ध बाअस बनान।
585	science/technology	ताहम आय गोडनिच हकीकी दूरबीन 16 हिमि सदी हिनदिस आखिरस मंज़ यूरपस मंज़ बनावनि ।
1689	geography	ओटावा छु केनेडा हुक दिलकश, ज़ि लिसनी सरुल हकूमत ति अथ मंज़ छु आर्ट गेलरी ति अजाईब घरण हिंज़ अख सफ़ मोजूद यूस केनेडा कि माज़ी ति हाल छु ज़ेहिर करान।
