index_id	category	text
797	technology	अगर लैपटॉप या टैबलेट के साथ यात्रा करत हो, त एकर मेमोरी या डिस्क म एक कॉपी ला स्टोर करो (इंटरनेट के बिना उपयोग म लाये योग्य)।
830	travel	कुछ क्रॉस-बॉर्डर ट्रेन मन म चलत ट्रेन के निरीक्षण किया जाथे अउ वो ट्रेन मन म कोनो एक म चढ़त समय आप मन के पास वैध आईडी होना चाही।
150	business	सर रिचर्ड ब्रैनसन के वर्जिन ग्रुप ह बैंक के राष्ट्रीयकरण से पहिले बैंक बर एक ठोक बोली बर खारिज कर दे रिहिसे।
1806	travel	कुछ जानवर, जइसे हाथी अउ जिराफ, कार मन के करीब आथे अउ मानक उपकरण एक अच्छा दृश्य के अनुमति देथे।
902	disasters	बवंडर अब्ब्ड़ कम दबाव वाले हवा के एक ठी कताई स्तंभ हे, जउन तिर तखार के हवा ल भितर आऊ उपर कोति सुड़कथे।
1225	sports	डेल पोत्रो ल दूसरे सेट म सुरुआती बढ़त मिले रहिस, फेर एखार बर घलो 6-6 ले बरोबरी करे के बाद टाई ब्रेक की जरूरत रहिस।
1342	science	गोघलो के रस अम्लीय या बुनिसुरता (क्षारीय) के रासायनिक के आधार म रंग बदलत हवय।
1959	nature	प्लिटविस झीलमन के राष्ट्रीय उद्यान भारी जंगली हाओ, मुख्य रूप ले बीच, स्पूस, अउ एफआईआर पेड़मन के साथ, अउ अल्पाइन अउ भूमध्य वनस्पति के मिश्रण हवय।
341	business	वैश्विक वित्तीय स्थिति के बारे में, जैपटेरो हर एह कहकर जारी राखीस कि &quot;वित्तीय प्रणाली अर्थव्यवस्था के हिस्सा हवय, एक महत्वपूर्ण हिस्सा हवय।
352	science	सतह तनाव तब होत हवय काबरकि पानी के सतह म पानी के अणु एक दूसर बर दृढ़ता ले आकर्षित होत हंवय जो हवा के ऊपर वाले वायु अणुमन के मुकाबले अधिक आकर्षित होत हंवय।
448	nature	प्रत्येक साल म अक्टूबर के आसपास लगभग 1.5 मिलियन शाकाहारी लोग वर्षा बर उत्तरी पहाड़ियों ले मारा नदी ल पार करत हुए दक्षिणी मैदानों की ओर जात हवय।
386	politics	किंग सेजोंग जोसॉन राजवंश के चौथा राजा रहिस अउ सबले ज्सुरता सम्मानित हवय।
1438	religion	चर्च के केंद्रीय सत्‍ता रोम में एक हजार साल ले ज्‍यादा रहिस अउ बिजली अउ पैसा के इ केन्‍द्रण हर कईठन मनखेमन ल सवाल पूछे बर मजबूर करिस कि काय इ सिद्धांत हर पूरा होही या नी।
394	politics	लेकिन रॉयल नेवी अघलो घलो जर्मन नौसेना (&quot;क्रिक्समरीन&quot;) के तुलना में काफी मजबूत रहिस अउ अंग्रेजी चैनल में भेजे गिन कोन्‍हो घलो आक्रमण बेड़े ल नष्ट कर सकत रहिस।
