index_id	category	text
797	technology	Mukamayenda ndi laputopu kapena kompuyuta yam'manja yotchedwa tablet, muzisunga zina mu memory card kapena disc (zokuti mutha kuzipeza wopanda intaneti).
830	travel	Oyendela mmasitima ena apantunda owoloka amalire a maiko amayendela sitima ikuyenda ndiye muyenela kukhala ndi makalata oyenela a ulendo pokwela.
150	business	Kampani ya Sir Richard Branson yotchedwa Virgin Group analemphera ndi lingaliro lake lofuna kugula bank koyambilira chifukwa cha mfundo zoteteza mabizinesi amudziko.
1806	travel	Nyama zina monga njovu ndi akadyansonga zimakonda kuyandikira ku magalimoto ndipo zida zabwino zili ndikuthekera kuwona bwino kwambiri.
902	disasters	Nkuntho ndi mpweya umene umazungulira umene umakhala wochepa mphanvu ndipo umayamwa mpweya ozungulira kuukokela mkati komanso mokweza.
1225	sports	Del Potro kumayambiliro agawo lachiwiri adali ndi mwayi, koma zimenezi zinafunabe kupeza wopambana chifukwa adafanana 6-6.
1342	science	Madzi a kabichi amasintha ntundu kutengela kuchuluka kapena kuchepa kwa asidi.
1959	nature	Paki ya Plitvice Lakes National kuli mitengo kwambiri, monga beech, sprur, ndi mitengo ya fir, ndi zomera zosakanirana zaku Mediteranean ndi ku Alphine.
341	business	Malingana ndim'mene zachuma zikuyendera padziko lonse, a Zapatero adapitiliza kunena kuti “dongosolo la ndalama ndilo gawo la zachuma, mbali yofunika kwambiri.
352	science	Surface tension imapangidwa pamene ma molecule amadzi pamwamba amagwirana kwambiri kusiyana ndim'mene ndima molecule amulengalenga.
448	nature	Chaka chilichonse chamu Okutobala pafupifupi mamiliyoni 1.5 herbivores zimayenda kupita ku malo akumwera, kuwoloka mtsinje wa Mara, kuchokera ku mapiri a kumpoto.
386	politics	Mfumu Sejong idali mfumu yachinayi ya Dynasty ya Joseon ndipo ndi imodzi mwamafumu omwe imapatsidwa ulemu kwambiri.
1438	religion	Likulu la mpingo lakhala lili ku Rome kwazaka zikwizikwe zambiri ndipo izi zakhala zokayikitsa kuti zolinga za mpingowu zakhala zukwanilitsidwa.
394	politics	Royal Navy inali ili ndi mphavube zambiri kusiyana ndi German Navy (“Kriegsmarine”) ndipo ikanatha kuononga sitima ya nkhondo ili yonse yomwe ikanatumizidwa kuti ikaononge podzera mu English Channel.
1977	education	Mopanda kukayika, ngati umadziwa zilankhulo za chi Romance, zizakhala zosavuta kuti muphunzire Chipwitikizi.
1719	nature	Malo owonera nyama a Kruger National Park (KNP) ali chakumvuma ku South Africa ndipo anadutsa monse m'malire a Mozambique ku mvuma, ndipo kumpoto kuli mtsinje wa Ng'ona.
29	crime	Ndende ya Abu Ghraib ku Iraq yayatsidwa moto pa chiwawa.
845	entertainment	Choncho, masiku ano kuli ojambula ovomelezeka, zochitika za zojambula ndiponso “pamakoma ovomelezeka”. Zojambula zamtunduwu nthawi zambiri zimafanana ndi maluso zambiri kusiyana ndi ma tag osavomelezeka.
165	crime	Anthu amene anachita za chipongwe ku Mumbai anafika pa ngalawa pa Novembara 26, 2008, atabweretsa mabomba, zida zotchera ndikuombera malo angapo kuphatikiza njanji ya Chhatrapati Shivaji Terminus kodzadza ndi gulu la anthu komanso malo wogona otchuka a Taj Mahal.
261	business	Nigeria idalengeza kuti idzalowa ku AFCFTA sabata ya msonkhano isadakwane.
531	sports	Ma bowo khumi ndi asanu ndi atatu amaseweledwa nthawi zambiri, osewela amayamba bowo loyamba nkumalizila bowo la khumi ndi asanu ndi atatu.
1599	nature	Kusintha kumakhala ndi zotsatila zosiyana malingana ndi ntundu wa kasinthidwe, kufunika kwa chikhalidwe cha chinthu chosintha ndiponso kutengela ngati ma cell okhuzidwa ndi a germ-line.
428	geography	Dera la Turkey ndilokula ndi makilomita 1600 mulitali (mamayilosi 1,000) ndipo makilomita 800 mulifupi (mamayilosi 500), ngati mokhala mwa ngodya zinayi ndithu.
1206	health	Hamilton adavomeleza kuti Chipatala cha Howard University chidagoneka wodwala akupezabe bwino ndithu.
277	politics	Kazembe wakale waku Massachusetts a Mitt Romney anawina masankho oyambilira awu puresident wa Florida Republican Party Lachiwiri ndi mavoti opitilira 46 % amavoti onse.
2	disasters	Ndege yamtundu wa JAS 39C Gripen idagwa munsewu wowulukira ndege cham'ma 09:30 m'mawa nthawi yakumeneko (0230 UTC), ndipo idaphulika, kupangitsa kuti ndege zisayendenso.
719	geography	Dominican Republic (Spanish: Rupública Dominicana) ndi dziko la Caribbean limene linatenga theka la malo a chigawo chakumanja a chilumba cha Hispaniola, chimene imagawana ndi Haiti.
324	geography	Mphepo ya mkuntho, yomwe ili pamtunda wa mamayilosi 3,000 kuchokera ku Miami, Frorida, ili ndi kuthekera kobweretsa mphepo yamphamvu ya 40 mph (64 kph).
15	business	“Panama papers”, ndi liwu lomangirira la pafupifupi makalata mamiliyoni khumi ochokera ku kampani ya za malamulo ya Panama ya a Mossack Fonseca, yomwe idatulutsidwa mosayenera kwa atolankhani nthawi yachilimwe mchaka cha 2016.
13	sports	Nadal adagoletsa zigoli zokwana 88% pamasewerowo ndikupambana ndima point 76 mchigawo choyamba.
1276	crime	Anthu omwe akuimbidwa mulandu ndi Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar ndi Vishnu Kanjar.
37	entertainment	Chiwonetsero cha PBS chili ndi mphoto zoposa makumi awiri ndi zinayi za Emmy, ndipo kuthamanga kwake ndikochepera chabe kuposa nsewu wa Sesame ndi kumene amakhala bambo Rodgers.
1192	health	Katswiri wojambula adatumizidwa ku chipatala cha Ronald Reagan UCLA medical Center, komwe adakamwalirako.
1239	entertainment	“Ndiwokongola kwambiri komanso amaimba bwino zedi”, anatelo malingana ndi zolembedwa pa nsonkhano wu.
