index_id	category	text
431	geography	Türkiye üç taraftan deñiznen sarılğan: ğarptan Ege deñizi, şimalden Qara deñiz ve cenüpten Aq deñiz.
403	science/technology	Cenkniñ başında olar esasen deñiz üstünde yalday ediler, amma radarlarnıñ inkişaf etmesi ve olarnıñ hassaslığınıñ artmasınen, suvastı gemileri körünmemek içün suv astında yaldamağa mecbur oldı.
1592	science/technology	Yunan tiliniñ bilgisi eksilgen sayın, Ğarp öz yunan felsefiy ve ilmiy tamırlarından qoparılğan oldı.
993	entertainment	Kene de qışta ayrı bir güzelligi ve tılsımı bar, bir çoq töpe stantsiyası sağlam miqdarda qar ala ve lıjanen tayuv ve snoubord kibi faaliyetlerni teklif ete.
755	entertainment	Bu otellerde o zamanlarnıñ zengin ve meşur insanları yerleşken ediler ve sıq-sıq anda ince yemekler ve gece eglenceleri teklif etilgen edi.
1936	politics	1994 senesi bu çatışma Moldovanıñ şarqında öz ükümeti ve valütası olğan, faqat iç bir BM aza memleketi tarafından tanılmağan, öz-özüni ilân etken Pridnestrovye cumhuriyetiniñ quruluvına yol berdi.
1205	health	Birleşken Milletlerniñ bu hastalıq eksperti Daniel Lantan, epidemiya büyük ihtimalnen barıştırıcılar sebebinden oldı, dep bildirdi.
1692	geography	Şimaldeki keniş alanlarda olduqça az insan yaşamaqta ve bazıları aman-aman adam yaşamağan kiyik tabiatqa saip bir semetlerdir.
280	politics	Narazılıq aktsiyasınıñ teşkilâtçıları Almaniyanıñ Berlik, Köln, Gamburg ve Gannover kibi şeerlerinde tahminen 100 000 adam toplaşqanını bildirdiler.
247	politics	Bu agentler Pakistan Anayasasınıñ 247-nci maddesine köre devlet ve mahkeme hızmetleriniñ kösterilmesinden mesüldir.
1439	politics	Çoqqa barmay, arbiy areketler başlanğan soñ İngiltere, Almaniyanıñ deñiz blokadasını başlay.
1239	entertainment	"O, matbuat konferentsiyasınıñ stenogrammasına köre: ""Pek sevimli ve yahşı yırlay!"", – dedi."
743	geography	Kuk adalarınıñ şeerleri yoq, amma olar 15 farqlı adadan ibarettir. Olardan eñ müim olğanları - Rarotonga ve Aitutaki.
18	politics	Bütün dünya çapında itirazlar yapıldı, bir qaç ceza davaları açıldı ve İzlanda ve Pakistan ükümetleriniñ liderleri istifağa çıqtı.
1344	science/technology	Gidrogen yükdiremleri, elektronlarnı coyğan protonlar (çünki gidrogen atomları bir protondan ve bir elektrondan ibarettir).
