index_id	category	text
431	geography	تركيا دايرين بيها تلاتتْ البحور من تلاتتْ الجوايه: بْحر إيجه مَن الغرب و البحر الأسود من الشمال و البحر الأبيض المتوسط من الجنوب.
403	science/technology	في بداية الحرب، سافروا في الغالب على لبحر، ولكن منين بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات تغوص تحت الما باش تتفادى أنها تتكشف.
1592	science/technology	في الوقت اللي تراجعت فيه المعرفة اليونانية، الغرب لقى راسه مقطوع من جذوره الفلسفية والعلمية اليونانية.
993	entertainment	واخا هكاك، كيتمتعو بنوع مختلف من الجمال والسحر فالشتاء، حيث كتطيح على بزاف دالتلال كميات كبيرة من الثلج وكتدار أنشطة كالتزحلق والتزلج على الجليد.
755	entertainment	هاد لوطيلات كانو تيجلسو فيهم الشبعانين ولمشهورين، وغالبا فيهم غدا مزيان والليل تيدوز واعر.
1936	politics	في سنة 1994 أدى هاذ النزاع إلى إنشاء جمهورية ترانسنيستريا اللي نصبت نفسها بنفسها في شرق مولدوفا، واللي عندها حكومتها وعملتها الخاصة غير أنه غير معترف بها من قبل أي دولة عضو في الأمم المتحدة.
1205	health	صرحت دانييلا لانتين، إحدى خبراء المرض التابعين للأمم المتحدة أنه يمكن يكون سبب تفشي المرض هو قوات حفظ السلام.
1692	geography	أغلب المناطق فأقصى الشمال قليلة السكان وشي وحدين تقريبا مجرد خلا مامسكونش.
280	politics	قالو النظمين نتاع الاضراب أن تقريبا 100,000 شخص خرجو فمدن ألمانية بحال برلين وكولون وهامبورغ وهانوفر.
247	politics	هاد لعملاء مسؤولين على أنهم يقدمو خدمات حكومية وقضائية بحكم لبند 247 من الدستور نتاع باكستان.
1439	politics	بعد فترة قصيرة من اندلاع الأعمال العدائية، بدات بريطانيا حصار بحري على ألمانيا.
1239	entertainment	"قال تبعا لواحد النص ديال المؤتمر الصحفي ""أنها زوينة بزاف وكتغني مزيان""."
743	geography	مكاينش في جزر كوك حتا شي مدن ولكنها كتتكون من 15 جزيرة مختلفة. أهمها راروتونجا وإيتوتاكي.
18	politics	كانت حتجاجات ومحاكمات فالعالم كلو ستاقل رئيس د إيسلاندا وحتى د باكستان.
