index_id	category	text
797	technology	Եթե ճամփորդում եք դյուրակիր համակարգչով կամ պլանշետով, պատճեն պահեք իր հիշողության կամ սկավառակի վրա (որը հասանելի է առանց համացանցի)։
830	travel	Սահմանը հատող որոշ գնացքներում ընթացքի ժամանակ ստուգումներ են կատարվում, և դուք պետք է վավեր նույնականացման փաստաթուղթ ունենաք այդ գնացքները նստելիս:
150	business	Պարոն Ռիչարդ Բրանսոնի Վիրջին Գրուպը հայտ էր ներկայացրել բանկ, որը մերժվել էր նախքան բանկի ազգայնացվելը:
1806	travel	Որոշ կենդանիներ, ինչպիսիք են փղերն ու ընձուղտները, սովորաբար մոտենում են մեքենաներին, և ստանդարտ սարքավորումները դրանց մոտիկից լավ տեսնելու հնարավորություն կընձեռեն:
902	disasters	Տորնադոն շատ ցածր ճնշման օդի սյուն է, որը շրջապատող օդը կլանում է ներս և վեր:
1225	sports	Դել Պոտրոն փոքր առավելություն ուներ երկրորդ խաղափուլում, բայց հաղթողին որոշելու համար 6-6 հաշվից հետո անհրաժեշտ էր ևս մեկ թայ-բրեյք:
1342	science	Կաղամբի հյութը փոխում է գույնը` կախված այն բանից, թե որքան թթվային կամ հիմնային (ալկալիական) է քիմիական բաղադրությունը:
1959	nature	Պլիտվիցկիե լճերի պարկը խիտ անտառապատ է՝ հիմնականում հաճարենիով, փշատերև ծառերով ու եղևնիներով, և ալպյան ու միջերկրածովյան բուսականության խառնուրդ է հանդիսանում։
341	business	Ինչ վերաբերում է համաշխարհային ֆինանսական իրավիճակին, Ձապատեռոն շարունակեց ասելով, որ․«ֆինանսական համակարգը տնտեսության մասն է կազմում՝ ամենաէական մասը»։
352	science	Մակերևույթի լարվածությունն առաջանում է, որովհետև ջրի մակերևույթի վրայի ջրի մոլեկուլները մեծապես միմյանց են ձգում ավելի շատ, քան դրանցից վերև գտնվող օդի մոլեկուլները։
448	nature	Ամեն տարի հոկտեմբերին մոտ գրեթե 1.5 միլիոն խոտակեր կենդանի գալիս է հարավային հարթավայրեր՝ հյուսիսային բլուրներից հատելով Մառա գետն անձրևների համար։
386	politics	Սեջոնգ արքան Ջոսոն դինաստիայի չորրորդ արքան էր և ամենահարգվածներից մեկն էր:
1438	religion	Եկեղեցու կենտրոնական կառույցը շուրջ հազար տարի եղել է Հռոմում և հզորության ու փողի այս կենտրոնացումը շատերին հանգեցրեց հարցի, թե արդյոք այս դոգման պահպանվում էր։
394	politics	Սակայն թագավորական նավատորմը դեռևս շատ ավելի ուժեղ էր, քան գերմանական նավատորմը («Քրիեգսմարին»), և կարող էր ոչնչացնել անգլիական նեղուցով ուղարկված ամեն ներխուժող նավատորմ:
