index_id	category	text
797	technology	אויב רייזסטו מיט א לעפטאפ אדער טעבלעט, לייג אוועק א קאפיע דערפון אין די מעמארי אדער דיסק (צוטריטבאר אנע אינטערנעט).
830	travel	געוויסע דורכשפרייזנדע-גרעניצן באנען ווערן אונטערגעזוכט בשעת דער באן לויפט, און דו זאלסט דעריבער טראגן מיט זיך א וואלידע ID מיט דיר ווען דו שטייגסט ארויפן אויף איינע פון די סארט באנען.
150	business	סור ריטשארד ברענסאן'ס ווירדשין גרופע האט געהאט אן אנבאט פאר די באנק צוריקגעוויזן איידער די באנק'ס נאציאנאליזאציע.
1806	travel	עטליכע חיות, ווי עלעפאנטן און ג'וראפעס, זענען נוטה צו קומען צו נאנט צו אויטאס און סטארדארד עקוויפמענט/אויסשטאטונג וועט ערלויבן גוטע אויסבליק.
902	disasters	א טארנאדא איז א דרייענדיגע קאלומם פון זייער נידריג-דרוק לופט, וועלכע ציעט די ארומיגע לופט אינערליך און ארויף.
1225	sports	דעל פאטרא האט געהאט די פריע אויבערהאנט אין די צווייטע חלק, אבער אויך דאס האט געפאדערט א טיי ברעיק נאכ'ן דערגרייכן 6-6.
1342	science	די קרויט זאפט טוישט קאלירן ווענדנדיג אין ווי אסידיק אדער באזיס (אלקאליין) דער קעמיקאל איז.
1959	nature	די פליטוויס נאציאנאלע פארק איז שטארק באוואקסן, בעיקר מיט ביטש, ספרוס, און פיר ביימער, און האבן א געמיש פון אלפיין און מעדיטערראנעאן פלאנצונגען.
341	business	בנוגע די גלאבאלע פינאנציעלע מצב, איז זאפאטערא ווייטער געגאנגען זאגנדיג אז די פינאנציעלע סיסטעם איז א טייל פון די עקענאמיע, א גאר קריטיש וויכטיגע טייל.
352	science	אויבערפלאך אנגעצויגענקייט פאסירט צוליב דער וואסער מאלעקיולס אויפ'ן אויבערפלאך פון די וואסער זענען שטארק צוגעצויגן איינע צום אנדערן מער ווי צו דער לופט מאלעקיולס איבער זיי.
