index_id	category	text
797	technology	No walay awit mon laptop odino tablet computer, mangiyan na kopya ed memory na satan odino diad disc (ya nayarin lukasan anggano anggapoy internet).
830	travel	Diad arum ya boundary, wala ray inspection legan ya onaandar so tren tan kaukolan ya walay valid ID ya awit mo no onlugan kad saratan ya tren.
150	business	Antis a nagmaliw a kayarian na gobierno so banko, say grupo nen Sir Richard Branson ya Virgin Group et nan-bid parad banko balet ag-itan inawat.
1806	travel	Say arum ya ayayep, singa say elepanti tan giraffe, et onaasingger ed saray luganan tan wala ray uusaren ya equipment pian nanengneng iratan.
902	disasters	Say tornado et ontitilek ya dagem ya walaan na low pressure air,singloten to iray amin ya walad kaliber liber patagey tan paleksab.
1225	sports	Akalamang nen unaan ed komaduan galaw si Del Potro, balet ta kaukolan so pan-tie kayarin nabet so 6-6 ya puntos.
1342	science	Say taboI na repoIyo so mansaIat na koIor depende ed inka asidic odino basic (alkaline) na chemical.
1959	nature	Say Plitvice Lakes national park so talagan magubat,napno na angkabaleg iran tanaman,maayos,walaan na evergreen ya tanaman tan walaan na pinankasakey ya Alpine tan Meditarranean vegetation.
341	business	"Nipaakar ed samay pinansyal ya kipapasen na mundo, intuloy ya imbaga nen Zapatero ya ""say sistema na pinansiyal et parte na ekonomiya, mairap a parte."""
352	science	Say Surface tension so nagawa Iapud say water molecules diad tapew na danum so man attrack ed baIang sakey ya mas ni Iapud air molecules ed tapew da.
448	nature	Kada taon na Oktubre mga 1.5 million ya herbivores so ondadayo,ya ondalan ira ed Mara river tan kapalandeyan.
386	politics	Si Arin Sejong so komapat ya ari na Joseon Dynasty tan sakey ed saray igagalang ya maong.
1438	religion	Say manunan autoridad na simbaan et walad Roma diad loob la na masulok ya libu-libon taon tan sayan manunan pakauley tan panlalapuan na kuarta et kukuestionen na dakel no kasin saray prinsipyo na saya et talagan nagagawaan.
394	politics	Balet say Royal Navy et mas mabiskeg nin siansia nen say German Navy (“Kriegsmarine”) tan sarasarag ton deralen so anggan anton pansalakay ya barko ya impawit ed English Channel.
1977	education	Nibagan,no antam so Romance language,mainomay mon araley Portugese.
1719	nature	Say Kruger National Park so walad north-east ed South Africa tan kalinyaan toy border na Mozambique diad east tan north na Zimbabwe,say southern border et Crocodile River.
29	crime	Say prisoan ed Iraq ya Abu Ghraib et apoolan lapud gulo.
845	entertainment	"Balet diad sarayan panaon wala iray kabkabat ya graffiti artists, graffiti events tan ""legal"" ya pader. Saray graffiti paintings ed sayan konteksto so nibagan sakey ya artwork imbes ya illegal tags."
165	crime	Saray inmataki ya Mumbai et sinmabi ya lugan na baloto nen Nobyembre 26, 2008, wala ray awit dan granada, automatic iran armas tan nilusob da ray pigaran lugar, kaiba lay matoon pasen ya Chhatrapati Shivaji Terminus ya istasyon na tren tan say sikat ya Taj Mahal Hotel.
261	business	Inyanunsyo na Nigeria so plano ton pikasakey ed AfCFTA diad sayan simba pian onatendi ed summit.
531	sports	Waloran abot ed kada regular ya round na galaw, maslak et onggagapo iray manggalaw diad unaan ya abot tan sumpalen da diad koma-labinwalo ya abot.
1599	nature	Say mutation o pandurumaan et walaan na nanduruman epekto depende ed klase na pandurumaan, say kaimportantian na bengatlan atawir tan no kasin saray cell ya naapektaan et saray germ-line cell.
428	geography	Say teritorya na Turkey et masulok ya 1,600 a kilometro (1000 mi) karukey tan 800 km (500mi) kaawang, ya singa rectangle so hugis to.
1206	health	Pinamintuan na Hamilton Howard University Hospital ya saray inawat iran pasiente et maong Iay kipapaen da.
