	index_id	category	text	gpt-3
0	1523	science/technology	Stökkbreyting bætir við nýjum erfðabreytileika og valið fjarlægir það úr mengi fyrir tjáðan breytileika.	This piece of news seems to be related to science/technology, specifically genetics or genetic modification.
1	1644	science/technology	Klofnunarsprengjan virkar eftir þeirri meginreglu að það þarf orku til að setja saman kjarna með mörgum róteindum og nifteindum.	This piece of news seems to be related to science/technology, specifically nuclear fusion.
2	558	science/technology	Kjarninn er myndaður af tveimur ögnum , nifteindum og róteindum.	This statement does not appear to be a news article. It seems to be a sentence in Icelandic that mentions particles like protons and electrons. It does not fit into any specific news category.
3	456	science/technology	Þetta hefur gert aðdráttarlinsum kleift að framleiða myndir af sambærilegum gæðum og fást með linsum með fasta brennivídd.	This piece of news seems to be related to science/technology, specifically about the development of lenses that can produce images of comparable quality to those obtained with fixed focal length lenses.
4	906	science/technology	Þeir eru fremri en vefmiðlari af nokkrum ástæðum: Þeir endurbeina allri netumferð, ekki aðeins http.	Based on the provided text, it is not possible to determine the category of the news article.
5	452	science/technology	Gagnvirk hönnun kallar á endurmat þitt á fyrri ályktunum hvað varðar framleiðslu margmiðlunarefnis og þú lærir að hugsa á ólínulegan hátt.	This sentence appears to be in Icelandic and it is difficult to understand its meaning. However, based on the few recognizable words, it does not seem to be a piece of news related to any specific category mentioned (science/technology, travel, politics, sports, health, or geography).
6	1557	science/technology	Þetta var alvanalegt, en járnið olli meiri sliti á tréhjólum vagnanna.	I'm sorry, but I couldn't understand the language you used in your response. Could you please provide the text in English or clarify your question?
7	1360	science/technology	Hópar samanstanda af 1-3 fullorðnum karldýrum ásamt allt að 30 kvendýrum og ungum.	This sentence does not appear to be a news article. It seems to be a statement or a sentence in a different context. Therefore, it cannot be categorized into any specific news category.
8	1675	science/technology	Gervigreind hefur sterk tengsl við vísindaskáldskap, en gervigreind er í reynd mjög mikilvæg grein innan tölvuvísindanna og fæst við hegðun, nám og snjalla aðlögun véla.	This piece of news seems to be related to science/technology as it mentions artificial intelligence (gervigreind) and computer science (tölvuvísindir).
9	1430	science/technology	Myndhlutfall þessa sniðs (deilt með tólf til að fá einfaldasta hlutfallið með heilli tölu) er því sagt vera 3:2.	Based on the given ratio of 3:2, this news article is most likely related to science/technology.
10	1907	science/technology	Gervihnattasími kemur almennt séð ekki í stað farsíma vegna þess að maður þarf að vera utandyra og í sjónlínu við gervihnöttinn til að geta hringt.	This piece of news seems to be related to technology, specifically telecommunications.
11	1555	science/technology	Vegir fyrir hestakerrur voru aðeins lagðir með samliggjandi borðum úr timbri, en hestar gátu samt sem áður dregið kerrurnar á meiri hraða og dregið þyngri farm en á hrjúfari vegum þess tíma.	This piece of text does not appear to be a news article. It seems to be written in Icelandic and does not provide any specific information related to science/technology, travel, politics, sports, health, or geography.
12	1632	science/technology	Allt frá forneskju hefur verið vitneskja um frumefni eins og gull, silfur og kopar. Allt þetta má finna í náttúrunni í náttúrulegu formi sínu. Nokkuð einfalt er að vinna efnin með frumstæðum verkfærum.	This is a piece of news regarding science/technology.
13	1354	science/technology	Hjólið hefur breytt heiminum á ótrúlegan hátt. Það stærsta sem hjólið hefur gert fyrir okkur er að veita okkur mun auðveldari og hraðari flutninga.	This piece of text does not appear to be a news article. It seems to be a statement or opinion about the impact of bicycles on the world.
14	462	science/technology	Þetta er gert til að tryggja að myndin nái yfir allan skjáinn. Það er kallað klipptur rammi.	Based on the provided text, it is not possible to determine the category of the news article. The text appears to be in Icelandic and does not provide any information about the content of the article.
15	404	science/technology	Þýskir kafbátar voru kallaði U-bátar. Þjóðverjar voru mjög góðir í að sigla og stýra kafbátum sínum.	This piece of news seems to be related to geography, specifically about German submarines called U-boats and their sailing and navigation skills.
16	604	science/technology	Þrátt fyrir að efnislegt ástand þess geti breyst helst efnafræðilegt ástand þess eins.	Based on the given sentence, it is not clear which category the news article falls under. Could you please provide more information or context about the article?
17	352	science/technology	Yfirborðsspenna á sér stað því vatnssameindir við vatnsyfirborðið laðast að hver annarri meira en að loftsameindum fyrir ofan þær.	This is a piece of news regarding science/technology.
18	459	science/technology	Eitt algengasta vandamálið þegar reynt er að breyta kvikmynd í DVD-snið 0er yfirskönnun.	This piece of news seems to be related to technology, specifically the issue of converting movies into DVD format.
19	1519	science/technology	Komið hefur fram sú kenning að hægt sé að greina hvort einstaklingur er að ljúga með því að túlka minnstu svipbrigði á réttan hátt.	This piece of text does not appear to be a news article. It seems to be a statement or a discussion about a theory related to interpreting facial expressions to detect lies.
20	1338	science/technology	Gull má móta á alla vegu. Hægt er að rúlla því í örlítil form.	Ég get ekki flokkað þessa frétt í neina af þessum flokkum, því textinn er á íslensku og ég skil ekki hvað hann fjallar um. Ég get aðeins flokkað fréttir sem eru á ensku.
21	1679	science/technology	Gervigreindarkerfið er nú oft notað á sviði hagfræði, læknisfræði, verkfræði og hersins en það hefur verið smíðað í mörgum forritum í heimilistölvum og tölvuleikjum.	This piece of news seems to be related to science/technology. It mentions the use of artificial intelligence (Gervigreindarkerfið) in various fields such as economics, medicine, engineering, and the military, as well as its implementation in home computers and video games.
22	1428	science/technology	Hún er framleidd enn þann dag í dag, en það sem meira er, er að myndnemar stafrænna myndavéla byggja á myndhlutfalli hennar.	Based on the provided text, it is difficult to determine the specific category of news this article falls under. It appears to discuss the production and digital camera aspect, but more context is needed to accurately categorize it.
23	1432	science/technology	Hin mjög svo misnotaða regla sem oft er höfð að háði um þriðjung er einföld viðmið um að skapa dýnamík á meðan haldið er í reglu í mynd.	I'm sorry, but I couldn't understand the rule you mentioned. Could you please clarify or rephrase your question?
24	1024	science/technology	Þetta staðfestir ekki aðeins það að minnsta kosti sumar risaeðlur hafi verið með fjaðrir, kenning sem þegar er útbreidd, heldur veitir upplýsingar sem steingervingar geta almennt ekki, svo sem lit og þrívíddarlögun.	Based on the provided text, it seems like this is a piece of news regarding science/technology. It mentions the confirmation of the theory that some dinosaurs had feathers and provides information that fossils generally cannot provide, such as color and 3D shape.
25	373	science/technology	Hvernig myndi aðdráttarafl Io toga í mig? Ef þú myndir standa á yfirborði Io myndir þú vega minna en á Jörðinni.	This is a piece of news regarding science/technology and geography. It discusses the gravitational force on Io, one of Jupiter's moons, and compares it to Earth's gravitational force.
26	1332	science/technology	NextGen er kerfi sem FAA heldur fram að geri flugvélum kleift að fljúga styttri leiðir og spara milljónir lítra af eldsneyti á hverju ári og draga úr kolefnislosun.	This is a piece of news regarding science/technology.
27	1670	science/technology	Taugalíffræðilegar upplýsingar veita efnislegar vísbendingar um fræðilega nálgun við rannsókn á skilvitum. Þetta þrengir því rannsóknarsviðið og gerir það mun nákvæmara.	Based on the provided text, it appears to be a piece of news related to science/technology.
28	61	science/technology	"Í tveggja tíma ræðu sinni fullyrti hann að: ""Í dag mun Apple enduruppgötva símann. Í dag munum við skrifa nafn okkar í sögubækurnar."""	Based on the provided text, it is not possible to determine the category of the news article. The text appears to be in Icelandic and does not contain specific information related to any particular category such as science/technology, travel, politics, sports, health, or geography.
29	454	science/technology	Ókosturinn við aðdráttarlinsur er að skerpuflækjustigið og fjöldi linsuþátta sem þarf til að ná fram fjölda brennivíddar er miklu meiri en fyrir frumlinsur.	This piece of news seems to be related to science/technology, specifically to the topic of optics or lenses.
30	1234	science/technology	Fjarstýringin er lík fjarstýringu fyrir sjónvarp og notast við tvenna skynjara sem eru nálægt sjónvarpi notandans til að þríhyrningamæla stöðuna í þrívíðu rými.	This is a piece of news regarding science/technology.
31	1025	science/technology	. Vísindamenn segja að fjaðrir þessa dýrs hafi verið kastaníubrúnar að ofan og með fölan eða karótenóíð-lit að neðan.	This piece of news seems to be related to science/technology, specifically about the coloration of feathers in an animal.
32	1254	science/technology	Efnasamböndin tvö hafa áhrif á hvort annað og mynda kristalla sem geta komið í veg fyrir starfsemi nýrna, að sögn vísindamanna við háskólann.	This piece of news seems to be related to science/technology.
33	780	science/technology	Þetta gefur næstum fjórfalda upplausn miðað við 35 mm negatífu (3136 mm2 á móti 864).	Based on the provided text, it does not appear to be a news article. It seems to be a sentence in Icelandic, but it does not relate to any specific news category such as science/technology, travel, politics, sports, health, or geography.
34	649	science/technology	Grænland er með góða tengingu og 93% íbúanna eru með netaðgang þökk sé ljósleiðaratengingu í hafi til Evrópu og um breiðbandsgervihnetti.	This piece of news seems to be regarding technology or geography. It mentions Greenland having a good connection and 93% of the population having internet access thanks to a submarine fiber optic connection to Europe and a broadband satellite network.
35	917	science/technology	Eitt þekktasta appið í flokkinum er Google Translate. Í því er hægt að þýða án þess að vera nettengdur þegar viðeigandi tungumálagög hafa verið sótt.	This piece of news is regarding science/technology. It discusses the well-known app Google Translate and its ability to translate without an internet connection when the necessary language packs have been downloaded.
36	603	science/technology	Það hefur ávallt sömu sameindagerðina, hvort sem það er á loftkenndu, fljótandi eða föstu formi.	Based on the given text, it does not seem to be a news article related to any of the mentioned categories. It appears to be a statement about the consistent nature of a certain compound, regardless of its state (gas, liquid, or solid).
37	1518	science/technology	Notkun á myndbandsupptökum hefur orsakað mikilvægar uppgötvanir við túlkun örtjáninga, andlitshreyfinga sem endast í nokkrar millisekúndur.	This piece of news seems to be related to science/technology, specifically in the field of neuroscience or psychology. It discusses how the use of video recordings has led to important discoveries in interpreting rapid eye movements and facial expressions that last only a few milliseconds.
38	584	science/technology	Mannkynið hefur búið til og notað stækkunarlinsur í mörg þúsund ár.	This piece of news is regarding science/technology.
39	1589	science/technology	Þetta er ekki eina markmiðið vegna þess að tilraunir, eða prófanir til að afsanna eina eða fleiri hugsanlegar getgátur, spyrja spurninga og gera athuganir eru einnig leiðarstef vísindarannsókna.	This statement does not appear to be a news article. It seems to be a mix of Icelandic and English sentences discussing the objectives and methods of scientific research.
40	1558	science/technology	Um síðir var viðarhjólum skipt út fyrir járnhjól. Árið 1767 komu fyrstu járnteinarnir til sögunnar.	This piece of news is regarding technology. It discusses the replacement of wooden wheels with iron wheels in 1767.
41	922	science/technology	Flest kort má nota til að hringja hvert sem er, en sum bjóða sérstaklega upp á hagstætt verð á stímtölum til ákveðinna hópa landa.	Based on the given text, it does not appear to be a news article. It seems to be a sentence in Icelandic discussing the use of phone cards for international calls. Therefore, it does not fit into any specific news category.
42	1981	science/technology	Flestir nútíma rannsóknarsjónaukar eru á gríðarstórum starfsstöðvum á afskekktum svæðum þar sem lofthjúpsaðstæður eru hagstæðar.	This is a piece of news regarding science/technology.
43	351	science/technology	Stálnálin flýtur ofan á vatninu vegna yfirborðsspennu.	This sentence does not provide enough information to categorize it as a news article. It appears to be a sentence in a different language. Please provide more context or a translation of the sentence for proper categorization.
44	1429	science/technology	35 mm sniðið er í raun frekar ruglingslegt, það er 36 mm á breidd og 24 mm á hæð.	This sentence does not seem to be a news article. It appears to be a statement about the dimensions of a 35 mm format.
45	578	science/technology	"Frumur eru svo mikilvægur grunnur við rannsóknir á lífi að oft er talað um þær sem ""byggingareiningar lífs""."	This sentence does not appear to be a news article. It seems to be a statement about the importance of cells in life sciences research.
46	905	science/technology	Sýndareinkanet (VPN-net) eru góð leið til að fara fram hjá bæði pólitískri ritskoðun og  viðskiptatengdum IP-svæðissíum.	This piece of news seems to be regarding technology, specifically VPN networks and their use for bypassing political censorship and IP-based geographical restrictions.
47	264	science/technology	Þrátt fyrir að snúðvísirinn hafi tapast í upphafi leiðangursins, hélt stöðin afstöðu sinni þar til geimgöngunni var lokið.	This sentence does not provide enough information to determine the category of the news article.
48	628	science/technology	Fólk með þessa tegund hugsunar býr yfir rökréttri hugsun, er fært um að leggja á minnið mynstur, leysa vandamál og vinna að vísindalegum rannsóknum.	Based on the provided text, it is difficult to determine the category of the news article. It does not seem to fit into any specific category such as science/technology, travel, politics, sports, health, or geography.
49	1366	science/technology	Parduskettir éta gjarnan lítil dýr. Þeir veiða apa, snáka, nagdýr og fugla ef þeir ná þeim. Nánast öll dýr sem parduskettir veiða eru mun minni en þeir.	This piece of text does not appear to be a news article. It seems to be a statement about the hunting habits of a specific animal, the parduskettir.
50	779	science/technology	Sumar kvikmyndavélar með miðlungssnið nota 6 x 6 cm snið, nánar tiltekið 56 x 56 mm neikvætt.	This is a piece of news regarding science/technology.
51	1874	travel	Ferðamönnum er eindregið ráðlagt að fylgjast með hættu á að slæmt verður á svæðinu því það getur haft áhrif á ferðaáætlanir þeirra.	This piece of news seems to be related to travel.
52	1734	travel	Hópbifreiðar fara frá umferðarmiðstöðinni (hinum megin við ána) yfir daginn, þótt flestar, sérstaklega þær sem fara í austur og til Jakar/Bumthang, leggi af stað milli kl. 06:30 og 07:30.	This piece of news seems to be related to travel.
53	1840	travel	Þeir veita meiri stöðugleika fyrir knapann en geta verið öryggisatriði vegna möguleika á að fætur knapans festist í þeim.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in Icelandic, and without further context or translation, it is not possible to categorize it accurately.
54	1919	travel	Flestar vinsælar siglingar um Eystrasaltið eru með lengri dvöl í Pétursborg í Rússlandi.	This news article seems to be about travel, specifically about popular cruises in the East Sea and extended stays in St. Petersburg, Russia.
55	828	travel	Ráðgjöfin gefur sér að ferðamenn steli ekki, fari ekki inn í leyfisleysi, taki þátt í ólöglegum markaði, betli eða notfæri sér annað fólk.	This piece of text does not appear to be a news article. It seems to be a sentence in Icelandic, but it does not provide any specific information about a particular topic.
56	818	travel	Þú þarft að hafa margt í huga áður þú og þegar þú ferðast eitthvað.	Það er ekki hægt að svara þessari spurningu án þess að hafa nánari upplýsingar um greinina sem er verið að ræða. Þú getur gefið mér nánari lýsingu á greininni eða tilgreint hvaða flokkur hún gæti tilheyrð, og ég get reynt að hjálpa þér að flokka hana.
57	978	travel	Í hita dagsins kunna ferðalangar að sjá hillingar sem virðast vera vatn (eða aðrir hlutir).	Based on the provided text, it appears to be a news article related to travel or geography. It mentions travelers seeing formations that appear to be water or other objects.
58	765	travel	Ekki er mikið um fjölskyldur með börn, en slíkar fjölskyldur mega gista á einkaherbergjum á sumum farfuglaheimilum.	This is not a piece of news. It appears to be a sentence in Icelandic discussing families with children staying in private rooms at certain accommodations.
59	1992	travel	Til dæmis til að skoða kastala í Loire-dalnum, heimsækja Rínardalinn eða fara í skemmtisiglingu til áhugaverðra borga við Dóná eða bátasiglingu niður Erie-skurðinn.	This piece of news seems to be related to travel and geography. It mentions visiting castles in the Loire Valley, exploring the Rhine Valley, and going on a leisurely sailing trip to interesting cities along the Danube or a boat trip down the Erie Canal.
60	823	travel	Hugsanlega er betra að nota ferðaskrifstofu sem bókar reglulega svipaðar ferðir og þú hyggst fara í.	This statement does not appear to be a news article. It seems to be a suggestion or advice related to travel planning.
61	762	travel	Couchsurfing var stofnað í janúar 2004 þegar forritarinn Casey Fenton fann ódýrt flug til Íslands en var með engan stað til að gista á.	This news article is about travel.
62	932	travel	Námsmannaáritanir eru yfirleitt með aðrar kröfur og umsóknarferli en hefðbundnar vegabréfsáritanir fyrir ferðamenn eða fyrirtæki.	This piece of news appears to be related to travel.
63	678	travel	Hvert land hefur auk þess sín eigin lög um hvaða neyðarbúnaður eigi að vera í bifreiðinni.	This is a piece of news regarding politics.
64	822	travel	Flestar ferðaskrifstofur taka við hefðbundnum bókunum, en tilteknar ferðaskrifstofur sérhæfa sig í sérsniðnum ferðalögum, sérstökum fjárhagsáætlunum eða áfangastöðum.	This piece of news is regarding travel.
65	1820	travel	Ferðamenn kunna að standa frammi fyrir dýrafarsóttum sem þeir ekki þekkja til á heimaslóðum.	This piece of news seems to be related to travel.
66	1947	travel	Í norðurhlutanum er einnig þess virði að heimsækja helgidóm Maríu guðsmóður (helgiskrín), en þar hefur Maríu guðsmóður oft brugðið fyrir, eins og heimsþekkt er.	Based on the provided text, it does not appear to be a piece of news related to science/technology, travel, politics, sports, health, or geography. It seems to be discussing a religious site or shrine dedicated to the Virgin Mary.
67	1713	travel	Notast má við boda-boda (vélhjólataxa) til að ferðast um Goma. Venjulegt verð (innan svæðis) er ~500 kongólskir frankar fyrir stutta ferð.	This news article is regarding travel.
68	731	travel	Fyrir þá sem hafa gaman af útiveru, er gangan upp að Sea to Sky-landræmunni ómissandi.	This piece of news seems to be related to travel and geography.
69	1808	travel	"Gangandi safaríferð (líka kallað ""skógarferð"", ""göngusafarí"" eða að fara ""fótgangandi"") felur í sér göngu sem tekur ýmist nokkra klukkutíma eða nokkra daga."	This piece of news seems to be related to travel.
70	1929	travel	Eina leiðin til flýta fyrir því var sú að senda það sem innritaðan farangur. Reglur flugfélaga gerir þeim ekki kleift að senda farangur án farþega, en þar kemur þú til skjalanna.	Based on the provided text, it is difficult to categorize this news article into any specific category. The text appears to be in Icelandic, and without further context or translation, it is not possible to determine the subject matter or category of the article.
71	131	travel	Nú verður 300 vögnum bætt við og því verður samtals 1300 vögnum bætt við til að draga úr mannþrönginni.	This piece of news seems to be related to geography, specifically about the addition of 300 islands to reduce overcrowding.
72	814	travel	Fjölskyldur með lítil börn þurfa ef til vill meiri undirbúning, en það er vel hægt að eyða degi úti við þrátt fyrir ungbörn og börn á leikskólaaldri.	This piece of text appears to be in Icelandic and does not seem to be related to any specific news category. It seems to be discussing the topic of families with young children needing more preparation, but it does not fall into any of the given categories.
73	1799	travel	Líklegt er að allir sem keyra í mikilli hæð yfir sjávarmáli eða yfir fjallaskörð lendi í miklum snjó, krapa og kulda á leið sinni.	This piece of text does not appear to be a news article. It seems to be a general statement about the weather conditions when driving at high altitudes over sea or mountain passes.
74	1715	travel	Í dag er Timbuktu fátækur bær, þó orðspor hans laði enn að ferðamenn og það sé flugvöllur á staðnum.	This piece of news seems to be about travel and geography. It mentions Timbuktu being a poor city, but still attracting tourists and having an airport.
75	1801	travel	Í hríðarbyl getur snjóað það mikið að maður festist á örskotsstundu.	This sentence does not appear to be a news article. It seems to be a statement about a weather phenomenon.
76	957	travel	Ef þú vilt fljúga hringinn í kringum hnöttinn á suðurhveli jarðar er takmarkað framboð á flugferðum og áfangastöðum vegna skorts á flugleiðum yfir hafið.	This piece of news seems to be related to travel and geography. It discusses the limited availability of flights and destinations for those who want to fly around the globe on the southern hemisphere due to a shortage of flight routes over the ocean.
77	953	travel	Flugfélög eins og Emirates, Etihad Airways, Qatar Airways og Turkish Airlines hafa bætt þjónustu sína í Afríku til muna og bjóða tengiflug til stærstu borga Afríku á lægra verði en flugfélög í Evrópu.	This piece of news is regarding travel.
78	1334	travel	Ekki verður bætt við neinum aukasamgöngum og lestir munu ekki stöðva við Wembley og bílastæði og aðstaða til að leggja eru ófáanleg á staðnum.	Based on the information provided, it is not clear which category this news article falls under. Could you please provide more specific details or context about the content of the article?
79	931	travel	Ef þú ætlar að dvelja erlendis í lengri tíma þarftu almennt að fá vegabréfsáritun áður en þú leggur af stað.	This is a piece of news regarding travel. It provides information about the requirement of obtaining a passport before traveling abroad for an extended period of time.
80	855	travel	Allar lestir eru bæði með MetroPlus- og Metro-farrými; MetroPlus-farrýmin eru alltaf í enda lestarinnar næst Höfðaborg.	This piece of news seems to be related to travel, specifically the MetroPlus and Metro train services.
81	1607	travel	Allir taka þátt í samfélagi og nota samgöngukerfi. Nánast allir kvarta undan samgöngukerfum.	Based on the provided text, it does not seem to be a piece of news related to any specific category. It appears to be a general statement about people participating in society and using transportation systems, with a mention of complaints about transportation systems.
