index_id	category	text
431	geography	Turska je okružena morem s triju strana: Egejskim morem na zapadu, Crnim morem na sjeveru i Mediteranskim morem na jugu.
403	science/technology	U početku rata uglavnom su plovile iznad površine mora, ali kako se radar razvijao i postajao precizniji, podmornice su prisiljene ići ispod površine kako se ne bi vidjele.
1592	science/technology	Kako je znanje o Grcima opadalo, Zapad je raskidao veze s grčkim filozofskim i znanstvenim korijenima.
993	entertainment	Međutim, brdske stanice odlikuju se različitom vrstom ljepote i šarma tijekom zime. Mnoge od njih tada su prekrivene pristojnim količinama snijega i nude aktivnosti kao što su skijanje i daskanje na snijegu.
755	entertainment	U tim hotelima odsjedali su tadašnji bogati i slavni, a ponuda je često obuhvaćala otmjenu hranu i noćni život.
1936	politics	Taj je sukob 1994. doveo do stvaranja samoproglašene Republike Transnistria u istočnoj Moldaviji koja ima svoju vladu i valutu, ali je nije priznala nijedna zemlja članica UN-a.
1205	health	Danielle Lentagne, UN-ova stručnjakinja za bolest, izjavila je da su epidemiju vjerojatno uzrokovali pripadnici mirovnih snaga.
1692	geography	Velika područja dalje na sjeveru vrlo su rijetko naseljena, a nekima gotovo vlada nenaseljena divljina.
280	politics	Organizatori prosvjeda priopćili su da se na prosvjedima u njemačkim gradovima poput Berlina, Kölna, Hamburga i Hanovera okupilo oko 100.000 ljudi.
247	politics	Agenti su odgovorni za pružanje državnih i pravnih usluga prema članku 247. pakistanskog Ustava.
1439	politics	Brzo nakon izbijanja oružanih sukoba, Velika Britanija započela je pomorsku blokadu NJemačke.
1239	entertainment	„Jako je slatka , a i prilično dobro pjeva“, izjavio je sudeći prema transkriptu tiskovne konferencije.
743	geography	Na Cookovom Otočju nema gradova, ali sastoji se od 15 različitih otoka. Glavni su Rarotonga i Aitutaki.
18	politics	Izbili su prosvjedi u cijelom svijetu, nekoliko kaznenih progona, a vođe vlada Islanda i Pakistana dali su ostavku.
1344	science/technology	Vodikovi ioni su protoni bez elektrona (budući da se atomi vodika sastoje od jednog protona i jednog elektrona).
688	travel	Posjetiteljima s ograničenim vremenom preporučuje se da vrijeme provedu negdje drugdje.
556	science/technology	Atom se može smatrati jednim od temeljnih građevnih elemenata svih tvari.
1645	science/technology	To je otprilike poput guranja teških kolica uzbrdo. Dijeljenjem jezgre ponovo se oslobađa dio te energije.
907	science/technology	Obično nude višu propusnost i bolju kvalitetu usluge. Šifrirane su i zbog toga ih je teže špijunirati.
1071	politics	Međutim, premijer John Howard izjavio je kako je čin poduzet isključivo kako bi se bolnica zaštitila od smanjenja kapaciteta od strane tasmanske vlade zahvaljujući dodatnoj pomoći od 45 milijuna australskih dolara.
555	sports	Sportaši mogu smatrati da im je draži neki proizvod čak i ako od njega nema prave koristi.
1203	health	Do dolaska trupa Haiti nije imao problema povezanih s bolešću još od 1800-ih godina.
58	politics	Iz policije tvrde da Lo Piccolo ima prednost jer je bio desna ruka Provenzana u Palermu te je na temelju svojeg većeg iskustva stekao poštovanje starije generacije bosova koji vode Provenzanovu politiku pritajenog djelovanja i istovremenog jačanja mreže utjecaja.
1764	travel	Uz to, imajte na umu da mirisi privlače medvjede i druge divlje životinje pa izbjegavajte nošenje ili kuhanje hrane snažnog mirisa, a mjesto kampiranja održavajte čistim.
195	sports	Pretpostavlja se da Massa neće sudjelovati najmanje do kraja sezone 2009. godine.
1785	travel	Rezervacija smještaja unaprijed putniku skida teret s leđa jer zna da će imati gdje prespavati kad stigne na odredište.
600	science/technology	Elementi i spojevi mogu prelaziti iz jednog stanja u drugo bez promjene.
553	sports	Trčanje na srednjim udaljenostima relativno je jeftin sport. Međutim, postoje mnoge zablude u vezi s nekoliko dijelova opreme potrebnih za sudjelovanje.
1720	geography	Površina parka od 19.500 km²  podijeljena je na 14 različitih ekozona, a u svakoj od njih obitava druga vrsta divljih životinja.
1622	geography	Rijeka Amazona druga je najdulja i najveća rijeka na Zemlji. Sadrži više od 8 puta više vode nego druga najveća rijeka.
1441	politics	Velika Britanija minirala je međunarodne vode da bi spriječila ulazak brodova u čitave dijelove oceana, što je prouzročilo opasnost i za brodove neutralnih strana.
566	health	Vid, odnosno sposobnost vida ovisi o osjetilnim organima vizualnog sustava, odnosno očima.
1515	science/technology	Prepoznatljive značajke Interneta otvaraju dodatne dimenzije u smislu uporabe i pristupa.
585	science/technology	Međutim, prvi pravi teleskopi izrađeni su u Europi u kasnom 16. stoljeću.
1689	geography	Ottawa je šarmantan glavni grad Kanade i nudi niz umjetničkih galerija i muzeja koji prikazuju prošlost i sadašnjost Kanade.
1256	health	Sastav ovih kristala podudara se sa sastavom kristala u urinu oboljelih kućnih ljubimaca usporede li se infracrvenom spektroskopijom (FTIR).
60	science/technology	CEO tvrtke Apple Steve Jobs predstavio je uređaj tako što je stupio na pozornicu i izvadio iPhone iz džepa svojih traperica.
32	sports	Kad su automobili ispred Alonsa krenuli puniti gorivo vozeći iza sigurnosnog automobila, on je preuzeo vodstvo i odnio pobjedu.
1411	politics	Tijekom Američkog rata za neovisnost, trinaest je država ustavnim aktom Članci o Konfederaciji prvo osnovalo slabu središnju vladu koja se sastojala samo od kongresa.
13	sports	Nadal je osvojio 88 % bodova s mreže i osvojio 76 bodova u prvom servisu.
1941	travel	Široki bulevari, ostakljene zgrade i moderni trgovački centri prošarani su klasičnim krovovima od crvenog crijepa, tržnicom iz 18. stoljeća, starim džamijama i crkvama, iako atmosfera grada podsjeća više na mediteransku Europu nego na tradicionalnu Tursku.
732	sports	Whistler (1,5 sati vožnje od Vancouvera) skup je no poznat zahvaljujući Zimskim olimpijskim igrama iz 2010.
871	entertainment	Ujutro ispunite svoj dom bogatim mirisom kave, a uvečer opuštajućim mirisom čaja od kamilice.
886	geography	Antarktika je nahladnije mjesto na Zemlji i okružuje južni pol.
362	science/technology	Nakon stotina sati rada žareća nit u žarulji na kraju izgori i žarulja više ne radi.
1578	health	Na naljepnici potražite posebne upute za prvu pomoć koje se odnose na taj otrov.
996	travel	U svakom slučaju morate izvršiti rezervaciju telefonskim pozivom izravno s avioprijevoznikom.
197	health	Predsjednikovo stanje je stabilno, no nekoliko će dana biti u izolaciji kod kuće.
460	entertainment	Većina je televizora napravljena na način da zadovoljavaju opću populaciju.
154	geography	Od otprilike 24.000 poznatih meteorita koji su pali na Zemlju, za samo njih 34 potvrđeno je da potječu s Marsa.
1160	politics	Nakon što službenici provjere identitet glasača, glasač stavlja omotnicu u glasačku kutiju i potpisuje se na popis birača.
1223	entertainment	Turneja je otkazana nakon što se frontmen Steven Tyler ozlijedio u padu s pozornice tijekom nastupa 5. kolovoza.
54	politics	Peter Costello, australski blagajnik i najvjerojatniji novi vođa liberalne stranke nakon premijera Johna Howarda, podržao je industriju nuklearne energije u Australiji.
7	politics	Prosvjed je započeo oko 11:00 po lokalnom vremenu (UTC+1) na Whitehallu, nasuprot ulaza u Downing Street, službeno prebivalište premijera, koji je čuvala policija.
1010	sports	Američka gimnastika podržava pismo Olimpijskog odbora SAD-a i priznaje apsolutnu potrebu olimpijske obitelji da promovira sigurno okruženje za sve naše sportaše.
1174	sports	Konačni rezultat bio je pobjeda s razlikom od jednog boda, 21:20, čime je okončan niz od 15 pobjeda momčadi All Blacks.
1202	health	U tužbi se navodi da se otpad iz UN-ovog kampa nije propisno sanirao te su zbog toga bakterije ušle u pritok rijeke Artibonite, jedne od najvećih na Haitiju.
958	travel	Nijedan savez zračnih prijevoznika ne pokriva sva tri oceanska prijelaza na južnoj polutci (a SkyTeam ne pokriva nijedan).
354	science/technology	Oštrica na modernim klizaljkama ima dvostruki rub s konkavnom udubinom između. Dva ruba omogućavaju bolje prianjanje na ledu, čak i prilikom naginjanja.
505	science/technology	Takve web-stranice imaju i pozitivne strane, uključujući lakoću postavljanja razredne stranice, koja može uključivati ​​blogove, videozapise, fotografije i ostale elemente.
1333	science/technology	Za razliku od starije tehnologije koja se temelji na radarima, ovaj sustav upotrebljava satelitsku tehnologiju kako bi kontrolori zračnog prometa mogli preciznije locirati zrakoplove i dati pilotima točnije informacije.
1173	sports	Južna Afrika porazila je All Blacks (Novi Zeland) na ragbijaškoj utakmici saveza Tri Nations na stadionu Royal Bafokeng u Rustenburgu u Južnoj Africi.
945	travel	Vikinzi su koristili ruske plovne putove kako bi došli do Crnog mora i Kaspijskog jezera. Dijelovi tih ruta i dalje se koriste. Provjerite jesu li potrebne posebne dozvole, koje može biti teško dobiti.
1012	sports	Gimnastički savez SAD-a podržava neovisnu istragu koja bi otkrila kako je zlostavljanje o kojem su žrtve Larryja Nassara hrabro progovorile moglo proći nezapaženo toliko dugo i spremni smo prihvatiti potrebne i prikladne promjene.
712	travel	Preko 60 kruzera krstari vodama Galapagosa s po 8 do 100 putnika.
1654	science/technology	Dvije popularne teorije sadržaja su Maslowljeva teorija hijerarhije potreba i Herzbergova teorija dvaju faktora.
76	politics	Međutim, ponovio je svoju raniju izjavu da je Roe protiv Wade „ustaljena sudska praksa u državi“ te naglasio važnost dosljednih odluka Vrhovnog suda.
637	science/technology	Četiri godine kasnije dodijeljen je patent i to je bio prvi patent na svijetu koji je dodijeljen u polju snimanja magnetskom rezonancijom.
1694	geography	Istočnoafrički otoci smješteni su u Indijskom oceanu, uz istočnu obalu Afrike.
1559	travel	Prvi poznati način transporta bio je hodanje, ljudi su počeli hodati uspravno prije dva milijuna godina kada se pojavio Homo erectus (uspravni čovjek).
679	geography	Victoria Falls je grad u zapadnom dijelu Zimbabwea, preko granice kraj Livingstona u Zambiji i u blizini Botswane.
1049	politics	Izvješće počinje molbom za otvorenu raspravu i stvaranje konsenzusa u Sjedinjenim Američkim Državama o politici prema Bliskom istoku.
557	science/technology	To je vrlo kompleksan entitet koji se, prema Bohrovom modelu, sastoji od središnje jezgre oko koje se okreću elektroni, slično planetima koji se okreću oko sunca – pogledajte sliku 1.1.
194	sports	Brazilac je zadobio tešku ozljedu glave nakon sudara na Grand Prixu Mađarske 2009.
1103	science/technology	Rezultat analize ucrtavanja objavit će se na javnom web-mjestu.
1009	health	U kliničkom ispitivanju PALM, ZMapp je služio kao kontrola, što znači da su ga znanstvenici koristili kao početnu vrijednost i uspoređivali preostala tri lijeka s njim.
20	politics	Hsieh je tijekom izbora natuknuo da bi Ma mogao pobjeći iz zemlje u vrijeme krize.
1700	travel	Žene: preporučuje se da žene na putovanju govore da su udane bez obzira na njihov stvarni bračni status.
1673	science/technology	Uspon novih tehnologija omogućava nam da vidimo i istražimo dosad neviđene moždane strukture i procese.
