index_id	category	text
431	geography	Turki dikulilingi lawan lautan di tiga sisi: Laut Aegean di barat, Laut Hitam di utara wan Laut Mediterrania di salatan.
403	science/technology	Pamulaan perang buhannya kabanyakan batulakan di atas laut, tagal radar bamulai dirangkatakan wan jadi labih akurat kapal salam dipaksa manyalam ka bawah banyu gasan balindat supaya kada kalihatan.
1592	science/technology	Pas pangatahuan manganai Yunani manurun, Barat mandapati dirinya taputus matan akar filusufis wan ilmiah Yunaninya.
993	entertainment	Katia, baisi kalangkaran wan kabungasan nang balain salawas musim dingin, lawan banyak stasiun bukit nang manarima banyak salju wan manawarakan aktipitas-aktipitas nang kaya ski wan saluncur salju.
755	entertainment	Hotel-hotel ngini ialah wadah urang-urang sugih wan takenal wayah ngitu bamalam, wan rancak dapat makanan miwah wan hiburan malamnya.
1936	politics	Pas tahun 1994, bahualan ma’arah ka tarjadinya pangakuan surang Republik Transnistria di timur Moldova, nang mana baisi pamarintahan wan mata uang sorang tapi kada diakui rasmi lawan banyak nagara angguta PBB.
1205	health	Danielle Lantagne, saurang ahli panyakit dari PBB, manyambat bahuwa panyakit ini manyabar karna pasukan panjaga pardamaian PBB.
1692	geography	Wadah nang luas jauh ka utara ngitu jarang panduduknya wan babarapa gurun nang parak kada bapanghuni.
280	politics	Kapala ahui protes manyambat sakitar 100,000 urang turun ka Jerman nang kaya Berlin, Cologne, Hamburg, wan Hanover.
247	politics	Agin-agin ngini batanggung jawab gasan panyadiaan layanan pamarintah wan kaadilan manurut Pasal 247 matan Kunstitusi Pakistan.
1439	politics	Limbah pacahnya parmusuhan, Inggris mulai mamblukir jalan laut Jerman.
1239	entertainment	"""Inya manis banar wan lihai banyanyi juwa,"" ujarnya badasarakan rakaman konfrensi pers."
743	geography	Pulau Cook kada bisi kota apapun tapi tadapat matan 15 pulau nang babeda. Nang utama ialah Rarotonga wan Aitukaki.
18	politics	Ada prutes matan saluruh dunia, babarapa tuntutan pidana, wan bubuhan pamimpin pamarintahan Islandia wan Pakistan kaduduanya baampih.
1344	science/technology	Ion Hidrogen ngitu proton nang baisi elektronnya malapas buhannya ngitu (mulai ngitu atom hidrogen tardiri matan sabuting proton wan sabuting elektron).
688	travel	Pangunjung nang waktunya tebatas sabaiknya mahabisakan waktu di lain haja.
556	science/technology	Atom ngitu kawa dianggap sabutingannya dasar bagian pambangun matan barataan banda.
1645	science/technology	Samacam kaya manarik karita barat ka atas bukit. Mamisahakan nukleus pulang imbah ngitu malapasakan sabagian energinya.
907	science/technology	Bubuhannya biasanya manawarakan aliran data nang tatinggi wan kualitas layanan nang tabagus. Inya dikunci lawan kata sandi supaya ngalih diintai.
1071	politics	Tapi, Pardana Mantri John Howard sudah manyambat sikap nitu babaya gasan ma’amanakan pasilitas rumah sakit biar kada manurun kualitasnya ulih pamarintahan Tasmania, pambarian dana tambahan sabanyak 45 juta dular Australia.
555	sports	Buhan atlit bisa marasa buhannya katuju sabuah produk biar pas produk ngitu tu kadada mambari manfaat nyata.
1203	health	Sabalum kadatangan tantara, nagara Haiti kada suah bamasalah nang bahubungan panyakit itu tumatan 1800an.
58	politics	Jar pulisi Lo Piccolo labih unggul sabab inya sudah suah jadi tangan kanannya Provenzano di Palermo lawan jua pangalamannya maulah inya dihurmati uleh bos-bos tadahulu nang mana bubuhannya tu maumpati kabijakan Provenzano tatap marandah sambil manguati kakuatan jaringannya.
