index_id	category	text
797	technology	Se ti viægi con un laptop ò un tablet, conservine unna còpia inta memöia ò into disco (accescibile sensa Internet).
830	travel	Inte çerti treni transfrontalê e ispeçioin vëgnan effettuæ in sciô treno in corsa, e ti doviësci aveighe apreuvo un documento de identitæ valido quande ti monti in sce un de quelli treni.
150	business	O Virgin Group de Sir Richard Branson o l'aiva unn'offerta pe-a banca, stæta refuâ avanti a naçionalizzaçion da banca.
1806	travel	Çerte bestie, comme elefanti ò giaffe, tendan à avvixnâse d’arente a-e machina e l’equipaggiamento standard o consentià unna boña vixon.
902	disasters	Un tornado a l’é unna colònna rotante d’äia de prescion assæ bassa, ch’a sussa l’äia d’in gio e a â sponcia drento de lê e verso l’erto.
1225	sports	O Del Potro o l'aiva o primmo avvantaggio into segondo set, ma anche pe sto chì gh'é vosciuo un tie break dòppo ëse arrivæ a-o 6-6.
1342	science	O sugo do cöo o cangia de cô, à segonda de quande o l'é acido ò baxico (alcalin) o produto chimico.
1959	nature	O parco naçionale de Plitvice Lakes o l’é assæ boscoso e o comprende ciù che tutto fò, abeti e pin, e o presenta da vegetaçion arpiña mesccia à quella mediterranea.
341	business	In ponto scituaçion finançiäia globale, o Zapatero o l'à contunniou dindo che “o scistema finançiäio o l'é unna parte de l'economia, unna parte cruçiâ.
352	science	A tenscion de superficie a gh'é perché e molecole de l'ægua a-a superficie de l'ægua son ciù fortemente attiæ uña verso l'atra de quante o seggian e molecole de l'äia de d'ato à lô.
448	nature	Tutti i anni verso ötobre squæxi 1,5 milioin de erbivoi viagian da-e colliñe do nòrd in direçion de cianue meridionali, atraversando o sciumme Mara, pe-a stagion de ægue.
386	politics	O re Sejong o l’ea o quarto da dinastia Joseon e o l’è un di ciù apprexæ.
1438	religion	L'autoritæ centrale da gexa a l'é stæta à Romma pe ciù de mille anni e sta conçentraçion de potere e de dinæ a portava tanti à domandâse se sto prinçipio o fïse giusto.
394	politics	Ma a Royal Navy a l’ea ancon ben ben ciù fòrte da mariña tedesca (Kriegmarine”) e a l’aviæ posciuo destrue chesesegge flòtta de invaxon mandâ à traverso o Canâ da Manega.
1977	education	No serve dî che se se conosce za unna lengua romansa, imprende o portogheise o saià ciù façile.
1719	nature	O Kruger National Park (KNP) o se treuva into nòrd-est do Sud Africa e o core longo o confin co-o Mozambico à est, co-o Zimbawe à nòrd, tanto che o confin meridionale o l’è o sciumme Crocodile.
29	crime	A prexon inte l'Iraq do Abu Ghraib a l'é stæta missa à feugo quande gh'ea un sollevo.
845	entertainment	Con tutto, ancheu gh’è di artisti de graffiti affermæ, di eventi de graffiti e de miage “legali”. I dipinti de graffiti inte sto contesto assomeggian de spesso à de òpie d’arte ciutòsto che à di tag che no se lezan.
165	crime	I aggressoî de Mumbai en arrivæ pe nave a-i 26 de novembre 2008, in portâ con lô de granate e de arme automatiche e an corpio bersaggi mortipri, compreisa a staçion da ferrovia Chhatrapati Shivaji Terminus piña de gente e l'avvoxou Taj Mahal Hotel.
261	business	A Nigeria a l'aiva annonçiou in avanti ch'a progettava de intrâ inte l'AfCFTA, a settemaña primma do summit.
531	sports	Dixeutto cille vëgnan zugæ int’un gio regolare, co-i zugoei che pe sòlito comensan da-a primma cilla do campo e finiscian a-a dixeutteña.
1599	nature	E mutaçioin peuan avei unna varietæ de effetti diversci à segonda do tipo de mutaçion, do scignificato do materiale genetico do tòcco interessou e, se e cellole interessæ son cellole da linia germinale.
428	geography	O territöio da Turchia o l’è longo ciù de 1600 chilòmetri (1.000 mi) e largo 800 km (500 mi), con unna forma ciù ni meno rettangolare.
1206	health	O Hamilton o l'à confirmou che o Howard University Hospital o l'à ammisso o paçiente inte condiçioin stabile.
277	politics	O passou governatô do Massachusetts, Mitt Romney o l'à guagno l'eleçion primmäia prescidençiale do Partio Repubrican mätesdì, con ciù do 46 via çento di voti.
2	disasters	O JAS 39C Gripen o s'é anæto à scciantâ contra unna pista verso e 9,30 am oa locale (0230 UTC) e o l'é scciuppou, con serrâ l'æriopòrto a-i xeui commersæ.
719	geography	A Repubrica Dominicaña (in spagnòllo República Dominicana) o l’é un paise inti Caraibi ch’o s’estende in sciâ meitæ ponentiña de l’isoa d’Hispaniola, ch’o scomparte insemme à Haiti.
324	geography	A tempesta, stæta localizzâ à pöcassæ 3.000 miggia da Miami, into Florida, a l'à di venti mascimi sostegnui de 40 mph (64 kph).
15	business	Panama Papers” o l'é un termine pægua pe pöcassæ dexe mioin de documenti do studdio legale panameise Mossack Fonseca, stæti passæ a-i giornali da primmaveia 2016.
