index_id	category	text
797	technology	Dersom du har med en bærbar PC eller nettbrett på reise, bør du oppbevare en kopi i dens minnet eller disk (med tilgang uten nett).
830	travel	I enkelte grensekryssende tog gjøres inspeksjoner på tog i bevegelse, og du bør ha gyldig ID med deg når du går om bord på et av togene.
150	business	Sir Richard Bransons Virgin Group hadde et bud som banken avviste før nasjonaliseringen av banken.
1806	travel	Noen dyr, som for eksempel elefanter og sjiraffer, liker å nærme seg biler og standardutstyr, noe som vil tillate gode synsvinkler.
902	disasters	En tornado er en roterende søyle med svært lav trykkluft, noe som suger den omkringliggende luften innover og oppover.
1225	sports	Del Potro hadde den tidlige fordelen i det andre settet, men også dette ble til uavgjort etter at resultatet ble 6-6.
1342	science	Kåljuice vil endre farge helt avhengig av hvor surt eller basisk (alkaline) kjemikaliet er.
1959	nature	Plitvice Lakes nasjonalpark er dekket av mye skog, hovedsakelig av bøk, granskog og gran trær, og kjennetegnes av en blanding av høyfjell og middelhavsvegetasjon.
341	business	Vedrørende den verdensomspennende finansielle situasjonen, fortsatte Zapatero med å fortelle at «økonomisystemet er en del av økonomien, en avgjørende del.
352	science	Spenninger på overflaten skjer fordi vannmolekyler ved overflaten av vannet er sterkt tiltrukket av hverandre mer enn de er for luftmolekylene over seg.
448	nature	Rundt oktober drar nesten 1,5 millioner vegetarianere årlig mot de sørlige slettene over Mara-elva, og rømmer fra de nordlige bakker for regnet.
386	politics	En av de mest anerkjente var kong Sejong, den 4. kongen i Josefin-Dynastiet.
1438	religion	Kirkens sentrale myndigheten hadde vært i Roma i over tusen år og denne makt- og pengekonsentrasjonen fikk mange til å stille spørsmål ved om dette prinsippet ble fulgt.
394	politics	Den britiske marinen var imidlertid fremdeles mye kraftigere enn den tyske («Kriegsmarine») og kunne ha ødelagt en eventuell invasjonsflåte sendt over den engelske kanal.
1977	education	Hvis du allerede kan et Romansk språk, vil det være lettere for deg å lære portugisisk.
1719	nature	Kruger nasjonalpark (KNP) ligger nord-øst i Sør-Afrika i øst grenser den til Mosambik, i nord til Zimbabwe, og Crocodile River er den sørlige grensen.
29	crime	Abu Ghraib-fengselet i Irak er blitt satt i fyr under et opprør.
845	entertainment	Nå om dagen finnes det derimot etablerte graffitiartister, graffitiarrangementer og «lovlige» vegger. Graffiti i denne sammenhengen ser ofte ut som kunst i stedet for rabling som ikke kan leses.
165	crime	 Den 26. november 2008 kom Mumbai-angriperne frem via båt. De hadde granater og automatvåpen med seg og traff flere mål, blant annet Chhatrapati Shivaji Terminus-jernbanestasjonen som var full av mennesker, og det berømte Taj Mahal-hotellet.
261	business	Nigeria annonserte nylig at de la planer om å bli med i AfCFTA i uken som leder opp til toppmøtet.
531	sports	Atten hull spilles på en vanlig runde, og spillere starter som oftest på det første hullet på banen og avslutter på det attende.
1599	nature	Mutasjoner kan ha en rekke ulike virkninger avhengig av mutasjonstype, betydningen av det genetiske materialet som påvirkes og om cellene som påvirkes er bakterieklinale celler.
428	geography	Territoriet Tyrkia er mer enn 1 600 kilometer (1000 mi) langt og 800 km (500 mi) bredt, med en mer eller mindre rektangulær form.
1206	health	Hamilton bekreftet at pasienten ble innlagt på Howard universitetssykehus og er i en stabil tilstand.
277	politics	Tidligere Massachusetts-guvernør Mitt Romney vant det republikanske partiets presidentvalget på tirsdag med over 46 prosent av stemmene.
2	disasters	Flyplassen ble stengt etter at et JAS 39C Gripen-fly krasjet ned i en rullebane og eksploderte rundt 21:30 lokal tid (02:30 UTC).
