	index_id	category	text	gpt-3
0	1523	science/technology	Mutaatio lisää uutta geneettistä vaihtelua, valinta poistaa sen ilmenneiden vaihtelujen varastosta.	This piece of news is regarding science/technology.
1	1644	science/technology	Fissiopommi toimii periaatteella, että vaatii energiaa muodostaa ydin, joka koostuu monista protoneista ja neutroneista.	This piece of news seems to be related to science/technology, specifically nuclear physics or particle physics.
2	558	science/technology	Ydin koostuu kahdenlaisista hiukkasista: neutroneista ja protoneista.	This is a piece of news regarding science/technology. It discusses the composition of an atom's nucleus, which consists of two types of particles: neutrons and protons.
3	456	science/technology	Tämän ansiosta zoom-objektiivit kykenevät tuottamaan kuvia, jotka ovat laadultaan verrannollisia kiinteäpolttovälisellä objektiivilla otettuihin kuviin.	This piece of news is regarding science/technology.
4	906	science/technology	Ne ovat välityspalvelimia parempia useista syistä: ne reitittävät kaiken Internet-liikenteen uudelleen, eivät pelkästään http-liikennettä.	Based on the provided text, it appears to be a piece of news regarding science/technology.
5	452	science/technology	Interaktiivinen suunnittelu vaatii, että oletukset mediatuotannosta arvioidaan uudelleen ja opetellaan ajattelemaan epälineaarisesti.	This piece of text does not appear to be a news article. It seems to be a statement about interactive design and nonlinear thinking.
6	1557	science/technology	Käytännöstä tuli yleinen, mutta rauta kulutti vaunujen puisia pyöriä enemmän.	Based on the given text, it does not appear to be a piece of news related to science/technology, travel, politics, sports, health, or geography.
7	1360	science/technology	Laumat koostuvat yhdestä kolmeen toisilleen sukua olevasta aikuisesta uroksesta sekä toisinaan jopa kolmestakymmenestä naaraasta ja pennusta.	This statement does not appear to be a news article. It seems to be a sentence about the composition of a group of animals, possibly related to biology or zoology.
8	1675	science/technology	Vaikka tekoälyn mielletään vahvasti liittyvän tieteiskirjallisuuteen, se on hyvin tärkeä tietotekniikan haara, joka tutkii koneiden käyttäytymistä, oppimista ja älykästä sopeutumista.	This is a piece of news regarding science/technology. It discusses the importance of artificial intelligence in the field of computer science, specifically its study of machine behavior, learning, and intelligent adaptation.
9	1430	science/technology	Siksi tämän koon kuvasuhteen (jaettaessa kahdellatoista, jotta saadaan yksinkertaisin kokolukusuhde) sanotaan olevan 3:2.	This is a piece of news regarding science/technology.
10	1907	science/technology	Satelliittipuhelimesta ei ole yleensä matkapuhelimen korvaajaksi, koska puhelun soittaaksesi joudut olemaan ulkona ja pitämään esteettömän näkyvyyden satelliittiin.	This piece of news seems to be related to science/technology, specifically satellite phones.
11	1555	science/technology	Vaikka vaunutiet koostuivat pelkästään rinnakkaisista puulankuista, niiden ansiosta hevoset pystyivät vetämään vaunuja nopeammin ja suuremmilla kuormilla kuin senaikaisilla hieman epätasaisemmilla teillä.	This piece of news seems to be related to technology, specifically the development of horse-drawn carriages with improved performance on uneven roads.
12	1632	science/technology	Ihmiset ovat tunteneet tavallisia kemiallisia alkuaineita, kuten kullan, hopean ja kuparin jo antiikin ajoista asti, koska kaikki ne esiintyvät luonnossa omana itsenään ja koska niitä on myös suhteellisen helppo louhia alkeellisilla työkaluilla.	This piece of news seems to be related to science/technology.
13	1354	science/technology	Pyörä on muuttanut maailmaa uskomattomilla tavoilla. Paljon helpompi ja nopeampi liikkuminen on suurinta, mitä pyörä on tehnyt hyväksemme.	"This piece of news seems to be related to the category of ""travel"" as it discusses the impact of bicycles on the world, specifically highlighting the ease and speed of transportation they provide."
14	462	science/technology	Näin varmistetaan, että kuva täyttää koko näyttöruudun. Sitä kutsutaan yliskannaukseksi.	Based on the given text, it does not seem to be a news article. It appears to be a sentence in Finnish discussing the concept of overscan in relation to images filling the entire screen.
15	404	science/technology	Saksan sukellusveneitä kutsuttiin U-veneiksi. Saksalaiset osasivat purjehtia ja käyttää sukellusveneitään hyvin taitavasti.	This piece of news is regarding history or military, as it discusses German submarines and their proficiency in sailing and operating submarines.
16	604	science/technology	Vaikka sen fyysinen olomuoto saattaa muuttua, sen kemiallinen tila pysyy samana.	This statement does not appear to be a news article. It seems to be a scientific fact or statement about the conservation of chemical states.
17	352	science/technology	Pintajännitys syntyy, koska veden pinnalla olevat vesimolekyylit vetävät toisiaan puoleensa paljon enemmän kuin ilmamolekyylit niiden yläpuolella.	This piece of text seems to be related to science/technology, specifically to the topic of surface tension in water.
18	459	science/technology	Kun elokuvia yritetään muuntaa DVD-muotoon, yksi yleisimmistä ongelmista on yliskannaus.	This piece of news seems to be related to technology, specifically the process of converting movies into DVD format and the common issue of overscanning.
19	1519	science/technology	Erityisesti on väitetty, että tulkitsemalla mikroilmeitä oikein on mahdollista tunnistaa, valehteleeko henkilö.	This piece of news seems to be related to science/technology. It discusses the claim that by interpreting microexpressions correctly, it is possible to identify if a person is lying.
