	index_id	category	text	gpt-3
0	1523	science/technology	Okuzibira kuleetawo enjawukana empya, era okusaunsulamu kukijayo muebyo ebiragidwa mu kuzibira.	Based on the provided text, it appears to be a piece of news related to science/technology and health.
1	1644	science/technology	Eno bbomu ekolera ku mulamwa nti kyetaagisa amaanyi okukuuma akaziizi, obukontanyo ne nampawengwa awamu.	I'm sorry, but I am unable to understand the language you used in your message. Could you please rephrase or provide a translation?
2	558	science/technology	Nukiliyaasi erimu ebitundu tundu bibili – neutrons ne protons.	This piece of news seems to be related to science/technology, specifically to the topic of neutrons and protons.
3	456	science/technology	Kino kiganyiza lensi ezizimbulukusa okufulumya ebifaananyi eby'omutindo okugelagelanya kw'ebyo ebikolebwa ne lensi ezobuwanvu obwenkomeredde.	Based on the provided text, it is difficult to determine the exact category of the news article. Could you please provide more information or context about the content of the article?
4	906	science/technology	Bali wagulu ku mikutu jebirungo bya yinyaneti lwansonga nyingi: Batereza internet traffic si http yoka.	I'm sorry, but I couldn't understand the language you used in your message. Could you please rephrase your question or provide more context?
5	452	science/technology	Okutobeka okukwatagana kwetaaga newetegereza ensubirayo ku bikolebwa mu mawulire noyiga okulowooza mu ngeri etali ya bulijjo.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in a different language, and without understanding the content, it is not possible to categorize it accurately.
6	1557	science/technology	Kino kyafuuka kikolwa kya bulijjo, naye ayoni yaleeta okwononeeka okulala Ku namuziga z'ebiti ez'ebigaali.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the content of the article?
7	1360	science/technology	Amasanga gakolebwa ensolo ensajja ezoluganda wakati weemu ne ssatu wamu nensolo enkazi n'ento endala makumi asatu.	Based on the provided text, it appears to be written in a language I am not familiar with. Therefore, I am unable to determine the category of the news article. Could you please provide a translation or more context?
8	1675	science/technology	Ne wankubadde Al ayina engeri gya wulira ku kintu kyawulira, buli kintu kyonna kyamugaso mu kusoma ebintu by’okukozesa ebuma bi kali magezi, eneyisa ya byo, okuyiga awamu n’obukwata mpolaobuli mu kukozesa ebyuma ebyo	This piece of news seems to be about science/technology as it mentions energy, reading, and doing things efficiently.
9	1430	science/technology	Enjawulo wakati wazzino(bwogabanya kkumi na bbiri okufuna nnamba eyetongodde) nolwekyo egambibwa okubeera 3:2.	I'm sorry, but I couldn't understand the language of the news article you provided. Could you please provide the article in English or provide more context so I can categorize it for you?
10	1907	science/technology	Essimu zemilongooti ssi zezidda mukifo kyobusimu buli wendi nkufuna, kubanga otekedwa okubeera ebweru ngolabira ddala bulungi omulongooti okusobola okukuba essimu.	I'm sorry, but I couldn't understand the language you used in your message. Could you please rephrase your question in English?
11	1555	science/technology	Waddenga enguudo za wagon zalimu enkuubo zabibaawo, zaali zisobozesa endogoyi okuzisika okusobola okufuna obwangu n’okusika emigugu eminene okusinga bwegwaali ku nguudo embi ez’olunaku.	Based on the provided text, it is difficult to determine the exact category of the news article. The text appears to be in a different language and does not provide enough information to categorize it into a specific category.
12	1632	science/technology	Abantu babadde bamanyi ku kemiko ezenjawulo okugeza zaabu, feeza, n’amanda mu bunji, nga bino byonna bisobola okubeera nga bigibwa mu butonde mu bujjuvu bwabyo ate nga byangu bya kusima n’ebikozesebwa ebya bulijjo.	This piece of news appears to be related to science/technology. It discusses the use of chemicals and their effects on gold, copper, and silver in underground mines, as well as the potential environmental and health impacts.
13	1354	science/technology	Ekyesuubo kikyusiza ensi mu ngeri ezitagambika.Ekintu ekikyasinze ekyesuubo kino kyekikoze kwekuleetawo entambula enyangu ate ngewenyuka buweewo.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or a summary of the article?
14	462	science/technology	Kino kikolebwa okukakasa nti ekifaananyi kibika olutimbe lyonna. Ekyo kiyitibwa “overscan”.	I'm sorry, but I am unable to categorize the news article based on the provided text. The text you provided appears to be in a language I am not familiar with. If you can provide the article in English or provide more context, I would be happy to help categorize it for you.
15	404	science/technology	Obwaato bwa Bugirimaani bwayitibwa amaato ga U. Abagirimaani bali barungi mu kulambula wamu nokukozesa obwato bwabwe obutono.	Based on the provided text, it appears to be a news article related to travel.
16	604	science/technology	Wadde nga endabika yakyo eyinza okukyuuka, embeera yaakyo eya sayansi ejja kusigala yeemu.	Based on the provided text, it appears to be a piece of news related to science/technology.
17	352	science/technology	Okuyulika kw'ettaka kubawo kubanga molekyu z'amazzi eziri ku ngulu kwa amazzi zisikirizana nnyo okusingira ddala empewo za molekyu waggulu.	Based on the provided text, it appears to be a news article related to science/technology. The mention of molecules, water, and their interaction suggests a scientific or technological topic.
18	459	science/technology	Ebimu kubizibu byosanga ng’oteeka akatambi ku DVD kwekukasoma.	I'm sorry, but I couldn't understand the language of the text you provided. Could you please provide the text in English or clarify your question?
19	1519	science/technology	Olumu, kigambibwa nti omuntu asobola okumanya oba omuntu alimba nga avvunula okunnyonyola kw'obuntu obutono mu ngeri entuufu.	Based on the provided text, it is difficult to determine the category of this news article. Could you please provide more information or context about the article?
20	1338	science/technology	Zaabu asobola okukolebwaamu sheepu ezenjawulo. Asobola okuzinga zingibwaamu sheepu entonotono.	Based on the provided text, it appears to be written in a language that I am unable to understand. Therefore, I cannot categorize it into any specific news category.
21	1679	science/technology	Ebyuma Bi Kalimagezi bikozzesebwa mu yenfuna n’obusubuzi, ebyobulamu, ebya yinginiya ne mu magye nga bwebizimbiddwa mu byuma bya komputa n’emizanyo gya vidiyo.	This news article appears to be about science/technology, specifically about advancements in computer technology and video graphics.
22	1428	science/technology	Kikyafulumizibwa nabuli kati, naye n'ekisinga omugaso kiri nti lekyo(ratio) yakyo yasikirwa okuva mu digito kamera ekifaananyi ekisensinga fomati.	I'm sorry, but I am unable to categorize the news article based on the provided text. Could you please provide a brief summary or key points from the article?
23	1432	science/technology	Etteka elisinga okunyomebwa n’okuvumwa mu matekka assatu lyetekka lyokusigala nga tukola ebigasa era nga tukuma ekifananyi	I'm sorry, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
24	1024	science/technology	Kino tekikakasa bukakasa nti wakiri dinosaur ezimu zalina ebyoya, endowooza eyasasanyizibwa Edda, naye nga ewa okunyonyola okugazi ku fossils okutwalira awamu tezisobola, nga langi n'enteekateka ey'emirundi esatu.	I apologize, but I am unable to categorize the news article based on the provided text. The text appears to be in a different language or contains unfamiliar terms. Could you please provide a brief summary or key points from the article?
25	373	science/technology	Amanyi ga lo’s gayinza gatya okunsika? Bwe wandiyimiridde Kungulu kwa lo, wandi pimye kitono okusinga nga oli Ku ttaka.	I'm sorry, but I am unable to categorize the given text as it appears to be in a different language. If you provide the text in English, I would be happy to assist you in categorizing it.
26	1332	science/technology	NextGen ye nkola FAA gyegamba ej'okuganya enyonyi okubuuka engeendo enyimpi netaasa obukadde bwa gallons z'amafuta buli mwaaka nesala emission za kaboni.	This news article is regarding science/technology. It discusses the NextGen technology being implemented by the FAA to reduce fuel consumption and carbon emissions in the aviation industry.
27	1670	science/technology	Data w'okusoma Ku byobwongo aleeta obukakafu obwo buliwo obuwa okutegeera eri okunonyereza Ku bwongo, nolwekyo kikendeza Ku kifo ekyoku nonyereza, nekikifuula okuba ekituufu kyenyini.	I apologize, but I am unable to understand the language you used in your query. Could you please rephrase your question in English?
28	61	science/technology	Okusinzira mu bigambo bye byaweredde essawa ebiri agambye”leera Apple egenda okukola e ssimu,leero tugenda ku kola ebyafayo.”	Based on the provided text, it is difficult to determine the exact category of this news article. It appears to be written in a language that I am not familiar with, so I cannot accurately categorize it.
29	454	science/technology	Ekibi kyebitangaaza ezizimbulukusa kiri nti awasinzirwa wagaziwa n' emirundi gya lensi ez'etagisa okufuna obuwanvu bwokusinziira bungi nyo okusinga obwa pulayimu lensi.	This is a piece of news regarding politics.
30	1234	science/technology	Okufaanana limooti ya tivi, kontuloola ekozesa sense bbiri eziteekebwa okumpi ne tivi okusobola okukozesebwa obulungi.	This piece of news seems to be regarding science/technology. It discusses the use of a television remote control that incorporates two sensors to improve functionality and user experience.
31	1025	science/technology	Bakakensa bagamba mbu ensolo plumage yali chestnut-omweru kunguru ne obusiwukirivu oba carotenoid-colored underside.	This piece of news seems to be related to science/technology, specifically in the field of biology or ornithology. It discusses the chestnut plumage and carotenoid-colored underside of a specific bird species.
32	1254	science/technology	Ebintu bibiri nga bigatiddwa wamu bisobola okukola crystals ebiyinza okuziyiza ensigo obutakola, abanoonyereza mu yunivasite bwe bagambye.	Based on the provided text, it appears to be a piece of news related to science/technology. It mentions the ability to create crystals that can purify water, which is a scientific and technological development.
33	780	science/technology	Kino kiwa endabika esinga eya 35mm negative emirundi (3136 mm2 ebisanya 864).	This is a piece of news regarding science/technology.
34	649	science/technology	Okwebaza kudda eri waya entono eziyita wansi mu semayanja okutuuka e Europe n’esetiliyiti, Ne Greenland eyungidwa bulungi ne 93% kumuwendo gw’abantu basobola okutuuka kumutimbagano.	This is a piece of news regarding geography. It discusses the increase in tourism in Europe and Greenland, specifically highlighting the 93% growth in the number of people traveling to Greenland.
35	917	science/technology	Emu ku aplikessoni ekyasinze ettutumu mu kiti kino ye Google Translate, ekusobozesa okuvuunula yade nga tolina yintaneti bw’obeera ng’omaze okuteekamu ebikwata kululimi lwe weetaga.	This is a piece of news regarding technology. It appears to be discussing the use of Google Translate to overcome language barriers when accessing the internet.
36	603	science/technology	Kilina obutundu tundu bwebumu oba mukka, oba mazzi oba kyekute.	I'm sorry, but I cannot categorize the news article based on the provided text. Could you please provide more information or the actual news article so that I can assist you better?
37	1518	science/technology	Okwata obutaambi kuleesewo okuzuula okwenjawulo nga ba vvuunula obuntu obutonotono mu kikula enya amaaso buli lweekyukka mu bu tikti obutono.	I apologize, but I am unable to understand the language you have used. Could you please provide the text in English or specify the category you would like me to categorize the news article into?
38	584	science/technology	Abantu babadde bakozesa lenzi okuzimbulukusa ebintu okumala emyaka mingi.	"This is a piece of news regarding ""science/technology""."
39	1589	science/technology	Tekiri kyokka yadde, okugezesa, era okugezesa kiba kigezo ekikozesebwa okujjamu ekimu oba okusingawo ebiteberezebwa okusoboka, okubuuza ebibuuzo, n'okwetegereza nakyo kirungamya okunoonyereza kwa ssaayansi.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more specific information or context about the article?
