index_id	category	text
431	geography	Turkia itsasoz inguratuta dago hiru aldetan: Egeo itsasoa mendebaldean, Itsaso Beltza iparraldean eta Mediterraneo itsasoa hegoaldean.
403	science/technology	Gerraren hasieran itsaso gainean bidaiatzen zuten batez ere, baina radarra garatzen eta zehatzagoa bihurtzen joan zen heinean, itsaspekoak urpera sartzera behartu zituzten, arerioek ikus ez zitzaten.
1592	science/technology	Grezieraren ezagutza murriztu ahala, Mendebaldea aldendu egin zen Greziako jatorri filosofiko eta zientifikotik.
993	entertainment	Hala ere, beste mota bateko edertasuna eta xarma aurki dezakegu neguan, mendi-estazioek elur oparo jasotzen eta eskiatzeko eta elur-oholean aritzeko jarduerak eskaintzen dituztelako, besteak beste.
755	entertainment	Jende aberatsa eta ospetsua geratzen zen hotel hauetan, baita otordu eta festa ederrak egiten zituzten ere.
1936	politics	Gatazka horren ondorioz, Transnistria errepublika autoaldarrikatua sortu zen 1994an Moldaviako ekialdean. Gobernu eta dibisa propioa ditu, baina NBEko herrialde kideek ez dituzte haiek berresten.
1205	health	Gaixotasunean aditu den Danielle Lantagne NBEko kideak adierazi zuen segur aski bakegileek eragin zutela agerraldia.
1692	geography	Iparralderago dauden eremu zabalek biztanle gutxi dituzte, eta batzuk biztanlerik gabeko oihanak dira ia.
280	politics	Protestaren antolatzaileen arabera, 100.000 pertsona agertu ziren Alemaniako hainbat hiritan, hala nola Berlinen, Kolonian, Hanburgon eta Hannoverren.
247	politics	Agente horiek gobernu- eta justizia-zerbitzuak emateaz arduratzen dira, Pakistango Konstituzioaren 247. artikuluaren arabera.
1439	politics	Oldarraldiak piztu eta berehala, Britainia Alemaniaren itsasontziak blokeatzen hasi zen.
1239	entertainment	“Oso polita da eta nahiko ongi abesten du, gainera” esan zuen, prentsaurrekoko transkripzio baten arabera.
743	geography	Cook uharteek ez dute hiririk, baina 15 uhartez osatuta daude. Handienak Rarotonga eta Aitutaki dira.
18	politics	Mundu osoan egin ziren protestak, hainbat salaketa kriminal jarri ziren eta Islandiako eta Pakistango gobernuburuek dimititu egin zuten.
